From;To;Date
85,849;85,849;19970612
85,849;90,764;19970613
90,764;86,668;19970616
86,668;78,148;19970617
78,148;75,363;19970618
75,363;72,906;19970619
72,906;72,906;19970620
72,906;72,906;19970623
72,906;68,073;19970624
68,073;68,892;19970625
68,892;66,434;19970626
66,434;67,254;19970627
67,254;68,892;19970630
68,892;67,663;19970701
67,663;66,844;19970702
66,844;68,073;19970703
68,073;67,254;19970704
67,254;65,615;19970707
65,615;66,025;19970708
66,025;67,254;19970709
67,254;65,615;19970710
65,615;64,386;19970711
64,386;55,867;19970714
55,867;56,686;19970715
56,686;55,867;19970716
55,867;56,277;19970717
56,277;54,72;19970718
54,72;53,901;19970721
53,901;55,539;19970722
55,539;56,277;19970723
56,277;56,277;19970724
56,277;56,277;19970725
56,277;57,096;19970728
57,096;59,963;19970729
59,963;62,011;19970730
62,011;62,011;19970731
62,011;61,601;19970801
61,601;62,83;19970804
62,83;65,206;19970805
65,206;64,796;19970806
64,796;67,254;19970807
67,254;68,482;19970808
68,482;67,254;19970811
67,254;68,482;19970812
68,482;68,073;19970813
68,073;67,254;19970814
67,254;63,567;19970818
63,567;66,434;19970819
66,434;65,615;19970820
65,615;64,796;19970821
64,796;65,615;19970822
65,615;63,977;19970825
63,977;64,386;19970826
64,386;64,386;19970827
64,386;64,796;19970828
64,796;64,796;19970829
64,796;63,567;19970901
63,567;63,158;19970902
63,158;66,025;19970903
66,025;66,434;19970904
66,434;70,858;19970905
70,858;70,121;19970908
70,121;72,496;19970909
72,496;72,087;19970910
72,087;70,448;19970911
70,448;71,677;19970912
71,677;72,087;19970915
72,087;71,267;19970916
71,267;68,892;19970917
68,892;71,267;19970918
71,267;73,315;19970919
73,315;75,363;19970922
75,363;74,544;19970923
74,544;73,725;19970924
73,725;72,496;19970925
72,496;70,448;19970926
70,448;69,301;19970929
69,301;67,663;19970930
67,663;67,254;19971001
67,254;67,254;19971002
67,254;65,615;19971003
65,615;66,025;19971006
66,025;64,796;19971007
64,796;66,844;19971008
66,844;65,206;19971009
65,206;65,206;19971010
65,206;65,206;19971013
65,206;65,615;19971014
65,615;68,073;19971015
68,073;66,434;19971016
66,434;66,844;19971017
66,844;66,844;19971020
66,844;68,073;19971021
68,073;68,482;19971022
68,482;64,796;19971023
64,796;66,025;19971024
66,025;60,373;19971027
60,373;51,034;19971028
51,034;58,325;19971029
58,325;55,13;19971030
55,13;57,915;19971031
57,915;59,144;19971103
59,144;57,915;19971104
57,915;58,734;19971105
58,734;59,553;19971106
59,553;59,144;19971107
59,144;57,096;19971112
57,096;55,539;19971113
55,539;55,539;19971114
55,539;57,505;19971117
57,505;56,277;19971118
56,277;54,72;19971119
54,72;54,311;19971120
54,311;55,13;19971121
55,13;52,672;19971124
52,672;53,901;19971125
53,901;52,672;19971126
52,672;53,082;19971127
