From;To;Date
34,9;35,1;20140717
35,1;35,35;20140718
35,35;35,3;20140721
35,3;34,8;20140722
34,8;35;20140723
35;34,11;20140724
34,11;34,4;20140725
34,4;35,2;20140728
35,2;35,18;20140729
35,18;35;20140730
35;35;20140731
35;34;20140801
34;34;20140804
34;34,44;20140805
34,44;34,98;20140806
34,98;34,5;20140807
34,5;34,8;20140808
34,8;34,8;20140811
34,8;34,8;20140812
34,8;34,8;20140813
34,8;34,79;20140814
34,79;34,8;20140818
34,8;34,8;20140819
34,8;34,8;20140820
34,8;36,15;20140821
36,15;36,21;20140822
36,21;36;20140825
36;36,7;20140826
36,7;37,69;20140827
37,69;37,29;20140828
37,29;37,7;20140829
37,7;37,99;20140901
37,99;39,5;20140902
39,5;40,1;20140903
40,1;39,9;20140904
39,9;40,75;20140905
40,75;40,7;20140908
40,7;40;20140909
40;39,5;20140910
39,5;39,51;20140911
39,51;40,65;20140912
40,65;40,49;20140915
40,49;40,08;20140916
40,08;40,39;20140917
40,39;40,28;20140918
40,28;40,6;20140919
40,6;40,78;20140922
40,78;40,17;20140923
40,17;40,05;20140924
40,05;40,15;20140925
40,15;40,09;20140926
40,09;40,2;20140929
40,2;40,7;20140930
40,7;41,5;20141001
41,5;41,65;20141002
41,65;40,94;20141003
40,94;40,87;20141006
40,87;40,85;20141007
40,85;40,7;20141008
40,7;40,27;20141009
40,27;40,35;20141010
40,35;40,5;20141013
40,5;40,38;20141014
40,38;41;20141015
41;41,48;20141016
41,48;41,84;20141017
41,84;42,4;20141020
42,4;42,77;20141021
42,77;43,5;20141022
43,5;43;20141023
43;43,34;20141024
43,34;43,24;20141027
43,24;43,18;20141028
43,18;42,99;20141029
42,99;43;20141030
43;43,49;20141031
43,49;44;20141103
44;44,1;20141104
44,1;43,99;20141105
43,99;43,7;20141106
43,7;43,6;20141107
43,6;43,6;20141110
43,6;43,5;20141112
43,5;42,88;20141113
42,88;42,1;20141114
42,1;41,49;20141117
41,49;41;20141118
41;42;20141119
42;42;20141120
42;42,9;20141121
42,9;42,89;20141124
42,89;42,88;20141125
42,88;42,98;20141126
42,98;42,9;20141127
42,9;42,4;20141128
42,4;41,2;20141201
41,2;42;20141202
42;42,1;20141203
42,1;41,9;20141204
41,9;42,99;20141205
42,99;43;20141208
43;42;20141210
42;41,9;20141211
41,9;42,35;20141212
42,35;42,5;20141215
42,5;42,75;20141216
42,75;43;20141217
43;43,5;20141218
43,5;43,5;20141219
43,5;43,6;20141222
43,6;44,3;20141223
44,3;44,5;20141229
44,5;45,5;20141230
