From;To;Date
19,05;19;20060817
19;19,05;20060818
19,05;18,5;20060821
18,5;17,7;20060822
17,7;18,4;20060823
18,4;18,2;20060824
18,2;18;20060825
18;17,8;20060828
17,8;18,2;20060829
18,2;18,1;20060830
18,1;18;20060831
18;18,15;20060901
18,15;18,01;20060904
18,01;18,2;20060905
18,2;18;20060906
18;18,3;20060907
18,3;18,2;20060908
18,2;18,29;20060911
18,29;18,1;20060912
18,1;18,3;20060913
18,3;18,21;20060914
18,21;18,05;20060915
18,05;17,9;20060918
17,9;17,75;20060919
17,75;18;20060920
18;18,1;20060921
18,1;18,1;20060922
18,1;18,2;20060925
18,2;18,69;20060926
18,69;18,8;20060927
18,8;19,1;20060928
19,1;19;20060929
19;19;20061002
19;19;20061003
19;18,62;20061004
18,62;18,76;20061005
18,76;19,18;20061006
19,18;19;20061009
19;18,81;20061010
18,81;18;20061011
18;18,25;20061012
18,25;18,7;20061013
18,7;18,79;20061016
18,79;19;20061017
19;19,24;20061018
19,24;20,86;20061019
20,86;21,3;20061020
21,3;21;20061023
21;21,19;20061024
21,19;20,85;20061025
20,85;20,98;20061026
20,98;20,9;20061027
20,9;20;20061030
20;20;20061031
20;19,9;20061102
19,9;19,49;20061103
19,49;18,9;20061106
18,9;19,35;20061107
19,35;18,27;20061108
18,27;18,55;20061109
18,55;18,93;20061110
18,93;18,71;20061113
18,71;18,05;20061114
18,05;17,48;20061115
17,48;17,5;20061116
17,5;17,5;20061117
17,5;17,5;20061120
17,5;17,41;20061121
17,41;17,5;20061122
17,5;17,65;20061123
17,65;17,88;20061124
17,88;17,8;20061127
17,8;17,3;20061128
17,3;17,2;20061129
17,2;17,75;20061130
17,75;17,87;20061201
17,87;18;20061204
18;19;20061205
19;19,73;20061206
19,73;18,4;20061207
18,4;18,4;20061208
18,4;18,25;20061211
18,25;18,79;20061212
18,79;18,73;20061213
18,73;18,5;20061214
18,5;18,19;20061215
18,19;18,18;20061218
18,18;17,93;20061219
17,93;17,38;20061220
17,38;16,99;20061221
16,99;17;20061222
17;17;20061227
17;17;20061228
17;17,09;20061229
17,09;17,15;20070102
17,15;17,07;20070103
17,07;16,95;20070104
16,95;16,65;20070105
16,65;16,6;20070108
16,6;16,6;20070109
16,6;16,65;20070110
16,65;16,6;20070111
16,6;16,36;20070112
16,36;16,49;20070115
16,49;16,4;20070116
16,4;17,15;20070117
17,15;16,9;20070118
16,9;16,8;20070119
16,8;16,5;20070122
16,5;16,4;20070123
16,4;16,2;20070124
16,2;15,9;20070125
15,9;15,8;20070126
15,8;15,95;20070129
15,95;15,99;20070130
15,99;15,9;20070131
15,9;15,65;20070201
15,65;15,4;20070202
15,4;15;20070205
15;14,85;20070206
14,85;15,1;20070207
15,1;14,8;20070208
14,8;14,9;20070209
14,9;14,85;20070212
14,85;14,44;20070213
14,44;14,7;20070214
14,7;15,03;20070215
15,03;15,55;20070216
15,55;16,18;20070219
16,18;16,2;20070220
16,2;15,55;20070221
15,55;15,75;20070222
15,75;15,85;20070223
15,85;16,22;20070226
16,22;15,29;20070227
15,29;15,29;20070228
15,29;14,99;20070301
14,99;14,5;20070302
14,5;13,34;20070305
13,34;13,65;20070306
13,65;13,9;20070307
13,9;13,9;20070308
13,9;14;20070309
14;13,9;20070312
13,9;13,8;20070313
13,8;13,31;20070314
13,31;13,3;20070315
13,3;13,3;20070316
13,3;13,19;20070319
13,19;13,03;20070320
13,03;13,26;20070321
13,26;13,4;20070322
13,4;13,36;20070323
13,36;13,35;20070326
13,35;13,3;20070327
13,3;13,3;20070328
13,3;13,55;20070329
13,55;13,11;20070330
13,11;13;20070402
13;13,21;20070403
13,21;13,88;20070404
13,88;13,61;20070405
13,61;13,75;20070410
13,75;13,69;20070411
13,69;13,46;20070412
13,46;13,57;20070413
13,57;13,64;20070416
13,64;13,9;20070417
13,9;13,8;20070418
13,8;13,6;20070419
13,6;13,59;20070420
13,59;13,3;20070423
13,3;13,09;20070424
13,09;13,47;20070425
13,47;13,21;20070426
13,21;13,47;20070427
13,47;13,45;20070430
13,45;13,41;20070502
13,41;13,43;20070504
13,43;13,22;20070507
13,22;13,17;20070508
13,17;13;20070509
13;12,41;20070510
12,41;12,92;20070511
12,92;12,9;20070514
12,9;12,79;20070515
12,79;12,65;20070516
12,65;12,6;20070517
12,6;12,66;20070518
12,66;12,84;20070521
12,84;12,51;20070522
12,51;12,79;20070523
12,79;12,9;20070524
12,9;12,85;20070525
12,85;14,75;20070528
14,75;16,14;20070529
16,14;15;20070530
15;15;20070531
15;16;20070601
16;16,15;20070604
16,15;16;20070605
16;16;20070606
16;15,8;20070608
15,8;16;20070611
16;16,59;20070612
16,59;17,6;20070613
17,6;18,01;20070614
18,01;17,58;20070615
17,58;18,3;20070618
18,3;18,3;20070619
18,3;18,3;20070620
18,3;17,75;20070621
17,75;17,5;20070622
17,5;16,99;20070625
16,99;16,51;20070626
16,51;16,99;20070627
16,99;16,94;20070628
16,94;16,91;20070629
16,91;16,6;20070702
16,6;17,35;20070703
17,35;16,44;20070704
16,44;16,97;20070705
16,97;16,99;20070706
16,99;17,29;20070709
17,29;17,2;20070710
17,2;16,86;20070711
16,86;16,97;20070712
16,97;17,01;20070713
17,01;16,5;20070716
16,5;17;20070717
17;16,99;20070718
16,99;17;20070719
17;17;20070720
17;17,27;20070723
17,27;17,2;20070724
17,2;17,07;20070725
17,07;17,25;20070726
17,25;17,17;20070727
17,17;16,51;20070730
16,51;17,15;20070731
17,15;17,1;20070801
17,1;17,12;20070802
17,12;17,03;20070803
17,03;17,2;20070806
17,2;17,05;20070807
17,05;18,1;20070808
18,1;17,9;20070809
17,9;17,5;20070810
17,5;17,95;20070813
17,95;18;20070814
18;17,5;20070816
17,5;17,3;20070817
17,3;17,7;20070820
17,7;18,16;20070821
18,16;19,1;20070822
19,1;19,9;20070823
19,9;19,21;20070824
19,21;19,96;20070827
19,96;19,75;20070828
19,75;19,9;20070829
19,9;19,5;20070830
19,5;20,37;20070831
20,37;21,14;20070903
21,14;20,9;20070904
20,9;19,3;20070905
19,3;19,77;20070906
19,77;19;20070907
19;18,82;20070910
18,82;19,57;20070911
19,57;19,59;20070913
19,59;19,59;20070914
19,59;19,4;20070917
19,4;19,3;20070918
19,3;20,79;20070919
20,79;20,4;20070920
20,4;20,2;20070921
20,2;19,66;20070924
19,66;19,79;20070925
19,79;19,95;20070926
19,95;19,91;20070927
19,91;19,86;20070928
19,86;19,69;20071001
19,69;20;20071002
20;20;20071003
20;20;20071004
20;20;20071005
20;19,26;20071008
19,26;19,23;20071009
19,23;20;20071010
20;20,5;20071011
20,5;21,01;20071012
21,01;21,78;20071015
21,78;21,52;20071016
21,52;22,7;20071017
22,7;22,57;20071018
22,57;22,9;20071019
22,9;22,95;20071022
22,95;23,8;20071023
23,8;23;20071024
23;22,55;20071025
22,55;24,1;20071026
24,1;24,6;20071029
24,6;24,6;20071030
24,6;24,5;20071031
24,5;24,55;20071102
24,55;24,8;20071105
24,8;27,9;20071106
27,9;24,6;20071107
24,6;24;20071108
24;24;20071109
24;24,1;20071112
24,1;25,19;20071113
25,19;24,21;20071114
24,21;22,5;20071115
22,5;22,89;20071116
22,89;23,5;20071119
23,5;23,49;20071120
23,49;21,71;20071121
21,71;22,8;20071122
22,8;21,87;20071123
21,87;21,01;20071126
21,01;21;20071127
21;21,58;20071128
21,58;22,48;20071129
22,48;23,2;20071130
23,2;23,1;20071203
23,1;23;20071204
23;22,63;20071205
22,63;23;20071206
23;21,8;20071207
21,8;22;20071210
22;22,88;20071211
22,88;24,9;20071212
24,9;25,1;20071213
