From;To;Date
65;65;19970530
65;58,5;19970602
58,5;57,5;19970603
57,5;54;19970604
54;48,6;19970605
48,6;44,9;19970606
44,9;46,5;19970609
46,5;46;19970610
46;44,8;19970611
44,8;44,1;19970612
44,1;44,1;19970613
44,1;44;19970616
44;44,2;19970617
44,2;45;19970618
45;44,9;19970619
44,9;45,1;19970620
45,1;44,5;19970623
44,5;43;19970624
43;42;19970625
42;40;19970626
40;39;19970627
39;40;19970630
40;39;19970701
39;38,3;19970702
38,3;39;19970703
39;35,1;19970704
35,1;38,6;19970707
38,6;39,5;19970708
39,5;41;19970709
41;43;19970710
43;41;19970711
41;38;19970714
38;36,5;19970715
36,5;37,5;19970716
37,5;37;19970717
37;36,5;19970718
36,5;35,5;19970721
35,5;36,2;19970722
36,2;34,6;19970723
34,6;34;19970724
34;33;19970725
33;31,3;19970728
31,3;29,8;19970729
29,8;30;19970730
30;31,5;19970731
31,5;29,8;19970801
29,8;30,7;19970804
30,7;28,4;19970805
28,4;27,5;19970806
27,5;28;19970807
28;30,3;19970808
30,3;33,3;19970811
33,3;32,7;19970812
32,7;34;19970813
34;31;19970814
31;28,4;19970818
28,4;28;19970819
28;28;19970820
28;28,6;19970821
28,6;27,3;19970822
27,3;27,5;19970825
27,5;27,2;19970826
27,2;27,2;19970827
27,2;27,4;19970828
27,4;27,4;19970829
27,4;27,9;19970901
27,9;28;19970902
28;28,1;19970903
28,1;28;19970904
28;27,4;19970905
27,4;28,4;19970908
28,4;28,5;19970909
28,5;28,4;19970910
28,4;27,9;19970911
27,9;27,7;19970912
27,7;27,5;19970915
27,5;27,3;19970916
27,3;28;19970917
28;28,1;19970918
28,1;28,2;19970919
28,2;27,8;19970922
27,8;27,5;19970923
27,5;27,2;19970924
27,2;26,2;19970925
26,2;24,7;19970926
24,7;25;19970929
25;24,2;19970930
24,2;23,5;19971001
23,5;24;19971002
24;23,5;19971003
23,5;23,1;19971006
23,1;22,7;19971007
22,7;23;19971008
23;23,5;19971009
23,5;22,8;19971010
22,8;22,5;19971013
22,5;22,2;19971014
22,2;23;19971015
23;23,4;19971016
23,4;23,3;19971017
23,3;23,5;19971020
23,5;23,2;19971021
23,2;22,9;19971022
22,9;22,4;19971023
22,4;20,6;19971024
20,6;19,9;19971027
19,9;18;19971028
18;18,6;19971029
18,6;17,2;19971030
17,2;17,2;19971031
17,2;17,5;19971103
17,5;17,8;19971104
17,8;18,1;19971105
18,1;17,9;19971106
17,9;17,7;19971107
17,7;16;19971112
16;16,1;19971113
16,1;16,9;19971114
16,9;18,1;19971117
18,1;19;19971118
19;17,9;19971119
17,9;18;19971120
18;19;19971121
19;20;19971124
20;19,9;19971125
19,9;21,8;19971126
21,8;23;19971127
23;23,4;19971128
23,4;23,4;19971201
23,4;23;19971202
23;21,3;19971203
21,3;21,5;19971204
21,5;21,4;19971205
21,4;20,9;19971208
20,9;19,9;19971209
19,9;18,3;19971210
18,3;17,5;19971211
17,5;17,1;19971212
17,1;17,5;19971215
17,5;18,5;19971216
18,5;17,9;19971217
17,9;16,6;19971218
16,6;15,7;19971219
15,7;14,3;19971222
14,3;14,9;19971223
14,9;16,2;19971229
16,2;16,5;19971230
16,5;16,6;19971231
16,6;16,9;19980105
16,9;16,9;19980106
16,9;15,3;19980107
15,3;15,7;19980108
15,7;15,2;19980109
15,2;13,7;19980112
13,7;14,1;19980113
14,1;14,2;19980114
14,2;12,8;19980115
12,8;13,5;19980116
13,5;14,5;19980119
14,5;15;19980120
15;16,4;19980121
16,4;16,4;19980122
16,4;17,5;19980123
17,5;17,3;19980126
