From;To;Date
301,33;300,38;19980102
300,38;298,09;19980105
298,09;291,77;19980106
291,77;293,14;19980107
293,14;304,21;19980108
304,21;303,94;19980109
303,94;297,24;19980112
297,24;302,76;19980113
302,76;301,42;19980114
301,42;306,03;19980115
306,03;308,56;19980116
308,56;320,74;19980119
320,74;339,89;19980120
339,89;351,72;19980121
351,72;366,22;19980122
366,22;390,04;19980123
390,04;391,6;19980126
391,6;396,87;19980127
396,87;397,76;19980128
397,76;394,48;19980129
394,48;397,63;19980130
397,63;396,18;19980202
396,18;384,5;19980203
384,5;389,35;19980204
389,35;389,66;19980205
389,66;385,02;19980206
385,02;383,05;19980209
383,05;388,03;19980210
388,03;390,05;19980211
390,05;388,43;19980212
388,43;392,45;19980213
392,45;385,9;19980216
385,9;383,67;19980217
383,67;386,16;19980218
386,16;391,31;19980219
391,31;394,16;19980220
394,16;424,69;19980223
424,69;435,38;19980224
435,38;445,76;19980225
445,76;431,45;19980226
431,45;425,44;19980227
425,44;418,16;19980302
418,16;428,46;19980303
428,46;424,92;19980304
424,92;421,74;19980305
421,74;430,32;19980306
430,32;438,66;19980309
438,66;436,61;19980310
436,61;435,01;19980311
435,01;434,22;19980312
434,22;434,85;19980313
434,85;451,19;19980316
451,19;469,61;19980317
469,61;468,08;19980318
468,08;464,02;19980319
464,02;454,75;19980320
454,75;449,04;19980323
449,04;449,6;19980324
449,6;443,58;19980325
443,58;440,6;19980326
440,6;437,24;19980327
437,24;440,36;19980330
440,36;437,34;19980331
437,34;436,88;19980401
436,88;448,37;19980402
448,37;470,65;19980403
470,65;476,88;19980406
476,88;480,11;19980407
480,11;473,07;19980408
473,07;474,56;19980409
474,56;477,29;19980414
477,29;474,37;19980415
474,37;464,1;19980416
464,1;459,34;19980417
459,34;462,58;19980420
462,58;472,08;19980421
472,08;477,89;19980422
477,89;476,82;19980423
476,82;464,94;19980424
464,94;465,48;19980427
465,48;467,62;19980428
467,62;472,27;19980429
472,27;481,23;19980430
481,23;494,02;19980504
494,02;521,16;19980505
521,16;530,7;19980506
530,7;534,15;19980507
534,15;535,21;19980511
535,21;536,02;19980512
536,02;537,84;19980513
537,84;535,37;19980514
535,37;531,43;19980515
531,43;531,56;19980518
531,56;536,13;19980519
536,13;541,42;19980520
541,42;542,59;19980522
542,59;543,7;19980525
543,7;556,12;19980526
556,12;556,36;19980527
556,36;560,78;19980528
560,78;574,92;19980529
574,92;585,45;19980602
585,45;596,26;19980603
596,26;609,48;19980604
609,48;618,71;19980605
618,71;625,16;19980608
625,16;632,36;19980609
632,36;642,79;19980610
642,79;668,49;19980611
668,49;633,84;19980612
633,84;580,19;19980615
580,19;585,62;19980616
585,62;603,09;19980617
603,09;596,64;19980618
596,64;595,22;19980619
595,22;581;19980622
581;583,22;19980623
583,22;584,99;19980624
584,99;593,05;19980625
593,05;591,3;19980626
591,3;583,92;19980629
583,92;573,44;19980630
573,44;563,91;19980701
563,91;584,32;19980702
584,32;582,22;19980703
582,22;578,8;19980706
578,8;581,56;19980707
581,56;567,75;19980708
567,75;564,91;19980709
564,91;569,93;19980710
569,93;573,55;19980715
573,55;570,15;19980716
570,15;568,75;19980717
