From;To;Date
3,9575;3,9087;20060612
3,9087;3,9282;20060613
3,9282;3,9087;20060614
3,9087;3,9282;20060616
3,9282;3,9087;20060619
3,9087;3,8989;20060620
3,8989;3,8794;20060621
3,8794;3,7426;20060622
3,7426;3,6546;20060623
3,6546;3,6839;20060626
3,6839;3,6839;20060627
3,6839;3,811;20060628
3,811;3,8598;20060629
3,8598;3,8598;20060630
3,8598;3,8598;20060703
3,8598;3,8989;20060704
3,8989;3,9478;20060705
3,9478;3,9673;20060706
3,9673;3,9478;20060707
3,9478;3,9282;20060710
3,9282;3,9282;20060711
3,9282;3,9087;20060712
3,9087;3,938;20060713
3,938;3,938;20060714
3,938;3,938;20060717
3,938;3,938;20060718
3,938;3,9673;20060719
3,9673;3,938;20060720
3,938;3,8989;20060721
3,8989;3,9282;20060724
3,9282;3,8891;20060725
3,8891;3,938;20060726
3,938;3,9087;20060727
3,9087;3,8989;20060728
3,8989;3,9184;20060731
3,9184;3,9575;20060801
3,9575;3,9478;20060802
3,9478;4,153;20060803
4,153;4,6318;20060804
4,6318;4,6318;20060807
4,6318;4,622;20060808
4,622;4,9836;20060809
4,9836;4,9836;20060810
4,9836;5,179;20060811
5,179;5,179;20060814
5,179;5,179;20060816
5,179;5,2279;20060817
5,2279;5,2279;20060818
5,2279;5,2279;20060821
5,2279;5,3256;20060822
5,3256;5,4721;20060823
5,4721;5,2767;20060824
5,2767;5,3256;20060825
5,3256;5,3744;20060828
5,3744;5,7653;20060829
5,7653;6,3516;20060830
6,3516;6,3516;20060831
6,3516;6,1953;20060901
6,1953;6,1268;20060904
6,1268;6,2637;20060905
6,2637;6,3614;20060906
6,3614;6,4493;20060907
6,4493;6,3614;20060908
6,3614;6,2637;20060911
6,2637;6,1562;20060912
6,1562;6,0584;20060913
6,0584;6,1659;20060914
6,1659;5,9705;20060915
5,9705;5,7458;20060918
5,7458;5,4135;20060919
5,4135;5,4624;20060920
5,4624;5,6676;20060921
5,6676;5,6676;20060922
5,6676;5,6676;20060925
5,6676;5,9412;20060926
5,9412;5,8532;20060927
5,8532;5,9803;20060928
5,9803;5,8728;20060929
5,8728;5,9314;20061002
5,9314;5,9021;20061003
5,9021;5,9216;20061004
5,9216;5,9021;20061005
5,9021;5,8532;20061006
5,8532;5,8532;20061009
5,8532;5,8532;20061010
5,8532;6,4298;20061011
6,4298;6,2539;20061012
6,2539;6,0096;20061013
6,0096;6,0389;20061016
6,0389;6,0878;20061017
6,0878;6,0194;20061018
6,0194;6,0584;20061019
6,0584;6,0389;20061020
6,0389;5,99;20061023
5,99;5,9607;20061024
5,9607;6,1073;20061025
6,1073;6,1757;20061026
6,1757;5,9607;20061027
5,9607;5,648;20061030
5,648;5,5405;20061031
5,5405;5,4331;20061102
5,4331;5,3256;20061103
5,3256;5,3158;20061106
5,3158;5,3158;20061107
5,3158;5,3158;20061108
5,3158;5,2669;20061109
5,2669;5,2181;20061110
5,2181;5,2279;20061113
5,2279;5,2767;20061114
5,2767;5,0813;20061115
5,0813;5,0813;20061116
5,0813;5,0813;20061117
5,0813;5,3744;20061120
5,3744;5,4428;20061121
5,4428;5,3744;20061122
5,3744;5,4233;20061123
5,4233;5,4721;20061124
5,4721;5,2181;20061127
5,2181;4,9836;20061128
4,9836;5,1985;20061129
5,1985;5,2083;20061130
5,2083;5,2572;20061201
5,2572;5,2572;20061204
5,2572;5,179;20061205
5,179;5,3744;20061206
5,3744;5,3353;20061207
5,3353;5,2279;20061208
5,2279;5,3353;20061211
5,3353;5,4135;20061212
5,4135;5,4428;20061213
5,4428;5,2669;20061214
5,2669;5,1497;20061215
5,1497;5,2669;20061218
5,2669;4,964;20061219
4,964;4,9347;20061220
4,9347;4,8858;20061221
4,8858;4,8858;20061222
4,8858;5,1692;20061227
5,1692;4,9933;20061228
4,9933;4,9347;20061229
4,9347;5,0324;20070102
5,0324;5,0813;20070103
5,0813;5,0226;20070104
5,0226;4,964;20070105
4,964;5,0031;20070108
5,0031;5,1008;20070109
5,1008;5,179;20070110
5,179;5,2376;20070111
5,2376;5,394;20070112
5,394;5,5699;20070115
5,5699;5,648;20070116
5,648;5,6089;20070117
5,6089;5,5699;20070118
5,5699;5,5601;20070119
5,5601;5,3744;20070122
5,3744;6,7913;20070123
6,7913;6,2539;20070124
6,2539;6,1464;20070125
6,1464;6,2343;20070126
6,2343;6,3809;20070129
6,3809;6,7425;20070130
6,7425;6,8402;20070131
6,8402;6,8402;20070201
6,8402;6,8402;20070202
6,8402;6,8597;20070205
6,8597;6,3516;20070206
6,3516;6,547;20070207
6,547;6,1953;20070208
6,1953;6,2539;20070209
6,2539;6,1562;20070212
6,1562;6,3125;20070213
6,3125;6,3027;20070214
6,3027;6,3223;20070215
6,3223;6,293;20070216
6,293;6,2637;20070219
6,2637;6,205;20070220
6,205;6,3027;20070221
6,3027;6,2539;20070222
6,2539;6,42;20070223
