From;To;Date
12,24;12,24;19970612
12,24;12,6;19970613
12,6;12,6;19970616
12,6;12,6;19970617
12,6;12,18;19970618
12,18;12;19970619
12;11,82;19970620
11,82;11,22;19970623
11,22;11,04;19970624
11,04;10,92;19970625
10,92;10,44;19970626
10,44;10,92;19970627
10,92;10,92;19970630
10,92;10,74;19970701
10,74;10,44;19970702
10,44;10,8;19970703
10,8;10,44;19970704
10,44;10,26;19970707
10,26;10,74;19970708
10,74;10,98;19970709
10,98;10,92;19970710
10,92;10,62;19970711
10,62;9,72;19970714
9,72;10,02;19970715
10,02;9,96;19970716
9,96;10,2;19970717
10,2;9,96;19970718
9,96;9,84;19970721
9,84;9,72;19970722
9,72;9,48;19970723
9,48;9,18;19970724
9,18;8,7;19970725
8,7;9,06;19970728
9,06;9,48;19970729
9,48;9,96;19970730
9,96;9,66;19970731
9,66;9,84;19970801
9,84;9,84;19970804
9,84;10,26;19970805
10,26;10,02;19970806
10,02;10,8;19970807
10,8;11,4;19970808
11,4;10,92;19970811
10,92;11,04;19970812
11,04;10,74;19970813
10,74;10,26;19970814
10,26;10,44;19970818
10,44;10,74;19970819
10,74;10,68;19970820
10,68;10,5;19970821
10,5;10,68;19970822
10,68;10,8;19970825
10,8;11,4;19970826
11,4;11,46;19970827
11,46;11,7;19970828
11,7;11,76;19970829
11,76;12,3;19970901
12,3;12,78;19970902
12,78;12,84;19970903
12,84;12,9;19970904
12,9;13,26;19970905
13,26;13,26;19970908
13,26;13,62;19970909
13,62;13,38;19970910
13,38;13,38;19970911
13,38;12,9;19970912
12,9;13,02;19970915
13,02;13,26;19970916
13,26;12,84;19970917
12,84;13,5;19970918
13,5;13,68;19970919
13,68;13,8;19970922
13,8;13,38;19970923
13,38;13,26;19970924
13,26;12,9;19970925
12,9;12,78;19970926
12,78;12,3;19970929
12,3;12,3;19970930
12,3;12,24;19971001
12,24;11,94;19971002
11,94;11,94;19971003
11,94;11,52;19971006
11,52;11,7;19971007
11,7;11,94;19971008
11,94;11,82;19971009
11,82;11,82;19971010
11,82;12,06;19971013
12,06;12,18;19971014
12,18;12,36;19971015
12,36;12,36;19971016
12,36;12,72;19971017
12,72;12,54;19971020
12,54;12,72;19971021
12,72;12,6;19971022
12,6;11,94;19971023
11,94;12,18;19971024
12,18;10,74;19971027
10,74;9,36;19971028
9,36;11,22;19971029
11,22;10,44;19971030
10,44;10,92;19971031
10,92;11,04;19971103
11,04;11,52;19971104
11,52;11,46;19971105
11,46;11,52;19971106
11,52;11,52;19971107
11,52;11,52;19971112
11,52;11,94;19971113
11,94;11,7;19971114
11,7;11,58;19971117
11,58;11,16;19971118
11,16;10,62;19971119
10,62;10,2;19971120
10,2;10,74;19971121
10,74;10,02;19971124
10,02;10,44;19971125
10,44;9,96;19971126
9,96;10,26;19971127
10,26;10,02;19971128
10,02;10,74;19971201
10,74;10,98;19971202
10,98;10,44;19971203
10,44;10,5;19971204
10,5;10,26;19971205
10,26;9,84;19971208
9,84;9,6;19971209
9,6;9,48;19971210
9,48;8,94;19971211
8,94;9,12;19971212
9,12;9,12;19971215
9,12;9,18;19971216
9,18;9,12;19971217
9,12;9,12;19971218
9,12;9,06;19971219
9,06;8,88;19971222
8,88;9,06;19971223
9,06;9,36;19971229
9,36;9,36;19971230
9,36;9,72;19971231
9,72;9,48;19980105
9,48;9,36;19980106
9,36;9,06;19980107
9,06;9,18;19980108
9,18;9,12;19980109
9,12;8,64;19980112
8,64;8,7;19980113
8,7;8,7;19980114
8,7;8,52;19980115
8,52;8,58;19980116
8,58;8,7;19980119
8,7;8,4;19980120
8,4;8,4;19980121
8,4;8,28;19980122
8,28;8,28;19980123
8,28;8,16;19980126
8,16;8,04;19980127
8,04;8,1;19980128
8,1;8,34;19980129
8,34;8,1;19980130
8,1;8,82;19980202
8,82;8,64;19980203
8,64;8,4;19980204
8,4;8,52;19980205
8,52;8,4;19980206
8,4;10,38;19980209
10,38;10,2;19980210
10,2;10,26;19980211
10,26;9,6;19980212
9,6;9,48;19980213
9,48;9,24;19980216
9,24;9,24;19980217
9,24;9,66;19980218
9,66;9,72;19980219
9,72;9,6;19980220
9,6;9,96;19980223
9,96;9,96;19980224
9,96;10,26;19980225
10,26;10,44;19980226
