From;To;Date
9;3,98;20080214
3,98;5,25;20080215
5,25;6,95;20080218
6,95;6,35;20080219
6,35;5,99;20080220
5,99;5,53;20080221
5,53;5,28;20080222
5,28;5,01;20080225
5,01;4,4;20080226
4,4;4,76;20080227
4,76;4,65;20080228
4,65;4,74;20080229
4,74;4,58;20080303
4,58;5;20080304
5;4,82;20080305
4,82;4,76;20080306
4,76;4,75;20080307
4,75;4,5;20080310
4,5;4,37;20080311
4,37;4,25;20080312
4,25;4,66;20080313
4,66;4,71;20080314
4,71;3,98;20080317
3,98;4,15;20080318
4,15;4,05;20080319
4,05;3,93;20080320
3,93;4,04;20080325
4,04;3,85;20080326
3,85;3,85;20080327
3,85;3,85;20080328
3,85;3,88;20080331
3,88;3,77;20080401
3,77;3,8;20080402
3,8;3,67;20080403
3,67;3,55;20080404
3,55;3,83;20080407
3,83;3,7;20080408
3,7;3,42;20080409
3,42;3,79;20080410
3,79;3,8;20080411
3,8;3,61;20080414
3,61;3,61;20080415
3,61;3,69;20080416
3,69;3,55;20080417
3,55;3,67;20080418
3,67;3,69;20080421
3,69;3,5;20080422
3,5;3,45;20080423
3,45;3,4;20080424
3,4;3,6;20080425
3,6;3,49;20080428
3,49;3,49;20080429
3,49;3,45;20080430
3,45;3,5;20080505
3,5;3,82;20080506
3,82;4,2;20080507
4,2;4,05;20080508
4,05;4,14;20080509
4,14;4,08;20080512
4,08;4;20080513
4;3,85;20080514
3,85;3,89;20080515
3,89;4;20080516
4;3,85;20080519
3,85;3,95;20080520
3,95;3,9;20080521
3,9;3,93;20080523
3,93;3,99;20080526
3,99;3,9;20080527
3,9;3,95;20080528
3,95;3,71;20080529
3,71;3,87;20080530
3,87;3,95;20080602
3,95;3,8;20080603
3,8;3,9;20080604
3,9;3,93;20080605
3,93;3,96;20080606
3,96;3,89;20080609
3,89;3,83;20080610
3,83;3,9;20080611
3,9;3,89;20080612
3,89;3,9;20080613
3,9;3,91;20080616
3,91;3,9;20080617
3,9;3,87;20080618
3,87;3,8;20080619
3,8;3,79;20080620
3,79;3,65;20080623
3,65;3,55;20080624
3,55;3,4;20080625
3,4;3,31;20080626
3,31;3,53;20080627
3,53;3,5;20080630
3,5;3,5;20080701
3,5;3,2;20080702
3,2;3,05;20080703
3,05;3,01;20080704
3,01;2,95;20080707
2,95;3;20080708
3;3,35;20080709
3,35;3,35;20080710
3,35;3,3;20080711
3,3;3,15;20080714
3,15;3,15;20080715
3,15;2,92;20080716
2,92;3,15;20080717
3,15;3,2;20080718
3,2;3,28;20080721
3,28;3,01;20080722
3,01;3,27;20080723
3,27;3,25;20080724
3,25;3,24;20080725
3,24;3,01;20080728
3,01;3,1;20080729
3,1;3,15;20080730
3,15;3,24;20080731
3,24;3,3;20080801
3,3;3,25;20080804
3,25;3,15;20080805
3,15;3,3;20080806
3,3;3,48;20080807
3,48;3,49;20080808
3,49;3,55;20080811
3,55;3,75;20080812
3,75;3,65;20080813
3,65;3,65;20080814
3,65;3,3;20080819
3,3;3,39;20080821
3,39;3,28;20080825
