From;To;Date
39,77;41,71;20110510
41,71;41,01;20110511
41,01;41;20110512
41;40,53;20110513
40,53;40,79;20110516
40,79;40,41;20110517
40,41;40,5;20110518
40,5;40,55;20110519
40,55;40,5;20110520
40,5;40,3;20110523
40,3;40,5;20110524
40,5;41;20110525
41;40,7;20110526
40,7;40,75;20110527
40,75;40,11;20110530
40,11;41,46;20110531
41,46;41,35;20110601
41,35;41,19;20110602
41,19;40,55;20110603
40,55;41;20110606
41;41;20110607
41;41;20110608
41;40,5;20110609
40,5;40,5;20110610
40,5;40,55;20110613
40,55;40,31;20110614
40,31;40,48;20110615
40,48;40;20110616
40;40;20110617
40;39,7;20110620
39,7;39,7;20110621
39,7;40;20110622
40;40;20110624
40;40;20110627
40;40;20110628
40;40,2;20110629
40,2;40,5;20110630
40,5;42,81;20110701
42,81;43,5;20110704
43,5;43,3;20110705
43,3;43,3;20110706
43,3;43,5;20110707
43,5;42,05;20110708
42,05;42,1;20110711
42,1;41,98;20110712
41,98;42;20110713
42;41,98;20110714
41,98;41,8;20110715
41,8;40,9;20110718
40,9;40,5;20110719
40,5;40,14;20110720
40,14;40;20110721
40;40,85;20110722
40,85;40,95;20110725
40,95;41;20110726
41;40,5;20110727
40,5;40,1;20110728
40,1;40,7;20110729
40,7;39,5;20110801
39,5;39,4;20110802
39,4;38,6;20110803
38,6;37,2;20110804
37,2;36,8;20110805
36,8;34,9;20110808
34,9;33,5;20110809
33,5;32;20110810
32;34;20110811
34;35,73;20110812
35,73;35,4;20110816
35,4;35;20110817
35;33,2;20110818
33,2;34,57;20110819
34,57;35,5;20110822
35,5;35;20110823
35;35;20110824
35;35,5;20110825
35,5;36;20110826
36;36,8;20110829
36,8;36,6;20110830
36,6;37,7;20110831
37,7;37,49;20110901
37,49;37,37;20110902
37,37;37;20110905
37;37,3;20110906
37,3;37,6;20110907
37,6;40;20110908
40;39,6;20110909
39,6;38,1;20110912
38,1;38;20110913
38;38;20110914
38;38,46;20110915
38,46;39,45;20110916
39,45;39,1;20110919
39,1;39,7;20110920
39,7;40,4;20110921
40,4;39,3;20110922
39,3;38,8;20110923
38,8;40,32;20110926
40,32;41,5;20110927
41,5;43,1;20110928
43,1;43,87;20110929
43,87;43;20110930
43;42,19;20111003
42,19;40,4;20111004
40,4;42,19;20111005
42,19;42,5;20111006
42,5;42;20111007
42;42;20111010
42;42,3;20111011
42,3;42,7;20111012
42,7;42,4;20111013
42,4;42,1;20111014
42,1;42;20111017
42;42;20111018
42;41,71;20111019
41,71;42;20111020
42;41,2;20111021
41,2;41,75;20111024
41,75;42,12;20111025
42,12;42,09;20111026
42,09;42,7;20111027
42,7;41,82;20111028
41,82;42,4;20111031
42,4;42;20111102
42;42,5;20111103
42,5;42,4;20111104
42,4;42,25;20111107
42,25;42,8;20111108
42,8;42;20111109
42;41,79;20111110
41,79;41,5;20111114
41,5;41,5;20111115
41,5;42,5;20111116
42,5;42,5;20111117
42,5;42;20111118
42;40,51;20111121
40,51;41;20111122
41;40,51;20111123
40,51;40,97;20111124
40,97;41,95;20111125
41,95;41,7;20111128
41,7;41,69;20111129
41,69;44;20111130
44;42,7;20111201
42,7;42,95;20111202
42,95;42,9;20111205
42,9;42,6;20111206
42,6;42,31;20111207
42,31;43;20111208
43;42,8;20111209
42,8;42,99;20111212
42,99;42,8;20111213
42,8;43;20111214
43;42,2;20111215
42,2;42,3;20111216
42,3;42,46;20111219
42,46;42,53;20111220
42,53;43,5;20111221
43,5;43;20111222
43;43;20111223
43;43;20111227
43;43,85;20111228
43,85;43,52;20111229
43,52;43,72;20111230
43,72;43,28;20120102
43,28;43,5;20120103
43,5;43,3;20120104
43,3;43,1;20120105
43,1;43,5;20120109
43,5;42,8;20120110
42,8;42,15;20120111
42,15;42,5;20120112
42,5;42,91;20120113
42,91;42,62;20120116
42,62;42,67;20120117
42,67;43;20120118
43;42,8;20120119
42,8;43,1;20120120
43,1;42,84;20120123
42,84;43;20120124
43;42,81;20120125
42,81;42,65;20120126
42,65;43,05;20120127
43,05;43;20120130
43;42,38;20120131
42,38;42,7;20120201
42,7;42,6;20120202
42,6;42,85;20120203
42,85;43,5;20120206
43,5;46,5;20120207
46,5;46,5;20120208
46,5;45,3;20120209
45,3;44,98;20120210
44,98;45;20120213
45;45;20120214
45;45,97;20120215
45,97;46,8;20120216
46,8;46,6;20120217
46,6;46,89;20120220
46,89;47;20120221
47;45,48;20120222
45,48;46,3;20120223
46,3;46,5;20120224
46,5;47,63;20120227
47,63;47,6;20120228
47,6;47,1;20120229
47,1;46,88;20120301
46,88;46,55;20120302
46,55;47;20120305
47;45,1;20120306
45,1;45,8;20120307
45,8;47,44;20120308
47,44;47,29;20120309
47,29;47,34;20120312
47,34;45,8;20120313
45,8;47,02;20120314
47,02;47,9;20120315
47,9;47,88;20120316
47,88;46,2;20120319
46,2;47,29;20120320
47,29;48;20120321
48;48,95;20120322
48,95;50,4;20120323
50,4;50,5;20120326
50,5;50,15;20120327
50,15;50,9;20120328
50,9;49,71;20120329
49,71;50,2;20120330
50,2;49,01;20120402
49,01;49,55;20120403
49,55;48,6;20120404
48,6;49,66;20120405
49,66;48,77;20120410
48,77;49,5;20120411
49,5;51,6;20120412
51,6;51;20120413
51;51,1;20120416
51,1;51,1;20120417
51,1;51;20120418
