From;To;Date
2,89;2,89;19960110
2,89;2,87;19960111
2,87;2,75;19960112
2,75;2,83;19960115
2,83;2,75;19960116
2,75;2,81;19960117
2,81;2,75;19960118
2,75;2,66;19960119
2,66;2,54;19960122
2,54;2,59;19960123
2,59;2,77;19960124
2,77;2,69;19960125
2,69;2,72;19960126
2,72;2,75;19960129
2,75;2,76;19960130
2,76;2,86;19960131
2,86;2,82;19960201
2,82;2,81;19960202
2,81;2,75;19960205
2,75;2,76;19960206
2,76;2,75;19960207
2,75;2,78;19960208
2,78;2,81;19960209
2,81;3,07;19960212
3,07;2,9;19960213
2,9;2,9;19960214
2,9;2,9;19960215
2,9;2,98;19960216
2,98;2,98;19960219
2,98;2,93;19960220
2,93;2,95;19960221
2,95;3,06;19960222
3,06;3;19960223
3;3,04;19960226
3,04;3,06;19960227
3,06;2,98;19960228
2,98;3,06;19960229
3,06;3,06;19960301
3,06;3,12;19960304
3,12;3,28;19960305
3,28;3,29;19960306
3,29;3,36;19960307
3,36;3,36;19960308
3,36;3,36;19960311
3,36;3,19;19960312
3,19;3,29;19960313
3,29;3,29;19960314
3,29;3,36;19960315
3,36;3,53;19960318
3,53;3,53;19960319
3,53;3,53;19960320
3,53;3,6;19960321
3,6;3,5;19960322
3,5;3,42;19960325
3,42;3,29;19960326
3,29;3,31;19960327
3,31;3,15;19960328
3,15;3,13;19960329
3,13;3,15;19960401
3,15;3,18;19960402
3,18;3,17;19960403
3,17;3,17;19960404
3,17;3,22;19960405
3,22;3,15;19960409
3,15;3,17;19960410
3,17;3,18;19960411
3,18;3,15;19960412
3,15;3,17;19960415
3,17;3,19;19960416
3,19;3,22;19960417
3,22;3,24;19960418
3,24;3,23;19960419
3,23;3,3;19960422
3,3;3,44;19960423
3,44;3,46;19960424
3,46;3,44;19960425
3,44;3,34;19960426
3,34;3,37;19960429
3,37;3,42;19960430
3,42;3,47;19960506
3,47;3,74;19960507
3,74;3,74;19960508
3,74;3,86;19960509
3,86;3,98;19960510
3,98;4,34;19960513
4,34;4,22;19960514
4,22;4,06;19960515
4,06;4,01;19960516
4,01;4,01;19960517
4,01;4,13;19960520
4,13;4,13;19960521
4,13;4,01;19960522
4,01;3,86;19960523
3,86;3,62;19960524
3,62;3,62;19960527
3,62;3,62;19960528
3,62;3,65;19960529
3,65;3,65;19960530
3,65;3,7;19960531
3,7;3,7;19960603
3,7;3,47;19960604
3,47;3,39;19960605
3,39;3,41;19960607
3,41;3,58;19960610
3,58;3,66;19960611
3,66;3,7;19960612
3,7;3,68;19960613
3,68;3,53;19960614
3,53;3,53;19960617
3,53;3,59;19960618
3,59;3,89;19960619
3,89;3,88;19960620
3,88;3,94;19960621
3,94;4,18;19960624
4,18;4,3;19960625
4,3;4,25;19960626
4,25;4,3;19960627
4,3;4,25;19960628
4,25;4,3;19960701
4,3;4,3;19960702
4,3;4,42;19960703
4,42;4,74;19960704
4,74;4,74;19960705
4,74;4,66;19960708
4,66;4,74;19960709
4,74;4,66;19960710
4,66;4,79;19960711
4,79;4,99;19960712
4,99;5,11;19960715
5,11;4,99;19960716
4,99;4,99;19960717
4,99;4,94;19960718
4,94;5,06;19960719
5,06;4,82;19960722
4,82;4,79;19960723
4,79;4,82;19960724
4,82;4,87;19960725
4,87;4,89;19960726
4,89;5,06;19960729
5,06;4,99;19960730
4,99;4,99;19960731
4,99;4,94;19960801
4,94;5,01;19960802
5,01;5,06;19960805
5,06;5,26;19960806
5,26;5,79;19960807
5,79;5,67;19960808
5,67;5,67;19960809
5,67;5,98;19960812
5,98;5,95;19960813
5,95;5,95;19960814
5,95;5,71;19960816
5,71;5,86;19960819
5,86;5,62;19960820
5,62;5,38;19960821
5,38;5,54;19960822
5,54;5,62;19960823
5,62;5,62;19960826
5,62;5,38;19960827
5,38;5,54;19960828
5,54;5,54;19960829
5,54;5,86;19960830
5,86;6,17;19960902
6,17;6,39;19960903
6,39;6,44;19960904
6,44;6,12;19960905
6,12;6,03;19960906
6,03;6,03;19960909
6,03;6,1;19960910
6,1;5,06;19960911
5,06;5,23;19960912
5,23;5,33;19960913
5,33;5,06;19960916
5,06;5,09;19960917
5,09;5,28;19960918
5,28;5,18;19960919
5,18;5,06;19960920
5,06;5,06;19960923
5,06;4,82;19960924
4,82;4,56;19960925
4,56;4,44;19960926
4,44;4,65;19960927
4,65;4,63;19960930
4,63;4,63;19961001
4,63;4,58;19961002
4,58;4,58;19961003
4,58;4,63;19961004
4,63;4,75;19961007
4,75;4,94;19961008
4,94;5,18;19961009
5,18;5,33;19961010
5,33;5,09;19961011
5,09;5,28;19961014
5,28;5,28;19961015
5,28;5,23;19961016
5,23;5,18;19961017
5,18;4,68;19961018
4,68;4,97;19961021
4,97;4,92;19961022
4,92;4,87;19961023
4,87;4,7;19961024
4,7;4,72;19961025
4,72;4,58;19961028
4,58;4,65;19961029
4,65;4,75;19961030
4,75;4,82;19961031
4,82;4,87;19961104
4,87;4,77;19961105
4,77;4,82;19961106
4,82;4,82;19961107
4,82;4,7;19961108
4,7;4,8;19961112
4,8;4,75;19961113
4,75;4,75;19961114
4,75;4,82;19961115
4,82;4,92;19961118
4,92;4,89;19961119
4,89;4,82;19961120
4,82;4,7;19961121
4,7;4,82;19961122
4,82;4,72;19961125
4,72;4,68;19961126
4,68;4,68;19961127
4,68;4,72;19961128
4,72;4,68;19961129
4,68;4,72;19961202
4,72;4,75;19961203
4,75;4,68;19961204
4,68;4,72;19961205
4,72;4,68;19961206
4,68;4,58;19961209
4,58;4,51;19961210
4,51;4,58;19961211
4,58;4,8;19961212
4,8;4,8;19961213
4,8;4,87;19961216
4,87;4,82;19961217
4,82;4,82;19961218
4,82;4,72;19961219
4,72;4,77;19961220
4,77;4,87;19961223
4,87;4,87;19961224
4,87;4,87;19961230
4,87;5,04;19961231
5,04;5,01;19970102
5,01;5,13;19970103
5,13;4,94;19970106
4,94;4,94;19970107
4,94;5,11;19970108
5,11;5,13;19970109
5,13;5,26;19970110
5,26;5,23;19970113
5,23;5,3;19970114
5,3;5,3;19970115
5,3;5,35;19970116
5,35;5,88;19970117
5,88;5,88;19970120
5,88;5,88;19970121
5,88;5,81;19970122
5,81;5,98;19970123
5,98;6,03;19970124
6,03;6,05;19970127
6,05;6,15;19970128
6,15;5,91;19970129
5,91;5,86;19970130
5,86;5,79;19970131
5,79;5,83;19970203
5,83;5,79;19970204
5,79;5,79;19970205
5,79;5,98;19970206
5,98;6,15;19970207
6,15;6,51;19970210
6,51;6,51;19970211
6,51;6,51;19970212
6,51;6,44;19970213
6,44;6,58;19970214
6,58;6,44;19970217
6,44;6,51;19970218
6,51;6,53;19970219
6,53;6,51;19970220
6,51;6,53;19970221
6,53;5,91;19970224
5,91;6,03;19970225
6,03;6,51;19970226
6,51;6,32;19970227
6,32;6,17;19970228
6,17;6,12;19970303
6,12;6,12;19970304
6,12;6,27;19970305
6,27;6,56;19970306
6,56;7,01;19970307
7,01;7,23;19970310
7,23;7,62;19970311
7,62;7,96;19970312
7,96;7,71;19970313
7,71;6,94;19970314
6,94;6,8;19970317
6,8;6,82;19970318
6,82;6,63;19970319
6,63;6,46;19970320
6,46;6,46;19970321
6,46;6,41;19970324
6,41;6,41;19970325
6,41;6,7;19970326
6,7;6,97;19970327
6,97;6,29;19970401
6,29;6,05;19970402
6,05;5,91;19970403
5,91;5,98;19970404
5,98;6,2;19970407
6,2;6,15;19970408
6,15;6,03;19970409
6,03;6,27;19970410
6,27;6,27;19970411
6,27;6,03;19970414
6,03;6,1;19970415
6,1;6,27;19970416
6,27;6,27;19970417
6,27;6,27;19970418
6,27;6,56;19970421
6,56;6,75;19970422
6,75;7,11;19970423
7,11;7,23;19970424
7,23;6,99;19970425
6,99;6,99;19970428
6,99;6,92;19970429
6,92;7,23;19970430
7,23;7,71;19970505
7,71;7,83;19970506
7,83;7,55;19970507
7,55;7,47;19970508
7,47;7,59;19970509
7,59;7,3;19970512
7,3;7,42;19970513
7,42;7,35;19970514
7,35;7,59;19970515
7,59;7,71;19970516
7,71;7,83;19970519
7,83;7,71;19970520
7,71;7,67;19970521
7,67;7,4;19970522
7,4;6,68;19970523
6,68;6,53;19970526
6,53;6,56;19970527
6,56;6,56;19970528
6,56;6,51;19970530
6,51;6,75;19970602
6,75;6,75;19970603
6,75;6,63;19970604
6,63;6,51;19970605
6,51;6,63;19970606
6,63;6,51;19970609
6,51;6,51;19970610
6,51;6,51;19970611
6,51;6,65;19970612
6,65;6,63;19970613
6,63;6,75;19970616
6,75;6,65;19970617
6,65;6,56;19970618
6,56;6,36;19970619
6,36;6,27;19970620
6,27;6,07;19970623
6,07;5,95;19970624
5,95;6,15;19970625
6,15;6,07;19970626
6,07;6,15;19970627
6,15;6,15;19970630
6,15;6,03;19970701
6,03;6,15;19970702
6,15;6,34;19970703
6,34;6,51;19970704
6,51;6,7;19970707
6,7;6,7;19970708
6,7;7,18;19970709
7,18;7,23;19970710
7,23;6,99;19970711
6,99;6,82;19970714
6,82;6,51;19970715
6,51;6,61;19970716
6,61;6,75;19970717
6,75;6,75;19970718
6,75;6,63;19970721
6,63;6,63;19970722
6,63;6,65;19970723
6,65;6,53;19970724
6,53;6,44;19970725
6,44;6,39;19970728
6,39;6,46;19970729
6,46;6,65;19970730
6,65;6,75;19970731
6,75;6,61;19970801
6,61;6,77;19970804
6,77;6,82;19970805
6,82;6,94;19970806
6,94;6,99;19970807
6,99;7,38;19970808
7,38;7,42;19970811
7,42;7,14;19970812
7,14;7,28;19970813
7,28;6,99;19970814
6,99;6,75;19970818
6,75;6,63;19970819
6,63;6,82;19970820
6,82;6,82;19970821
6,82;6,77;19970822
6,77;6,87;19970825
6,87;6,99;19970826
6,99;7,11;19970827
7,11;7,23;19970828
7,23;7,23;19970829
7,23;7,04;19970901
7,04;7,09;19970902
7,09;7,26;19970903
7,26;7,35;19970904
7,35;7,35;19970905
7,35;7,47;19970908
7,47;7,47;19970909
7,47;7,59;19970910
7,59;7,47;19970911
7,47;7,47;19970912
7,47;7,59;19970915
7,59;7,71;19970916
7,71;7,76;19970917
7,76;7,59;19970918
7,59;7,47;19970919
7,47;7,59;19970922
7,59;7,71;19970923
7,71;7,47;19970924
7,47;7,35;19970925
7,35;7,11;19970926
7,11;7,09;19970929
7,09;7,01;19970930
7,01;6,92;19971001
6,92;6,92;19971002
6,92;6,92;19971003
6,92;6,92;19971006
6,92;6,85;19971007
6,85;6,87;19971008
6,87;6,99;19971009
6,99;6,87;19971010
6,87;6,75;19971013
6,75;6,7;19971014
6,7;6,75;19971015
6,75;6,89;19971016
6,89;6,82;19971017
6,82;6,82;19971020
6,82;6,15;19971021
6,15;6,46;19971022
6,46;6,32;19971023
6,32;6,27;19971024
6,27;6,22;19971027
6,22;5,62;19971028
5,62;5,86;19971029
5,86;5,79;19971030
5,79;5,76;19971031
5,76;5,86;19971103
5,86;5,91;19971104
5,91;5,93;19971105
5,93;5,91;19971106
5,91;5,86;19971107
5,86;5,86;19971112
5,86;5,74;19971113
5,74;5,71;19971114
5,71;5,83;19971117
5,83;5,74;19971118
5,74;5,54;19971119
5,54;5,5;19971120
5,5;5,54;19971121
5,54;5,54;19971124
5,54;5,42;19971125
5,42;5,38;19971126
5,38;5,28;19971127
5,28;5,21;19971128
5,21;5,3;19971201
5,3;5,59;19971202
5,59;5,67;19971203
5,67;5,54;19971204
5,54;5,81;19971205
5,81;5,52;19971208
5,52;5,54;19971209
5,54;5,35;19971210
5,35;5,11;19971211
5,11;4,94;19971212
4,94;5,01;19971215
5,01;4,85;19971216
4,85;4,82;19971217
4,82;4,7;19971218
4,7;4,36;19971219
4,36;3,93;19971222
3,93;3,88;19971223
3,88;4;19971229
4;4,17;19971230
