From;To;Date
22,7;22,7;19980408
22,7;21,1;19980409
21,1;20,5;19980414
20,5;20,4;19980415
20,4;20,3;19980416
20,3;19,2;19980417
19,2;19,3;19980420
19,3;19,7;19980421
19,7;20,2;19980422
20,2;19,9;19980423
19,9;19,9;19980424
19,9;19,8;19980427
19,8;19,3;19980428
19,3;19,1;19980429
19,1;19,3;19980430
19,3;19;19980504
19;18,9;19980505
18,9;18;19980506
18;18;19980507
18;17;19980508
17;17;19980511
17;16,6;19980512
16,6;15,6;19980513
15,6;15,4;19980514
15,4;15,2;19980515
15,2;15,2;19980518
15,2;14,5;19980519
14,5;14,4;19980520
14,4;15;19980521
15;15;19980522
15;13,5;19980525
13,5;13,6;19980526
13,6;13,2;19980527
13,2;12,9;19980528
12,9;12,8;19980529
12,8;12,1;19980601
12,1;11,6;19980602
11,6;11,6;19980603
11,6;11,6;19980604
11,6;11,5;19980605
11,5;11,3;19980608
11,3;11;19980609
11;10,7;19980610
10,7;10,3;19980615
10,3;10,2;19980616
10,2;10,6;19980617
10,6;11,2;19980618
11,2;11;19980619
11;11,6;19980622
11,6;11,3;19980623
11,3;11,1;19980624
11,1;11,4;19980625
11,4;11,6;19980626
11,6;11,6;19980629
11,6;11,6;19980630
11,6;12,1;19980701
12,1;12,4;19980702
12,4;12;19980703
12;12,1;19980706
12,1;12;19980707
12;11,5;19980708
11,5;11;19980709
11;10,8;19980710
10,8;10,9;19980713
10,9;11;19980714
11;10,5;19980715
10,5;10,6;19980716
10,6;11;19980717
11;11,3;19980720
11,3;11;19980721
11;9,9;19980722
9,9;9,6;19980723
9,6;9,6;19980724
9,6;9,65;19980727
9,65;9,5;19980728
9,5;9,3;19980729
9,3;9,2;19980730
9,2;9,5;19980731
9,5;8,55;19980803
8,55;8,3;19980804
8,3;7,8;19980805
7,8;8;19980806
8;7,5;19980807
7,5;7,75;19980810
7,75;7,85;19980811
7,85;7,5;19980812
7,5;7,7;19980813
7,7;7,75;19980814
7,75;8,15;19980817
8,15;8,5;19980818
8,5;8,1;19980819
8,1;8;19980820
8;7,75;19980821
7,75;7,75;19980824
7,75;8,2;19980825
8,2;8,5;19980826
8,5;7,95;19980827
7,95;7,2;19980828
7,2;6,9;19980831
6,9;6,8;19980901
6,8;7,3;19980902
7,3;7,1;19980903
7,1;6,95;19980904
6,95;7,1;19980907
7,1;7,35;19980908
7,35;7,45;19980909
7,45;7,35;19980910
7,35;6,8;19980911
6,8;7,1;19980914
7,1;7,2;19980915
7,2;6,85;19980916
6,85;7;19980917
7;6,8;19980918
6,8;6,5;19980921
6,5;6,5;19980922
6,5;6,7;19980923
6,7;6,85;19980924
6,85;6,5;19980925
6,5;6,55;19980928
6,55;6,5;19980929
6,5;6,5;19980930
6,5;6,05;19981001
6,05;5,95;19981002
5,95;5,5;19981005
5,5;5,3;19981006
5,3;5,5;19981007
5,5;5,25;19981008
5,25;5,2;19981009
5,2;5;19981012
5;5,5;19981013
5,5;6,05;19981014
6,05;6;19981015
