From;To;Date
39,804;39,804;19980630
39,804;42,336;19980701
42,336;44,151;19980702
44,151;42,336;19980703
42,336;42,336;19980706
42,336;41,62;19980707
41,62;39,804;19980708
39,804;39,804;19980709
39,804;40,528;19980710
40,528;42,702;19980713
42,702;43,427;19980714
43,427;44,151;19980715
44,151;43,785;19980716
43,785;44,876;19980717
44,876;47,042;19980720
47,042;45,959;19980721
45,959;45,601;19980722
45,601;46,683;19980723
46,683;46,683;19980724
46,683;45,959;19980727
45,959;44,876;19980728
44,876;45,959;19980729
45,959;46,317;19980730
46,317;45,601;19980731
45,601;44,876;19980803
44,876;44,876;19980804
44,876;43,785;19980805
43,785;43,785;19980806
43,785;44,876;19980807
44,876;44,509;19980810
44,509;41,978;19980811
41,978;44,151;19980812
44,151;42,336;19980813
42,336;43,427;19980814
43,427;43,427;19980817
43,427;44,151;19980818
44,151;44,509;19980819
44,509;43,061;19980820
43,061;43,061;19980821
43,061;43,785;19980824
43,785;42,702;19980825
42,702;42,702;19980826
42,702;41,978;19980827
41,978;39,08;19980828
39,08;36,913;19980831
36,913;33,29;19980901
33,29;37,272;19980902
37,272;35,464;19980903
35,464;37,272;19980904
37,272;38,363;19980907
38,363;38,721;19980908
38,721;37,996;19980909
37,996;36,913;19980910
36,913;35,823;19980911
35,823;36,189;19980914
36,189;35,823;19980915
35,823;35,823;19980916
35,823;34,522;19980917
34,522;35,317;19980918
35,317;33,945;19980921
33,945;34,382;19980922
34,382;35,464;19980923
35,464;36,189;19980924
36,189;35,464;19980925
35,464;35,106;19980928
35,106;35,464;19980929
35,464;33,368;19980930
33,368;29,675;19981001
29,675;27,791;19981002
27,791;26,341;19981005
26,341;25,765;19981006
25,765;24,9;19981007
24,9;22,438;19981008
22,438;22,944;19981009
22,944;25,328;19981012
25,328;25,328;19981013
25,328;25,328;19981014
25,328;24,612;19981015
24,612;27,868;19981016
27,868;27,65;19981019
27,65;28,881;19981020
28,881;27,791;19981021
27,791;27,65;19981022
27,65;28,227;19981023
28,227;28,663;19981026
28,663;26,995;19981027
26,995;25,912;19981028
25,912;26,419;19981029
26,419;27,938;19981030
27,938;32,496;19981102
32,496;30,034;19981103
30,034;31,842;19981104
31,842;30,689;19981105
30,689;30,907;19981106
30,907;30,4;19981109
30,4;28,227;19981110
28,227;27,432;19981112
27,432;29,239;19981113
29,239;31,554;19981116
31,554;29,309;19981117
29,309;28,375;19981118
28,375;27,868;19981119
27,868;28,297;19981120
28,297;28,663;19981123
28,663;28,009;19981124
28,009;28,157;19981125
28,157;28,227;19981126
28,227;27,868;19981127
27,868;27,72;19981130
27,72;26,777;19981201
26,777;27,868;19981202
27,868;27,214;19981203
27,214;27,502;19981204
27,502;27,362;19981207
27,362;28,079;19981208
28,079;27,502;19981209
27,502;27,284;19981210
27,284;27,144;19981211
27,144;26,419;19981214
26,419;26,707;19981215
26,707;26,856;19981216
26,856;26,637;19981217
26,637;27,144;19981218
27,144;26,856;19981221
26,856;27,791;19981222
27,791;29,528;19981223
29,528;31,413;19981228
31,413;30,907;19981229
30,907;31,842;19981230
31,842;31,92;19981231
31,92;33,656;19990104
33,656;33,945;19990105
33,945;37,272;19990106
37,272;37,996;19990107
37,996;40,894;19990108
40,894;37,996;19990111
37,996;36,547;19990112
36,547;33,072;19990113
33,072;31,842;19990114
31,842;32,932;19990115
32,932;35,971;19990118
35,971;35,317;19990119
35,317;34,382;19990120
34,382;33,438;19990121
33,438;32,278;19990122
32,278;32,932;19990125
32,932;34,015;19990126
34,015;34,303;19990127
34,303;34,015;19990128
34,015;35,106;19990129
35,106;35,464;19990201
35,464;35,106;19990202
35,106;35,176;19990203
35,176;35,823;19990204
35,823;34,382;19990205
34,382;34,382;19990208
34,382;33,945;19990209
33,945;33,002;19990210
33,002;34,015;19990211
34,015;35,106;19990212
35,106;34,81;19990215
34,81;34,74;19990216
34,74;33,797;19990217
33,797;33,656;19990218
33,656;33,29;19990219
33,29;32,932;19990222
32,932;32,566;19990223
32,566;31,842;19990224
31,842;30,252;19990225
30,252;32,426;19990226
32,426;31,554;19990301
31,554;31,842;19990302
31,842;31,125;19990303
31,125;30,977;19990304
30,977;30,759;19990305
30,759;31,483;19990308
31,483;31,554;19990309
31,554;31,554;19990310
31,554;31,483;19990311
31,483;32,138;19990312
32,138;30,977;19990315
30,977;30,759;19990316
30,759;30,759;19990317
30,759;30,619;19990318
30,619;30,689;19990319
30,689;31,99;19990322
31,99;31,047;19990323
31,047;30,182;19990324
30,182;30,471;19990325
30,471;30,252;19990326
30,252;30,034;19990329
30,034;30,112;19990330
30,112;30,907;19990331
30,907;31,701;19990401
31,701;32,932;19990406
32,932;32,862;19990407
32,862;32,278;19990408
32,278;33,002;19990409
33,002;32,714;19990412
32,714;32,714;19990413
32,714;32,426;19990414
32,426;32,06;19990415
32,06;32,496;19990416
32,496;34,015;19990419
34,015;33,29;19990420
33,29;35,464;19990421
35,464;35,901;19990422
35,901;35,823;19990423
35,823;35,028;19990426
35,028;34,234;19990427
34,234;33,29;19990428
33,29;34,303;19990429
34,303;34,303;19990430
34,303;35,106;19990504
35,106;34,234;19990505
34,234;34,164;19990506
34,164;34,382;19990507
34,382;34,234;19990510
34,234;34,234;19990511
34,234;34,085;19990512
34,085;34,234;19990513
34,234;34,015;19990514
34,015;33,29;19990517
33,29;33,727;19990518
33,727;34,382;19990519
34,382;35,028;19990520
