From;To;Date
23,5;59,5;20091013
59,5;81;20091014
81;100;20091015
100;92,5;20091016
92,5;79,5;20091019
79,5;67,5;20091020
67,5;58;20091021
58;70;20091022
70;62,5;20091023
62,5;60,5;20091026
60,5;60,5;20091027
60,5;55;20091028
55;61,5;20091029
61,5;56,5;20091030
56,5;58,5;20091102
58,5;52;20091103
52;47;20091104
47;51,5;20091105
51,5;48;20091106
48;47,5;20091109
47,5;52,5;20091110
52,5;61,5;20091112
61,5;56;20091113
56;56;20091116
56;49;20091117
49;54;20091118
54;52;20091119
52;50;20091123
50;45;20091124
45;46,5;20091125
46,5;42,5;20091126
42,5;45;20091127
45;43;20091130
43;42,5;20091201
42,5;38;20091202
38;42,5;20091203
42,5;38,5;20091204
38,5;39;20091207
39;39;20091208
39;35,5;20091209
35,5;34,5;20091210
34,5;37;20091211
37;39;20091214
39;37,5;20091215
37,5;37,5;20091217
37,5;37;20091218
37;32;20091221
32;36;20091222
36;32,5;20091228
32,5;39;20091229
39;40;20091230
40;43;20100105
43;36;20100106
36;43;20100107
43;43;20100108
43;45;20100111
45;42,5;20100113
42,5;42,5;20100114
42,5;40,5;20100115
40,5;39,5;20100118
39,5;41,5;20100119
41,5;43,5;20100121
43,5;54,5;20100122
54,5;48,5;20100125
48,5;50;20100126
50;47,5;20100127
47,5;48;20100128
48;43;20100129
43;45;20100201
45;43,5;20100202
43,5;40,5;20100203
40,5;40,5;20100204
40,5;39,5;20100205
39,5;40;20100208
40;39;20100209
39;41,5;20100210
41,5;40;20100211
40;41;20100212
41;39,5;20100215
39,5;41;20100216
41;48;20100217
48;46;20100219
46;44;20100222
44;45;20100223
45;44,5;20100224
44,5;46,5;20100225
46,5;46,5;20100226
46,5;49,5;20100301
49,5;47;20100302
47;43;20100303
43;43,5;20100304
43,5;42;20100305
42;40,5;20100308
40,5;40,5;20100309
40,5;40;20100310
40;42;20100311
42;42;20100312
42;45;20100315
45;48;20100316
48;47,5;20100317
47,5;46;20100318
46;47,5;20100319
47,5;44,5;20100322
44,5;42,5;20100323
42,5;42;20100324
42;42;20100325
42;41,5;20100326
41,5;40;20100329
40;42;20100330
42;41,5;20100331
41,5;40;20100401
40;40,5;20100406
40,5;41;20100407
41;41;20100408
41;41,5;20100409
41,5;42;20100412
42;38,5;20100413
38,5;41,5;20100414
41,5;42;20100415
42;42;20100420
42;41;20100421
41;43,5;20100422
43,5;43,5;20100423
43,5;40,5;20100426
40,5;41;20100427
41;41;20100428
41;43;20100429
43;43;20100430
43;42,5;20100505
42,5;42;20100506
42;42;20100507
42;42;20100512
42;42;20100517
42;39,5;20100518
39,5;32;20100519
32;36,5;20100520
36,5;39,5;20100521
39,5;41;20100524
41;40;20100525
40;37;20100526
37;34,5;20100527
34,5;34;20100528
34;34;20100601
34;32,5;20100604
32,5;32,5;20100607
32,5;32,5;20100608
32,5;33;20100609
33;30,5;20100610
30,5;32,5;20100611
32,5;33;20100615
33;33;20100617
33;33;20100622
33;32,5;20100623
32,5;32,5;20100624
32,5;32,5;20100629
32,5;31,5;20100630
31,5;32;20100701
32;32;20100706
32;32;20100709
32;30,5;20100713
30,5;29;20100714
29;29;20100715
29;31;20100716
31;30;20100720
30;29;20100723
29;29;20100727
29;29;20100729
29;29,5;20100802
29,5;28,5;20100803
28,5;26;20100804
26;29;20100805
29;26;20100806
26;26;20100809
26;26;20100811
26;29;20100812
29;29;20100813
29;27,5;20100817
27,5;25,5;20100818
25,5;25,5;20100823
25,5;25,5;20100825
25,5;29;20100830
29;25,5;20100902
25,5;26;20100903
26;28,5;20100906
28,5;25,5;20100907
25,5;29;20100908
29;29;20100909
29;31,5;20100913
31,5;29;20100915
29;31,5;20100916
31,5;31,5;20100917
31,5;32;20100921
32;34,5;20100923
34,5;33,5;20100924
33,5;33,5;20100927
33,5;34,5;20100929
34,5;33,5;20100930
33,5;31,5;20101001
31,5;31,5;20101006
31,5;31,5;20101011
31,5;31;20101015
31;30,5;20101018
30,5;26,5;20101019
26,5;26,5;20101020
26,5;24,5;20101021
24,5;25;20101022
25;26;20101026
26;26;20101027
26;27;20101028
27;27;20101029
27;26,5;20101102
26,5;27;20101103
27;26;20101104
26;27,5;20101105
27,5;27,5;20101108
27,5;27,5;20101109
27,5;27;20101110
27;28;20101112
28;30;20101115
30;30;20101116
30;29;20101117
29;32;20101118
32;32,5;20101119
32,5;36,5;20101122
36,5;33,5;20101123
33,5;30;20101125
30;32,5;20101126
32,5;30,5;20101129
30,5;29,5;20101130
29,5;29;20101201
29;31,5;20101202
31,5;31,5;20101203
31,5;30;20101206
30;30;20101207
30;29;20101208
29;29;20101210
29;29;20101213
29;30;20101214
30;31;20101215
31;33,5;20101216
33,5;37;20101217
37;33;20101220
33;37,5;20101221
37,5;34;20101222
34;32;20101223
32;30;20101228
30;31,5;20101229
31,5;45;20110103
45;43,5;20110104
43,5;39,5;20110105
39,5;41;20110107
41;38;20110110
38;35;20110111
35;34;20110112
34;34;20110113
34;34;20110114
34;38,5;20110117
38,5;37;20110118
37;34;20110119
34;33;20110120
33;33,5;20110121
33,5;35,5;20110124
35,5;33;20110125
33;33,5;20110126
33,5;34;20110127
34;33,5;20110128
33,5;33,5;20110131
33,5;32,5;20110201
32,5;30;20110202
30;29;20110203
29;29;20110204
29;31;20110207
31;29,5;20110208
29,5;30,5;20110209
30,5;30;20110211
30;30;20110214
30;28,5;20110215
28,5;28,5;20110216
28,5;27,5;20110217
27,5;27,5;20110218
27,5;28,5;20110221
28,5;29;20110222
29;27;20110223
27;26,5;20110224
26,5;28;20110225
28;30;20110228
30;30,5;20110301
30,5;29,5;20110302
29,5;30;20110303
30;30,5;20110304
30,5;30,5;20110307
30,5;31,5;20110308
31,5;32;20110309
32;29,5;20110311
29,5;30;20110314
30;30;20110315
30;29,5;20110316
29,5;30;20110317
30;31;20110318
31;30,5;20110321
30,5;30;20110322
30;30;20110323
30;30;20110324
30;30;20110325
30;30;20110328
30;30,5;20110330
30,5;30;20110331
30;30,5;20110401
30,5;31;20110404
31;31;20110405
31;31;20110406
31;30;20110407
30;31;20110408
31;29,5;20110412
29,5;30;20110413
30;29;20110414
29;28;20110415
28;28;20110418
28;28,5;20110419
28,5;28;20110420
28;28;20110421
28;32,5;20110426
32,5;30,5;20110427
30,5;30;20110428
30;29,5;20110429
29,5;29;20110502
29;27;20110504
27;27;20110505
27;28,5;20110506
28,5;28;20110510
28;29,5;20110511
29,5;28;20110512
28;28;20110513
28;27;20110516
27;30;20110517
30;30,5;20110518
30,5;29,5;20110519
29,5;29;20110520
29;28;20110523
28;28;20110525
28;27,5;20110526
27,5;28;20110527
28;28;20110530
28;28;20110531
28;27,5;20110601
27,5;26;20110602
26;29;20110603
29;26;20110606
26;27,5;20110607
27,5;28;20110608
28;27;20110609
27;26,5;20110613
26,5;27,5;20110614
27,5;28,5;20110616
28,5;28,5;20110617
28,5;28,5;20110620
28,5;27;20110622
27;28,5;20110624
28,5;27;20110627
27;27,5;20110628
27,5;28,5;20110629
28,5;28;20110630
28;27;20110701
27;27;20110705
27;28;20110706
28;27;20110707
27;26,5;20110708
26,5;27,5;20110711
27,5;28;20110712
28;28,5;20110713
28,5;26;20110718
26;27,5;20110719
27,5;27,5;20110720
27,5;26,5;20110721
26,5;26,5;20110725
26,5;26;20110727
26;26;20110728
26;26,5;20110729
26,5;25,5;20110801
25,5;25,5;20110802
25,5;25,5;20110803
25,5;23;20110804
23;21,5;20110805
21,5;20;20110808
20;20;20110809
20;20;20110810
20;20,5;20110811
20,5;21;20110812
21;19,5;20110816
19,5;23,5;20110817
23,5;22,5;20110818
22,5;23,5;20110819
23,5;23,5;20110822
23,5;22;20110824
22;22;20110825
22;21;20110826
21;20,5;20110829
20,5;22;20110830
22;25;20110901
25;23,5;20110902
23,5;25;20110905
25;22,5;20110906
22,5;21,5;20110907
21,5;21,5;20110908
21,5;21;20110909
21;21;20110912
21;21;20110913
21;21;20110914
21;23,5;20110915
23,5;25;20110916
25;26,5;20110919
26,5;26,5;20110920
26,5;26,5;20110922
26,5;25,5;20110923
25,5;25;20110926
25;25;20110927
25;25;20110928
25;25;20110929
25;25;20110930
25;25;20111003
25;25;20111004
