From;To;Date
17,7;18,3;20100525
18,3;19,5;20100526
19,5;19,3;20100527
19,3;19,3;20100528
19,3;18,9;20100531
18,9;18,6;20100601
18,6;22,7;20100602
22,7;22;20100604
22;21,8;20100607
21,8;21,4;20100608
21,4;21;20100609
21;20,6;20100610
20,6;19,8;20100611
19,8;19,8;20100614
19,8;19,2;20100615
19,2;19,1;20100616
19,1;19;20100617
19;18,9;20100618
18,9;18,9;20100621
18,9;18,1;20100622
18,1;17,2;20100623
17,2;17,3;20100624
17,3;17,8;20100625
17,8;17,3;20100628
17,3;16,6;20100629
16,6;16,3;20100630
16,3;16,6;20100701
16,6;17;20100702
17;16,9;20100705
16,9;17,3;20100706
17,3;17;20100707
17;17;20100708
17;17,2;20100709
17,2;17,1;20100712
17,1;16,7;20100713
16,7;16,8;20100714
16,8;16,7;20100715
16,7;17;20100716
17;17,2;20100719
17,2;17;20100720
17;17,1;20100721
17,1;17,9;20100722
17,9;18,3;20100723
18,3;19,3;20100726
19,3;18,8;20100727
18,8;18,4;20100728
18,4;18,5;20100729
18,5;18,1;20100730
18,1;18,5;20100802
18,5;18,5;20100803
18,5;18,3;20100804
18,3;18,5;20100805
18,5;18,1;20100806
18,1;18;20100809
18;17,6;20100810
17,6;17,4;20100811
17,4;17,6;20100812
17,6;17,5;20100813
17,5;17,3;20100816
17,3;17,1;20100817
17,1;16,9;20100818
16,9;16,3;20100819
16,3;16,2;20100820
16,2;16,5;20100823
16,5;16,1;20100824
16,1;16;20100825
16;16;20100826
16;16,1;20100827
16,1;16;20100830
16;15,8;20100831
15,8;16;20100901
16;15,7;20100902
15,7;15,9;20100903
15,9;16,8;20100906
16,8;16,4;20100907
16,4;16,4;20100908
16,4;16,4;20100909
16,4;16,3;20100910
16,3;16,9;20100913
16,9;17,4;20100914
17,4;16,9;20100915
16,9;16,6;20100916
16,6;16,7;20100917
16,7;16,3;20100920
16,3;16,1;20100921
16,1;16,2;20100922
16,2;16,1;20100923
16,1;15,8;20100924
15,8;15,6;20100927
15,6;14,7;20100928
14,7;15;20100929
15;15,2;20100930
15,2;15,6;20101001
15,6;16,5;20101004
16,5;17,3;20101005
17,3;16,8;20101006
16,8;16,8;20101007
16,8;17,3;20101008
17,3;17,3;20101011
17,3;17,8;20101012
17,8;18;20101013
18;17,7;20101014
17,7;17,7;20101015
17,7;17,2;20101018
17,2;16,7;20101019
16,7;16,9;20101020
16,9;16,9;20101021
16,9;17,2;20101022
17,2;16,9;20101025
16,9;17;20101026
17;17,3;20101027
17,3;16,9;20101028
16,9;16,9;20101029
16,9;16,7;20101102
16,7;16,5;20101103
16,5;16,3;20101104
16,3;16,3;20101105
16,3;16,5;20101108
16,5;16,8;20101109
16,8;17,3;20101110
