From;To;Date
3,0327;1,9341;19981104
1,9341;2,4858;19981105
2,4858;2,4312;19981106
2,4312;1,9887;19981109
1,9887;2,0732;19981110
2,0732;2,0434;19981112
2,0434;1,9887;19981116
1,9887;1,9887;19981117
1,9887;1,9341;19981119
1,9341;1,6556;19981120
1,6556;1,6556;19981123
1,6556;1,6556;19981124
1,6556;1,6009;19981126
1,6009;1,6556;19981127
1,6556;1,576;19981130
1,576;1,576;19981203
1,576;1,4915;19981208
1,4915;2,0434;19981209
2,0434;1,2728;19981210
1,2728;1,2728;19981211
1,2728;1,3821;19981217
1,3821;1,3821;19981218
1,3821;1,4368;19981222
1,4368;1,4119;19981223
1,4119;1,4368;19981229
1,4368;1,4915;19981231
1,4915;1,3275;19990105
1,3275;1,3821;19990107
1,3821;1,6506;19990108
1,6506;1,4965;19990111
1,4965;1,7948;19990112
1,7948;1,8247;19990115
1,8247;1,8595;19990118
1,8595;1,929;19990119
1,929;2,0982;19990120
2,0982;2,2075;19990121
2,2075;2,0982;19990125
2,0982;2,1528;19990126
2,1528;1,8843;19990129
1,8843;2,1528;19990202
2,1528;2,1278;19990204
2,1278;2,0982;19990208
2,0982;2,0982;19990210
2,0982;2,0982;19990211
2,0982;2,1278;19990212
2,1278;2,0982;19990216
2,0982;2,0982;19990217
2,0982;1,9091;19990218
1,9091;2,108;19990222
2,108;2,118;19990226
2,118;2,1278;19990301
2,1278;2,1278;19990302
2,1278;2,1278;19990303
2,1278;2,103;19990304
2,103;2,1278;19990310
2,1278;2,0434;19990311
2,0434;2,0434;19990312
2,0434;2,1229;19990315
2,1229;2,0186;19990316
2,0186;2,0235;19990319
2,0235;2,0434;19990322
2,0434;2,0434;19990323
2,0434;2,0434;19990324
2,0434;1,9341;19990330
1,9341;1,9341;19990331
1,9341;1,9341;19990401
1,9341;1,9041;19990407
1,9041;2,0434;19990412
2,0434;2,0434;19990413
2,0434;2,0982;19990414
2,0982;2,0982;19990415
2,0982;2,2075;19990416
2,2075;2,2572;19990419
2,2572;2,2075;19990420
2,2075;2,2572;19990421
2,2572;2,2671;19990422
2,2671;2,292;19990423
2,292;2,292;19990426
2,292;2,3218;19990427
2,3218;2,3218;19990428
2,3218;2,3218;19990429
2,3218;2,4858;19990430
2,4858;3,5798;19990504
3,5798;6,0158;19990505
6,0158;5,7921;19990506
5,7921;5,7673;19990507
5,7673;5,1707;19990510
5,1707;5,1457;19990511
5,1457;5,0712;19990512
5,0712;5,2949;19990513
5,2949;5,469;19990514
5,469;5,643;19990517
5,643;6,5131;19990518
6,5131;8,1537;19990519
8,1537;8,8497;19990520
8,8497;8,7007;19990521
8,7007;8,6261;19990524
8,6261;8,0543;19990525
8,0543;8,0045;19990526
8,0045;8,2283;19990527
8,2283;8,3526;19990528
8,3526;8,4521;19990531
8,4521;8,6261;19990601
8,6261;9,1229;19990602
9,1229;9,4964;19990607
9,4964;9,3964;19990608
9,3964;9,67;19990609
9,67;9,67;19990610
9,67;9,67;19990611
9,67;9,3964;19990614
9,3964;8,999;19990615
8,999;8,6011;19990616
8,6011;8,9491;19990617
8,9491;9,2725;19990618
9,2725;9,3716;19990621
9,3716;9,0237;19990622
9,0237;8,5515;19990623
8,5515;8,8497;19990624
8,8497;8,8497;19990625
8,8497;8,7255;19990628
8,7255;8,6757;19990629
8,6757;8,2283;19990630
8,2283;8,1786;19990701
8,1786;8,0045;19990702
8,0045;8,2779;19990705
8,2779;8,2779;19990706
8,2779;8,5266;19990707
8,5266;8,8497;19990708
8,8497;8,9491;19990709
8,9491;8,4023;19990712
8,4023;8,6757;19990715
8,6757;8,7007;19990716
8,7007;8,7255;19990719
8,7255;8,7752;19990720
8,7752;8,7752;19990721
8,7752;8,8497;19990722
8,8497;8,8497;19990723
8,8497;8,8497;19990726
8,8497;8,7255;19990727
8,7255;8,7752;19990728
8,7752;8,7752;19990729
8,7752;8,7752;19990730
8,7752;7,5074;19990802
7,5074;7,1842;19990803
7,1842;6,8859;19990804
6,8859;6,9108;19990805
6,9108;7,3831;19990806
7,3831;7,1345;19990809
7,1345;7,1842;19990810
7,1842;7,1842;19990812
7,1842;7,1842;19990813
7,1842;7,0102;19990816
7,0102;7,1593;19990817
7,1593;6,6373;19990819
6,6373;6,4632;19990820
6,4632;6,7368;19990823
6,7368;6,9108;19990824
6,9108;6,9108;19990825
6,9108;6,6373;19990826
6,6373;6,861;19990827
6,861;6,8859;19990830
6,8859;6,8859;19990831
6,8859;6,9108;19990901
6,9108;6,9108;19990902
6,9108;6,687;19990903
6,687;6,6373;19990906
6,6373;6,687;19990907
6,687;6,687;19990908
6,687;6,687;19990909
6,687;6,687;19990910
6,687;6,5131;19990913
6,5131;5,5186;19990914
5,5186;5,5684;19990915
5,5684;5,5186;19990916
5,5186;5,7921;19990917
5,7921;5,5436;19990920
5,5436;5,5186;19990921
5,5186;5,4192;19990922
5,4192;5,4441;19990923
5,4441;5,1209;19990924
5,1209;4,9718;19990927
4,9718;4,922;19990928
4,922;4,748;19990929
4,748;4,8723;19990930
4,8723;4,748;19991001
4,748;4,9469;19991004
4,9469;5,5186;19991005
5,5186;5,5684;19991006
5,5684;5,2949;19991007
5,2949;5,4441;19991008
5,4441;5,1955;19991011
5,1955;5,1457;19991012
5,1457;5,2452;19991013
5,2452;5,5186;19991014
5,5186;5,2452;19991015
5,2452;5,3944;19991019
5,3944;5,4192;19991020
5,4192;5,3695;19991021
5,3695;5,469;19991022
5,469;5,469;19991025
5,469;5,4192;19991026
5,4192;5,469;19991027
5,469;5,4192;19991028
5,4192;5,469;19991029
5,469;5,4192;19991102
5,4192;5,469;19991103
5,469;5,4192;19991104
5,4192;5,3695;19991105
5,3695;5,643;19991108
5,643;5,643;19991109
5,643;5,5684;19991110
5,5684;5,9661;19991115
5,9661;5,9661;19991116
5,9661;6,1402;19991117
6,1402;6,1153;19991118
6,1153;6,4135;19991119
6,4135;6,7864;19991122
6,7864;7,1842;19991123
7,1842;8,1288;19991124
8,1288;8,0045;19991125
8,0045;7,7311;19991126
7,7311;7,7311;19991129
7,7311;7,7311;19991130
7,7311;7,9798;19991201
7,9798;7,8554;19991202
7,8554;7,7311;19991203
7,7311;7,7311;19991206
7,7311;7,5074;19991207
7,5074;7,5074;19991208
7,5074;7,6068;19991209
7,6068;7,5074;19991210
7,5074;7,4576;19991213
7,4576;7,2339;19991214
7,2339;7,2339;19991215
7,2339;7,1842;19991216
7,1842;7,1842;19991217
7,1842;7,1593;19991220
7,1593;7,1345;19991221
7,1345;7,557;19991222
7,557;7,4576;19991223
7,4576;7,7809;19991227
7,7809;7,557;19991228
7,557;7,5074;19991229
7,5074;7,8554;20000103
7,8554;7,6815;20000104
7,6815;7,7311;20000105
7,7311;7,6316;20000106
7,6316;8,2283;20000107
8,2283;8,5017;20000110
8,5017;8,7255;20000111
8,7255;9,521;20000112
9,521;11,584;20000113
11,584;10,889;20000114
10,889;10,988;20000117
10,988;10,589;20000118
10,589;10,589;20000119
10,589;11,087;20000120
11,087;12,082;20000121
12,082;10,889;20000124
10,889;10,889;20000125
10,889;11,037;20000126
11,037;11,037;20000127
11,037;11,087;20000128
11,087;11,385;20000131
11,385;12,031;20000201
12,031;12,28;20000202
12,28;13,821;20000203
13,821;14,07;20000204
14,07;14,07;20000207
14,07;13,821;20000208
13,821;14,419;20000209
14,419;14,07;20000210
14,07;13,672;20000211
13,672;13,821;20000214
13,821;14,368;20000215
14,368;14,915;20000216
14,915;14,269;20000217
14,269;14,368;20000218
14,368;13,872;20000221
13,872;14,12;20000222
14,12;14,269;20000223
14,269;14,269;20000224
14,269;13,523;20000225
13,523;12,479;20000228
12,479;12,628;20000229
12,628;13,275;20000301
13,275;12,728;20000302
12,728;12,678;20000303
12,678;12,977;20000306
12,977;12,877;20000307
12,877;12,877;20000308
12,877;13,125;20000309
13,125;14,07;20000310
14,07;12,977;20000313
12,977;13,821;20000314
13,821;13,125;20000315
13,125;13,125;20000316
13,125;12,728;20000317
12,728;13,275;20000320
13,275;12,877;20000321
12,877;13,224;20000322
13,224;13,275;20000323
13,275;13,771;20000324
13,771;14,419;20000327
14,419;14,368;20000328
14,368;14,02;20000329
14,02;13,026;20000330
13,026;14,269;20000331
14,269;14,368;20000403
14,368;13,872;20000404
13,872;14,07;20000405
14,07;13,971;20000406
13,971;13,821;20000407
13,821;13,821;20000410
13,821;13,275;20000411
13,275;13,821;20000412
13,821;14,07;20000413
14,07;14,368;20000414
14,368;13,076;20000417
13,076;13,125;20000418
13,125;12,43;20000419
12,43;13,473;20000420
13,473;13,424;20000425
13,424;13,275;20000427
13,275;13,821;20000428
13,821;13,275;20000504
13,275;13,026;20000505
13,026;12,877;20000508
12,877;12,778;20000509
12,778;12,977;20000510
12,977;12,827;20000511
12,827;12,728;20000512
12,728;12,479;20000515
12,479;12,628;20000516
12,628;11,932;20000518
11,932;11,037;20000519
11,037;10,789;20000522
10,789;9,943;20000523
9,943;11,336;20000524
11,336;10,242;20000525
10,242;10,291;20000526
10,291;11,037;20000529
11,037;11,037;20000530
11,037;11,037;20000531
11,037;11,584;20000601
11,584;11,883;20000602
11,883;12,131;20000605
12,131;11,932;20000606
11,932;12,031;20000607
12,031;13,224;20000608
13,224;12,231;20000612
12,231;11,883;20000613
11,883;11,733;20000614
11,733;11,584;20000615
11,584;10,242;20000619
10,242;10,789;20000621
10,789;9,943;20000623
9,943;10,242;20000626
10,242;10,391;20000627
10,391;9,943;20000629
9,943;9,943;20000703
9,943;9,943;20000705
9,943;9,943;20000706
9,943;9,943;20000707
9,943;9,62;20000712
9,62;9,67;20000713
9,67;9,67;20000714
9,67;8,8497;20000718
8,8497;9,546;20000719
9,546;9,67;20000720
9,67;9,943;20000721
9,943;8,5017;20000724
8,5017;8,2779;20000725
8,2779;7,1842;20000726
7,1842;6,9108;20000727
6,9108;7,4576;20000728
7,4576;8,2779;20000731
8,2779;7,6815;20000801
7,6815;7,4576;20000803
7,4576;7,7311;20000804
7,7311;7,4576;20000807
7,4576;7,8554;20000808
7,8554;7,7311;20000809
7,7311;7,7311;20000811
7,7311;8,1786;20000814
8,1786;8,2779;20000816
8,2779;7,9051;20000817
7,9051;7,3582;20000818
7,3582;7,9549;20000821
7,9549;7,5074;20000822
7,5074;7,7809;20000823
7,7809;8,1288;20000824
8,1288;8,1288;20000825
8,1288;7,6815;20000828
7,6815;7,6815;20000829
7,6815;7,6815;20000831
7,6815;8,6261;20000901
8,6261;7,8554;20000905
7,8554;8,2779;20000906
8,2779;7,8554;20000908
7,8554;8,1786;20000911
8,1786;8,2779;20000912
8,2779;8,0045;20000913
8,0045;8,2779;20000914
8,2779;8,2779;20000915
8,2779;8,8497;20000918
8,8497;8,4521;20000919
8,4521;8,4521;20000920
8,4521;8,2779;20000921
8,2779;8,2779;20000922
8,2779;8,2283;20000925
8,2283;8,0045;20000926
8,0045;6,165;20000928
6,165;6,6373;20001002
6,6373;6,2893;20001003
6,2893;6,6373;20001005
6,6373;6,7368;20001009
6,7368;6,687;20001010
6,687;6,6373;20001011
6,6373;6,4135;20001012
