From;To;Date
7,8276;7,4732;20051020
7,4732;8,0587;20051021
8,0587;8,3206;20051024
8,3206;7,9663;20051025
7,9663;7,689;20051026
7,689;7,5503;20051027
7,5503;7,4732;20051028
7,4732;7,6736;20051031
7,6736;7,689;20051102
7,689;7,6274;20051103
7,6274;7,4732;20051104
7,4732;7,3654;20051107
7,3654;7,2266;20051108
7,2266;7,0572;20051109
7,0572;7,0419;20051110
7,0419;6,8415;20051114
6,8415;7,6428;20051115
7,6428;7,3654;20051116
7,3654;7,5811;20051117
7,5811;7,3191;20051118
7,3191;7,242;20051121
7,242;7,242;20051122
7,242;7,242;20051123
7,242;7,2266;20051124
7,2266;7,2266;20051125
7,2266;7,1804;20051128
7,1804;7,0264;20051129
7,0264;6,9648;20051130
6,9648;7,0419;20051201
7,0419;7,088;20051202
7,088;6,9338;20051205
6,9338;7,0109;20051206
7,0109;7,3654;20051207
7,3654;7,3654;20051208
7,3654;7,1959;20051209
7,1959;7,3654;20051212
7,3654;7,3191;20051213
7,3191;7,5041;20051214
7,5041;7,7044;20051215
7,7044;8,0433;20051216
8,0433;7,9972;20051219
7,9972;7,9046;20051220
7,9046;7,8584;20051221
7,8584;7,7814;20051222
7,7814;7,7814;20051223
7,7814;7,8739;20051227
7,8739;7,9509;20051228
7,9509;8,0125;20051229
8,0125;8,0125;20051230
8,0125;7,8584;20060102
7,8584;8,0896;20060103
8,0896;7,9355;20060104
7,9355;7,8584;20060105
7,8584;7,8584;20060106
7,8584;7,843;20060109
7,843;7,7814;20060110
7,7814;7,8739;20060111
7,8739;7,8892;20060112
7,8892;8,2436;20060113
8,2436;8,3361;20060116
8,3361;8,2745;20060117
8,2745;8,1666;20060118
8,1666;8,1666;20060119
8,1666;8,0896;20060120
8,0896;8,2129;20060123
8,2129;8,0896;20060124
8,0896;8,0896;20060125
8,0896;8,0896;20060126
8,0896;8,0896;20060127
8,0896;8,0125;20060130
8,0125;7,9972;20060131
7,9972;7,9509;20060201
7,9509;7,9509;20060202
7,9509;7,7044;20060203
7,7044;7,9355;20060206
7,9355;7,8584;20060207
7,8584;7,7814;20060208
7,7814;7,7968;20060209
7,7968;7,7044;20060210
7,7044;7,8584;20060213
7,8584;7,8584;20060214
7,8584;8,0742;20060215
8,0742;8,1666;20060216
8,1666;8,3823;20060217
8,3823;8,5672;20060220
8,5672;8,5518;20060221
8,5518;8,5055;20060222
8,5055;8,4748;20060223
8,4748;8,5518;20060224
8,5518;8,7059;20060227
8,7059;8,8909;20060228
8,8909;9,1527;20060301
9,1527;9,3068;20060302
9,3068;9,0604;20060303
9,0604;9,0449;20060306
9,0449;8,6597;20060307
8,6597;8,6751;20060308
8,6751;9,0295;20060309
9,0295;8,9678;20060310
8,9678;8,8754;20060313
8,8754;8,9216;20060314
8,9216;8,9216;20060315
8,9216;9,0141;20060316
9,0141;9,2452;20060317
9,2452;9,1681;20060320
9,1681;9,1681;20060321
9,1681;9,3685;20060322
9,3685;9,553;20060323
9,553;9,785;20060324
9,785;9,969;20060327
9,969;9,908;20060328
9,908;9,877;20060329
9,877;10;20060330
10;9,939;20060331
9,939;10,077;20060403
10,077;10,231;20060404
10,231;10,247;20060405
10,247;10,401;20060406
10,401;11,541;20060407
11,541;11,88;20060410
11,88;11,88;20060411
11,88;11,942;20060412
11,942;12,096;20060413
12,096;12,173;20060418
12,173;11,834;20060419
11,834;11,726;20060420
11,726;11,726;20060421
11,726;11,788;20060424
11,788;11,356;20060425
11,356;11,772;20060426
11,772;11,803;20060427
11,803;12,111;20060428
12,111;12,05;20060502
12,05;12,019;20060504
12,019;11,803;20060505
11,803;11,649;20060508
11,649;11,988;20060509
11,988;12,142;20060510
12,142;12,173;20060511
12,173;12,234;20060512
12,234;12,157;20060515
12,157;12,003;20060516
12,003;11,865;20060517
11,865;11,711;20060518
11,711;11,834;20060519
11,834;11,495;20060522
11,495;11,557;20060523
11,557;11,325;20060524
11,325;11,526;20060525
11,526;11,403;20060526
11,403;11,449;20060529
11,449;11,557;20060530
11,557;11,403;20060531
11,403;11,695;20060601
11,695;11,711;20060602
11,711;11,695;20060605
11,695;11,541;20060606
11,541;11,526;20060607
11,526;11,51;20060608
11,51;11,464;20060609
11,464;11,248;20060612
11,248;10,678;20060613
10,678;10,17;20060614
10,17;10,478;20060616
10,478;10,17;20060619
10,17;10,601;20060620
10,601;11,079;20060621
11,079;10,832;20060622
10,832;11,125;20060623
11,125;11,017;20060626
11,017;11,079;20060627
11,079;10,709;20060628
10,709;10,663;20060629
10,663;10,709;20060630
10,709;10,601;20060703
10,601;10,462;20060704
10,462;10,709;20060705
10,709;10,663;20060706
10,663;11,094;20060707
11,094;11,079;20060710
11,079;11,017;20060711
11,017;10,94;20060712
10,94;10,817;20060713
10,817;10,863;20060714
10,863;11,11;20060717
11,11;11,156;20060718
11,156;11,248;20060719
11,248;11,264;20060720
11,264;11,403;20060721
11,403;11,264;20060724
11,264;11,094;20060725
11,094;11,156;20060726
11,156;11,156;20060727
11,156;11,14;20060728
11,14;11,14;20060731
11,14;11,125;20060801
11,125;11,094;20060802
11,094;11,094;20060803
11,094;11,094;20060804
11,094;11,079;20060807
11,079;11,063;20060808
11,063;11,094;20060809
11,094;11,125;20060810
11,125;11,233;20060811
11,233;11,171;20060814
11,171;11,094;20060816
11,094;10,956;20060817
10,956;11,079;20060818
11,079;11,017;20060821
11,017;10,524;20060822
10,524;10,755;20060823
10,755;10,848;20060824
10,848;10,509;20060825
10,509;10,755;20060828
10,755;10,617;20060829
10,617;10,601;20060830
10,601;10,478;20060831
10,478;10,401;20060901
10,401;10,385;20060904
10,385;10,385;20060905
10,385;10,632;20060906
10,632;10,671;20060907
10,671;10,709;20060908
10,709;10,632;20060911
10,632;10,432;20060912
10,432;10,555;20060913
10,555;10,524;20060914
10,524;10,778;20060915
10,778;10,755;20060918
10,755;10,755;20060919
10,755;10,601;20060920
10,601;10,486;20060921
10,486;10,447;20060922
10,447;10,478;20060925
10,478;10,462;20060926
10,462;10,401;20060927
10,401;10,401;20060928
10,401;10,47;20060929
10,47;10,478;20061002
10,478;10,555;20061003
10,555;10,617;20061004
10,617;11,01;20061005
11,01;11,048;20061006
11,048;11,148;20061009
11,148;11,233;20061010
11,233;11,233;20061011
11,233;10,909;20061012
10,909;11,087;20061013
11,087;10,84;20061016
10,84;10,848;20061017
10,848;11,087;20061018
11,087;11,017;20061019
11,017;10,94;20061020
10,94;10,786;20061023
10,786;10,624;20061024
10,624;10,547;20061025
10,547;10,478;20061026
10,478;10,771;20061027
10,771;10,778;20061030
10,778;10,709;20061031
10,709;10,94;20061102
10,94;10,94;20061103
10,94;10,917;20061106
10,917;10,963;20061107
10,963;10,94;20061108
10,94;11,387;20061109
11,387;11,48;20061110
11,48;11,618;20061113
11,618;11,472;20061114
11,472;11,403;20061115
11,403;11,557;20061116
11,557;11,865;20061117
11,865;11,757;20061120
11,757;12,481;20061121
12,481;12,404;20061122
12,404;12,635;20061123
12,635;13,714;20061124
13,714;13,406;20061127
13,406;13,205;20061128
13,205;13,221;20061129
13,221;13,221;20061130
13,221;13,097;20061201
13,097;12,882;20061204
12,882;12,781;20061205
12,781;12,766;20061206
12,766;12,681;20061207
12,681;12,689;20061208
12,689;11,711;20061211
11,711;12,019;20061212
12,019;12,458;20061213
12,458;12,943;20061214
12,943;12,25;20061215
12,25;12,504;20061218
12,504;12,535;20061219
12,535;12,627;20061220
12,627;11,942;20061221
11,942;12,458;20061222
12,458;11,942;20061227
11,942;11,557;20061228
11,557;11,279;20061229
11,279;11,711;20070102
11,711;11,557;20070103
11,557;11,325;20070104
