Date;Open;High;Low;Close;Volume
20121214;0;0;0;0;0
20121217;0,009;-0,005;0,009;0,006;-0,932
20121218;0,029;0,015;0,024;0,016;0,886
20121219;0,01;0,002;0,012;0,003;-0,597
20121220;-0,006;0,001;-0,006;-0,003;-0,518
20121221;0,005;-0,003;0,002;0;0,643
20121227;-0,002;0,018;0,001;0,016;-0,293
20121228;0,016;-0,001;0,003;-0,009;-0,721
20130102;-0,009;0,008;0,006;0,022;0,966
20130103;0,014;0,016;0,01;0,014;0,909
20130104;0,022;0,009;0,025;0,01;-0,659
20130107;0,01;0,006;0,01;0,005;1,448
20130108;0,005;0,001;-0,069;-0,029;0,041
20130109;-0,029;-0,023;0,027;0,008;-0,543
20130110;0,009;0,008;0,01;-0,001;0,706
20130111;-0,009;-0,014;-0,004;-0,005;-0,639
20130114;0,005;0,004;0;-0,016;6,151
20130115;-0,021;-0,021;-0,017;-0,01;-0,064
20130116;-0,016;0,008;-0,013;0,008;0,033
20130117;0,01;0,015;0,023;0,019;-0,324
20130118;0,026;0,02;0,026;0,019;-0,321
20130121;0,037;0,057;0,037;0,063;2,073
20130122;0,059;0,115;0,057;0,047;0,856
20130123;0,064;-0,019;0,044;0,028;0,826
20130124;-0,003;-0,016;-0,004;-0,011;-0,823
20130125;-0,011;0,009;0,004;0,007;-0,367
20130128;0,007;0,005;0,014;0,013;1,805
20130129;0,016;-0,001;0,008;-0,001;-0,579
20130130;-0,009;-0,003;-0,021;-0,023;0,407
20130131;-0,021;-0,023;-0,041;-0,026;0,982
20130201;-0,022;-0,014;0,01;0,008;-0,291
20130204;0,033;0,02;0,019;0,012;-0,431
20130205;-0,003;0;0,011;0,005;0,777
20130206;-0,003;-0,004;-0,012;-0,01;-0,066
20130207;-0,014;-0,014;-0,014;-0,005;-0,537
20130208;-0,01;0,001;0,008;0,008;-0,659
20130211;0,012;0,004;0,008;0,001;-0,085
20130212;0,008;0,003;0;-0,003;0,301
20130213;-0,009;-0,001;-0,001;-0,001;0,417
20130214;-0,005;0,001;-0,001;0,011;-0,848
20130215;0,007;-0,005;-0,032;-0,007;1,052
20130218;-0,003;-0,005;0,009;-0,03;7,194
20130219;-0,032;-0,021;-0,028;-0,011;1,068
20130220;-0,006;0,001;0,02;0,016;-0,901
20130221;0,01;-0,008;-0,008;-0,016;-0,465
20130222;-0,011;-0,004;-0,006;0;0,147
20130225;0,001;0,014;0,013;0,014;0,595
20130226;-0,001;-0,008;-0,005;-0,007;1,082
20130227;0,009;0,008;0,005;-0,007;0,458
20130228;0,011;-0,002;0,001;0,01;-0,566
20130301;-0,012;-0,009;-0,004;-0,01;1,136
20130304;0,007;0,005;-0,004;0,003;-0,369
20130305;-0,011;-0,001;0,009;0,011;-0,655
20130306;0,004;-0,002;-0,007;-0,002;0,924
20130307;-0,021;-0,026;-0,046;-0,04;7,312
20130308;-0,013;0,023;0,023;0,029;0,028
20130311;0,035;0;0,021;-0,002;-0,565
20130312;-0,009;-0,01;-0,014;-0,007;-0,827
20130313;-0,008;-0,004;0,004;-0,005;4,54
20130314;-0,007;0,006;-0,003;0,01;1,327
20130315;0,003;0,004;0,007;0,008;-0,64
20130318;0,014;-0,004;-0,009;-0,004;-0,752
20130319;-0,011;-0,002;-0,023;-0,044;7,147
20130320;-0,04;-0,014;-0,007;0,023;0,088
20130321;0,032;-0,003;0,009;-0,007;-0,684
20130322;-0,022;0,004;-0,006;-0,013;0,415
20130325;0,012;0,001;-0,001;-0,006;-0,697
20130326;-0,018;-0,016;-0,007;-0,002;-0,285
20130327;-0,002;0,024;0,006;0,038;-0,291
20130328;0,03;0;0,011;0,007;-0,237
20130402;0,015;0;0,019;-0,011;3,781
20130403;-0,01;-0,001;0,004;0,009;1,115
20130404;0,009;0,001;-0,001;-0,006;-0,575
20130405;-0,007;0,004;0,002;0,011;-0,566
20130408;0,012;0;-0,004;-0,004;-0,496
20130409;-0,015;-0,008;-0,002;-0,014;2,101
20130410;0,004;0,001;-0,018;-0,007;-0,295
20130411;-0,017;-0,01;0;0,007;-0,112
20130412;-0,001;0,006;0,007;-0,004;2,669
20130415;0,022;0,003;-0,002;-0,004;-0,793
20130417;-0,017;-0,016;0,003;0;3,7
20130418;0;0,004;-0,019;-0,019;0,749
20130419;-0,025;-0,006;0;0,004;-0,818
20130422;0,003;-0,013;-0,002;0;-0,066
20130423;-0,003;-0,004;0,002;-0,004;22,338
20130424;0,011;0,004;0,008;0,005;-0,983
20130425;0;0,004;-0,001;-0,001;4,2
20130426;-0,007;0,015;-0,003;0,012;1,03
20130429;0,029;0,014;0,02;0,023;-0,758
20130430;0,016;0,024;0,011;0,024;2,202
20130502;0,017;-0,004;0,009;-0,02;0,211
20130506;-0,01;-0,01;0,005;0,001;-0,914
20130507;0;0;-0,008;-0,003;6,921
20130508;0;0;0;0,001;-0,829
20130509;0;0,037;0,008;0,043;19,531
20130510;0,024;0,021;0,027;0,02;-0,352
20130513;0,033;-0,002;0,024;-0,01;-0,808
20130514;-0,013;0;-0,007;0,006;1,367
20130515;0,009;0,016;0,014;0,018;0,327
20130516;0,043;0,065;0,043;0,067;2,977
20130517;0,042;0;0,016;-0,008;-0,581
20130520;-0,016;0,028;0,007;0,011;0,422
20130521;0,02;-0,01;0,011;0,009;1,066
20130522;0,004;0,032;0,014;0,037;-0,368
20130523;0,011;0,005;-0,006;-0,002;1,173
20130524;0,028;-0,004;0,037;-0,01;-0,446
20130527;-0,01;-0,01;-0,006;-0,006;-0,682
20130528;-0,006;0,008;-0,001;0,018;3,894
20130529;0,018;0,003;-0,047;0;-0,582
20130531;0;0,008;0,059;-0,002;10,287
20130603;0;-0,011;-0,024;-0,005;-0,795
20130604;-0,018;0,024;0,013;0,031;0,595
20130605;0,03;0,04;0,034;0,029;-0,639
20130606;0,035;-0,011;0,029;-0,001;-0,219
20130607;0,005;0,001;0,002;-0,005;-0,312
20130610;0;0,05;0,004;0,034;0,906
20130611;0,034;-0,012;0,014;-0,005;0,12
20130612;-0,004;-0,009;-0,006;-0,009;-0,673
20130613;-0,016;-0,016;-0,029;-0,034;-0,182
20130614;-0,04;0,003;-0,01;0,037;0,069
20130617;0,058;0,012;0,05;0,005;0,776
20130618;0;0,044;0,017;0,04;0,744
20130619;0,033;0,028;0,026;0,001;-0,504
20130620;-0,005;-0,043;-0,032;-0,035;0,176
20130621;-0,036;-0,016;-0,026;-0,008;0,733
20130624;-0,012;-0,022;0;-0,014;-0,318
20130625;-0,003;-0,012;-0,01;-0,017;-0,626
20130626;-0,018;-0,016;-0,013;-0,01;-0,081
20130627;-0,007;-0,011;-0,055;-0,015;3,496
20130628;-0,017;0,08;0,046;0,053;0
20130701;0,059;-0,037;0,054;0,006;-0,295
20130702;-0,001;-0,001;-0,031;-0,006;-0,64
20130703;-0,011;-0,006;0,003;-0,022;-0,57
20130704;-0,021;-0,017;-0,016;-0,011;3,778
20130705;-0,007;-0,009;-0,02;-0,029;0,148
20130708;-0,023;-0,007;-0,012;0,017;-0,078
20130709;0,013;0,007;0,024;0,017;-0,812
