Date;Open;High;Low;Close;Volume
19970530;0;0;0;0;0
19970602;-0,1;-0,1;-0,1;-0,1;-0,707
19970603;-0,017;-0,017;-0,017;-0,017;-0,061
19970604;-0,061;-0,061;-0,061;-0,061;0,263
19970605;-0,1;-0,1;-0,1;-0,1;-0,74
19970606;-0,076;-0,076;-0,076;-0,076;6,791
19970609;0,036;0,036;0,036;0,036;-0,617
19970610;-0,011;-0,011;-0,011;-0,011;0,458
19970611;-0,026;-0,026;-0,026;-0,026;-0,751
19970612;-0,016;-0,016;-0,016;-0,016;0,614
19970613;0;0;0;0;0,17
19970616;-0,002;-0,002;-0,002;-0,002;-0,235
19970617;0,005;0,005;0,005;0,005;-0,455
19970618;0,018;0,018;0,018;0,018;-0,344
19970619;-0,002;-0,002;-0,002;-0,002;1,128
19970620;0,004;0,004;0,004;0,004;-0,178
19970623;-0,013;-0,013;-0,013;-0,013;-0,614
19970624;-0,034;-0,034;-0,034;-0,034;0,161
19970625;-0,023;-0,023;-0,023;-0,023;-0,301
19970626;-0,048;-0,048;-0,048;-0,048;1,565
19970627;-0,025;-0,025;-0,025;-0,025;-0,518
19970630;0,026;0,026;0,026;0,026;1,433
19970701;-0,025;-0,025;-0,025;-0,025;-0,463
19970702;-0,018;-0,018;-0,018;-0,018;1,022
19970703;0,018;0,018;0,018;0,018;-0,537
19970704;-0,1;-0,1;-0,1;-0,1;4,254
19970707;0,1;0,1;0,1;0,1;-0,175
19970708;0,023;0,023;0,023;0,023;-0,09
19970709;0,038;0,038;0,038;0,038;-0,027
19970710;0,049;0,049;0,049;0,049;-0,467
19970711;-0,047;-0,047;-0,047;-0,047;0,08
19970714;-0,073;-0,073;-0,073;-0,073;-0,536
19970715;-0,039;-0,039;-0,039;-0,039;0,82
19970716;0,027;0,027;0,027;0,027;0,144
19970717;-0,013;-0,013;-0,013;-0,013;-0,387
19970718;-0,014;-0,014;-0,014;-0,014;-0,315
19970721;-0,027;-0,027;-0,027;-0,027;0,753
19970722;0,02;0,02;0,02;0,02;0,041
19970723;-0,044;-0,044;-0,044;-0,044;0,379
19970724;-0,017;-0,017;-0,017;-0,017;-0,701
19970725;-0,029;-0,029;-0,029;-0,029;0,104
19970728;-0,052;-0,052;-0,052;-0,052;0,209
19970729;-0,048;-0,048;-0,048;-0,048;2,364
19970730;0,007;0,007;0,007;0,007;0,758
19970731;0,05;0,05;0,05;0,05;-0,459
19970801;-0,054;-0,054;-0,054;-0,054;-0,668
19970804;0,03;0,03;0,03;0,03;1,377
19970805;-0,075;-0,075;-0,075;-0,075;-0,211
19970806;-0,032;-0,032;-0,032;-0,032;9,358
19970807;0,018;0,018;0,018;0,018;0,191
19970808;0,082;0,082;0,082;0,082;-0,36
19970811;0,099;0,099;0,099;0,099;0,042
19970812;-0,018;-0,018;-0,018;-0,018;-0,612
19970813;0,04;0,04;0,04;0,04;-0,126
19970814;-0,088;-0,088;-0,088;-0,088;1,052
19970818;-0,084;-0,084;-0,084;-0,084;-0,282
19970819;-0,014;-0,014;-0,014;-0,014;0,745
19970820;0;0;0;0;-0,51
19970821;0,021;0,021;0,021;0,021;-0,502
19970822;-0,045;-0,045;-0,045;-0,045;-0,465
19970825;0,007;0,007;0,007;0,007;0,234
19970826;-0,011;-0,011;-0,011;-0,011;-0,185
19970827;0;0;0;0;0,402
