Date;Open;High;Low;Close;Volume
20081125;0;0;0;0;0
20081126;-0,017;0,123;0,054;0,028;4,657
20081127;0;-0,125;-0,035;-0,044;-0,906
20081128;-0,006;-0,006;-0,048;-0,057;-0,581
20081201;-0,023;-0,023;-0,081;-0,109;0,904
20081202;-0,124;-0,094;-0,095;0,048;0,323
20081203;-0,027;0;0,09;0;-0,978
20081204;0,062;0,039;0,035;0,039;80,756
20081205;0,104;0,063;0,066;0,031;-0,949
20081208;0;0,029;0,044;0,06;6,851
20081209;0;-0,006;0,018;-0,006;-0,064
20081210;0,023;0;-0,024;0;1,336
20081211;-0,029;-0,029;0,018;-0,029;-0,985
20081212;-0,053;0,007;-0,053;0,007;19,188
20081215;0,031;0;0,031;0;0,164
20081216;0,06;0,029;-0,012;-0,042;-0,801
20081217;-0,097;-0,04;-0,031;0,031;2,088
20081219;0,095;0,03;0,019;0,018;0,657
20081222;0,017;0,046;0,025;-0,005;-0,2
20081223;-0,017;-0,044;0,048;0,017;-0,996
20081229;-0,029;-0,017;-0,029;-0,017;493
20081230;0,03;0,017;-0,048;0;-0,485
20081231;-0,017;-0,006;0,013;0,011;-0,265
20090105;0,029;0,018;0,05;-0,011;1,675
20090107;-0,097;-0,034;-0,071;-0,071;-0,988
20090108;0,076;0,007;-0,019;-0,019;17,927
20090109;0;0;0,098;0,098;-0,915
20090112;0;0,029;0;0,029;3,773
20090113;-0,018;0;-0,018;0;7,565
20090114;0;-0,006;0;-0,006;-0,778
20090116;-0,012;-0,035;-0,024;-0,035;0,712
20090119;0,06;0,042;0,074;0,042;0,877
20090120;0;0;0;0;-0,999
20090121;0;0;0;0;0
20090122;0;0;0;0;0
20090123;-0,011;-0,011;-0,171;-0,017;85
20090128;-0,052;0,006;0,117;-0,029;30,535
20090129;0,037;-0,023;0,05;0,018;-1
20090130;-0,059;-0,059;-0,059;-0,059;38
20090202;0;0;0;0;0,974
20090204;0;0;-0,062;-0,062;4,091
20090205;-0,081;-0,031;-0,034;0,033;14,673
20090206;0,089;0,033;0,103;0,033;-1
20090209;0;0;0;0;114
20090211;0;0;0;0;-0,261
20090212;0;0;-0,007;-0,007;1,129
20090213;0;0;0,007;0,007;0,569
20090216;0;0,025;-0,007;0,025;5,218
20090217;0,056;0,03;0,063;0,03;-0,999
20090218;-0,023;-0,023;-0,023;-0,023;84
20090219;0,031;0,031;0,031;0,031;-0,988
20090220;0,011;0,029;0,011;0,029;2765
20090223;-0,006;-0,023;-0,006;-0,023;-1
20090224;-0,012;-0,012;-0,012;-0,012;229
20090225;0;0;-0,059;0;13,861
20090226;-0,023;-0,023;0,038;-0,023;-0,955
20090227;0;0,036;-0,012;0,036;1,006
20090303;0,012;-0,012;0,025;-0,012;0,994
20090304;0,012;0;0,012;0;-0,875
20090305;0,012;0,012;0,012;0,012;-0,987
20090309;-0,005;-0,005;-0,005;-0,005;383
20090313;0;0;0;0;9,802
20090317;0,005;0,005;0,005;0,005;-1
20090318;0;0;0;0;6
20090319;0;0;0;0;-0,429
20090320;0;0;0;0;0,75
20090323;0;0;0;0;0,714
20090324;0;0;0;0;-0,417
20090325;0;0;0;0;0
20090326;-0,005;-0,005;-0,005;-0,005;-0,857
20090327;0,005;0,005;0,005;0,005;0
20090330;0;0;0;0;0
20090331;0;0;0;0;0
20090401;0;0;0;0;0
20090402;0;0;0;0;0
20090403;0;0;-0,005;0;254
20090406;0;0;0,005;0;-0,925
20090407;0;0;-0,018;-0,018;41,368
20090408;-0,005;-0,005;0,012;0,012;-0,861
20090409;0;0,005;0;0,005;501,75
20090414;0,005;0;-0,053;0;-0,759
20090415;-0,029;0,006;0,031;0;-0,931
20090416;0,018;-0,018;0,018;-0,012;-0,992
20090417;0,007;0,012;0,007;0,012;1293,714
20090420;0,011;0,006;0,011;0,006;-0,964
20090421;-0,064;-0,018;-0,064;-0,018;15,117
20090423;0,018;-0,029;0,018;-0,029;-0,853
20090424;0,006;0,006;-0,012;-0,012;2,393
20090427;-0,018;-0,006;0;0,012;-0,684
20090428;0,043;0,03;0,043;0,03;-0,866
20090429;0;0;-0,035;0;28,182
20090430;-0,035;0;-0,006;-0,041;2,402
20090504;-0,012;-0,047;-0,006;-0,006;-0,923
