Date;Open;High;Low;Close;Volume
20110804;0;0;0;0;0
20110805;-0,103;-0,038;-0,135;-0,001;-0,3
20110808;0,029;-0,039;0,124;-0,07;-0,682
20110809;-0,051;-0,06;-0,051;-0,048;10,474
20110810;-0,001;0,037;-0,018;-0,035;-0,685
20110811;-0,02;-0,064;-0,068;-0,052;1,293
20110812;0;-0,032;-0,035;-0,035;-0,362
20110816;-0,034;0,012;0,037;0,083;-0,237
20110817;0,063;0,036;0,066;0,052;-0,928
20110818;0,016;-0,005;-0,004;-0,036;4,235
20110819;-0,059;-0,007;-0,012;0,026;-0,395
20110822;0,056;0,059;0,056;0,059;-0,342
20110823;0,066;0,073;0,066;0,062;0,797
20110824;0,083;0,021;0,069;0,026;-0,285
20110825;0,01;0,02;0,018;0,01;1,918
20110826;-0,033;-0,002;-0,028;0,013;-0,399
20110829;0,05;0,045;0,047;0,045;0,508
20110830;0,04;0,023;0,043;0,014;-0,187
20110831;0,057;0,031;0,017;0,007;-0,255
20110901;-0,032;-0,032;-0,017;-0,023;0,139
20110902;-0,075;-0,028;-0,053;-0,038;0,658
20110905;0,01;-0,039;-0,036;-0,012;-0,784
20110906;-0,035;0,025;0,011;0,013;3,036
20110907;0,065;0,002;0,034;0,008;-0,936
20110908;-0,015;-0,015;-0,031;-0,017;0,351
20110909;-0,02;-0,02;0,001;-0,005;-0,845
20110912;-0,006;-0,006;-0,024;-0,014;-0,118
20110913;0,006;0,006;0,051;0,016;-0,996
20110914;-0,004;0,018;-0,004;0,013;16694
20110915;0,09;0,08;0,067;0,06;-0,374
20110916;0,005;0,012;0,019;0,033;0,111
20110919;0,019;0;-0,002;-0,022;-0,732
20110920;-0,025;0;0,002;0,026;1,214
20110921;0,017;0,034;0,017;0,034;0,644
20110922;0,038;-0,004;-0,035;-0,057;-0,184
20110923;-0,071;-0,042;0;0,012;-0,167
20110926;0,025;0,039;0,025;0,016;0,497
20110927;0,054;0,022;0,046;0,039;8,25
20110928;-0,013;0,051;-0,004;0,057;-0,758
20110929;0,086;0,087;0,018;-0,027;0,463
20110930;-0,034;-0,08;0;0,018;0,654
20111003;-0,006;-0,006;0,025;-0,002;-0,977
20111004;0,014;-0,012;-0,049;-0,058;0,074
20111005;-0,07;-0,008;-0,037;0,029;41,986
20111006;0,077;0,011;0,107;0,025;-0,906
20111007;0;0,027;-0,004;0,022;0,692
20111010;0,032;0,012;0,017;0,016;4,183
20111011;0,002;0,01;0,022;0,004;1,076
20111012;0,018;0,008;0,018;0,016;-0,558
20111013;0;0,002;-0,002;-0,006;0,335
20111014;0;-0,004;-0,018;0,004;-0,996
20111017;0,004;0;-0,041;-0,028;22,925
20111018;-0,051;-0,004;0,006;-0,012;-0,868
20111019;0,029;-0,02;-0,022;-0,035;7,885
20111020;-0,065;-0,065;-0,046;-0,027;0,04
20111021;0;0,037;0,039;0,049;-0,593
20111024;0,069;0,031;0,009;0,011;-0,541
20111025;-0,02;-0,018;0,039;0,002;7,149
20111026;0;0,002;-0,02;0,002;-0,938
20111027;0,012;0,015;0;0,015;14,488
20111028;0,016;0,01;0,021;-0,018;-0,955
20111031;-0,028;-0,019;-0,002;0,01;-0,037
20111102;-0,04;0;-0,038;0;4,069
20111103;0,095;0,042;0,08;0,028;-0,289
20111104;-0,021;-0,021;-0,036;-0,01;1,591
20111107;-0,036;-0,008;-0,008;-0,016;-0,152
20111108;0,021;-0,008;0,008;-0,01;-0,715
20111109;-0,012;-0,004;0;0,008;11,572
20111110;0,004;-0,004;-0,004;-0,008;-0,984
20111114;-0,004;0,008;0,004;0,008;-0,249
20111115;0,008;-0,004;-0,021;-0,008;7,837
20111116;-0,008;-0,008;-0,006;-0,022;-0,772
20111117;0;0;-0,035;-0,033;6,385
20111118;-0,064;-0,025;-0,004;0,031;2,121
20111121;0,041;0;0,002;-0,022;-0,801
20111122;-0,038;-0,013;0;0,009;0,79
20111123;0,033;0,006;-0,011;-0,026;-0,147
20111124;-0,032;-0,03;-0,02;-0,008;7,938
20111125;0,022;0,02;-0,009;-0,025;-0,939
20111128;-0,026;-0,026;-0,005;0,016;2,067
20111129;-0,007;-0,007;0;-0,027;-0,736
20111130;-0,011;0;0,023;0,034;10,871
20111201;0,023;0,011;0,009;0;-0,981
20111202;0;0;0,014;0,011;-0,996
20111205;0;0;-0,031;-0,022;22224
20111206;-0,011;-0,011;0,02;0,011;-1
20111207;0;0;-0,02;0;2063
20111208;-0,02;-0,013;0;-0,013;-0,255
20111209;0,009;0,002;-0,037;-0,032;8,869
20111212;-0,034;-0,034;0,012;0;-1
20111213;-0,001;0,035;-0,001;0,035;27666
20111214;0,036;0;-0,022;-0,023;-0,898
20111215;-0,03;-0,026;0,024;-0,003;-0,647
20111216;-0,025;0,019;-0,021;-0,002;0,79
20111219;0,028;-0,02;0,028;0;13,509
20111220;0,021;0,021;-0,03;-0,019;-0,961
20111221;-0,039;-0,039;-0,01;0;0,152
20111222;0;0;-0,002;-0,012;1,452
20111223;0;0;-0,003;0,013;-0,324
20111227;0,04;0,04;0,016;0,011;-0,109
20111228;-0,027;-0,016;0;-0,023;-0,3
20111229;0,028;0,016;0,024;0,031;-0,426
20111230;-0,039;0;-0,012;0,005;9,063
20120102;0,04;0,007;0,033;0,023;-0,84
20120103;0,014;0,007;0,021;0,007;-0,991
20120104;-0,007;-0,007;-0,007;-0,007;11,2
20120105;0;0;-0,002;-0,002;1,303
20120109;0,007;0,007;-0,043;-0,043;25,409
20120110;-0,038;-0,007;0,014;0,048;-0,765
20120111;0,033;0,02;0,033;0,02;1,298
20120112;-0,023;-0,016;-0,022;-0,016;0,25
20120113;0,035;0,007;0,035;0,007;-1
20120116;0,009;0,009;-0,04;-0,04;4859
20120117;-0,009;-0,009;0,002;0,019;0,471
20120118;-0,022;-0,022;0,016;0;-1
20120119;-0,018;-0,007;-0,025;-0,007;4229
20120120;0,007;-0,005;0,014;-0,005;-0,941
20120123;0,012;0,012;-0,016;-0,005;69,008
20120124;0;0;-0,018;-0,014;-0,888
20120125;-0,011;-0,011;0;-0,005;0,608
20120126;-0,027;0;0,009;0;4,901
20120127;0,034;0,007;0,027;0,024;-0,971
20120130;-0,007;-0,007;0;0;-0,998
20120131;-0,023;0,035;-0,023;0,035;3221
20120201;0,057;0,034;0,03;0,034;18,412
20120202;0,055;0,048;0,08;0,048;-0,914
20120203;0,025;0,025;0,028;0,021;-0,601
20120206;0,014;0;0,004;-0,012;-0,469
20120207;-0,018;0;-0,008;-0,002;28,505
20120208;0,033;0,014;0,033;0,031;4,656
20120209;0,022;0,01;0;-0,012;-0,997
20120210;-0,01;-0,012;-0,028;-0,008;0,21
20120213;-0,006;-0,006;-0,012;-0,004;3,716
20120214;0,006;0,006;0,013;-0,016;-0,733
20120215;-0,05;-0,003;-0,01;0,039;3,397
20120216;0,05;0,003;0,011;0,003;21,972
