Date;Open;High;Low;Close;Volume
20071204;0;0;0;0;0
20071205;0,343;0,1;0,125;-0,035;-0,726
20071206;-0,21;-0,165;-0,038;-0,036;-0,546
20071207;0,019;-0,017;-0,034;-0,038;1,265
20071210;-0,038;-0,056;0,002;-0,051;-0,432
20071211;-0,055;-0,016;-0,004;0;-0,498
20071212;0;-0,036;-0,046;-0,029;0,65
20071213;-0,005;-0,008;0,002;-0,019;-0,584
20071214;0,038;0,038;0,08;0,08;-0,977
20071217;0,064;0,064;-0,025;-0,025;45,692
20071219;-0,068;-0,068;0,017;0,017;-0,979
20071220;0,002;0,003;0,002;0,003;22,077
20071221;0,061;0,17;0,061;0,13;4,267
20071227;0,029;-0,034;0,029;0;-0,663
20071228;0,001;0,071;0,001;0,071;-0,694
20080102;0,092;-0,016;0,092;-0,016;1,681
20080103;0;0;0;0;-0,934
20080104;0;0;0;0;4,103
20080107;-0,047;-0,047;-0,134;-0,135;9,338
20080108;-0,098;-0,098;-0,007;-0,007;-0,714
20080109;-0,049;-0,034;-0,049;-0,034;0,066
20080110;0,016;0;0,016;0;-0,985
20080111;-0,02;-0,02;-0,02;-0,02;9,286
20080114;0;0;0;0;7,514
20080115;0;0;-0,02;-0,021;-0,52
20080117;0;0;0,021;0,021;-0,976
20080118;0;0;0;0;0
20080121;0;0;-0,042;-0,042;110,857
20080122;-0,042;-0,042;0;0;-0,991
20080123;0,004;0,004;0,004;0,004;-0,714
20080124;0,299;0,515;0,082;0,212;2683
20080125;-0,057;-0,191;0,04;-0,071;-0,837
20080128;-0,099;-0,081;-0,019;-0,019;-0,293
20080129;0,039;0,019;0,027;0,027;0,175
20080130;0,019;0,038;0,004;0,004;-0,642
20080131;0,019;0;0,008;0,008;0,827
20080201;-0,08;-0,08;-0,045;-0,045;-0,996
20080204;0,047;0,047;0,047;0,047;135
20080205;-0,001;-0,001;-0,001;-0,001;-0,993
20080206;0;0;-0,047;-0,047;218
20080207;-0,056;-0,056;-0,009;-0,009;-0,002
20080208;-0,032;-0,032;-0,032;-0,032;1,066
20080211;0;0;0;0;-0,243
20080212;-0,045;-0,041;-0,047;-0,047;-0,477
20080213;0,039;0,034;0;0;0,43
20080214;-0,038;-0,038;0,002;0,002;-0,84
20080215;0,004;0,004;0,004;0,004;-0,988
20080218;0,034;0,034;0,034;0,034;363
20080220;0;0;0;0;0,201
20080222;0;0;0;0;-0,998
20080225;0;0;0;0;253
20080226;-0,042;0;-0,042;0;-0,15
20080227;0,043;0;0,043;0;-0,995
20080228;-0,041;0;-0,041;0;1
20080229;0,004;-0,038;0;-0,042;800
20080303;-0,004;-0,004;0;0;-0,996
20080304;0;0;0;0;-0,857
20080305;0;0;0;0;0
20080306;0;0;0;0;177
20080307;0;0;0;0;-0,927
20080310;0;0;0;0;-0,462
20080311;0;0;0;0;0
20080312;-0,022;0;-0,022;0;22,714
20080313;0,022;0;0;-0,022;-0,765
20080314;0;0,004;-0,022;0,027;6,154
20080317;-0,041;0;0;0;-0,971
20080318;-0,002;0;0;0;-0,5
20080319;0,05;0;0,05;0;2,25
20080320;-0,039;0,009;-0,039;0,009;0,077
20080325;0,05;0;0,05;0;4,071
20080326;0;0;-0,047;0;-0,437
20080327;-0,047;-0,005;0;-0,005;-0,9
20080328;-0,005;-0,047;-0,005;-0,047;-0,75
20080331;0,005;0,005;0,005;0,005;1
20080401;0;0;0;0;0
20080402;0,045;0,092;0,045;0,092;581
20080403;0,034;-0,01;0,034;-0,01;-0,687
20080404;-0,041;0,485;-0,041;0,485;11,761
20080407;0,549;0,01;0,224;-0,209;1,273
20080408;-0,21;-0,218;-0,098;-0,032;-0,549
20080409;-0,076;-0,069;-0,017;-0,083;-0,504
20080410;-0,062;-0,069;-0,052;-0,053;0,167
20080411;-0,029;-0,029;-0,016;-0,016;-0,871
20080414;0;0;-0,03;0,017;0,586
20080415;0;0;0,049;0;-0,996
20080416;0;0;0;0;35
20080417;0;0;0;0;0,222
20080418;-0,045;-0,004;-0,046;-0,004;3,966
20080421;0,069;0,068;-0,004;-0,043;13,073
20080422;-0,058;-0,095;-0,069;-0,072;-0,567
20080423;-0,079;-0,079;0,002;0,002;-0,727
20080424;0;0;-0,01;-0,01;0,205
20080425;0;0;0,009;0,009;-0,992
20080428;-0,047;-0,047;-0,097;-0,05;349,714
20080429;-0,01;-0,01;0,044;-0,008;-0,888
20080430;0;0;0;0;1,112
20080505;0,008;0,008;0,008;0,008;-0,751
20080506;-0,035;-0,028;-0,047;-0,028;10,772
20080507;0,003;0,009;0,015;0,009;-0,749
20080508;0,005;-0,009;0,005;-0,009;-0,152
20080509;-0,003;0,21;-0,003;0,16;9,679
20080512;0,171;-0,035;0,137;-0,022;-0,879
20080513;-0,042;-0,029;-0,014;0;1,008
20080514;0,014;0;0,014;0;-0,766
20080515;-0,017;-0,017;-0,017;-0,017;-0,477
20080516;0;0;0;0;3,129
20080519;-0,025;-0,025;-0,025;-0,025;0,159
20080520;-0,003;-0,003;-0,029;-0,029;0,052
20080521;-0,052;-0,052;-0,027;-0,027;-0,277
20080523;-0,015;0,015;-0,016;0,015;1,796
20080526;0,03;0;-0,024;-0,053;-0,44
20080527;-0,053;-0,053;0;0;-0,781
20080528;0;0;0;0;-0,434
20080529;-0,007;-0,007;-0,007;-0,007;-0,878
20080602;0;0;0;0;-0,9
20080603;0,011;0,1;0,011;0,1;2083
20080604;0,057;-0,029;0;-0,067;1,216
20080605;-0,049;-0,049;-0,01;-0,016;-0,419
20080606;-0,008;0,104;-0,012;0,021;1,827
20080609;-0,019;-0,099;0;-0,03;-0,727
20080610;0,026;0,014;0,012;0;-0,742
20080611;-0,003;-0,013;-0,079;-0,001;6,796
20080612;-0,061;-0,061;0,001;-0,052;-0,681
20080613;-0,029;-0,001;-0,001;-0,025;-0,872
20080616;0,006;-0,011;0,006;0,014;-0,988
20080617;0,023;0,012;-0,003;-0,014;873,5
20080618;-0,028;-0,001;-0,015;0,026;0,37
20080619;0,029;0;-0,017;-0,028;-0,543
20080620;-0,061;-0,028;-0,006;0;-0,786
20080623;0,047;0,011;0,006;0,011;11,667
20080624;-0,028;-0,001;0,012;-0,001;-0,248
20080625;0,028;0,017;0,028;0,017;0,412
20080626;0,018;0,001;0,005;-0,012;-0,514
20080627;0,011;0,017;0,024;0,03;-0,905
20080630;-0,027;-0,033;-0,027;-0,033;-0,993
20080701;0,028;0,028;0,028;0,028;0
20080702;0;0;0;0;0
20080703;-0,001;-0,001;-0,001;-0,001;0
20080704;0;0;0;0;0
20080707;0,001;0,001;0,001;0,001;0
20080708;0;0;0;0;0
20080709;0;0,002;0;0,002;895
20080710;0,002;0;0,002;0;-0,191
20080711;-0,002;-0,002;-0,002;-0,002;-0,999
20080714;0;0;0;0;0
20080715;0;0;0;0;0
20080716;0;0;0;0;21
20080717;0;0;0;0;-0,955
20080718;0;0;0;0;0
20080721;-0,008;-0,008;-0,026;-0,026;655
20080722;-0,053;-0,042;-0,069;-0,024;0,256
20080723;0,006;-0,006;0,042;-0,006;-0,204
20080724;0,046;0,046;0,046;0,046;-0,989
20080725;0;0;0;0;11,571
20080729;0,033;0,033;0,033;0,033;0
20080731;0;0;0;0;-0,989
20080801;0;0;0;0;0
20080804;0;0;0;0;0
20080805;0;0;0;0;29
20080807;0,016;0,016;0,016;0,016;4,3
20080808;0,005;0,005;0,005;0,005;-0,994
20080812;-0,01;-0,01;-0,045;-0,045;168
20080813;-0,024;-0,024;0,011;0,011;-0,994
20080814;0;0;0;0;711
20080819;0,037;0,038;-0,017;-0,017;0,709
20080825;-0,087;-0,074;-0,037;-0,023;-0,824
20080826;0,015;0;0,015;0;-0,995
20080827;0;0;0;0;0
20080828;0;0;0;0;0
20080829;0;0;0;0;0
20080901;0;0;0;0;0
20080902;0;0;0;0;0
20080903;0;0;0;0;39
