Date;Open;High;Low;Close;Volume
20090716;0;0;0;0;0
20090717;-0,488;-0,488;-0,196;-0,12;-0,405
20090720;-0,101;-0,079;0,066;0,006;-0,294
20090721;0;-0,023;-0,006;0;-0,82
20090722;-0,053;-0,012;-0,118;-0,135;-0,183
20090723;0;-0,036;0,042;0,102;-0,434
20090724;-0,006;-0,012;-0,088;-0,025;5,378
20090727;-0,038;0;-0,081;-0,139;1,461
20090728;-0,123;-0,138;-0,113;-0,132;2,352
20090729;-0,118;-0,138;0,009;0,009;-0,888
20090730;0;0;-0,126;-0,042;3,528
20090731;-0,05;-0,034;-0,021;-0,079;0,912
20090803;-0,071;0,017;0;0,067;0,118
20090804;0,086;0,128;0,011;-0,054;6,388
20090805;-0,07;-0,136;0,052;0,019;-0,929
20090806;0;-0,07;-0,049;-0,037;4,237
20090807;-0,038;-0,019;0,021;-0,01;-0,935
20090810;0,029;0,173;0,071;0,136;11,774
20090811;0,124;0;0,019;-0,077;-0,651
20090812;-0,102;-0,082;-0,028;0,028;-0,781
20090813;0,047;0,054;0,067;0,045;0,343
20090814;0,045;0,017;0,009;-0,034;1,008
20090817;-0,009;0,075;0;0,098;1,236
20090818;0,07;0,015;0,098;0,057;-0,572
20090819;0,065;0,183;0,008;0,192;1,806
20090820;0,298;0,097;0,145;-0,032;0,341
20090821;-0,118;-0,118;-0,028;0;-0,606
20090824;-0,013;0,093;0;0,033;0,299
20090825;0,027;-0,049;0,065;-0,019;-0,697
20090826;-0,033;-0,026;-0,041;-0,066;0,108
20090827;-0,041;-0,046;-0,035;-0,021;0,501
20090828;0,007;0,041;0,007;0,036;0,277
20090831;0,056;0;0,022;0;-0,637
20090901;-0,027;-0,033;-0,036;-0,035;0,453
20090902;-0,048;-0,048;-0,074;-0,079;-0,063
20090903;-0,079;-0,05;-0,032;-0,055;-0,503
20090904;-0,008;-0,038;0,008;0,041;-0,867
20090907;0,008;0,063;0,008;0,032;20,804
20090908;0,016;0,096;0,008;0,069;0,282
20090909;0,031;-0,074;0,065;-0,036;-0,691
20090910;-0,015;-0,022;-0,053;-0,03;-0,126
20090911;-0,053;0;0;0,023;-0,269
20090914;0,016;0;-0,168;-0,188;27,318
20090915;-0,118;-0,164;-0,087;0,009;1,093
20090916;-0,045;0,08;0,116;0,046;-0,757
20090917;0,103;-0,025;0,038;0,009;-0,805
20090918;-0,034;-0,034;0;-0,009;-0,883
20090921;-0,009;-0,009;-0,036;-0,018;-0,319
20090922;-0,018;-0,018;-0,028;-0,036;20,161
20090923;-0,009;-0,009;-0,029;-0,019;-0,168
20090924;-0,036;0,027;0,02;0,009;-0,239
20090925;0,009;-0,035;0,039;0;-0,908
20090928;0;-0,018;-0,047;0;1,666
20090929;0;0;0,03;-0,028;-0,613
20090930;-0,009;0;0;0,029;1,938
20091001;0,028;0,019;-0,01;0;-0,469
20091002;-0,018;-0,018;0;-0,028;0,879
20091005;-0,009;-0,009;-0,019;0,019;-0,593
20091006;0,009;0,066;0,04;0,019;4,936
20091007;0,037;-0,018;0,019;0,028;-0,481
20091008;0,009;0,009;0;0;0,111
20091009;-0,009;-0,009;0,028;-0,009;-0,887
20091012;-0,009;-0,009;-0,045;-0,009;10,235
20091013;0;0;0;-0,009;-0,517
20091014;-0,018;-0,018;0;-0,028;0,286
20091015;0;0;-0,019;0,029;0,821
