Date;Open;High;Low;Close;Volume
19971128;0;0;0;0;0
19971202;-0,509;-0,509;-0,302;-0,302;-0,956
19971203;0,071;0,071;0,071;0,071;0,27
19971204;-0,048;0;-0,133;-0,133;3,505
19971205;-0,09;-0,133;0;0;-0,865
19971208;-0,055;-0,055;-0,055;-0,055;1,521
19971210;-0,093;-0,093;-0,093;-0,093;0,392
19971212;-0,064;-0,064;-0,064;-0,064;-0,63
19971215;-0,027;0,041;-0,027;0,041;7,559
19971222;0;-0,066;0;-0,066;-0,978
19971230;0;0;0;0;3,735
19971231;0;0;0;0;1,224
19980105;0;0;-0,155;-0,155;1,205
19980106;-0,014;-0,014;0,167;0,167;-0,773
19980108;0;0;0;0;1,479
19980109;0,057;0,057;0,057;0,057;-0,193
19980113;0;0;0;0;0,14
19980114;0,081;0,081;0,081;0,081;-0,561
19980115;0,006;0,112;0,006;0,112;3,749
19980116;0,031;-0,056;0,031;-0,056;-0,583
19980119;0,024;0,125;0,024;0,125;2,279
19980120;-0,035;-0,132;-0,153;-0,217;1,072
19980127;-0,159;-0,159;-0,042;-0,068;-0,902
19980128;0,138;0,138;0,138;0,138;-0,25
19980129;-0,121;-0,045;-0,121;-0,083;7,148
19980130;0,087;0;0,08;0,035;-0,725
19980202;-0,08;-0,08;-0,168;-0,074;0,329
19980203;-0,072;0,014;0,032;0,014;-0,634
19980204;0,031;-0,057;0,031;-0,057;0,426
19980205;-0,015;-0,015;-0,061;-0,061;0,741
19980206;-0,015;-0,015;0,032;0,032;-0,657
19980210;0,172;0,172;0,172;0,172;-0,023
19980213;-0,12;-0,12;-0,12;-0,12;0,112
19980216;-0,015;-0,015;-0,03;-0,03;0,94
19980218;0,108;0,138;0,125;0,156;1,061
19980219;0,069;0,115;0,042;0,115;2,773
19980220;0,104;0,152;0,133;0,048;-0,503
19980223;0,059;0,095;0,059;0,202;-0,144
19980224;0,167;0,058;0,156;0,058;1,304
19980225;0,076;0,086;0,077;0,086;-0,4
19980226;0,058;0,017;-0,018;-0,079;-0,198
19980227;-0,042;-0,058;0,018;0,041;0,782
19980302;0,114;0,201;0,112;0,175;-0,373
19980303;0,055;-0,022;-0,024;-0,097;0,96
19980304;-0,112;-0,082;-0,041;0,008;-0,317
19980305;0;-0,032;-0,017;-0,057;-0,716
19980306;0,008;0,008;0,044;0,043;1,023
19980309;-0,025;-0,025;-0,025;-0,033;-0,408
19980310;-0,038;-0,017;-0,03;-0,017;-0,284
19980311;0;-0,022;-0,044;-0,057;-0,093
19980312;-0,062;-0,062;-0,019;-0,019;-0,574
19980313;0,019;0,019;0,019;0,019;0,5
19980316;0,019;0,028;-0,028;0,019;3,533
19980317;-0,009;-0,018;-0,038;-0,082;-0,052
19980318;-0,046;-0,046;-0,01;-0,01;-0,433
19980319;0;0;0,04;0,04;-0,727
19980320;0,01;0,01;0,01;0,01;-0,601
19980323;-0,048;-0,048;-0,048;-0,048;1,503
19980324;-0,05;-0,05;-0,05;-0,05;3,14
19980325;0,053;0,2;0,021;0,2;16,218
19980326;0,06;-0,009;0,093;-0,009;-0,67
19980327;0,019;0,013;0;0,013;-0,094
19980330;0,019;0,131;0,038;0,131;0,509
19980331;0,086;-0,039;-0,027;-0,174;-0,903
19980401;-0,033;-0,072;0,028;0,028;0,558
19980402;-0,048;-0,048;-0,064;-0,064;-0,362
19980406;-0,045;-0,045;0,01;0,01;-0,032
19980407;-0,038;-0,01;-0,029;-0,019;0,996
19980408;0,03;0;-0,03;-0,039;-0,387
19980409;0;0;0,061;0,061;-0,727
19980414;0,038;0,038;-0,01;-0,01;5,318
19980415;0,019;0,019;-0,029;-0,029;0,187
19980416;-0,091;-0,091;-0,05;-0,05;0,067
19980417;-0,09;-0,065;-0,084;-0,053;0,437
19980420;-0,077;-0,08;-0,04;-0,067;0,565
19980421;-0,006;-0,029;-0,042;-0,048;-0,038
19980422;-0,09;-0,042;-0,05;-0,05;0,027
19980423;0,053;0;0,007;0,033;0,268
19980424;-0,019;0,088;0,026;0,108;-0,353
19980427;0,121;0,011;0,108;0;-0,794
19980429;-0,08;-0,08;-0,069;-0,069;-0,667
19980506;-0,012;-0,012;-0,012;-0,012;-0,19
19980508;0,012;0,012;0,012;0,012;0,234
19980512;0;0;0;0;-0,5
19980514;0,006;0,006;0,006;0,006;1
19980515;-0,006;-0,006;-0,006;-0,006;0,7
19980518;-0,012;0;-0,012;0;0,024
19980519;0,012;0;-0,012;-0,025;0,884
19980520;0;0;0,013;0,013;-0,658
19980521;0;0,012;0;0;4,436
19980522;0,012;0;0,012;0,012;-0,54
19980527;-0,024;-0,024;-0,012;-0,012;-0,357
19980528;-0,012;-0,012;-0,012;-0,012;0,277
19980601;-0,013;-0,013;-0,025;-0,025;0,131
19980604;0,038;0,038;0,052;0,052;-0,527
19980605;-0,012;-0,012;-0,012;-0,012;-0,187
19980608;-0,038;-0,038;-0,038;-0,038;-0,661
19980609;0;0,026;-0,013;0,013;28,782
19980615;-0,013;-0,038;0;-0,026;-0,901
19980616;-0,053;-0,053;-0,053;-0,053;0
19980618;-0,014;-0,014;-0,014;-0,014;0,75
19980619;-0,014;-0,014;-0,014;-0,014;-0,109
19980709;0,007;0,007;0,007;0,007;-0,359
19980713;-0,007;-0,007;-0,007;-0,007;1
19980720;-0,071;-0,071;-0,143;-0,143;1,07
19980721;0;0;0,083;0,083;-0,275
19980722;0,108;0,231;0,108;0,231;2,666
19980724;0,111;0;0,09;-0,019;-0,864
19980729;-0,088;-0,088;-0,07;-0,07;0,207
19980731;0,068;0,068;0;0,027;1,209
19980803;0,013;0,013;0,014;0,04;-0,675
19980804;-0,114;-0,114;-0,054;-0,103;-0,231
19980805;0,029;0,029;-0,071;-0,007;13,397
19980806;-0,035;-0,035;0,069;0;-0,979
19980807;0,014;0,014;0,014;0,014;-0,665
19980810;-0,121;-0,092;-0,121;-0,092;9,931
19980811;0,016;-0,016;0,016;-0,016;0,091
19980813;0,079;0,079;0,079;0,079;-0,916
19980818;-0,074;-0,074;-0,074;-0,074;15,306
19980819;0,095;0,095;0,095;0,095;-0,939
19980820;-0,101;0,007;-0,101;0,007;10,639
19980821;-0,016;-0,022;-0,04;-0,022;0,128
19980826;0,016;-0,088;0,042;-0,088;-0,242
19980827;-0,024;0,04;-0,024;0,04;1,099
19980828;0,066;0;-0,041;-0,101;-0,381
19980831;-0,078;-0,078;0,026;0,026;-0,923
19980901;-0,076;0,034;-0,109;0;12,917
19980902;-0,036;-0,114;-0,094;-0,084;1,715
19980907;-0,057;-0,083;0,042;-0,083;-0,605
19980914;0,01;0,01;0,01;0,01;-0,933
19980921;-0,158;-0,099;-0,158;-0,099;9,931
19980922;0,106;0,033;0,106;0,033;-0,09
19980923;0,074;0,074;0,074;0,074;-0,899
19980928;-0,168;0;-0,168;0;9,931
19980930;-0,071;-0,119;-0,071;-0,188;1,82
19981009;0,141;0;0,141;0,085;-0,968
19981020;-0,191;-0,191;-0,191;-0,191;12,917
19981021;0,069;0,069;0,069;0,069;-0,928
19981022;-0,065;-0,065;-0,065;-0,065;8,944
19981023;-0,028;0,056;-0,056;0,056;0,599
19981026;0,014;-0,066;0,044;-0,066;-0,812
19981027;-0,014;-0,014;-0,099;-0,099;6,158
19981029;0;0;-0,031;-0,031;0,396
19981030;-0,1;0;-0,032;-0,032;-0,134
19981102;-0,016;-0,114;0,033;0,033;0,146
19981103;0;0;0;0;-0,832
19981105;0,065;0,065;0,065;0,065;3
19981110;-0,061;0;-0,061;0;0
19981112;0,065;0;0,032;-0,03;0,899
19981116;0;0;-0,125;-0,125;1,337
19981117;-0,061;-0,061;0,107;0,107;-0,887
19981123;0,145;0,145;0,145;0,145;-0,899
19981124;-0,014;-0,014;-0,014;-0,014;48,708
19981125;0,029;0,029;0;0;-0,76
19981127;-0,028;-0,028;0;0;2,759
19981130;0;0;0;0;-0,978
19981201;0,029;0,029;0,029;0,029;18,889
19981202;-0,014;-0,014;-0,014;-0,014;-0,5
19981208;0,014;0,042;-0,155;-0,155;8,999
19981209;-0,167;-0,189;-0,033;-0,033;-0,35
19981210;0,183;0,183;0,017;0,017;-0,231
19981211;-0,042;-0,042;-0,034;-0,034;-0,3
19981215;-0,029;-0,029;0,105;0,105;0,142
19981217;-0,045;0,076;0;0,127;0,275
19981218;0,143;0,014;0,143;0,014;-0,961
19981221;-0,056;0,167;-0,056;0,167;15,021
19981229;0,029;0,012;0,029;0,012;0,281
19990104;0,143;-0,059;0,029;-0,153;0,244
19990105;-0,05;0;0,056;0,111;-0,61
19990111;0,079;0,025;0,079;0,025;-0,9
19990112;0,073;0,073;0,073;0,073;11,517
19990113;-0,045;-0,045;-0,045;-0,045;0,599
19990114;0,024;0,024;0,012;0,012;-0,4
19990115;-0,023;-0,012;-0,012;0;0,25
19990126;0,107;0,153;0,107;0,153;1,5
19990127;0,086;0,031;0,086;0,031;-0,867
19990129;0;0;0;0;1
19990201;0,03;0,059;0,03;0,059;0,999
19990202;0,038;0,121;0,038;0,121;0,75
19990203;0,157;0,067;0,157;0,067;-0,714
19990204;0,056;0,062;0,024;0;0,75
19990205;0,061;0,066;0,094;0,133;0,285
19990209;-0,071;-0,034;-0,071;-0,034;-0,222
19990211;0,123;0,043;0,1;0,021;-0,429
19990217;-0,014;-0,014;0,007;0,007;-0,5
19990219;-0,028;-0,028;-0,139;-0,139;4,729
19990224;-0,029;-0,029;0,097;0,097;-0,825
19990301;-0,118;-0,118;-0,14;-0,14;1
19990302;-0,033;-0,033;-0,009;-0,009;4,249
19990304;0;0;0;0;-0,73
19990305;0,034;0,034;0,034;0,034;-0,717
19990308;0,15;0,15;0,05;0,05;1,499
19990309;-0,087;-0,087;0;0;-0,5
19990310;0;0,016;0;0,016;5,619
19990316;-0,032;-0,047;-0,032;-0,047;-0,81
19990317;0;0,148;0;0,148;6,54
19990318;0,016;-0,043;0;-0,043;2,763
19990319;0,129;0,045;0,148;0,045;-0,972
19990322;0,029;0,029;0;0;3,499
19990323;-0,028;0;0;0,029;3,334
19990324;0,043;0,014;0,043;0,014;-0,877
19990325;-0,041;0,014;-0,041;-0,014;6,602
19990326;0,086;0,027;-0,014;-0,028;-0,223
19990329;-0,092;-0,092;0;-0,014;-0,929
19990330;0,029;0,08;0,029;0,08;17,137
19990331;0,014;0,02;0,014;0,02;0,249
19990401;0,139;0,079;0,139;0,079;-0,956
19990406;0,012;0,012;0,012;0,012;2,369
19990407;-0,06;0,03;-0,06;0,03;4,992
19990408;0,026;-0,041;0,026;-0,041;0,024
19990409;-0,025;0,018;-0,025;0,018;-0,327
19990412;0,064;0,012;0,051;0,006;0,944
19990413;0,024;0,124;0,037;0,083;0,367
19990414;0,176;0,063;0,071;0,11;-0,13
19990415;0,01;0,134;0,071;0,119;0,018
19990416;0,089;0,087;0,046;0,102;-0,069
19990419;0,041;0,048;0,118;0,048;0,559
19990420;-0,004;-0,008;0;-0,069;-0,509
19990421;0,048;0,008;0,048;0,016;1,136
19990422;0,042;0,123;0,033;0,186;-0,131
19990423;0,12;0,184;0,065;0,034;3,404
19990426;0,079;0,029;0,144;0,178;-0,223
19990427;0,126;0,062;0,093;0,056;-0,004
19990428;0,047;0,053;0,079;0,058;-0,738
19990429;0,068;0;0,068;0;0,404
19990430;0,026;0,09;0,021;0,09;2,089
19990504;0,077;0,055;0;0,055;-0,866
19990505;0,014;0;0,088;0;0,501
19990506;-0,009;0,065;0;0;-0,362
19990507;0;0,061;-0,005;0,131;0,031
19990510;0,067;0,008;0,072;0,008;5,493
19990511;0,156;0,088;0,156;0,088;-0,113
19990512;0;0,053;0;0,053;-0,704
19990513;0,058;0,033;0,058;0,033;-0,633
19990514;0,055;0,006;0,055;0;0,787
19990517;0,035;0,006;-0,052;0,013;1,506
19990518;-0,033;-0,013;0,026;-0,013;0,045
19990519;0;0;0,028;0;-0,539
19990520;0,035;0;0;0;-0,123
19990521;-0,027;0,065;-0,035;0,065;5,989
19990524;0,062;0;0,043;0;-0,794
19990525;-0,055;0;0,003;0;0,161
19990526;0,024;0;0,024;-0,003;0,322
19990527;0,017;-0,006;0,007;-0,003;1,118
19990528;0,016;0;0;0;-0,803
19990531;-0,016;0,035;0,003;0,035;4,066
19990601;0,043;0;0;0;-0,348
19990602;-0,028;-0,04;-0,01;-0,04;-0,394
19990607;-0,062;0,134;-0,05;0,134;-0,231
19990608;0,035;0;0,053;0;3,171
19990609;0,073;-0,129;0,053;-0,129;-0,847
19990610;0,012;0,079;0,029;0,079;1,004
19990611;-0,037;0,02;-0,071;0,02;0,826
19990614;-0,006;-0,117;0,01;-0,14;-0,106
19990615;-0,006;0,019;0;0,046;-0,682
19990616;0,019;0,068;0,033;0,068;-0,276
19990617;0,035;-0,004;-0,032;-0,004;2,462
19990618;-0,061;0,09;0,007;0,046;-0,178
19990621;0,168;0;0,095;0,042;-0,926
19990622;-0,102;-0,003;-0,042;-0,011;21,81
19990623;0;-0,041;0;-0,033;0,121
19990624;0,009;-0,041;0,003;-0,041;-0,913
19990625;-0,006;-0,015;0;-0,015;5,223
19990628;0,05;0,133;0,05;0,133;-0,292
19990629;0,037;0,003;0,037;0,003;0,8
19990630;0,023;0,032;0,023;0,032;0,383
19990701;0,153;0,059;0,058;0,043;-0,512
19990702;-0,014;0,012;0,008;0,027;-0,521
19990705;0,005;0,021;0,021;0,021;0,44
19990706;-0,027;0,037;0,008;0,037;3,864
19990707;0,128;0,014;0,094;0;-0,891
19990708;-0,044;-0,013;-0,063;0;0,73
19990709;-0,016;-0,011;0,005;-0,011;0,148
19990712;0,05;0,023;0,02;0,023;0,31
19990713;-0,056;-0,002;0,01;-0,002;0,312
