Date;Open;High;Low;Close;Volume
19970506;0;0;0;0;0
19970507;-0,035;-0,035;-0,035;-0,035;-0,7
19970508;-0,036;-0,036;-0,036;-0,036;-0,498
19970509;0,011;0,011;0,011;0,011;1,789
19970512;-0,011;-0,011;-0,011;-0,011;0,236
19970513;-0,007;-0,007;-0,007;-0,007;-0,332
19970514;0,004;0,004;0,004;0,004;-0,373
19970515;0,012;0,012;0,012;0,012;-0,689
19970516;0;0;0;0;0,911
19970519;0;0;0;0;0,044
19970520;-0,015;-0,015;-0,015;-0,015;0,481
19970521;-0,007;-0,007;-0,007;-0,007;0,203
19970522;0;0;0;0;0,546
19970523;-0,008;-0,008;-0,008;-0,008;-0,287
19970526;-0,031;-0,031;-0,031;-0,031;0,336
19970527;-0,032;-0,032;-0,032;-0,032;-0,6
19970528;0,004;0,004;0,004;0,004;1,114
19970530;0,012;0,012;0,012;0,012;-0,819
19970602;0,016;0,016;0,016;0,016;4,361
19970603;0,008;0,008;0,008;0,008;-0,361
19970604;0;0;0;0;-0,513
19970605;-0,008;-0,008;-0,008;-0,008;1,244
19970606;0,008;0,008;0,008;0,008;-0,122
19970609;0,012;0,012;0,012;0,012;0,328
19970610;0,035;0,035;0,035;0,035;0,091
19970611;0,042;0,042;0,042;0,042;-0,747
19970612;0,058;0,058;0,058;0,058;2,603
19970613;0,034;0,034;0,034;0,034;1,428
19970616;0,013;0,013;0,013;0,013;-0,499
19970617;-0,013;-0,013;-0,013;-0,013;-0,518
19970618;-0,017;-0,017;-0,017;-0,017;0,153
19970619;0,003;0,003;0,003;0,003;0,083
19970620;0,027;0,027;0,027;0,027;0,183
19970623;-0,023;-0,023;-0,023;-0,023;-0,008
19970624;-0,014;-0,014;-0,014;-0,014;-0,134
19970625;0,01;0,01;0,01;0,01;0,348
19970626;-0,01;-0,01;-0,01;-0,01;0,009
19970627;0,01;0,01;0,01;0,01;-0,545
19970630;-0,01;-0,01;-0,01;-0,01;-0,089
19970701;-0,013;-0,013;-0,013;-0,013;0,315
19970702;-0,014;-0,014;-0,014;-0,014;0,444
19970703;0;0;0;0;-0,494
19970704;-0,007;-0,007;-0,007;-0,007;-0,203
19970707;0,007;0,007;0,007;0,007;-0,341
19970708;0,007;0,007;0,007;0,007;-0,559
19970709;0,02;0,02;0,02;0,02;1,488
19970710;0,004;0,004;0,004;0,004;1,12
19970711;0;0;0;0;-0,447
19970714;-0,017;-0,017;-0,017;-0,017;1,3
19970715;-0,024;-0,024;-0,024;-0,024;0,007
19970716;0,007;0,007;0,007;0,007;-0,034
19970717;0,007;0,007;0,007;0,007;0,115
19970718;0,011;0,011;0,011;0,011;-0,462
19970721;-0,007;-0,007;-0,007;-0,007;-0,226
19970722;0,007;0,007;0,007;0,007;2,198
19970723;0;0;0;0;-0,09
19970724;-0,014;-0,014;-0,014;-0,014;0,224
19970725;0;0;0;0;-0,891
19970728;-0,004;-0,004;-0,004;-0,004;1,237
19970729;-0,007;-0,007;-0,007;-0,007;-0,411
19970730;0,007;0,007;0,007;0,007;1,81
19970731;0,004;0,004;0,004;0,004;-0,009
19970801;-0,014;-0,014;-0,014;-0,014;0,404
19970804;0,015;0,015;0,015;0,015;-0,087
19970805;-0,007;-0,007;-0,007;-0,007;-0,448
19970806;0,014;0,014;0,014;0,014;0,647
19970807;0,007;0,007;0,007;0,007;1,003
19970808;0,055;0,055;0,055;0,055;-0,168
19970811;0,033;0,033;0,033;0,033;0,144
19970812;0;0;0;0;0,262
19970813;0,012;0,012;0,012;0,012;0,321
19970814;0;0;0;0;-0,53
19970818;-0,05;-0,05;-0,05;-0,05;0,163
19970819;0,013;0,013;0,013;0,013;-0,032
19970820;0,019;0,019;0,019;0,019;-0,382
19970821;0,023;0,023;0,023;0,023;0,341
19970822;0,006;0,006;0,006;0,006;-0,607
19970825;0,009;0,009;0,009;0,009;1,23
19970826;0;0;0;0;-0,509
19970827;0,009;0,009;0,009;0,009;1,079
19970828;0,009;0,009;0,009;0,009;-0,373
19970829;0,003;0,003;0,003;0,003;-0,506
19970901;-0,033;-0,033;-0,033;-0,033;-0,483
19970902;-0,006;-0,006;-0,006;-0,006;0,419
19970903;0,035;0,035;0,035;0,035;2,376
19970904;0,015;0,015;0,015;0,015;-0,133
19970905;0;0;0;0;0,384
19970908;0,041;0,041;0,041;0,041;-0,43
19970909;0;0;0;0;0,851
19970910;0,011;0,011;0,011;0,011;0,335
19970911;-0,011;-0,011;-0,011;-0,011;-0,203
19970912;-0,006;-0,006;-0,006;-0,006;0,18
19970915;-0,012;-0,012;-0,012;-0,012;-0,592
19970916;0;0;0;0;-0,348
19970917;-0,006;-0,006;-0,006;-0,006;1,023
