Date;Open;High;Low;Close;Volume
20120525;0;0;0;0;0
20120528;-0,083;-0,083;-0,006;-0,006;-0,997
20120531;0;0;-0,189;-0,189;48,5
20120601;-0,124;-0,124;0,08;0,08;-0,778
20120613;-0,006;0,011;-0,046;-0,006;80,136
20120614;0;-0,017;-0,042;-0,055;0,137
20120615;-0,054;-0,054;0,012;-0,015;-0,991
20120618;-0,015;-0,015;-0,001;-0,001;52,632
20120619;-0,014;-0,014;-0,017;-0,017;-0,891
20120620;0;0;-0,031;-0,031;-0,685
20120621;0;0;0,009;0,023;42,857
20120622;-0,014;-0,014;-0,04;-0,004;-0,622
20120625;0;0;0,052;0;-0,371
20120626;-0,024;-0,024;-0,066;-0,019;0
20120627;0;0;0;0;1,715
20120628;0;0;0,05;0;-0,995
20120629;-0,026;-0,026;-0,077;-0,032;212,2
20120702;-0,007;-0,007;-0,003;0;-0,675
20120703;0;0;-0,048;-0,007;2,636
20120704;0;0;0,104;0,007;-0,996
20120705;0;0;-0,054;-0,047;1052
20120706;-0,054;-0,054;-0,05;-0,007;-0,943
20120709;0;0;0,052;0;-0,983
20120710;0;0;-0,018;0;0,4
20120711;0;0;0,019;0;-0,857
20120712;0;0;-0,057;-0,014;1123
20120713;-0,014;-0,014;0,045;0;-0,991
20120716;-0,022;-0,022;-0,022;-0,022;-0,5
20120717;0,007;0,007;-0,016;-0,016;3
20120719;-0,023;-0,023;0;0;-0,75
20120720;0,001;0,001;0,001;0,001;0
20120724;-0,063;0;-0,063;0;-0,4
20120726;0,067;0;0,067;0;2,333
20120801;-0,001;-0,001;-0,001;-0,001;-0,5
20120806;-0,048;-0,006;-0,048;-0,006;224
20120807;0,044;0;0,044;0;-0,999
20120808;0;0;0;0;4
20120809;0;0;0;0;1
20120810;0;0;-0,11;-0,11;124,5
20120813;0;0;0,123;0,123;-0,984
20120814;0;0;0;0;-0,75
20120816;0;0;0;0;0
20120817;-0,015;-0,015;-0,015;-0,015;1
20120820;0;0;0;0;-0,7
20120821;0;0;0;0;0,667
20120822;0;0;0;0;0
20120823;0;0;0;0;0
20120824;0;0;0;0;0
20120827;0;0;0;0;1
20120828;0;0;0;0;-0,5
20120829;0;0;0;0;0
20120830;0;0;0;0;13,2
20120831;0;0;0;0;-0,085
20120903;0;0;0;0;-0,846
20120904;-0,099;0;-0,099;0;6,5
20120905;0,11;0;0,11;0;-0,867
20120906;0;0;-0,084;-0,084;30,2
20120907;-0,085;-0,085;-0,003;-0,003;-0,647
20120910;0,002;0,002;-0,055;0,003;-0,6
20120911;0;0;-0,041;-0,072;31,932
20120912;-0,005;-0,005;0,101;0,072;-0,997
20120913;0;0;-0,101;-0,072;516,2
20120914;0;0;0,112;0,078;-0,999
20120917;-0,087;0;-0,196;-0,196;1308,333
20120918;-0,112;-0,121;0,008;0,094;-0,87
20120919;0,085;0;0,085;0;-0,99
20120920;0,067;0,067;-0,055;-0,011;304
20120921;-0,071;-0,071;0,048;0,002;-0,991
20120924;0;0;0;0;-0,615
20120925;-0,038;-0,038;-0,135;-0,038;46,8
20120926;0;0;0,111;0;-0,979
20120927;0,05;0,05;0,05;0,05;-0,8
20120928;0;0;0;0;9
20121001;0;0;0;0;-0,6
20121002;0;0;0;0;0,25
20121003;0;0;0;0;0
