Date;Open;High;Low;Close;Volume
19990729;0;0;0;0;0
19990730;-0,006;-0,048;0,011;-0,02;-0,967
19990802;0,006;0,011;0;0,006;1,047
19990803;0,023;0,011;0,017;-0,001;-0,752
19990804;-0,022;-0,013;-0,007;-0,007;-0,527
19990805;0,006;-0,004;-0,124;-0,07;2,053
19990806;-0,07;-0,07;0,057;0;-0,687
19990809;-0,018;-0,018;-0,05;-0,054;-0,728
19990810;-0,108;-0,045;-0,073;-0,046;25,296
19990811;0,021;-0,035;0,006;0,006;-0,968
19990812;0,01;0,053;0,033;0,059;10,334
19990813;0,053;-0,003;0,039;-0,016;-0,811
19990816;-0,02;-0,007;-0,007;-0,007;-0,309
19990817;-0,008;-0,022;-0,063;-0,036;5,391
19990818;-0,052;-0,042;-0,059;-0,085;-0,815
19990819;-0,053;-0,063;0,01;0,01;-0,686
19990820;0,03;0,038;0,022;0,038;4,366
19990823;0,008;0,015;0,015;0,007;2,684
19990824;0,013;0,006;0,009;0,002;-0,702
19990825;-0,003;-0,003;-0,043;-0,043;2,771
19990826;-0,045;-0,044;-0,014;-0,014;-0,45
19990827;-0,022;-0,022;-0,016;0;-0,242
19990830;0,029;0,021;0,01;-0,006;-0,252
19990831;0,057;0,057;0,038;0,038;2,483
19990901;-0,021;-0,018;0,005;0,005;-0,673
19990902;-0,01;-0,006;-0,014;0,017;0,429
19990903;0;0,038;0,023;0,03;-0,504
19990907;0,052;0,02;0,032;0,02;0,552
19990908;-0,009;-0,001;0,006;-0,02;-0,352
19990909;0,012;-0,01;-0,01;0,002;-0,852
19990910;-0,022;-0,019;-0,01;-0,015;0,199
19990913;-0,004;0,015;0,01;0,025;-0,55
19990914;0,032;0,01;0,013;-0,006;2,077
19990915;0,001;0,016;0,02;0,032;1,228
19990916;0,02;0,02;0,013;0,02;0,562
19990917;0,014;0,092;0,007;0,078;1,124
19990920;0,07;-0,02;0,043;-0,043;0,486
19990921;-0,004;0,03;0,003;0,04;-0,523
19990922;0,015;0;0,031;0,01;0,161
19990923;-0,02;0,006;-0,003;-0,013;0,412
19990924;0,008;-0,036;-0,012;-0,01;-0,469
19990927;-0,013;0,001;-0,006;-0,017;-0,163
19990928;-0,01;-0,012;-0,024;-0,017;1,841
19990929;-0,022;-0,029;-0,003;-0,009;-0,871
19990930;-0,008;-0,015;-0,042;-0,022;1,612
19991001;-0,042;-0,031;-0,001;-0,011;-0,96
19991004;0,017;0,013;0,003;0,007;27,775
19991005;0,013;0,006;0,027;0,011;-0,928
19991006;-0,018;-0,004;-0,018;-0,004;4,484
19991007;-0,003;0,022;-0,003;0,022;0,269
19991008;0,023;0,001;0,023;-0,016;2,582
19991011;0,007;-0,011;-0,007;0;-0,676
19991012;-0,016;-0,01;-0,003;-0,003;-0,792
19991013;-0,013;-0,019;-0,013;-0,019;0,167
19991014;0;0;-0,039;-0,037;9,92
19991015;-0,041;-0,041;-0,031;-0,034;-0,871
19991018;-0,025;-0,025;-0,03;-0,006;16,21
19991019;-0,006;0,013;0,027;0,001;1,259
19991020;-0,003;0,007;-0,008;0;-0,891
19991021;-0,008;-0,037;0;-0,008;-0,983
19991022;0,049;0,049;0,049;0,049;-0,199
19991025;0;0;-0,031;-0,026;19,969
19991027;-0,023;-0,023;-0,002;0,003;-0,595
19991028;0,012;0,019;-0,003;-0,012;11,072
19991029;-0,022;-0,029;-0,023;-0,006;-0,332
19991101;-0,012;0;0,012;0,003;-0,708
19991102;0,003;-0,002;-0,086;-0,061;8,709
19991103;-0,081;-0,056;0;-0,008;0,069
19991104;0,007;-0,019;-0,003;-0,029;-0,552
19991105;0,021;0,031;0,022;0,035;1,207
19991108;-0,055;-0,065;-0,057;-0,068;-0,76
19991109;0,01;0,003;0,012;0,024;-0,878
19991110;-0,007;-0,007;-0,024;-0,037;1,79
19991111;-0,036;-0,009;-0,011;-0,011;2,945
19991112;0;0,009;0,011;0,03;-0,728
19991115;0,009;0,019;0,009;0,036;1,086
19991116;0,035;-0,012;0,016;-0,02;-0,327
19991117;-0,005;-0,005;-0,014;-0,024;5,05
19991118;-0,02;-0,003;-0,012;0,024;-0,297
19991119;-0,002;0;0,009;-0,019;0,278
19991122;-0,007;-0,026;-0,026;-0,021;3,387
19991123;-0,021;-0,012;-0,011;0,002;-0,795
19991124;0,007;0,092;0,025;0,083;1,844
19991126;0,108;0,039;0,085;0,029;-0,503
19991129;0,026;0,025;0,029;0;-0,464
19991130;-0,005;-0,012;-0,013;-0,005;0,643
19991201;-0,002;-0,019;-0,01;0,008;-0,815
19991202;0,005;0,014;0,013;0,017;8,705
19991203;-0,008;-0,005;0,015;-0,003;-0,919
19991206;-0,002;-0,002;-0,019;-0,001;6,876
19991207;-0,001;-0,011;0,01;-0,016;0,483
19991208;-0,011;-0,006;-0,001;-0,006;-0,859
19991209;0,014;0,089;0,01;0,072;31,738
19991210;0,109;0,07;0,106;0,042;0,024
19991213;0,026;0,031;0,033;0,07;-0,56
19991214;0,058;0,036;0,044;0,036;-0,3
19991216;0,067;0,038;0,019;-0,009;-0,485
19991217;-0,056;-0,05;-0,086;-0,045;-0,406
19991220;-0,038;0,013;0,048;0,045;1,267
19991221;0,064;0,005;0,035;0,016;-0,352
19991222;-0,01;0,009;-0,025;-0,045;-0,265
19991223;-0,011;-0,019;0,001;0,001;-0,804
19991227;-0,014;-0,023;-0,004;-0,004;-0,111
19991228;-0,011;-0,012;0,003;0,009;-0,432
19991229;0,004;0,001;0,008;0,008;4,618
19991230;-0,007;0,004;-0,024;-0,024;0,218
19991231;-0,024;-0,028;-0,007;-0,007;-0,714
20000103;0,007;0,085;0,007;0,085;30,162
20000104;0,058;-0,013;0,03;-0,03;-0,856
20000105;-0,013;-0,025;-0,07;-0,06;1,319
20000106;-0,078;-0,051;-0,001;-0,033;-0,894
20000107;0,003;0,008;0,017;0,053;1,157
20000110;0,035;0,103;0,032;0,076;5,407
20000111;0,072;0,127;0,061;0,107;-0,425
20000112;0,105;0,091;0,098;0,103;0,188
20000113;0,164;0,027;0,105;0,02;-0,152
20000114;-0,019;-0,015;0,033;-0,005;0,43
20000118;-0,028;-0,01;-0,022;0,005;-0,387
20000119;0,043;0,015;-0,019;-0,023;-0,305
20000120;-0,061;-0,049;-0,042;-0,035;0,074
20000121;-0,044;-0,055;-0,015;-0,034;-0,064
20000124;-0,022;-0,014;-0,018;-0,026;1,502
20000125;-0,023;-0,014;-0,044;-0,033;-0,58
20000126;0;0,029;0,041;0,079;0,027
20000127;0,073;0,042;0,064;0,027;1,415
20000128;0,025;0,008;0,008;0,011;-0,757
20000131;0;0,01;-0,006;0,022;3,487
20000201;-0,01;0,002;-0,006;-0,028;-0,815
20000202;0,01;-0,02;0,023;0,002;3,29
20000203;-0,037;0,022;-0,02;0,031;0,188
20000204;0,052;0,178;0,047;0,178;1,775
20000207;0,167;0,144;0,152;0,131;-0,458
20000208;0,156;0,05;0,176;0,039;-0,348
20000209;0,016;-0,036;-0,05;-0,082;-0,546
20000210;-0,049;-0,019;0,004;0,049;-0,577
20000211;0,008;0,004;0,008;-0,004;-0,143
20000214;0,016;0,054;0,008;0,066;2,26
20000215;0,074;0,102;0,087;0,102;0,011
20000216;0,091;0;0,069;-0,026;1,525
20000217;-0,017;-0,023;-0,065;-0,034;-0,327
20000218;-0,057;-0,057;-0,044;-0,074;-0,298
20000222;-0,054;0,025;0;0,076;-0,456
20000223;0,087;0,133;0,092;0,063;0,741
20000224;0,052;-0,052;0,049;0,003;0,845
20000225;0,023;0,023;0,02;0,036;1,087
20000228;0,023;0,013;0,026;0;-0,724
20000229;0;0,06;0,003;0,013;1,428
20000301;0,028;-0,021;0,01;0,013;-0,638
20000302;-0,015;-0,009;0,006;0,012;-0,081
20000303;0,022;0,009;0,006;0;-0,224
20000306;-0,003;0,118;0,003;0,126;-0,618
20000307;0,092;-0,008;0,049;-0,076;2,307
20000308;-0,02;-0,046;-0,038;-0,038;-0,607
20000309;-0,037;0,097;0;0,135;1,151
20000310;0,137;0,016;0,147;0,032;-0,832
20000313;-0,055;-0,069;-0,102;-0,079;20,241
20000314;0,005;0,003;-0,033;-0,077;-0,871
20000315;-0,033;0,011;0,068;0,105;0,108
20000316;-0,071;-0,112;-0,092;-0,097;-0,175
20000317;-0,012;-0,012;0,01;-0,018;-0,702
20000320;-0,009;-0,003;-0,094;-0,094;4,025
20000321;-0,119;-0,093;-0,035;0,01;0,596
20000322;0,057;0,089;0,068;0,089;-0,654
20000323;0,077;0,009;0,04;0,006;0,762
20000324;-0,034;-0,009;-0,019;-0,038;-0,677
20000327;0,019;-0,006;-0,026;-0,016;0,356
20000328;-0,041;-0,016;0,017;0,007;3,435
20000329;-0,02;-0,039;-0,08;-0,062;-0,273
20000330;-0,074;-0,033;-0,033;-0,049;0,376
20000331;0,044;0,007;0,045;0,07;-0,607
20000403;0,017;0,003;-0,065;-0,059;-0,754
20000404;-0,045;-0,034;-0,165;-0,11;5,346
20000405;-0,111;-0,082;0,078;0,053;-0,685
20000406;0,061;0,341;0,115;0,176;3,445
20000407;0,141;-0,118;0,069;-0,007;-0,328
20000410;-0,007;-0,026;0,007;-0,05;-0,966
20000411;-0,077;-0,067;-0,043;-0,035;12,857
20000412;-0,026;-0,036;-0,082;-0,088;-0,278
20000413;-0,034;-0,019;0,024;0,028;0,536
20000414;-0,008;-0,023;-0,13;-0,14;0,271
20000417;-0,137;-0,082;0;0,045;1,322
20000418;0,054;0,017;0,054;0,017;-0,543
20000419;0,004;0,017;-0,004;0,034;-0,883
20000420;0,026;-0,012;0,034;-0,012;-0,853
20000424;0,004;0,038;0,004;0,038;3,601
20000425;0,033;0;-0,008;-0,012;3
20000426;0,004;0,028;0,025;0,016;0,758
20000427;-0,064;-0,059;-0,049;-0,048;-0,22
20000428;0,086;0,054;0,047;0,025;-0,857
20000501;-0,059;-0,059;-0,021;-0,021;-0,667
20000502;0,042;0,08;0,042;0,042;17,213
20000503;0;-0,035;-0,044;-0,044;-0,285
20000504;-0,052;-0,052;-0,063;-0,025;1,737
20000505;0;0;-0,004;-0,043;-0,869
20000508;-0,068;0,034;-0,009;0,099;16,537
20000509;0,095;-0,004;0,077;-0,025;-0,673
20000510;-0,037;0,016;-0,021;0,038;-0,459
20000511;0,091;0,073;0,091;0,073;3,242
20000512;0,051;0,026;0,051;0,023;-0,537
20000515;0,056;0,074;0;0,078;1,059
20000516;-0,011;-0,003;0,045;-0,031;-0,218
20000517;0,004;-0,01;-0,032;-0,028;-0,898
20000518;0,064;0,031;0,004;0,065;3,36
20000519;-0,091;-0,057;-0,007;-0,065;1,131
20000522;0,022;-0,014;-0,071;-0,066;-0,589
20000523;-0,094;-0,091;-0,072;-0,078;-0,347
20000524;-0,064;-0,068;-0,026;-0,017;4,688
20000525;-0,013;-0,008;0,022;0;-0,286
20000526;0,004;0;-0,039;-0,03;-0,856
20000530;-0,043;0,034;0,005;0,036;11,16
20000531;-0,009;-0,021;-0,009;-0,026;-0,216
20000601;0,023;-0,009;0;-0,031;1,425
20000602;0,022;0,142;0,041;0,182;1,132
20000605;0,139;-0,007;0,122;-0,004;-0,609
20000606;0;-0,004;0,019;0,012;-0,843
20000607;-0,004;-0,008;-0,011;-0,004;-0,171
20000608;0,015;0,015;0,015;0,012;1,45
20000609;0,004;0,004;0,008;0,004;-0,56
20000612;0;0;-0,008;-0,008;-0,098
20000613;-0,023;-0,023;-0,091;-0,03;1,833
20000614;-0,031;-0,027;0,038;-0,008;-0,631
20000615;-0,044;-0,047;-0,028;-0,047;0,99
20000616;-0,046;-0,046;-0,046;-0,046;-0,065
20000619;-0,009;-0,009;-0,009;-0,009;-0,147
20000620;0,009;0,009;0,009;0,009;-0,82
20000621;0,022;0,022;0,022;0,022;1,094
20000623;-0,004;-0,004;-0,004;-0,004;-0,928
20000626;-0,017;-0,017;-0,017;-0,017;6,398
20000627;0;0;0;0;1,089
20000628;0;0;0;0;-0,952
20000629;0,026;0,026;0,026;0,026;12,224
20000630;0,008;0,008;0,008;0,008;0,831
20000703;0,008;0,008;0,008;0,008;0,551
20000704;0;0;0;0;-0,716
20000705;0,008;0,008;0,008;0,008;-0,544
20000706;-0,004;-0,004;-0,004;-0,004;0,384
20000707;0,004;0,004;0,004;0,004;-0,68
20000710;-0,033;-0,033;-0,033;-0,033;10,024
20000711;0;0;-0,017;-0,004;-0,085
20000712;-0,004;0;0,013;0,004;1,45
20000713;0,009;0,017;-0,013;0,017;-0,427
20000714;0;0,008;0,017;0;0,184
20000717;0;-0,004;0,004;-0,013;-0,404
20000718;0,004;-0,004;0,004;0,004;0,37
20000719;0;0;0;0,008;1,072
20000720;0;-0,008;-0,013;-0,017;-0,887
20000721;-0,013;-0,013;-0,009;-0,013;0,016
20000724;-0,052;-0,022;-0,043;-0,013;0,325
20000725;0,005;-0,004;0,005;-0,022;-0,202
20000726;0,018;0,013;0,018;0,013;17,177
20000727;-0,018;-0,035;-0,022;-0,022;-0,731
20000728;-0,036;-0,036;-0,032;-0,032;-0,728
20000731;-0,1;-0,076;-0,103;-0,093;2,379
20000801;-0,014;-0,023;-0,01;-0,004;0,274
20000802;0,011;-0,002;0,011;-0,006;-0,459
20000803;-0,002;-0,006;-0,031;-0,021;0,461
20000804;-0,04;-0,024;-0,011;-0,005;-0,482
20000807;0,045;0,128;0,043;0,031;-0,177
20000808;-0,002;-0,091;-0,009;-0,013;-0,086
20000809;0,02;0,043;0,028;0,05;0,664
20000810;0,023;0,05;0,023;0,016;1,042
20000811;0,035;-0,01;0,025;0,01;-0,946
20000814;-0,019;-0,019;-0,01;-0,005;0,455
20000816;0,01;0,059;0,01;0,059;2,69
20000817;0,015;-0,037;-0,024;-0,065;-0,334
20000818;-0,029;-0,029;-0,04;0;-0,278
20000821;-0,02;-0,02;0,021;-0,03;6,694
20000822;0,001;0,006;-0,01;0,015;-0,337
20000823;0,008;0,014;0;-0,025;-0,226
20000824;0,001;0;0,021;0,041;-0,09
20000825;0,03;0,04;0,04;0,025;-0,846
20000828;0;-0,019;-0,029;-0,034;9,043
20000829;-0,058;-0,044;-0,03;-0,02;-0,785
20000830;0,021;0,01;0,01;0,015;-0,647
20000831;0,01;0,015;-0,082;-0,095;0,728
20000901;-0,01;0;0,1;0,1;3,007
20000904;0,01;-0,01;0;0,01;0,141
20000905;-0,02;0;-0,01;-0,01;-0,016
20000906;-0,01;-0,02;-0,01;-0,01;0,093
20000907;0,01;0,061;0,01;0,061;2,904
20000908;0,046;-0,014;0,02;-0,038;-0,855
20000911;-0,043;-0,024;-0,02;-0,02;1,634
20000912;-0,011;-0,03;-0,041;-0,026;1,804
20000913;-0,022;-0,022;-0,033;-0,045;0,074
20000914;-0,041;-0,041;-0,037;-0,027;-0,58
20000915;-0,021;0,004;0,006;0,003;-0,284
20000918;-0,028;-0,037;-0,017;-0,028;-0,049
20000919;-0,019;-0,023;-0,017;-0,012;0,583
20000920;0,012;0;-0,058;-0,041;-0,427
20000921;-0,1;-0,1;-0,099;-0,106;1,074
20000922;-0,1;-0,07;-0,1;-0,072;0,642
20000925;0,04;0,021;0,097;0,081;-0,221
20000926;-0,019;-0,018;-0,036;-0,044;-0,469
20000927;-0,015;-0,019;0,019;0;-0,139
20000928;-0,1;-0,055;-0,143;-0,048;2,41
20000929;0,1;0,084;0,15;0,054;-0,812
20001002;0,01;-0,014;0,014;-0,007;0,147
20001003;-0,057;-0,042;-0,057;-0,034;0,571
20001004;0;-0,015;0;-0,016;-0,339
20001005;0,015;-0,007;-0,009;-0,015;1,629
20001006;-0,015;-0,014;-0,008;0,008;-0,462
20001009;-0,032;-0,033;-0,051;-0,05;-0,057
20001010;0,005;0,005;0,024;0,013;-0,793
20001011;-0,016;-0,016;-0,041;-0,011;8,973
20001012;-0,005;0,029;0,04;0,027;-0,797
20001013;-0,013;0,006;-0,013;0,014;11,829
20001016;0,1;0,147;0,1;0,093;-0,626
20001017;0,054;-0,003;0,054;0,035;0,129
20001018;0,018;0,008;0,011;-0,007;0,693
20001019;0,037;0,086;0,044;0,114;-0,351
20001020;0,1;0,062;0,067;0,026;-0,132
20001023;-0,007;-0,046;-0,01;-0,038;-0,214
20001024;-0,018;0,005;0,015;0,017;0,378
20001025;0,006;-0,017;-0,032;-0,015;-0,324
20001026;0,006;0,018;0,039;0,014;-0,518
20001027;0,024;0,017;0;0,023;0,148
20001030;-0,006;-0,011;-0,012;-0,031;0,319
20001031;-0,036;-0,007;0;0,002;-0,168
20001102;0,006;0,007;0,006;0,017;-0,016
20001103;0,078;0,065;0,055;0,042;0,946
20001106;-0,01;-0,025;0;0,002;-0,512
20001107;-0,011;-0,015;-0,034;-0,038;-0,601
20001108;-0,035;-0,017;-0,002;0,013;1,91
20001109;-0,024;-0,041;-0,035;-0,053;0,959
20001110;-0,005;-0,005;-0,037;-0,037;-0,582
20001113;-0,045;-0,045;-0,026;-0,026;0,73
20001114;0,009;0,039;0,036;0,067;-0,498
20001115;0,03;0;0,006;-0,019;2,162
20001116;-0,02;-0,02;-0,033;-0,032;-0,282
20001117;-0,018;0,008;0,019;0,033;-0,941
20001120;0,039;0,024;0,013;-0,006;15
20001121;-0,047;-0,031;-0,023;-0,013;-0,665
20001122;0,011;-0,018;-0,055;-0,056;12,598
20001123;-0,091;-0,079;-0,069;-0,034;3,961
20001124;0,029;0,017;0,052;0,026;-0,871
20001127;0,056;0,054;0,007;-0,014;0,132
20001128;-0,067;-0,067;-0,052;-0,051;0,363
20001129;-0,037;-0,037;-0,049;-0,046;0,311
20001130;-0,064;-0,064;-0,052;-0,045;-0,029
20001201;-0,006;-0,005;0,013;0,029;-0,282
20001204;-0,008;-0,01;-0,026;-0,051;0,267
20001205;-0,011;0;0,018;0,04;-0,226
20001206;0,043;0,048;0,033;0,058;1,052
20001207;-0,003;0,03;0,024;0,003;0,253
20001208;0,028;0,007;0,022;0,023;-0,016
20001211;0,039;0,026;0,032;0,025;-0,149
20001212;-0,003;0,024;0,006;0,03;-0,442
20001213;0,045;0,025;0,047;0,01;-0,07
20001214;-0,003;-0,012;-0,015;0,004;-0,29
20001215;-0,013;0,023;0,007;-0,004;0,311
20001218;0,028;-0,009;0,023;0,022;-0,265
20001219;0,011;0,03;0,011;0,026;0,284
20001220;0,018;-0,003;-0,011;-0,036;0,637
20001221;-0,055;-0,038;-0,028;-0,015;-0,214
20001222;0,038;0,033;0,027;0,042;-0,559
20001227;0,024;0,045;0,035;0,001;-0,309
20001228;0,023;0,003;0,02;0,04;1,562
20001229;0,007;-0,014;-0,013;-0,032;-0,059
20010102;-0,063;-0,041;-0,04;-0,019;-0,824
20010103;0,01;-0,016;-0,022;-0,022;2,216
20010104;0,031;0,031;0,054;0,035;0,584
20010105;0,003;0,003;0;-0,001;-0,281
20010108;-0,026;-0,026;-0,042;-0,039;-0,472
20010109;-0,024;-0,02;-0,025;-0,001;1,217
20010110;-0,017;-0,021;-0,02;-0,047;-0,418
20010111;-0,03;-0,028;-0,02;-0,02;-0,431
20010112;-0,009;0,001;0,01;0,009;0,843
20010115;-0,003;-0,012;-0,002;0;-0,38
20010116;-0,002;-0,004;-0,016;0;-0,569
20010117;0;0,047;0,018;0,049;3,924
20010118;0,05;0,034;0,053;0,025;0,031
20010119;0,052;0,027;0,042;0,025;0,329
20010122;-0,009;-0,015;-0,031;-0,023;-0,648
20010123;-0,059;-0,021;-0,028;-0,019;-0,333
20010124;0,04;0;0,016;-0,006;1,298
20010125;-0,029;-0,012;-0,006;0,01;-0,708
20010126;-0,003;-0,014;-0,01;-0,025;0,089
20010129;-0,006;0,013;-0,013;0,027;1,645
20010130;0,037;0,035;0,052;0,029;0,938
20010131;0,018;-0,005;0;-0,018;-0,355
20010201;-0,028;-0,014;-0,016;-0,01;0,202
20010202;0,015;0;0,007;0,007;-0,733
20010205;-0,015;-0,015;-0,042;-0,036;4,221
20010206;-0,026;-0,026;-0,022;-0,02;-0,394
20010207;-0,014;-0,014;-0,019;-0,034;0,256
20010208;-0,042;-0,027;-0,006;-0,003;-0,201
20010209;-0,001;-0,002;-0,003;0,009;-0,257
20010212;0,001;-0,014;-0,023;-0,038;-0,155
20010213;-0,003;-0,003;0,013;0,02;0,138
20010214;-0,014;-0,014;-0,022;-0,028;-0,304
20010215;0;0;-0,016;0,016;0,593
20010216;-0,035;-0,012;-0,04;-0,048;0,247
20010219;-0,022;-0,045;-0,002;-0,021;-0,572
20010220;-0,005;-0,002;-0,013;-0,018;0,079
20010221;-0,057;-0,059;-0,073;-0,051;3,767
20010222;-0,044;0,04;-0,04;-0,055;0,235
20010223;-0,007;-0,089;-0,027;-0,002;-0,419
20010226;-0,009;0,007;0,014;-0,004;0,46
20010227;-0,039;-0,042;-0,056;-0,07;-0,216
20010228;-0,115;-0,063;-0,061;0;0,638
20010301;0,03;-0,038;-0,033;-0,09;-0,237
