Date;Open;High;Low;Close;Volume
20080911;0;0;0;0;0
20080912;-0,15;-0,125;-0,076;-0,029;-0,733
20080915;0;-0,029;0,016;0;-0,39
20080916;-0,044;-0,044;0;-0,046;-0,46
20080917;-0,031;-0,031;-0,016;0;-0,429
20080918;-0,032;-0,032;-0,098;-0,047;8,926
20080919;-0,016;0,18;0,091;0,2;-0,413
20080922;0,167;-0,028;0,083;-0,083;-0,835
20080923;-0,072;0;0;0,03;0,535
20080924;0,046;-0,029;0,031;-0,015;-0,844
20080925;-0,015;0;-0,03;0,015;0,746
20080926;0,015;0;0,046;0;-0,999
20080929;0,015;0,015;-0,074;-0,059;3148
20080930;-0,072;-0,072;0;0;0,094
20081001;0;0,031;0;-0,016;0,017
20081002;-0,016;-0,015;-0,047;-0,047;0,604
20081003;-0,047;-0,077;-0,067;0;2,586
20081006;0;0,05;0,072;0,05;-0,763
20081007;-0,017;-0,016;-0,017;-0,016;0,064
20081008;0,051;0;0;0;1,411
20081009;0,016;0,016;0,034;0;-0,621
20081010;-0,111;-0,064;-0,148;-0,048;5,972
20081013;-0,053;0;0;0;-0,589
20081014;0,132;0,017;0,115;0,017;-0,712
20081016;-0,083;-0,083;-0,121;-0,133;1,055
20081017;0;0,036;-0,118;0,096;4,14
20081020;-0,091;-0,052;0,045;-0,052;-0,831
20081021;0;-0,074;0;-0,074;0,975
20081022;-0,02;-0,02;-0,128;-0,1;2,27
20081023;-0,102;-0,04;-0,024;0,045;0,45
20081024;0,046;-0,021;0,125;-0,043;-1
20081027;0,065;0,239;0,045;0,244;12662
20081028;0,184;0,018;0,212;0,018;-0,383
20081029;0;0,035;0,018;0,035;0,093
20081030;0,035;0;0,017;0;-1
20081031;-0,017;-0,017;0;0;869,5
20081103;0;0;0;0;-0,933
20081104;0;0;-0,017;-0,017;0
20081105;-0,017;-0,017;-0,138;-0,052;34,855
20081106;-0,052;-0,052;0,08;-0,018;-0,973
20081107;0;0;0,018;0,018;-0,496
20081110;0,146;0,146;0,109;0,109;80,586
20081112;-0,047;-0,047;-0,033;-0,033;-0,988
20081113;0,017;0,017;-0,102;-0,102;17,661
20081114;-0,049;-0,049;0,094;0,094;1,58
20081117;-0,086;-0,017;-0,086;-0,017;-0,775
20081118;0,094;0,018;0;-0,035;11,934
20081119;0;0;0,075;0,055;0,469
20081120;0;0;0;-0,017;-0,996
20081121;0;0;0;0;0,106
20081124;0;0;-0,052;0;32,462
20081125;-0,017;-0,017;0;-0,018;4,488
20081126;0,053;0,053;-0,019;0,036;-0,827
20081127;-0,033;-0,033;0,056;-0,017;-0,282
20081128;-0,052;-0,052;-0,107;-0,07;12,108
20081201;0;0;0;0;-0,213
20081202;-0,036;-0,036;0;0;-0,713
20081203;0;0;0,06;0;0,497
20081204;0;0;-0,019;-0,019;0,334
20081205;0;0,019;0;0;-0,406
20081208;-0,019;0,018;-0,039;0,058;0,153
20081209;0,058;0;0,04;-0,054;-0,925
20081210;0;0;0;0,058;15,169
20081211;0;0;0,039;-0,018;-0,996
20081212;0;0;0,018;0,018;0
20081216;-0,018;-0,018;-0,073;-0,073;100,391
20081217;-0,019;-0,019;0;0;-0,973
20081218;0;0;-0,02;0;35,349
20081219;0;0;-0,1;-0,058;11,773
20081222;-0,038;-0,038;0,067;0,041;-0,909
20081223;0,039;0,039;-0,105;0,04;4,293
20081229;-0,038;-0,038;0,093;-0,077;0,07
20081230;-0,02;-0,02;-0,064;0,02;0,928
