Date;Open;High;Low;Close;Volume
20041015;0;0;0;0;0
20041018;0,441;-0,135;0,504;0,153;-0,242
20041019;0,106;0,059;0,106;0,011;-0,067
20041020;0,032;-0,088;-0,16;-0,142;-0,389
20041021;-0,165;-0,182;-0,152;-0,166;0,479
20041022;-0,179;-0,13;-0,037;-0,029;-0,581
20041025;-0,023;-0,078;-0,031;-0,045;-0,718
20041026;-0,046;0,023;-0,056;0,016;1,427
20041027;0,056;0,023;0,085;0,031;-0,061
20041028;0,023;-0,007;0;0;-0,549
20041029;-0,015;-0,015;0,016;0;0,351
20041102;-0,008;-0,008;-0,023;-0,038;-0,302
20041103;-0,023;-0,03;-0,071;-0,024;-0,241
20041104;-0,031;-0,031;0,025;0;-0,518
20041105;-0,024;-0,016;-0,066;-0,065;5,398
20041108;-0,041;-0,025;0,027;0,017;-0,678
20041109;0;-0,008;0;-0,017;-0,167
20041110;0,009;0;-0,017;0,017;-0,357
20041112;0;-0,008;0,009;-0,008;-0,043
20041115;-0,017;-0,017;-0,035;-0,034;1,021
20041116;-0,035;-0,035;-0,018;-0,018;-0,634
20041117;-0,018;0,099;0;0,099;13,616
20041118;0,174;0,279;0,165;0,213;0,84
20041119;0,188;0,071;0,094;-0,034;0,899
20041122;-0,099;-0,156;-0,058;-0,07;-0,692
20041123;-0,007;-0,028;-0,023;-0,038;-0,553
20041124;-0,081;-0,051;-0,055;-0,047;0,223
20041125;-0,008;0,038;0,025;0,09;0,355
20041126;0,089;0,052;0,081;0,015;0,14
20041129;-0,007;-0,042;-0,06;-0,022;-0,562
20041130;0,007;0;0,048;0,023;-0,805
20041201;0,007;0;-0,015;-0,03;0,276
20041202;-0,015;-0,015;0,015;0,008;0,243
20041203;-0,015;0,015;-0,023;-0,015;1,231
20041206;0,015;0,037;0,016;0,015;2,037
20041207;0,015;-0,021;0,015;0,03;0,181
20041208;0;0;0,015;-0,007;-0,445
20041209;-0,007;-0,014;-0,044;-0,022;-0,368
20041210;-0,022;-0,022;0,008;0;-0,114
20041213;0,008;0;-0,031;-0,015;0,924
20041214;-0,03;-0,023;-0,016;-0,031;-0,272
20041215;-0,023;0,015;0,008;0,04;0,135
20041216;0,056;0,008;0,032;0;-0,78
