Date;Open;High;Low;Close;Volume
20100212;0;0;0;0;0
20100218;-0,005;-0,005;-0,005;-0,005;-0,32
20100219;-0,003;0,001;-0,003;-0,003;-0,42
20100222;-0,005;-0,009;-0,006;-0,006;0,525
20100223;0,01;0,01;0,011;0,011;1,195
20100224;0,001;0,001;-0,004;-0,004;-0,577
20100225;-0,004;-0,004;0,001;0,001;0,839
20100226;-0,01;-0,008;-0,01;-0,008;-0,513
20100301;-0,005;-0,006;-0,005;-0,006;-0,438
20100302;-0,001;-0,003;-0,001;-0,003;1,417
20100303;-0,004;-0,004;-0,004;-0,004;-0,885
20100304;-0,002;-0,002;-0,002;-0,002;2,85
20100305;-0,008;-0,008;-0,008;-0,008;0,727
20100308;-0,003;-0,003;-0,003;-0,003;-0,459
20100309;0;0;0;0;0,708
20100310;0,021;0,021;0,021;0,021;-0,585
20100311;0,005;0,005;0,005;0,005;0,196
20100312;-0,004;-0,004;-0,004;-0,004;-0,672
20100315;0,001;0,001;0,001;0,001;6,55
20100316;-0,005;-0,005;-0,005;-0,005;0,139
20100317;-0,004;-0,004;-0,004;-0,004;-0,047
20100318;0,003;0,003;0,003;0,003;-0,28
20100319;0,004;0,004;0,004;0,004;0,11
20100322;0,001;0,001;-0,002;-0,002;0,214
20100323;-0,004;-0,004;-0,001;-0,001;-0,277
20100324;0;0;0;0;-0,287
20100325;-0,002;-0,002;-0,002;-0,002;-0,756
20100326;0,006;0,006;0,006;0,006;-0,5
20100329;-0,005;-0,005;-0,005;-0,005;9,5
20100330;-0,003;-0,003;-0,003;-0,003;0,81
20100331;-0,003;-0,003;-0,003;-0,003;-0,732
20100401;0,004;0,004;0,004;0,004;0,608
20100407;-0,004;-0,004;-0,012;-0,012;-0,171
20100408;0,005;0,005;0,013;0,013;0,353
20100409;0,006;0,006;0,006;0,006;-0,217
20100412;-0,002;-0,002;-0,002;-0,002;0,417
20100413;0,008;0,008;-0,003;-0,003;-0,196
20100414;-0,013;-0,013;-0,003;-0,003;-0,378
20100415;-0,001;-0,001;-0,001;-0,001;0,608
20100416;0,015;0,015;0,015;0,015;0,122
20100419;0;0,004;0;0;-0,174
20100420;-0,005;-0,001;-0,005;0,003;-0,092
20100421;0,004;-0,004;0,004;-0,004;-0,406
20100422;0,011;0,011;0,005;0,005;2,415
20100423;-0,006;-0,006;0;0;1,721
20100426;-0,01;-0,01;-0,01;-0,01;-0,919
20100427;0,012;0,012;0,012;0,012;1,548
20100428;0;0;0;0;-0,291
20100429;0,004;0,004;0,004;0,004;13,375
20100430;0,003;0,004;0,003;0,004;0,424
20100503;0,003;0,002;0,003;0,002;-0,955
20100504;0,012;0,014;0,012;0,014;47,412
20100505;0,018;0,016;0,018;0,016;-0,789
20100506;0,022;0,026;0,016;0,022;0,848
20100507;-0,001;-0,005;-0,002;-0,008;-0,277
20100510;-0,03;-0,03;-0,025;-0,023;-0,129
20100511;-0,004;-0,004;-0,007;-0,009;1,437
20100512;-0,008;-0,008;-0,003;-0,003;-0,434
20100513;-0,011;-0,011;-0,013;-0,013;-0,02
20100514;0,014;0,014;0,016;0,016;0,75
20100517;0,006;0,006;0,006;0,006;-0,911
20100518;-0,001;0;0;0,002;6,039
20100519;0,028;0,027;0,021;0,019;-0,414
20100520;0,017;0,017;0,012;0,014;0,975
20100521;-0,009;-0,009;-0,004;-0,006;-0,624
20100524;-0,016;-0,016;-0,009;-0,009;0,324
20100525;0,02;0,02;0,02;0,02;0,811
20100526;-0,016;-0,016;-0,016;-0,016;1579,641
20100527;-0,007;-0,007;-0,009;-0,007;-0,999
20100528;0,004;0,004;0,006;0,004;-0,214
20100531;-0,003;-0,003;-0,003;-0,003;-0,933
20100601;0;0,005;0;0,005;11,55
20100602;0,001;0,001;0,001;0,001;2,133
20100603;0,007;0,002;0,004;-0,001;-0,626
20100604;0,012;0,012;0,013;0,013;0,392
20100607;-0,001;-0,001;-0,007;-0,007;0,172
20100608;-0,004;-0,004;0,003;0,003;-0,641
20100609;-0,008;-0,005;-0,008;-0,005;-0,722
20100610;-0,004;-0,006;-0,004;-0,006;4,812
20100611;0,006;0,006;0,003;0,006;0,363
20100614;-0,011;-0,011;-0,011;-0,013;1,255
20100615;0,003;0,003;0;0;-0,103
20100616;-0,006;-0,006;-0,001;-0,001;-0,044
20100617;0,003;0,002;0,003;0,003;422,87
20100618;-0,006;-0,006;-0,006;-0,006;-0,998
20100621;0;0;0;0;-0,811
20100622;0,001;0,002;0,001;0,002;-0,961
20100623;0,004;0,004;0,004;0,004;124,333
20100624;0,014;0,013;0,014;0,013;-0,499
20100625;-0,002;-0,002;-0,003;-0,002;2,477
20100628;0,008;0,008;0,003;0,002;-0,017
20100629;-0,001;-0,001;0,004;0,004;-0,943
20100630;-0,002;-0,002;-0,002;-0,002;11,522
20100701;0,01;0,01;0,01;0,01;1,334
20100702;-0,004;-0,004;-0,005;-0,005;-0,695
20100706;-0,012;-0,012;-0,011;-0,011;-0,96
20100707;-0,003;-0,003;-0,002;-0,002;61,646
20100708;-0,003;-0,003;-0,003;-0,003;-0,837
20100709;-0,003;-0,003;-0,003;-0,003;323,128
20100712;-0,001;0,002;-0,001;0,002;-0,996
20100713;0,002;-0,001;0,002;-0,001;-0,196
20100714;-0,001;-0,001;-0,001;-0,001;-0,957
20100715;0,001;0,001;0,001;0,001;169,581
20100716;0,011;0,011;0,011;0,011;-0,978
20100719;0,003;0,003;0,003;0,003;0,744
20100720;-0,004;-0,002;-0,004;-0,002;4,025
20100721;-0,002;-0,003;-0,003;-0,005;3,927
20100722;-0,004;-0,003;-0,004;-0,004;-0,7
20100723;0;0;-0,005;-0,005;-0,364
20100726;-0,009;-0,009;-0,007;-0,007;-0,736
20100727;-0,012;-0,007;-0,008;-0,008;-0,953
20100728;0,001;-0,004;-0,001;0,001;173,917
20100729;0,005;0,005;0,007;0,005;-0,788
20100730;0;0;-0,006;-0,002;7,549
20100802;-0,01;-0,01;-0,006;-0,01;-0,72
20100803;0,003;0,008;0,006;0,011;0,066
20100804;0;-0,005;0;-0,005;-0,594
20100805;0,002;0,002;0,002;0,002;-0,301
20100806;-0,001;-0,001;-0,001;-0,001;3,715
20100809;-0,006;-0,006;-0,006;-0,006;-0,967
20100810;0,005;0,006;0,005;0,005;113,059
20100811;0,008;0,007;0,007;0,007;-0,849
20100812;-0,003;-0,003;-0,002;-0,002;0,111
20100813;-0,002;-0,002;-0,004;-0,002;-0,087
20100816;-0,006;-0,006;-0,004;-0,006;-0,475
20100817;-0,008;-0,008;-0,008;-0,008;-0,431
20100818;-0,003;-0,003;-0,004;-0,003;3,936
20100819;0,014;0,014;0,01;0,009;-0,175
20100820;-0,003;-0,003;0,002;0,002;1,045
20100823;0,01;0,01;0,01;0,01;-0,983
20100824;0;0;-0,001;-0,001;9,973
20100825;-0,003;-0,002;-0,002;-0,001;251,207
20100826;-0,004;-0,005;-0,004;-0,005;-0,991
20100827;-0,003;-0,002;-0,004;-0,002;130,653
20100830;0,007;0,006;0,006;0,005;-0,992
20100831;0;0;0,002;0,001;14,117
20100902;-0,007;-0,007;-0,007;-0,008;-0,855
20100903;-0,005;-0,005;-0,004;-0,004;-0,646
20100906;0,004;0,004;-0,003;-0,001;-0,228
20100907;-0,003;-0,002;0,003;0,003;-0,749
20100908;0,002;0,001;-0,002;-0,002;2,393
20100909;-0,003;-0,003;0;0;-0,48
