From;To;Date
16;17;20061010
17;18;20061011
18;18;20061012
18;17;20061013
17;17;20061016
17;17;20061017
17;18;20061018
18;17;20061019
17;17;20061020
17;17;20061023
17;17;20061024
17;17;20061025
17;17;20061026
17;17;20061027
17;17;20061030
17;17;20061031
17;17;20061102
17;17;20061103
17;17;20061106
17;17;20061107
17;18;20061108
18;18;20061109
18;18;20061110
18;18;20061113
18;18;20061114
18;18;20061115
18;18;20061116
18;18;20061117
18;18;20061120
18;19;20061121
19;20;20061122
20;20;20061123
20;20;20061124
20;21;20061127
21;22;20061128
22;21;20061129
21;23;20061130
23;24;20061201
24;23;20061204
23;24;20061205
24;24;20061206
24;23;20061207
23;24;20061208
24;23;20061211
23;23;20061212
23;24;20061213
24;25;20061214
25;27;20061215
27;28;20061218
28;28;20061219
28;27;20061220
27;27;20061221
27;25;20061222
25;25;20061227
25;25;20061228
25;24;20061229
24;24;20070102
24;24;20070103
24;24;20070104
24;23;20070105
23;23;20070108
23;24;20070109
24;24;20070110
24;24;20070111
24;24;20070112
24;24;20070115
24;24;20070116
24;25;20070117
25;26;20070118
26;28;20070119
28;28;20070122
28;27;20070124
27;27;20070125
27;25;20070126
25;25;20070129
25;26;20070130
26;27;20070131
27;27;20070201
27;27;20070202
27;27;20070205
27;26;20070206
26;26;20070207
26;26;20070208
26;26;20070209
26;27;20070212
27;26;20070213
26;26;20070214
26;26;20070215
26;26;20070216
26;26;20070219
26;26;20070220
26;26;20070222
26;26;20070223
26;26;20070226
26;25;20070227
25;25;20070228
25;24;20070301
24;25;20070302
25;25;20070305
25;24;20070306
24;24;20070307
24;24;20070308
24;24;20070309
24;24;20070312
24;24;20070313
24;24;20070314
24;24;20070315
24;24;20070316
24;25;20070319
25;25;20070320
25;26;20070321
26;26;20070322
26;27;20070323
27;26;20070326
26;26;20070327
26;26;20070328
26;26;20070329
26;25;20070330
25;25;20070402
25;26;20070403
26;26;20070404
26;27;20070405
27;27;20070410
27;27;20070411
27;27;20070412
27;27;20070413
27;27;20070416
27;28;20070417
28;27;20070418
27;27;20070419
27;27;20070420
27;26;20070423
26;27;20070424
27;27;20070425
27;27;20070426
27;27;20070427
27;27;20070430
27;27;20070502
27;27;20070504
27;28;20070507
28;27;20070508
27;27;20070509
27;26;20070511
26;27;20070514
27;27;20070515
27;27;20070516
27;28;20070517
28;28;20070518
28;28;20070521
28;28;20070522
28;27;20070523
27;27;20070524
27;27;20070525
27;28;20070528
28;28;20070529
28;28;20070530
28;28;20070531
28;29;20070601
29;29;20070604
29;29;20070605
29;28;20070606
28;28;20070608
28;29;20070611
29;29;20070612
29;29;20070613
29;30;20070614
30;29;20070615
29;29;20070618
29;29;20070619
29;29;20070620
29;29;20070625
29;29;20070626
29;29;20070628
29;29;20070629
29;29;20070703
29;28;20070709
28;28;20070710
28;27;20070711
27;27;20070712
27;28;20070716
28;28;20070717
28;29;20070718
29;29;20070719
29;29;20070720
29;29;20070723
29;28;20070724
28;27;20070725
27;26;20070726
26;27;20070727
27;28;20070731
28;28;20070801
28;28;20070802
28;27;20070803
27;27;20070806
27;27;20070807
27;28;20070808
28;29;20070809
29;28;20070810
28;28;20070813
28;27;20070816
27;27;20070817
27;27;20070820
27;27;20070821
27;27;20070822
27;27;20070823
27;27;20070824
27;27;20070827
27;26;20070828
26;27;20070829
27;27;20070830
27;27;20070831
27;27;20070904
27;27;20070905
27;26;20070906
26;26;20070907
26;27;20070910
27;27;20070911
27;27;20070912
27;27;20070913
27;28;20070914
28;28;20070917
28;28;20070918
28;28;20070919
28;28;20070920
28;28;20070921
28;28;20070926
28;28;20070928
28;28;20071001
28;28;20071002
28;28;20071003
28;28;20071004
28;28;20071005
28;27;20071008
27;27;20071009
27;28;20071010
28;27;20071011
