From;To;Date
1;1;20040109
1;1;20040112
1;1;20040113
1;1;20040114
1;1;20040115
1;1;20040116
1;1;20040119
1;1;20040120
1;1;20040121
1;1;20040122
1;1;20040123
1;1;20040126
1;1;20040127
1;1;20040128
1;1;20040129
1;1;20040130
1;1;20040202
1;1;20040203
1;1;20040204
1;1;20040205
1;1;20040206
1;1;20040209
1;1;20040210
1;1;20040211
1;1;20040212
1;1;20040213
1;1;20040216
1;1;20040217
1;1;20040218
1;1;20040219
1;1;20040220
1;1;20040223
1;1;20040224
1;1;20040225
1;1;20040226
1;1;20040227
1;1;20040301
1;1;20040302
1;1;20040303
1;1;20040304
1;1;20040305
1;1;20040308
1;1;20040309
1;1;20040310
1;1;20040311
1;1;20040312
1;1;20040315
1;1;20040316
1;1;20040317
1;1;20040318
1;1;20040319
1;1;20040322
1;1;20040323
1;1;20040324
1;1;20040325
1;1;20040326
1;1;20040329
1;1;20040330
1;1;20040331
1;1;20040401
1;1;20040402
1;1;20040405
1;1;20040406
1;1;20040407
1;1;20040408
1;1;20040413
1;1;20040414
1;1;20040415
1;1;20040416
1;1;20040419
1;1;20040420
1;1;20040421
1;1;20040422
1;1;20040423
1;1;20040426
1;1;20040427
1;1;20040428
1;1;20040429
1;1;20040430
1;1;20040504
1;1;20040505
1;1;20040506
1;1;20040507
1;1;20040510
1;1;20040511
1;1;20040512
1;1;20040513
1;1;20040514
1;1;20040517
1;1;20040518
1;1;20040519
1;1;20040520
1;1;20040521
1;1;20040524
1;1;20040525
1;1;20040526
1;1;20040528
1;1;20040531
1;1;20040601
1;1;20040602
1;1;20040604
1;1;20040607
1;1;20040608
1;1;20040609
1;1;20040611
1;1;20040615
1;1;20040616
1;1;20040617
1;1;20040618
1;1;20040621
1;1;20040622
1;1;20040623
1;1;20040625
1;1;20040628
1;1;20040629
1;1;20040630
1;1;20040701
1;1;20040702
1;1;20040707
1;1;20040708
1;1;20040709
1;1;20040712
1;1;20040713
1;1;20040714
1;1;20040715
1;1;20040716
1;1;20040720
1;1;20040722
1;1;20040723
1;1;20040726
1;1;20040728
1;1;20040730
1;1;20040802
1;1;20040803
1;1;20040804
1;1;20040805
1;1;20040806
1;1;20040812
1;1;20040816
1;1;20040817
1;1;20040818
1;1;20040819
1;1;20040820
1;1;20040823
1;1;20040824
1;1;20040825
1;1;20040826
1;1;20040827
1;1;20040830
1;1;20040831
1;1;20040901
1;1;20040902
1;1;20040903
1;1;20040906
1;1;20040907
1;1;20040908
1;1;20040909
1;1;20040910
1;1;20040913
1;1;20040914
1;1;20040915
1;1;20040916
1;1;20040917
1;1;20040920
1;1;20040921
1;1;20040922
1;1;20040923
1;1;20040924
1;1;20040927
1;1;20040928
1;1;20040929
1;1;20040930
1;1;20041001
1;1;20041004
1;1;20041005
1;1;20041006
1;1;20041008
1;1;20041011
1;1;20041012
1;1;20041013
1;1;20041014
1;1;20041015
1;1;20041018
1;1;20041019
1;1;20041020
1;1;20041021
1;1;20041022
1;1;20041025
1;1;20041028
1;1;20041029
1;1;20041103
1;1;20041104
1;1;20041105
1;1;20041108
1;1;20041109
1;1;20041110
1;1;20041112
1;1;20041115
1;1;20041116
1;1;20041117
1;1;20041118
1;1;20041119
1;1;20041122
1;1;20041123
1;1;20041124
1;1;20041125
1;1;20041126
1;1;20041129
1;1;20041130
1;1;20041201
1;1;20041202
1;1;20041203
1;1;20041206
1;1;20041207
1;1;20041208
1;1;20041209
1;1;20041210
1;1;20041213
1;1;20041215
1;1;20041216
1;1;20041217
1;1;20041220
1;1;20041221
1;1;20041222
1;1;20041223
1;1;20041227
1;1;20041228
1;1;20041229
1;1;20041230
1;1;20041231
1;1;20050103
1;1;20050104
1;1;20050105
1;1;20050106
1;1;20050110
1;1;20050111
1;1;20050112
1;1;20050113
1;1;20050114
