From;To;Date
17;18;20060224
18;17;20060227
17;18;20060228
18;18;20060301
18;17;20060302
17;18;20060303
18;18;20060306
18;18;20060307
18;18;20060308
18;18;20060310
18;18;20060313
18;18;20060314
18;18;20060315
18;18;20060316
18;18;20060317
18;18;20060320
18;18;20060321
18;18;20060322
18;18;20060323
18;18;20060324
18;18;20060327
18;18;20060328
18;18;20060329
18;18;20060330
18;18;20060331
18;18;20060403
18;18;20060404
18;18;20060405
18;18;20060406
18;18;20060407
18;18;20060410
18;18;20060411
18;18;20060412
18;18;20060413
18;17;20060418
17;17;20060419
17;17;20060420
17;17;20060421
17;17;20060424
17;17;20060425
17;17;20060426
17;17;20060428
17;17;20060502
17;17;20060503
17;16;20060504
16;16;20060505
16;16;20060508
16;17;20060509
17;16;20060510
16;16;20060511
16;17;20060515
17;17;20060516
17;16;20060517
16;17;20060518
17;17;20060519
17;16;20060522
16;16;20060523
16;15;20060524
15;15;20060525
15;15;20060526
15;15;20060530
15;15;20060531
15;15;20060601
15;15;20060602
15;15;20060607
15;15;20060608
15;15;20060609
15;15;20060613
15;14;20060614
14;14;20060615
14;14;20060616
14;13;20060619
13;13;20060620
13;13;20060621
13;13;20060627
13;14;20060628
14;14;20060629
14;14;20060630
14;14;20060703
14;14;20060704
14;14;20060705
14;14;20060707
14;14;20060710
14;14;20060711
14;14;20060712
14;14;20060713
14;14;20060714
14;14;20060717
14;14;20060720
14;14;20060721
14;14;20060724
14;14;20060725
14;14;20060726
14;14;20060728
14;14;20060731
14;14;20060801
14;14;20060802
14;14;20060804
14;14;20060807
14;13;20060808
13;13;20060810
13;14;20060811
14;14;20060814
14;13;20060815
13;13;20060816
13;13;20060817
13;14;20060818
14;14;20060821
14;14;20060822
14;14;20060823
14;14;20060824
14;14;20060825
14;14;20060831
14;14;20060901
14;14;20060904
14;14;20060907
14;14;20060908
14;14;20060911
14;14;20060912
14;15;20060913
15;15;20060914
15;15;20060915
15;14;20060918
14;14;20060919
14;14;20060920
14;15;20060921
15;15;20060922
15;15;20060925
15;16;20060926
16;16;20060927
16;16;20060928
16;16;20060929
16;16;20061002
16;16;20061003
16;16;20061004
16;16;20061005
16;16;20061006
16;16;20061009
16;16;20061012
16;16;20061013
16;16;20061016
16;16;20061017
16;16;20061018
16;16;20061019
16;16;20061020
16;16;20061023
16;16;20061024
16;16;20061025
16;16;20061026
16;16;20061027
16;16;20061030
16;16;20061031
16;16;20061101
16;16;20061102
16;16;20061103
16;16;20061106
16;16;20061107
16;16;20061108
16;16;20061109
16;16;20061110
16;16;20061113
16;16;20061114
16;16;20061115
16;16;20061117
16;16;20061120
16;16;20061121
16;16;20061122
16;16;20061124
16;16;20061127
16;16;20061128
16;16;20061129
16;16;20061130
16;16;20061201
16;16;20061204
16;16;20061206
16;16;20061207
16;16;20061208
16;16;20061212
16;16;20061213
16;16;20061214
16;16;20061215
16;16;20061218
16;16;20061219
16;16;20061220
16;16;20061221
16;16;20061222
16;16;20061227
16;16;20061228
16;16;20061229
16;16;20070102
16;16;20070103
16;17;20070104
17;17;20070105
17;17;20070108
17;17;20070109
17;17;20070110
17;17;20070111
17;17;20070112
17;17;20070115
17;17;20070116
17;17;20070117
17;17;20070118
17;17;20070119
17;17;20070122
17;17;20070123
17;17;20070124
17;17;20070125
17;18;20070126
18;18;20070129
18;18;20070130
18;18;20070131
18;18;20070201
18;18;20070202
18;18;20070205
18;18;20070206
18;18;20070207
18;19;20070208
19;19;20070209
19;19;20070212
19;19;20070213
19;19;20070214
19;19;20070215
19;19;20070216
19;19;20070220
19;19;20070221
19;19;20070223
19;19;20070227
19;18;20070228
18;18;20070301
18;18;20070302
18;18;20070305
18;18;20070306
18;18;20070307
18;18;20070308
18;18;20070309
18;18;20070312
18;18;20070313
18;18;20070315
18;18;20070316
18;18;20070319
18;18;20070320
18;18;20070321
18;18;20070322
18;18;20070323
18;18;20070326
18;18;20070327
18;18;20070328
18;18;20070329
18;17;20070330
17;18;20070402
18;17;20070403
17;17;20070404
17;17;20070405
17;17;20070410
17;17;20070411
17;16;20070412
16;16;20070413
16;17;20070416
17;17;20070417
17;17;20070418
17;17;20070419
17;17;20070420
17;17;20070423
17;17;20070424
17;17;20070426
17;17;20070427
17;16;20070430
16;17;20070501
17;16;20070502
16;16;20070503
16;16;20070504
16;16;20070508
16;17;20070509
17;17;20070510
17;17;20070511
17;17;20070514
17;17;20070515
17;17;20070516
17;17;20070517
17;17;20070518
17;17;20070521
17;17;20070522
17;17;20070523
17;17;20070524
17;17;20070525
17;17;20070529
17;18;20070530
18;17;20070531
17;17;20070604
17;17;20070605
17;17;20070606
17;17;20070607
17;17;20070608
17;17;20070611
17;17;20070613
17;17;20070614
17;17;20070615
17;17;20070618
17;17;20070619
17;17;20070620
17;16;20070621
16;16;20070622
16;16;20070625
16;16;20070626
16;16;20070627
16;16;20070628
16;16;20070629
16;16;20070702
16;16;20070703
16;16;20070704
16;16;20070706
16;16;20070709
16;16;20070710
16;16;20070711
16;16;20070712
16;16;20070713
16;16;20070716
16;16;20070717
16;16;20070718
16;16;20070719
16;16;20070724
16;15;20070726
15;14;20070727
14;14;20070730
14;15;20070731
15;14;20070801
14;15;20070802
15;15;20070803
15;14;20070807
14;14;20070808
14;14;20070809
14;14;20070810
14;14;20070813
14;13;20070815
13;12;20070816
12;12;20070817
12;12;20070820
12;12;20070821
12;12;20070822
12;12;20070823
12;12;20070824
12;12;20070828
12;13;20070829
13;13;20070830
13;14;20070831
14;15;20070903
15;15;20070904
15;15;20070905
15;15;20070906
15;15;20070907
15;15;20070910
15;15;20070911
15;15;20070913
15;14;20070914
14;14;20070917
14;14;20070918
14;14;20070919
14;14;20070920
14;14;20070921
14;14;20070924
14;14;20070925
14;14;20070926
14;14;20070927
14;14;20070928
14;15;20071001
15;14;20071002
14;14;20071003
14;14;20071004
14;14;20071005
14;14;20071010
14;14;20071011
14;14;20071012
14;14;20071015
14;14;20071016
14;14;20071017
14;14;20071018
14;13;20071019
13;14;20071022
14;14;20071023
14;14;20071024
14;14;20071025
14;14;20071026
14;14;20071029
14;14;20071030
14;14;20071031
14;14;20071101
14;13;20071105
13;13;20071107
13;13;20071108
13;13;20071109
13;13;20071112
13;13;20071113
13;13;20071114
13;13;20071115
13;13;20071116
13;13;20071119
13;13;20071120
13;13;20071121
13;13;20071123
13;13;20071126
13;13;20071128
13;13;20071129
13;13;20071130
13;13;20071203
13;13;20071204
13;13;20071205
13;14;20071206
14;14;20071207
14;14;20071210
14;14;20071211
14;14;20071212
14;14;20071213
14;14;20071214
14;14;20071217
14;14;20071218
14;14;20071219
14;14;20071220
14;14;20071227
14;14;20071228
14;14;20071231
14;14;20080102
14;14;20080103
14;14;20080104
14;14;20080107
14;14;20080108
14;13;20080109
13;13;20080110
13;13;20080111
13;13;20080115
13;13;20080116
13;13;20080117
13;13;20080118
13;13;20080121
13;13;20080122
13;13;20080123
13;13;20080124
13;13;20080130
13;12;20080131
12;12;20080201
12;12;20080204
12;12;20080205
12;13;20080206
13;13;20080207
13;13;20080208
13;13;20080211
13;15;20080212
15;14;20080213
14;14;20080214
14;14;20080215
14;13;20080218
13;13;20080219
13;13;20080220
13;13;20080221
13;13;20080222
13;12;20080225
12;12;20080226
12;11;20080227
11;11;20080228
11;11;20080229
11;10;20080303
10;10;20080304
10;11;20080305
11;11;20080306
11;11;20080307
11;11;20080310
11;11;20080311
11;10;20080312
10;10;20080313
10;11;20080314
11;10;20080317
10;10;20080318
10;10;20080319
10;11;20080320
11;10;20080325
10;10;20080326
10;10;20080327
10;9;20080328
9;9;20080331
9;9;20080401
9;10;20080402
10;9;20080403
9;9;20080404
9;9;20080407
9;9;20080408
9;9;20080409
9;9;20080410
9;9;20080411
9;9;20080414
9;9;20080415
9;9;20080416
9;9;20080417
9;10;20080418
10;10;20080421
10;10;20080422
10;9;20080423
9;9;20080424
9;10;20080425
10;9;20080428
9;10;20080429
10;9;20080430
9;9;20080505
9;9;20080506
9;9;20080507
9;9;20080508
9;9;20080509
