From;To;Date
9;10;20060516
10;11;20060517
11;15;20060518
15;14;20060519
14;12;20060522
12;12;20060523
12;11;20060524
11;11;20060525
11;11;20060526
11;11;20060529
11;10;20060530
10;10;20060531
10;10;20060601
10;10;20060602
10;10;20060605
10;10;20060606
10;10;20060607
10;9;20060608
9;9;20060609
9;6;20060612
6;5;20060613
5;6;20060614
6;7;20060616
7;6;20060619
6;6;20060620
6;6;20060621
6;6;20060622
6;6;20060623
6;5;20060626
5;6;20060627
6;6;20060628
6;5;20060629
5;5;20060630
5;5;20060703
5;5;20060704
5;5;20060705
5;6;20060706
6;6;20060707
6;5;20060710
5;5;20060711
5;5;20060712
5;5;20060713
5;5;20060714
5;5;20060717
5;5;20060718
5;5;20060719
5;5;20060720
5;5;20060721
5;5;20060724
5;5;20060725
5;6;20060726
6;6;20060727
6;6;20060728
6;6;20060731
6;6;20060801
6;6;20060802
6;6;20060803
6;6;20060804
6;6;20060807
6;6;20060808
6;6;20060809
6;6;20060810
6;6;20060811
6;6;20060814
6;6;20060816
6;6;20060817
6;6;20060818
6;5;20060821
5;5;20060822
5;5;20060823
5;5;20060824
5;5;20060825
5;5;20060828
5;5;20060829
5;5;20060830
5;5;20060831
5;5;20060901
5;5;20060904
5;6;20060905
6;5;20060906
5;5;20060907
5;5;20060908
5;5;20060911
5;5;20060912
5;5;20060913
5;5;20060914
5;5;20060915
5;5;20060918
5;5;20060919
5;5;20060920
5;5;20060921
5;5;20060922
5;5;20060925
5;5;20060926
5;5;20060927
5;5;20060928
5;5;20060929
5;5;20061002
5;5;20061003
5;5;20061004
5;5;20061005
5;6;20061006
6;6;20061009
6;6;20061010
6;6;20061011
6;6;20061012
6;6;20061013
6;6;20061016
6;6;20061017
6;6;20061018
6;7;20061019
7;7;20061020
7;9;20061023
9;8;20061024
8;8;20061025
8;8;20061026
8;8;20061027
8;8;20061030
8;8;20061031
8;8;20061102
8;9;20061103
9;9;20061106
9;9;20061107
9;9;20061108
9;8;20061109
8;8;20061110
8;8;20061113
8;9;20061114
9;8;20061115
8;8;20061116
8;8;20061117
8;8;20061120
8;8;20061121
8;8;20061122
8;8;20061123
8;9;20061124
9;10;20061127
10;9;20061128
9;9;20061129
9;9;20061130
9;8;20061201
8;8;20061204
8;8;20061205
8;8;20061206
8;9;20061207
9;9;20061208
9;9;20061211
9;9;20061212
9;9;20061213
9;9;20061214
9;8;20061215
8;8;20061218
8;8;20061219
8;8;20061220
8;8;20061221
8;8;20061222
8;9;20061227
9;9;20061228
9;8;20061229
8;8;20070102
8;9;20070103
9;8;20070104
8;8;20070105
8;8;20070108
8;8;20070109
8;8;20070110
8;9;20070111
9;9;20070112
9;9;20070115
9;9;20070116
9;9;20070117
9;10;20070118
10;10;20070119
10;10;20070122
10;10;20070123
10;10;20070124
10;10;20070125
10;10;20070126
10;10;20070129
10;10;20070130
10;10;20070131
10;10;20070201
10;10;20070202
10;10;20070205
10;11;20070206
11;11;20070207
11;10;20070208
10;10;20070209
10;10;20070212
10;10;20070213
10;10;20070214
10;10;20070215
10;11;20070216
11;10;20070219
10;10;20070220
10;11;20070221
11;11;20070222
11;10;20070223
10;11;20070226
11;10;20070227
10;10;20070228
10;10;20070301
10;10;20070302
10;9;20070305
9;10;20070306
10;10;20070307
10;10;20070308
10;10;20070309
10;10;20070312
10;10;20070313
10;10;20070314
10;10;20070315
10;11;20070316
11;11;20070319
11;12;20070320
12;12;20070321
12;19;20070322
19;18;20070323
18;17;20070326
17;17;20070327
17;17;20070328
17;18;20070329
18;19;20070330
19;20;20070402
20;19;20070403
19;19;20070404
19;19;20070405
19;21;20070410
21;21;20070411
21;19;20070412
19;20;20070413
20;23;20070416
23;25;20070417
25;23;20070418
23;23;20070419
23;23;20070420
23;22;20070423
22;22;20070424
22;21;20070425
21;21;20070426
21;21;20070427
21;21;20070430
21;22;20070502
22;22;20070504
22;20;20070507
20;19;20070508
19;19;20070509
19;18;20070510
18;19;20070511
19;18;20070514
18;18;20070515
18;18;20070516
18;20;20070517
20;21;20070518
21;21;20070521
21;21;20070522
21;21;20070523
21;20;20070524
20;20;20070525
20;20;20070528
20;20;20070529
20;20;20070530
20;20;20070531
20;20;20070601
20;20;20070604
20;20;20070605
20;20;20070606
20;19;20070608
19;18;20070611
18;17;20070612
17;16;20070613
16;16;20070614
16;16;20070615
16;16;20070618
16;17;20070619
17;17;20070620
17;17;20070621
17;16;20070622
16;17;20070625
17;17;20070626
17;16;20070627
16;16;20070628
16;16;20070629
16;16;20070702
16;15;20070703
15;15;20070704
15;16;20070705
16;16;20070706
16;17;20070709
17;16;20070710
16;16;20070711
16;15;20070712
15;14;20070713
14;13;20070716
13;13;20070717
13;14;20070718
14;14;20070719
14;13;20070720
13;13;20070723
13;13;20070724
13;13;20070725
13;12;20070726
12;12;20070727
12;12;20070730
12;12;20070731
12;12;20070801
12;11;20070802
11;11;20070803
11;11;20070806
11;11;20070807
11;12;20070808
12;11;20070809
11;10;20070810
10;11;20070813
11;11;20070814
11;9;20070816
9;10;20070817
10;10;20070820
10;10;20070821
10;10;20070822
10;10;20070823
10;11;20070824
11;12;20070827
12;11;20070828
11;11;20070829
11;11;20070830
11;12;20070831
12;12;20070903
12;12;20070904
12;12;20070905
12;11;20070906
11;10;20070907
10;10;20070910
10;10;20070911
10;10;20070912
10;10;20070913
10;10;20070914
10;10;20070917
10;10;20070918
10;11;20070919
11;11;20070920
11;11;20070921
11;12;20070924
12;12;20070925
12;12;20070926
12;12;20070927
12;12;20070928
12;12;20071001
12;13;20071002
13;13;20071003
13;13;20071004
13;14;20071005
14;15;20071008
15;16;20071009
16;16;20071010
16;16;20071011
16;16;20071012
16;15;20071015
15;15;20071016
15;16;20071017
16;15;20071018
15;15;20071019
15;14;20071022
14;14;20071023
14;13;20071024
