From;To;Date
15;15;20101229
15;15;20101230
15;15;20101231
15;15;20110103
15;15;20110104
15;15;20110105
15;15;20110107
15;15;20110110
15;15;20110111
15;15;20110112
15;15;20110113
15;15;20110114
15;15;20110117
15;15;20110118
15;15;20110119
15;15;20110120
15;15;20110121
15;15;20110124
15;15;20110125
15;15;20110126
15;15;20110127
15;15;20110128
15;15;20110131
15;15;20110201
15;15;20110202
15;15;20110203
15;15;20110204
15;15;20110207
15;15;20110208
15;15;20110209
15;15;20110210
15;15;20110211
15;15;20110214
15;15;20110215
15;15;20110216
15;16;20110217
16;16;20110218
16;16;20110221
16;16;20110222
16;16;20110223
16;16;20110224
16;16;20110225
16;16;20110228
16;16;20110301
16;16;20110302
16;15;20110303
15;15;20110304
15;15;20110307
15;15;20110308
15;15;20110309
15;15;20110310
15;15;20110311
15;15;20110314
15;15;20110315
15;15;20110316
15;15;20110317
15;15;20110318
15;15;20110321
15;15;20110322
15;15;20110323
15;15;20110324
15;15;20110325
15;15;20110328
15;15;20110329
15;15;20110330
15;15;20110331
15;15;20110401
15;15;20110404
15;15;20110405
15;15;20110406
15;15;20110407
15;15;20110408
15;15;20110411
15;15;20110412
15;15;20110413
15;15;20110414
15;15;20110415
15;15;20110418
15;15;20110419
15;15;20110420
15;15;20110421
15;15;20110426
15;15;20110427
15;15;20110428
15;15;20110429
15;15;20110502
15;15;20110504
15;15;20110505
15;15;20110506
15;15;20110509
15;15;20110510
15;15;20110511
15;15;20110512
15;14;20110513
14;14;20110516
14;14;20110517
14;15;20110518
15;15;20110519
15;15;20110520
15;15;20110523
15;15;20110524
15;15;20110525
15;15;20110526
15;15;20110527
15;15;20110530
15;15;20110531
15;15;20110601
15;15;20110602
15;15;20110603
15;15;20110606
15;15;20110607
15;15;20110608
15;15;20110609
15;15;20110610
15;15;20110613
15;15;20110614
15;15;20110615
15;15;20110616
15;15;20110617
15;14;20110620
14;14;20110621
14;14;20110622
14;13;20110624
13;13;20110627
13;14;20110628
14;14;20110629
14;14;20110630
14;14;20110701
14;14;20110704
14;14;20110705
14;14;20110706
14;14;20110707
14;14;20110708
14;13;20110711
13;13;20110712
13;13;20110713
13;13;20110714
13;13;20110715
13;13;20110718
13;12;20110719
12;11;20110720
11;11;20110721
11;11;20110722
11;12;20110725
12;12;20110726
12;12;20110727
12;12;20110728
12;12;20110729
12;13;20110801
13;12;20110802
12;12;20110803
12;12;20110804
12;12;20110805
12;11;20110808
11;10;20110809
10;10;20110810
10;10;20110811
10;11;20110812
11;10;20110816
10;10;20110817
10;10;20110818
10;10;20110819
10;10;20110822
10;11;20110824
11;11;20110825
11;11;20110826
11;10;20110829
10;10;20110830
10;10;20110831
10;10;20110901
10;11;20110902
11;10;20110905
10;10;20110906
10;10;20110908
10;10;20110909
10;8;20110912
8;9;20110913
9;9;20110914
9;9;20110915
9;7;20110916
7;7;20110919
7;7;20110920
7;7;20110921
7;7;20110922
7;6;20110923
6;6;20110926
6;5;20110927
5;5;20110928
5;6;20110929
6;6;20110930
6;5;20111003
5;6;20111004
6;6;20111005
6;6;20111006
6;6;20111007
6;6;20111010
6;6;20111011
6;6;20111012
6;6;20111013
6;6;20111014
6;6;20111017
6;6;20111018
6;6;20111019
6;6;20111020
6;6;20111021
6;7;20111024
7;7;20111025
7;7;20111026
7;8;20111027
8;8;20111028
8;8;20111031
8;8;20111102
8;8;20111103
8;8;20111104
8;8;20111107
8;8;20111108
8;9;20111109
9;8;20111110
8;9;20111114
9;8;20111115
8;9;20111116
9;8;20111117
8;9;20111118
9;8;20111121
8;8;20111122
8;9;20111123
9;8;20111124
8;9;20111125
9;8;20111128
8;8;20111129
8;8;20111130
8;8;20111201
8;8;20111202
8;8;20111205
8;8;20111206
8;8;20111207
8;9;20111208
9;9;20111209
9;9;20111212
9;9;20111213
9;10;20111214
10;9;20111215
9;9;20111216
9;9;20111219
9;9;20111220
9;9;20111221
9;9;20111222
9;9;20111223
9;9;20111227
9;9;20111228
9;10;20111229
10;10;20111230
10;10;20120102
10;10;20120103
10;10;20120104
10;10;20120105
10;10;20120109
10;10;20120110
10;10;20120111
10;11;20120112
11;11;20120113
11;11;20120116
11;11;20120117
11;12;20120118
12;12;20120119
12;12;20120120
12;12;20120123
12;12;20120124
12;12;20120125
12;12;20120126
12;12;20120127
12;12;20120130
12;12;20120131
12;12;20120201
12;12;20120202
12;12;20120203
12;12;20120206
12;11;20120207
11;12;20120208
12;12;20120209
12;12;20120210
12;12;20120213
12;11;20120214
11;11;20120215
11;11;20120216
11;11;20120217
11;11;20120220
11;11;20120221
11;11;20120222
11;11;20120223
11;11;20120224
11;12;20120227
12;12;20120228
12;12;20120229
12;12;20120301
12;12;20120302
12;12;20120305
12;12;20120306
12;11;20120307
11;11;20120308
11;11;20120309
11;11;20120312
11;11;20120313
11;11;20120314
11;11;20120315
11;11;20120316
11;11;20120319
11;11;20120320
11;11;20120321
11;11;20120322
11;11;20120323
11;11;20120326
11;11;20120327
11;11;20120328
11;11;20120329
11;11;20120330
11;11;20120402
11;11;20120403
11;11;20120404
11;10;20120405
10;11;20120410
11;11;20120411
11;11;20120412
11;11;20120413
11;11;20120416
11;11;20120417
11;10;20120418
10;10;20120419
10;10;20120420
10;10;20120423
10;9;20120424
9;9;20120425
9;9;20120426
9;9;20120427
9;9;20120430
9;9;20120502
9;9;20120504
9;9;20120507
9;9;20120508
9;8;20120509
8;7;20120510
7;8;20120511
8;7;20120514
7;7;20120515
7;7;20120516
7;7;20120517
