From;To;Date
11;11;19990527
11;12;19990528
12;12;19990531
12;11;19990601
11;10;19990602
10;11;19990607
11;11;19990608
11;11;19990609
11;11;19990610
11;11;19990611
11;11;19990614
11;11;19990615
11;11;19990616
11;11;19990617
11;11;19990618
11;11;19990621
11;11;19990622
11;12;19990623
12;12;19990624
12;12;19990625
12;13;19990628
13;13;19990629
13;11;19990630
11;11;19990701
11;12;19990702
12;12;19990705
12;11;19990706
11;12;19990707
12;11;19990708
11;12;19990709
12;11;19990712
11;11;19990713
11;11;19990714
11;11;19990715
11;11;19990716
11;11;19990719
11;11;19990720
11;11;19990721
11;11;19990722
11;11;19990723
11;10;19990726
10;10;19990727
10;10;19990728
10;10;19990729
10;10;19990730
10;11;19990802
11;11;19990803
11;11;19990804
11;10;19990805
10;10;19990806
10;10;19990809
10;10;19990810
10;9;19990811
9;10;19990812
10;10;19990813
10;10;19990816
10;10;19990817
10;10;19990818
10;10;19990819
10;10;19990820
10;10;19990823
10;9;19990824
9;9;19990825
9;10;19990826
10;9;19990827
9;9;19990830
9;9;19990831
9;9;19990901
9;9;19990902
9;9;19990903
9;9;19990906
9;9;19990907
9;9;19990908
9;9;19990909
9;9;19990910
9;9;19990913
9;9;19990914
9;9;19990915
9;8;19990916
8;7;19990917
7;8;19990920
8;8;19990921
8;8;19990922
8;9;19990923
9;9;19990924
9;9;19990927
9;8;19990928
8;9;19990929
9;9;19990930
9;9;19991001
9;9;19991004
9;9;19991005
9;9;19991006
9;9;19991007
9;8;19991008
8;8;19991011
8;9;19991012
9;9;19991013
9;8;19991014
8;7;19991015
7;8;19991018
8;8;19991019
8;8;19991020
8;8;19991021
8;8;19991022
8;8;19991025
8;8;19991026
8;8;19991027
8;8;19991028
8;8;19991029
8;8;19991102
8;8;19991103
8;8;19991104
8;7;19991105
7;7;19991108
7;8;19991109
8;8;19991110
8;7;19991115
7;8;19991116
8;7;19991117
7;7;19991118
7;8;19991119
8;8;19991122
8;8;19991123
8;8;19991124
8;8;19991125
8;8;19991126
8;8;19991129
8;8;19991130
8;8;19991201
8;8;19991202
8;8;19991203
8;8;19991206
8;9;19991207
9;9;19991208
9;9;19991209
9;9;19991210
9;9;19991213
9;9;19991214
9;9;19991215
9;9;19991216
9;9;19991217
9;9;19991220
9;9;19991221
9;9;19991222
9;9;19991223
9;9;19991227
9;9;19991228
9;9;19991229
9;9;20000103
9;9;20000104
9;9;20000105
9;9;20000106
9;10;20000107
10;11;20000110
11;11;20000111
11;10;20000112
10;11;20000113
11;11;20000114
11;10;20000117
10;10;20000118
10;11;20000119
11;11;20000120
11;11;20000121
11;10;20000124
10;11;20000125
11;11;20000126
11;11;20000127
11;11;20000128
11;11;20000131
11;11;20000201
11;11;20000202
11;12;20000203
12;12;20000204
12;13;20000207
13;12;20000208
12;12;20000209
12;12;20000210
12;12;20000211
12;12;20000214
12;12;20000215
12;11;20000216
11;11;20000217
11;11;20000218
11;11;20000221
11;11;20000222
11;12;20000223
12;12;20000224
12;11;20000225
11;11;20000228
11;11;20000229
11;11;20000301
11;11;20000302
11;11;20000303
11;11;20000306
11;11;20000307
11;10;20000308
10;10;20000309
10;11;20000310
11;11;20000313
11;10;20000314
10;10;20000315
10;10;20000316
10;10;20000317
10;10;20000320
10;10;20000321
10;10;20000322
10;10;20000323
10;10;20000324
10;10;20000327
10;10;20000328
10;10;20000329
10;10;20000330
10;10;20000331
10;10;20000403
10;10;20000404
10;10;20000405
10;9;20000406
9;9;20000407
9;9;20000410
9;9;20000411
9;9;20000412
9;10;20000413
10;9;20000414
9;9;20000417
9;9;20000418
9;9;20000419
9;9;20000420
9;9;20000425
9;9;20000426
9;9;20000427
9;9;20000428
9;9;20000504
9;9;20000505
9;9;20000508
9;9;20000509
9;9;20000510
9;9;20000511
9;9;20000512
9;9;20000515
9;9;20000516
9;9;20000517
9;9;20000518
9;9;20000519
9;9;20000522
9;9;20000523
9;9;20000524
9;9;20000525
9;9;20000526
9;9;20000529
9;9;20000530
9;9;20000531
9;10;20000601
10;11;20000602
11;11;20000605
11;10;20000606
10;10;20000607
10;9;20000608
9;9;20000609
9;9;20000612
9;9;20000613
9;9;20000614
9;9;20000615
9;9;20000616
9;9;20000619
9;9;20000620
9;9;20000621
9;9;20000623
9;9;20000626
9;9;20000627
9;9;20000628
9;9;20000629
9;9;20000630
9;9;20000703
9;9;20000704
9;9;20000705
9;9;20000706
9;9;20000707
9;9;20000710
9;9;20000711
9;9;20000712
9;9;20000713
9;9;20000714
9;9;20000717
9;9;20000718
9;9;20000719
9;9;20000720
9;9;20000721
9;9;20000724
9;9;20000725
9;9;20000726
9;9;20000727
9;9;20000728
9;9;20000731
9;9;20000801
9;10;20000802
10;9;20000803
9;9;20000804
9;9;20000807
9;9;20000808
9;9;20000809
9;9;20000810
9;9;20000811
9;8;20000814
8;9;20000816
9;9;20000817
9;9;20000818
9;9;20000821
9;8;20000822
8;8;20000823
8;8;20000824
8;9;20000825
9;8;20000828
8;8;20000829
8;8;20000830
8;9;20000831
9;8;20000901
8;9;20000904
9;9;20000905
9;9;20000906
9;9;20000907
9;8;20000908
8;9;20000911
9;8;20000912
8;8;20000913
8;8;20000914
8;8;20000915
8;8;20000918
8;8;20000919
8;8;20000920
8;8;20000921
8;7;20000922
7;8;20000925
8;7;20000926
7;7;20000927
7;7;20000928
7;7;20000929
7;7;20001002
7;7;20001003
7;7;20001004
7;7;20001005
7;7;20001006
7;7;20001009
7;7;20001010
7;7;20001011
7;7;20001012
7;7;20001013
7;7;20001016
7;7;20001017
7;7;20001018
7;7;20001019
7;7;20001020
7;7;20001023
7;7;20001024
7;7;20001025
7;7;20001026
7;7;20001027
7;7;20001030
7;7;20001031
7;7;20001102
7;7;20001103
7;7;20001106
7;7;20001107
7;7;20001108
7;7;20001109
7;7;20001110
7;7;20001113
7;7;20001114
7;6;20001115
6;7;20001116
7;6;20001117
6;6;20001120
6;7;20001121
7;7;20001122
7;7;20001123
7;7;20001127
7;7;20001128
7;6;20001129
6;7;20001130
7;7;20001201
7;7;20001204
7;6;20001205
6;6;20001206
6;6;20001207
6;6;20001208
6;6;20001211
6;6;20001212
6;6;20001213
6;6;20001214
6;6;20001215
6;6;20001218
6;6;20001219
6;6;20001220
6;6;20001221
6;6;20001222
6;6;20001227
6;6;20001228
6;5;20001229
5;6;20010102
6;6;20010103
6;6;20010104
6;6;20010105
6;6;20010108
6;6;20010109
6;6;20010110
6;5;20010111
5;6;20010112
6;6;20010115
6;5;20010116
5;5;20010117
5;5;20010119
5;5;20010122
5;5;20010123
5;6;20010124
6;5;20010125
5;6;20010126
6;5;20010129
5;5;20010130
5;5;20010131
5;5;20010201
5;6;20010202
6;6;20010205
6;5;20010207
5;5;20010208
5;6;20010209
6;6;20010212
6;6;20010214
6;6;20010215
6;6;20010216
6;6;20010219
6;7;20010220
7;7;20010221
7;6;20010222
6;6;20010223
6;6;20010226
6;6;20010227
6;5;20010301
5;5;20010302
5;5;20010308
5;6;20010309
6;6;20010312
6;6;20010313
6;6;20010315
6;6;20010316
6;6;20010319
6;6;20010320
6;6;20010321
6;7;20010322
7;7;20010323
7;8;20010326
8;8;20010327
8;7;20010328
7;7;20010329
7;7;20010330
7;7;20010402
7;6;20010403
6;7;20010409
7;8;20010410
8;7;20010411
7;7;20010419
7;7;20010420
7;7;20010423
7;7;20010425
7;7;20010426
7;6;20010430
6;6;20010502
6;6;20010504
6;6;20010507
6;6;20010508
6;6;20010511
6;7;20010514
7;7;20010515
7;7;20010516
7;7;20010517
7;7;20010518
7;6;20010521
6;6;20010522
6;6;20010523
6;5;20010524
5;6;20010525
6;6;20010528
6;6;20010529
6;6;20010531
6;6;20010601
6;6;20010604
6;6;20010605
6;6;20010608
6;6;20010611
6;6;20010618
6;6;20010619
6;6;20010620
6;5;20010622
5;5;20010625
5;5;20010626
5;6;20010627
6;6;20010628
6;6;20010629
6;5;20010702
5;6;20010703
6;6;20010704
6;5;20010705
5;5;20010706
5;5;20010709
5;5;20010710
5;4;20010711
4;4;20010712
4;5;20010713
5;5;20010716
5;5;20010717
5;5;20010719
5;5;20010720
5;5;20010724
5;5;20010725
5;5;20010726
5;4;20010727
4;4;20010801
4;4;20010802
4;4;20010806
4;4;20010807
4;4;20010808
4;4;20010809
4;4;20010810
4;4;20010813
4;4;20010814
4;4;20010816
4;4;20010823
4;3;20010824
3;4;20010828
4;4;20010829
4;3;20010903
3;3;20010904
3;3;20010910
3;3;20010918
3;2;20010920
2;2;20010921
2;2;20011001
2;2;20011002
2;2;20011011
2;2;20011012
2;1;20011015
1;1;20011016
1;2;20011017
2;2;20011018
2;2;20011023
2;3;20011024
3;2;20011025
2;3;20011026
3;4;20011029
4;3;20011109
3;3;20011114
3;3;20011115
3;3;20011121
