From;To;Date
79;70;20071206
70;72;20071207
72;72;20071210
72;68;20071211
68;68;20071212
68;68;20071213
68;68;20071214
68;62;20071217
62;62;20071218
62;61;20071219
61;67;20071220
67;63;20071221
63;64;20071227
64;64;20071228
64;65;20080102
65;60;20080103
60;63;20080104
63;66;20080107
66;66;20080108
66;65;20080109
65;65;20080111
65;64;20080115
64;63;20080116
63;62;20080121
62;56;20080122
56;56;20080123
56;54;20080124
54;52;20080125
52;52;20080128
52;51;20080129
51;55;20080130
55;54;20080131
54;51;20080201
51;52;20080204
52;51;20080206
51;49;20080207
49;50;20080208
50;49;20080211
49;47;20080212
47;50;20080213
50;50;20080214
50;50;20080215
50;51;20080218
51;51;20080219
51;49;20080220
49;50;20080222
50;50;20080225
50;51;20080226
51;47;20080229
47;50;20080304
50;47;20080305
47;50;20080306
50;51;20080307
51;51;20080310
51;51;20080311
51;53;20080312
53;58;20080314
58;52;20080317
52;63;20080318
63;57;20080319
57;56;20080320
56;58;20080325
58;65;20080326
65;74;20080327
74;72;20080328
72;73;20080331
73;68;20080401
68;68;20080402
68;66;20080403
66;66;20080404
66;66;20080407
66;62;20080408
62;64;20080409
64;65;20080410
65;64;20080411
64;60;20080414
60;56;20080415
56;57;20080416
57;57;20080417
57;58;20080418
58;58;20080421
58;58;20080422
58;58;20080423
58;58;20080424
58;57;20080425
57;57;20080428
57;57;20080429
57;57;20080430
57;57;20080505
57;59;20080506
59;58;20080507
58;58;20080508
58;59;20080509
59;58;20080512
58;56;20080513
56;56;20080514
56;57;20080515
57;58;20080516
58;58;20080519
58;55;20080520
55;55;20080521
55;57;20080523
57;56;20080526
56;57;20080527
57;57;20080528
57;57;20080529
57;57;20080530
57;57;20080602
57;57;20080603
57;55;20080604
55;55;20080605
55;53;20080606
53;54;20080609
54;53;20080610
53;53;20080611
53;54;20080612
54;54;20080613
54;55;20080616
55;55;20080617
55;56;20080618
56;55;20080619
55;55;20080620
55;56;20080623
56;56;20080624
56;54;20080625
54;56;20080626
56;56;20080627
56;57;20080630
57;58;20080701
58;58;20080702
58;57;20080703
57;58;20080704
58;57;20080707
57;56;20080708
56;55;20080709
55;55;20080710
55;56;20080711
56;55;20080714
55;53;20080715
53;55;20080716
55;55;20080717
55;54;20080718
54;54;20080721
54;53;20080722
53;52;20080723
52;51;20080724
51;50;20080725
50;49;20080728
49;46;20080729
46;48;20080730
48;49;20080731
49;49;20080801
49;46;20080804
46;46;20080805
46;48;20080806
48;48;20080807
48;46;20080808
46;48;20080811
48;47;20080812
47;47;20080813
47;47;20080814
47;47;20080818
47;47;20080819
47;47;20080820
47;47;20080821
47;47;20080822
47;47;20080825
47;47;20080826
47;47;20080827
47;47;20080828
47;45;20080829
45;47;20080901
47;47;20080902
47;47;20080903
47;47;20080904
47;45;20080908
45;46;20080909
46;46;20080910
46;46;20080911
46;46;20080912
46;45;20080918
45;46;20080919
46;42;20080922
42;44;20080923
44;44;20080924
44;44;20080925
44;44;20080926
44;44;20080929
44;42;20080930
42;42;20081001
42;43;20081002
43;43;20081003
43;42;20081006
42;40;20081007
40;37;20081008
37;36;20081009
36;38;20081010
38;39;20081013
39;39;20081014
39;37;20081015
37;36;20081016
36;35;20081017
35;35;20081020
35;32;20081021
32;31;20081022
31;32;20081023
32;31;20081024
31;30;20081027
30;32;20081028
32;31;20081029
31;32;20081030
32;30;20081103
30;32;20081104
32;32;20081105
32;31;20081106
31;33;20081107
33;32;20081110
32;31;20081112
31;31;20081113
31;31;20081114
31;31;20081117
31;31;20081118
31;30;20081119
30;29;20081120
29;29;20081121
29;28;20081124
28;27;20081125
27;27;20081126
27;27;20081127
27;27;20081128
27;27;20081201
27;27;20081202
27;28;20081203
28;28;20081204
28;27;20081205
27;28;20081208
28;26;20081209
26;26;20081210
26;26;20081211
26;26;20081212
26;27;20081215
27;26;20081216
26;27;20081217
27;27;20081218
27;27;20081219
27;27;20081222
27;29;20081223
29;28;20081229
28;27;20081230
27;28;20081231
28;27;20090105
27;27;20090106
27;27;20090107
27;27;20090108
27;27;20090109
27;27;20090112
27;27;20090113
27;26;20090114
26;26;20090115
26;26;20090116
26;26;20090119
26;26;20090120
26;26;20090121
26;26;20090122
26;26;20090123
26;25;20090126
25;25;20090127
25;26;20090128
26;26;20090129
26;26;20090130
26;26;20090202
26;26;20090203
26;25;20090204
25;25;20090205
25;25;20090206
25;26;20090209
26;26;20090210
26;25;20090211
25;24;20090212
24;25;20090213
25;24;20090216
24;23;20090217
23;23;20090218
23;23;20090219
23;23;20090220
23;23;20090223
23;23;20090224
23;23;20090225
23;22;20090226
22;22;20090227
22;22;20090302
22;22;20090303
22;23;20090304
23;23;20090305
23;21;20090306
21;22;20090309
22;21;20090310
21;22;20090311
22;21;20090312
21;20;20090313
20;21;20090316
21;20;20090317
20;19;20090318
19;19;20090319
19;19;20090320
19;19;20090323
19;18;20090324
18;20;20090325
20;21;20090326
21;21;20090327
21;20;20090330
20;19;20090331
19;20;20090401
20;20;20090402
20;22;20090403
22;22;20090406
22;22;20090407
22;24;20090408
24;25;20090409
25;26;20090414
26;26;20090415
26;26;20090416
26;26;20090417
26;26;20090420
26;26;20090421
26;26;20090422
26;26;20090423
26;25;20090424
25;25;20090427
25;24;20090429
24;23;20090430
23;24;20090504
24;24;20090505
24;23;20090506
23;23;20090507
23;23;20090508
23;23;20090511
23;23;20090512
23;23;20090513
23;22;20090514
22;22;20090515
22;22;20090518
22;23;20090519
23;23;20090520
23;23;20090521
23;25;20090522
25;28;20090525
28;28;20090526
28;27;20090527
27;27;20090528
27;27;20090529
27;28;20090601
28;28;20090602
28;27;20090603
27;27;20090605
27;27;20090608
27;27;20090609
27;27;20090610
27;32;20090612
32;31;20090615
31;31;20090616
31;30;20090617
30;30;20090618
30;29;20090619
29;28;20090622
28;28;20090623
28;28;20090624
28;28;20090625
28;28;20090626
28;28;20090629
28;28;20090630
28;28;20090701
28;28;20090702
28;28;20090703
28;28;20090706
28;29;20090707
29;29;20090708
29;29;20090709
29;29;20090710
29;28;20090713
28;28;20090714
28;29;20090715
29;29;20090716
29;29;20090717
29;28;20090720
28;28;20090721
28;28;20090722
28;28;20090723
28;29;20090724
29;28;20090727
28;28;20090728
28;28;20090729
28;28;20090730
28;28;20090731
28;29;20090803
29;29;20090804
29;29;20090805
29;29;20090806
29;29;20090807
29;29;20090810
29;28;20090811
28;26;20090812
26;27;20090813
27;27;20090814
27;27;20090817
27;27;20090818
27;27;20090819
27;27;20090820
27;27;20090821
27;30;20090824
30;29;20090825
29;28;20090826
28;28;20090827
28;28;20090828
28;28;20090831
28;27;20090901
27;26;20090902
