From;To;Date
8;8;20010201
8;8;20010202
8;8;20010205
8;8;20010206
8;8;20010207
8;9;20010208
9;10;20010209
10;10;20010212
10;10;20010213
10;9;20010214
9;9;20010215
9;9;20010216
9;8;20010219
8;8;20010220
8;8;20010221
8;8;20010222
8;8;20010223
8;9;20010226
9;9;20010227
9;8;20010228
8;8;20010301
8;8;20010302
8;8;20010305
8;8;20010306
8;8;20010307
8;7;20010308
7;7;20010309
7;7;20010312
7;7;20010313
7;7;20010314
7;7;20010315
7;7;20010316
7;7;20010319
7;7;20010320
7;7;20010321
7;7;20010322
7;7;20010323
7;7;20010326
7;7;20010327
7;7;20010328
7;7;20010329
7;7;20010330
7;7;20010402
7;7;20010403
7;7;20010404
7;7;20010405
7;7;20010406
7;7;20010409
7;7;20010410
7;7;20010411
7;7;20010412
7;7;20010417
7;7;20010418
7;7;20010419
7;6;20010420
6;6;20010423
6;6;20010424
6;6;20010425
6;6;20010426
6;6;20010427
6;6;20010430
6;5;20010502
5;5;20010504
5;5;20010507
5;5;20010508
5;4;20010509
4;4;20010510
4;5;20010511
5;5;20010514
5;5;20010515
5;4;20010516
4;4;20010517
4;4;20010518
4;5;20010521
5;5;20010522
5;5;20010523
5;5;20010524
5;4;20010525
4;4;20010528
4;4;20010529
4;4;20010530
4;4;20010531
4;4;20010601
4;4;20010604
4;4;20010605
4;4;20010606
4;4;20010607
4;4;20010608
4;4;20010611
4;3;20010612
3;3;20010613
3;3;20010615
3;3;20010618
3;3;20010619
3;3;20010620
3;3;20010621
3;3;20010622
3;3;20010625
3;3;20010626
3;3;20010627
3;3;20010628
3;3;20010629
3;3;20010702
3;2;20010703
2;2;20010704
2;2;20010705
2;2;20010706
2;2;20010709
2;2;20010710
2;2;20010711
2;2;20010712
2;2;20010713
2;2;20010716
2;2;20010717
2;2;20010718
2;2;20010719
2;2;20010720
2;2;20010723
2;1;20010724
1;1;20010725
1;1;20010726
1;1;20010727
1;1;20010730
1;1;20010731
1;1;20010801
1;1;20010802
1;1;20010803
1;1;20010806
1;1;20010807
1;1;20010808
1;1;20010809
1;1;20010810
1;1;20010813
1;1;20010814
1;1;20010816
1;1;20010817
1;1;20010820
1;1;20010821
1;1;20010822
1;1;20010823
1;1;20010824
1;1;20010827
1;1;20010828
1;1;20010829
1;1;20010830
1;1;20010831
1;1;20010903
1;1;20010904
1;1;20010905
1;1;20010906
1;1;20010907
1;1;20010910
1;1;20010911
1;1;20010912
1;1;20010913
1;1;20010914
1;1;20010917
1;1;20010918
1;1;20010919
1;1;20010920
1;1;20010921
1;1;20010924
1;1;20010925
1;1;20010926
1;0;20010927
0;0;20010928
0;0;20011001
0;0;20011002
0;0;20011003
0;1;20011004
1;1;20011005
1;1;20011008
1;1;20011009
1;1;20011010
1;1;20011011
1;1;20011012
1;1;20011015
1;1;20011016
1;1;20011017
1;1;20011018
1;1;20011019
1;1;20011022
1;1;20011023
1;1;20011024
1;1;20011025
1;1;20011026
1;1;20011029
1;1;20011030
1;1;20011031
1;1;20011102
1;1;20011105
1;1;20011106
1;1;20011107
1;1;20011108
1;1;20011109
1;1;20011112
1;1;20011113
1;1;20011114
1;1;20011115
1;1;20011116
1;1;20011119
1;1;20011120
1;1;20011121
1;1;20011122
1;1;20011123
1;1;20011126
1;1;20011127
1;1;20011128
1;1;20011129
1;1;20011130
1;1;20011203
1;1;20011204
1;1;20011205
1;1;20011206
1;1;20011207
1;1;20011210
1;1;20011211
1;1;20011212
1;1;20011213
1;1;20011214
1;1;20011217
1;1;20011218
1;1;20011219
1;1;20011220
1;1;20011221
1;1;20011227
1;1;20011228
1;1;20011231
1;1;20020102
1;1;20020103
1;1;20020104
1;0;20020107
0;1;20020108
1;1;20020109
1;1;20020110
1;1;20020111
1;1;20020114
1;1;20020115
1;1;20020116
1;1;20020117
1;1;20020118
1;1;20020121
1;1;20020122
1;1;20020123
1;1;20020124
1;1;20020125
1;1;20020128
1;1;20020129
1;1;20020130
1;1;20020131
1;1;20020201
1;1;20020204
1;1;20020205
1;1;20020206
1;1;20020207
1;1;20020208
1;1;20020211
1;1;20020212
1;1;20020213
1;1;20020214
1;1;20020215
1;1;20020218
1;1;20020219
1;1;20020220
1;1;20020221
1;1;20020222
1;1;20020225
1;1;20020226
1;1;20020227
1;1;20020228
1;1;20020301
1;1;20020304
1;1;20020305
1;1;20020306
1;1;20020307
1;1;20020308
1;1;20020311
1;1;20020312
1;1;20020313
1;1;20020314
1;1;20020315
1;1;20020318
1;1;20020319
1;1;20020320
1;1;20020321
1;1;20020322
1;1;20020325
1;0;20020326
0;1;20020327
1;1;20020328
1;1;20020402
1;0;20020403
0;0;20020404
0;0;20020405
0;0;20020408
0;0;20020409
0;0;20020410
0;0;20020411
0;0;20020412
0;0;20020415
0;0;20020416
0;0;20020417
0;0;20020418
0;0;20020419
0;0;20020422
0;0;20020423
0;0;20020424
0;0;20020425
0;0;20020426
0;0;20020429
0;0;20020430
0;0;20020502
0;0;20020506
0;0;20020507
0;0;20020508
0;0;20020509
0;0;20020510
0;0;20020513
0;0;20020514
0;0;20020515
0;0;20020516
0;0;20020517
0;0;20020520
0;0;20020521
0;0;20020522
0;0;20020523
0;0;20020524
0;0;20020527
0;0;20020528
0;0;20020529
0;0;20020531
0;0;20020603
0;0;20020604
0;0;20020605
0;0;20020606
0;0;20020607
0;0;20020610
0;0;20020611
0;0;20020612
0;0;20020613
0;0;20020614
0;0;20020617
0;0;20020618
0;0;20020619
0;0;20020620
0;0;20020621
0;0;20020624
0;0;20020625
0;0;20020626
0;0;20020627
0;0;20020628
0;0;20020701
0;0;20020702
0;0;20020703
0;0;20020704
0;0;20020705
0;0;20020708
0;0;20020709
0;0;20020710
0;0;20020711
0;0;20020712
0;0;20020715
0;0;20020716
0;0;20020717
0;0;20020718
0;0;20020719
0;0;20020722
0;0;20020723
0;0;20020724
0;0;20020725
0;0;20020726
0;0;20020729
0;0;20020730
0;0;20020731
0;0;20020801
0;0;20020802
0;0;20020805
0;0;20020806
0;0;20020807
0;0;20020808
0;0;20020809
0;0;20020812
0;0;20020813
0;0;20020814
0;0;20020816
0;0;20020819
0;0;20020820
0;0;20020821
0;0;20020822
0;0;20020823
0;0;20020826
0;0;20020827
0;0;20020828
0;0;20020829
0;0;20020830
0;0;20020902
0;0;20020903
0;0;20020904
0;0;20020905
0;0;20020906
0;0;20020909
0;0;20020910
0;0;20020911
0;0;20020912
0;0;20020913
0;0;20020916
0;0;20020917
0;0;20020918
0;0;20020919
0;0;20020920
0;0;20020923
0;0;20020924
0;0;20020925
0;0;20020926
0;0;20020927
0;0;20020930
0;0;20021001
0;0;20021002
0;0;20021003
0;0;20021004
0;0;20021007
0;0;20021008
0;0;20021009
0;0;20021010
0;0;20021011
0;0;20021014
0;0;20021015
0;0;20021016
0;0;20021017
0;0;20021018
0;0;20021021
0;0;20021022
0;0;20021023
0;0;20021024
0;0;20021025
0;0;20021028
0;0;20021029
0;0;20021030
0;0;20021031
0;0;20021104
0;0;20021105
0;0;20021106
0;0;20021107
0;0;20021108
0;0;20021112
0;0;20021113
0;0;20021114
0;0;20021115
0;0;20021118
0;0;20021119
0;0;20021120
0;0;20021121
0;0;20021122
0;0;20021125
0;0;20021126
0;0;20021127
0;0;20021128
0;0;20021129
0;0;20021202
