From;To;Date
8;10;20061103
10;9;20061106
9;9;20061107
9;9;20061108
9;9;20061109
9;8;20061110
8;8;20061113
8;8;20061114
8;8;20061115
8;8;20061116
8;8;20061117
8;7;20061120
7;7;20061121
7;8;20061122
8;9;20061123
9;9;20061124
9;9;20061127
9;9;20061128
9;9;20061129
9;9;20061130
9;9;20061201
9;9;20061204
9;9;20061205
9;9;20061206
9;9;20061207
9;9;20061208
9;9;20061211
9;9;20061212
9;9;20061213
9;9;20061214
9;8;20061215
8;8;20061218
8;8;20061219
8;8;20061220
8;8;20061221
8;8;20061222
8;9;20061227
9;9;20061228
9;9;20061229
9;9;20070102
9;9;20070103
9;9;20070104
9;9;20070105
9;8;20070108
8;8;20070109
8;8;20070110
8;8;20070111
8;8;20070112
8;9;20070115
9;9;20070116
9;8;20070117
8;8;20070118
8;8;20070119
8;8;20070122
8;10;20070123
10;10;20070124
10;10;20070125
10;10;20070126
10;10;20070129
10;10;20070130
10;11;20070131
11;10;20070201
10;10;20070202
10;10;20070205
10;12;20070206
12;11;20070207
11;10;20070208
10;11;20070209
11;10;20070212
10;11;20070213
11;10;20070214
10;11;20070215
11;10;20070216
10;10;20070219
10;10;20070220
10;10;20070221
10;10;20070222
10;9;20070223
9;10;20070226
10;9;20070227
9;9;20070228
9;9;20070301
9;9;20070302
9;8;20070305
8;9;20070306
9;9;20070307
9;9;20070308
9;9;20070309
9;9;20070312
9;9;20070313
9;9;20070314
9;9;20070315
9;9;20070316
9;9;20070319
9;9;20070320
9;9;20070321
9;9;20070322
9;10;20070323
10;10;20070326
10;10;20070327
10;10;20070328
10;10;20070329
10;10;20070330
10;9;20070402
9;10;20070403
10;10;20070404
10;9;20070405
9;10;20070410
10;9;20070411
9;9;20070412
9;10;20070413
10;10;20070416
10;10;20070417
10;10;20070418
10;9;20070419
9;9;20070420
9;9;20070423
9;9;20070424
9;9;20070425
9;9;20070426
9;9;20070427
9;9;20070430
9;9;20070502
9;9;20070504
9;9;20070507
9;9;20070508
9;9;20070509
9;9;20070510
9;9;20070511
9;9;20070514
9;9;20070515
9;9;20070516
9;9;20070517
9;9;20070518
9;9;20070521
9;8;20070522
8;9;20070523
9;9;20070524
9;9;20070525
9;9;20070528
9;8;20070529
8;8;20070530
8;9;20070531
9;9;20070601
9;9;20070604
9;9;20070605
9;9;20070606
9;8;20070608
8;9;20070611
9;9;20070612
9;9;20070613
9;9;20070614
9;9;20070615
9;8;20070618
8;9;20070619
9;9;20070620
9;8;20070621
8;9;20070622
9;9;20070625
9;9;20070626
9;9;20070627
9;9;20070628
9;9;20070629
9;8;20070702
8;9;20070703
9;8;20070704
8;9;20070705
9;9;20070706
9;9;20070709
9;8;20070710
8;8;20070711
8;8;20070712
8;8;20070713
8;8;20070716
8;8;20070717
8;8;20070718
8;9;20070719
9;9;20070720
9;9;20070723
9;9;20070724
9;9;20070725
9;8;20070726
8;8;20070727
8;8;20070730
8;8;20070731
8;8;20070801
8;8;20070802
8;8;20070803
8;7;20070806
7;8;20070807
8;8;20070808
8;8;20070809
8;7;20070810
7;7;20070813
7;7;20070814
7;7;20070816
7;7;20070817
7;7;20070820
7;6;20070821
6;6;20070822
6;6;20070823
6;6;20070824
6;7;20070827
7;7;20070828
7;7;20070829
7;7;20070830
7;7;20070831
7;7;20070903
7;7;20070904
7;7;20070905
7;7;20070906
7;7;20070907
7;7;20070910
7;8;20070911
8;8;20070912
8;8;20070913
8;8;20070914
8;8;20070917
8;8;20070918
8;8;20070919
8;8;20070920
8;8;20070921
8;8;20070924
8;8;20070925
8;8;20070926
8;8;20070927
8;8;20070928
8;8;20071001
8;8;20071002
8;8;20071003
8;8;20071004
8;8;20071005
8;8;20071008
8;8;20071009
8;9;20071010
9;9;20071011
9;9;20071012
9;9;20071015
9;9;20071016
9;9;20071017
9;9;20071018
9;9;20071019
9;9;20071022
9;9;20071023
9;9;20071024
9;9;20071026
9;9;20071029
9;8;20071030
8;8;20071031
8;8;20071102
8;9;20071105
9;9;20071106
9;9;20071107
9;9;20071108
9;8;20071109
8;8;20071112
8;8;20071113
8;8;20071114
8;8;20071115
8;8;20071116
8;9;20071119
9;9;20071120
9;9;20071121
9;8;20071122
8;8;20071123
8;8;20071126
8;8;20071127
8;8;20071128
8;8;20071129
8;8;20071130
8;8;20071203
8;8;20071204
8;9;20071205
9;8;20071206
8;8;20071207
8;8;20071210
8;8;20071211
8;8;20071212
8;8;20071213
8;8;20071214
8;8;20071217
8;8;20071218
8;7;20071219
7;7;20071220
7;7;20071221
7;8;20071227
8;9;20071228
9;8;20080102
8;8;20080103
8;8;20080104
8;8;20080107
8;8;20080108
8;7;20080109
7;7;20080110
7;8;20080111
8;7;20080114
7;7;20080115
7;7;20080116
7;8;20080117
8;7;20080118
7;7;20080121
7;7;20080122
7;7;20080123
7;7;20080124
7;7;20080125
7;7;20080129
7;7;20080130
7;7;20080131
7;7;20080201
7;7;20080204
7;7;20080205
7;7;20080206
7;7;20080207
7;7;20080211
7;7;20080213
7;7;20080214
7;7;20080215
7;7;20080218
7;7;20080219
7;7;20080220
7;7;20080221
7;7;20080222
7;7;20080226
7;7;20080227
7;7;20080228
7;7;20080229
7;7;20080303
7;7;20080305
7;7;20080307
7;8;20080310
8;8;20080311
8;8;20080312
8;8;20080313
8;8;20080314
8;8;20080317
8;8;20080318
8;8;20080319
8;8;20080320
8;9;20080325
9;9;20080326
9;9;20080327
9;9;20080328
9;9;20080331
9;10;20080401
10;10;20080402
10;10;20080403
10;10;20080404
10;10;20080407
10;10;20080408
10;11;20080409
11;11;20080410
11;11;20080411
11;11;20080414
11;10;20080415
10;10;20080416
10;10;20080417
10;10;20080418
10;10;20080421
10;10;20080422
10;10;20080423
10;10;20080424
10;10;20080425
10;10;20080428
10;10;20080429
10;10;20080430
10;11;20080505
11;11;20080506
11;11;20080507
11;11;20080508
11;11;20080509
11;11;20080512
11;11;20080513
11;12;20080514
12;12;20080515
12;12;20080516
12;12;20080519
12;12;20080520
12;12;20080521
12;12;20080523
12;12;20080526
12;12;20080527
12;12;20080528
12;12;20080529
12;12;20080530
12;12;20080602
12;11;20080603
11;11;20080604
11;11;20080605
11;11;20080606
11;12;20080609
12;11;20080610
11;11;20080611
11;11;20080612
11;11;20080613
11;11;20080616
11;11;20080617
11;12;20080618
12;11;20080619
11;11;20080620
11;11;20080623
11;11;20080624
11;11;20080625
11;11;20080626
11;11;20080627
11;11;20080630
11;11;20080701
11;11;20080702
11;11;20080703
11;11;20080704
11;11;20080707
11;11;20080708
11;11;20080709
11;11;20080710
11;11;20080711
11;11;20080714
11;10;20080715
10;10;20080716
10;10;20080717
10;10;20080718
10;10;20080721
10;10;20080722
10;10;20080723
10;10;20080724
10;10;20080725
10;10;20080728
10;10;20080729
10;10;20080730
10;10;20080731
10;10;20080801
10;10;20080804
10;10;20080805
10;10;20080806
10;10;20080807
10;10;20080808
10;10;20080811
10;10;20080812
10;10;20080813
10;10;20080814
10;10;20080818
10;10;20080819
10;10;20080820
10;10;20080821
10;10;20080822
10;10;20080825
10;10;20080826
10;10;20080827
10;10;20080828
10;10;20080829
10;10;20080901
10;10;20080902
10;10;20080903
10;10;20080904
10;10;20080905
10;10;20080908
10;10;20080909
10;10;20080910
10;10;20080911
10;10;20080912
10;10;20080915
10;10;20080916
10;10;20080917
10;10;20080918
10;10;20080919
10;10;20080922
10;9;20080923
9;9;20080924
9;10;20080925
10;10;20080926
10;10;20080929
10;10;20080930
10;10;20081001
10;10;20081002
10;10;20081006
10;9;20081007
9;8;20081008
8;9;20081009
9;8;20081010
8;8;20081013
8;9;20081014
9;8;20081015
8;8;20081016
8;8;20081017
8;8;20081020
8;8;20081021
8;7;20081022
7;7;20081023
7;7;20081024
7;7;20081027
7;7;20081028
7;8;20081029
8;8;20081030
8;9;20081031
9;9;20081103
9;9;20081104
9;9;20081105
9;8;20081106
8;8;20081107
8;8;20081110
8;8;20081112
8;8;20081113
8;8;20081114
8;8;20081117
8;8;20081118
8;8;20081119
8;8;20081120
8;8;20081121
8;8;20081124
8;8;20081125
8;8;20081126
8;8;20081127
8;8;20081128
8;7;20081201
7;7;20081202
7;7;20081203
7;7;20081204
7;7;20081205
7;8;20081208
8;8;20081209
8;7;20081210
7;8;20081211
8;8;20081212
8;7;20081215
7;7;20081216
7;7;20081217
7;7;20081218
7;7;20081219
7;7;20081222
7;7;20081223
7;6;20081229
6;7;20081230
7;6;20081231
6;6;20090105
6;6;20090106
6;6;20090107
6;6;20090108
6;6;20090109
6;6;20090112
6;6;20090113
6;6;20090114
6;6;20090115
6;6;20090116
6;6;20090119
6;6;20090120
6;6;20090121
6;6;20090122
6;6;20090123
6;6;20090126
6;5;20090127
5;6;20090128
6;6;20090129
6;6;20090130
6;6;20090202
6;6;20090204
6;5;20090205
5;5;20090206
5;6;20090209
6;6;20090210
6;5;20090212
5;6;20090213
6;6;20090216
6;5;20090218
5;6;20090219
6;6;20090220
6;6;20090223
6;5;20090224
5;6;20090225
6;6;20090226
6;6;20090227
6;7;20090302
7;7;20090303
7;7;20090304
7;6;20090305
6;6;20090310
6;6;20090311
6;6;20090312
6;6;20090313
6;6;20090316
6;6;20090318
6;6;20090320
6;6;20090323
6;6;20090324
6;6;20090325
6;6;20090326
6;6;20090327
6;6;20090330
6;6;20090331
6;5;20090401
5;6;20090402
6;6;20090403
6;5;20090406
5;6;20090407
6;6;20090408
6;6;20090409
6;6;20090414
6;6;20090415
6;6;20090416
6;6;20090417
6;6;20090420
6;6;20090421
6;6;20090422
6;5;20090423
5;5;20090424
5;5;20090427
5;5;20090428
5;5;20090429
5;5;20090430
5;6;20090504
6;5;20090505
5;5;20090506
5;5;20090507
5;5;20090508
5;5;20090511
5;5;20090512
5;5;20090513
5;5;20090514
5;5;20090515
5;6;20090518
6;6;20090519
6;6;20090520
6;6;20090521
6;6;20090522
6;6;20090525
6;5;20090526
5;5;20090527
5;5;20090528
5;5;20090529
5;6;20090601
6;6;20090602
6;6;20090603
6;6;20090604
6;6;20090605
6;5;20090608
5;6;20090609
6;6;20090610
6;6;20090612
6;6;20090615
6;6;20090616
6;6;20090617
6;6;20090618
6;6;20090619
6;6;20090622
6;6;20090623
6;6;20090624
6;6;20090625
6;6;20090626
6;6;20090629
6;7;20090630
7;7;20090701
7;7;20090702
7;7;20090703
7;6;20090706
6;6;20090707
6;6;20090708
6;6;20090709
6;6;20090710
6;6;20090713
6;6;20090714
6;6;20090715
6;6;20090716
6;6;20090717
6;6;20090720
6;6;20090721
6;6;20090722
6;6;20090723
