From;To;Date
26;26;19980217
26;27;19980218
27;29;19980219
29;29;19980220
29;30;19980223
30;30;19980224
30;29;19980225
29;29;19980226
29;29;19980227
29;29;19980302
29;30;19980303
30;30;19980304
30;29;19980305
29;29;19980306
29;30;19980309
30;31;19980310
31;33;19980311
33;32;19980312
32;32;19980313
32;33;19980316
33;34;19980317
34;33;19980318
33;34;19980319
34;34;19980320
34;35;19980323
35;35;19980324
35;36;19980325
36;38;19980326
38;37;19980327
37;37;19980330
37;36;19980331
36;36;19980401
36;35;19980402
35;35;19980406
35;36;19980407
36;37;19980408
37;37;19980409
37;39;19980414
39;40;19980415
40;41;19980416
41;40;19980417
40;40;19980420
40;39;19980421
39;40;19980422
40;40;19980423
40;40;19980424
40;40;19980427
40;39;19980428
39;38;19980429
38;38;19980430
38;38;19980504
38;38;19980505
38;36;19980506
36;36;19980507
36;36;19980508
36;36;19980511
36;36;19980512
36;36;19980513
36;34;19980514
34;34;19980515
34;33;19980518
33;30;19980519
30;31;19980520
31;32;19980521
32;31;19980522
31;30;19980525
30;30;19980526
30;28;19980527
28;26;19980528
26;26;19980529
26;26;19980601
26;25;19980602
25;25;19980603
25;26;19980604
26;27;19980605
27;28;19980608
28;27;19980609
27;27;19980610
27;27;19980615
27;27;19980616
27;27;19980617
27;29;19980618
29;28;19980619
28;29;19980622
29;29;19980623
29;28;19980624
28;28;19980625
28;28;19980626
28;28;19980629
28;28;19980630
28;29;19980701
29;30;19980702
30;31;19980703
31;32;19980706
32;33;19980707
33;33;19980708
33;32;19980709
32;32;19980710
32;33;19980713
33;34;19980714
34;34;19980715
34;33;19980716
33;34;19980717
34;33;19980720
33;34;19980721
34;32;19980722
32;30;19980723
30;30;19980724
30;31;19980727
31;29;19980728
29;29;19980729
29;29;19980730
29;30;19980731
30;28;19980803
28;28;19980804
28;27;19980805
27;27;19980806
27;27;19980807
27;28;19980810
28;27;19980811
27;27;19980812
27;26;19980813
26;26;19980814
26;26;19980817
26;27;19980818
27;27;19980819
27;27;19980820
27;25;19980821
25;25;19980824
25;26;19980825
26;25;19980826
25;23;19980827
23;21;19980828
21;19;19980831
19;17;19980901
17;18;19980902
18;17;19980903
17;17;19980904
17;19;19980907
19;20;19980908
20;20;19980909
20;20;19980910
20;20;19980911
20;21;19980914
21;22;19980915
22;22;19980916
22;22;19980917
22;21;19980918
21;21;19980921
21;22;19980922
22;23;19980923
23;24;19980924
24;24;19980925
24;24;19980928
24;24;19980929
24;24;19980930
24;24;19981001
24;24;19981002
24;24;19981005
24;24;19981006
24;26;19981007
26;26;19981008
26;25;19981009
25;26;19981012
26;25;19981013
25;23;19981014
23;23;19981015
23;23;19981016
23;23;19981019
23;24;19981020
24;22;19981021
22;22;19981022
22;23;19981023
23;23;19981026
23;23;19981027
23;23;19981028
23;23;19981029
23;23;19981030
23;23;19981102
23;23;19981103
23;23;19981104
23;23;19981105
23;22;19981106
22;21;19981109
21;21;19981110
21;21;19981112
21;21;19981113
21;23;19981116
23;23;19981117
23;22;19981118
22;22;19981119
22;21;19981120
21;22;19981123
22;23;19981124
23;22;19981125
22;22;19981126
22;23;19981127
23;22;19981130
22;22;19981201
22;23;19981202
23;22;19981203
22;23;19981204
23;24;19981207
24;25;19981208
25;25;19981209
25;25;19981210
25;25;19981211
25;25;19981214
25;25;19981215
25;26;19981216
26;28;19981217
28;28;19981218
28;30;19981221
30;32;19981222
32;32;19981223
32;32;19981228
32;30;19981229
30;30;19981230
30;30;19981231
30;32;19990104
32;30;19990105
30;33;19990106
33;33;19990107
33;34;19990108
34;33;19990111
33;33;19990112
33;31;19990113
31;32;19990114
32;31;19990115
31;34;19990118
34;34;19990119
34;33;19990120
33;33;19990121
33;32;19990122
32;34;19990125
34;34;19990126
34;33;19990127
33;34;19990128
34;34;19990129
34;34;19990201
34;33;19990202
33;33;19990203
33;33;19990204
33;33;19990205
33;33;19990208
33;32;19990209
32;32;19990210
32;31;19990211
31;32;19990212
32;32;19990215
32;33;19990216
33;33;19990217
33;33;19990218
33;33;19990219
33;32;19990222
32;33;19990223
33;31;19990224
31;31;19990225
31;31;19990226
31;30;19990301
30;31;19990302
31;29;19990303
29;28;19990304
28;28;19990305
28;29;19990308
29;29;19990309
29;29;19990310
29;30;19990311
30;30;19990312
30;29;19990315
29;29;19990316
29;29;19990317
29;30;19990318
30;31;19990319
31;31;19990322
31;31;19990323
31;30;19990324
30;31;19990325
31;30;19990326
30;30;19990329
30;30;19990330
30;30;19990331
30;30;19990401
30;30;19990406
30;31;19990407
31;31;19990408
31;31;19990409
31;31;19990412
31;30;19990413
30;30;19990414
30;30;19990415
30;30;19990416
30;30;19990419
30;30;19990420
30;29;19990421
29;30;19990422
30;30;19990423
30;29;19990426
29;29;19990427
29;28;19990428
28;29;19990429
29;29;19990430
29;30;19990504
30;30;19990505
30;29;19990506
29;29;19990507
29;29;19990510
29;29;19990511
29;29;19990512
29;29;19990513
29;27;19990514
27;28;19990517
28;28;19990518
28;28;19990519
28;28;19990520
28;27;19990521
27;26;19990524
26;27;19990525
27;28;19990526
28;28;19990527
28;27;19990528
27;26;19990531
26;27;19990601
27;27;19990602
27;28;19990607
28;27;19990608
27;27;19990609
27;27;19990610
27;29;19990611
29;29;19990614
29;29;19990615
29;29;19990616
29;29;19990617
29;28;19990618
28;29;19990621
29;30;19990622
30;30;19990623
30;30;19990624
