From;To;Date
6;6;20050513
6;6;20050516
6;7;20050517
7;7;20050518
7;7;20050519
7;6;20050520
6;6;20050523
6;6;20050524
6;6;20050525
6;6;20050527
6;6;20050530
6;6;20050531
6;6;20050601
6;6;20050602
6;6;20050603
6;7;20050606
7;7;20050607
7;7;20050608
7;7;20050609
7;7;20050610
7;7;20050613
7;7;20050614
7;7;20050615
7;7;20050616
7;7;20050617
7;7;20050620
7;7;20050621
7;7;20050622
7;7;20050623
7;7;20050624
7;7;20050627
7;7;20050628
7;7;20050629
7;7;20050630
7;7;20050701
7;7;20050704
7;7;20050705
7;7;20050707
7;6;20050708
6;7;20050711
7;7;20050712
7;7;20050713
7;7;20050714
7;7;20050715
7;7;20050718
7;7;20050719
7;6;20050720
6;6;20050721
6;6;20050722
6;6;20050725
6;6;20050726
6;6;20050727
6;6;20050728
6;6;20050729
6;6;20050801
6;6;20050802
6;6;20050803
6;6;20050804
6;6;20050805
6;6;20050808
6;6;20050809
6;6;20050810
6;6;20050811
6;6;20050812
6;6;20050816
6;6;20050817
6;6;20050818
6;6;20050819
6;6;20050822
6;6;20050823
6;6;20050824
6;6;20050825
6;6;20050826
6;6;20050829
6;6;20050830
6;6;20050831
6;6;20050901
6;6;20050902
6;6;20050905
6;6;20050906
6;6;20050907
6;6;20050908
6;6;20050909
6;6;20050912
6;6;20050913
6;6;20050914
6;6;20050915
6;6;20050916
6;6;20050919
6;6;20050920
6;6;20050921
6;6;20050922
6;6;20050923
6;6;20050926
6;6;20050927
6;6;20050928
6;5;20050929
5;6;20050930
6;7;20051003
7;7;20051004
7;6;20051005
6;6;20051006
6;6;20051007
6;6;20051010
6;6;20051011
6;6;20051012
6;6;20051013
6;6;20051014
6;6;20051017
6;6;20051018
6;6;20051019
6;6;20051020
6;6;20051021
6;6;20051024
6;6;20051025
6;6;20051026
6;6;20051027
6;6;20051028
6;6;20051031
6;6;20051102
6;6;20051103
6;6;20051104
6;6;20051107
6;6;20051108
6;6;20051109
6;6;20051110
6;6;20051114
6;8;20051115
8;7;20051116
7;7;20051117
7;8;20051118
8;8;20051121
8;8;20051122
8;9;20051123
9;9;20051124
9;9;20051125
9;9;20051128
9;8;20051129
8;8;20051130
8;9;20051201
9;9;20051202
9;9;20051205
9;9;20051206
9;9;20051207
9;9;20051208
9;9;20051209
9;9;20051212
9;9;20051213
9;9;20051214
9;9;20051215
9;9;20051216
9;8;20051219
8;8;20051220
8;8;20051221
8;8;20051222
8;8;20051223
8;8;20051227
8;8;20051228
8;8;20051229
8;9;20051230
9;9;20060102
9;9;20060103
9;9;20060104
9;9;20060105
9;9;20060106
9;9;20060109
9;10;20060110
10;9;20060111
9;9;20060112
9;9;20060113
9;9;20060116
9;9;20060117
9;9;20060118
9;9;20060119
9;9;20060120
9;9;20060123
9;9;20060124
9;9;20060125
9;10;20060126
10;10;20060127
10;10;20060130
10;10;20060131
10;11;20060201
11;11;20060202
11;10;20060203
10;10;20060206
10;10;20060207
10;11;20060208
11;11;20060209
11;10;20060210
10;10;20060213
10;10;20060214
10;10;20060215
10;10;20060216
10;11;20060217
11;11;20060220
11;11;20060221
11;11;20060222
11;11;20060223
11;11;20060224
11;11;20060227
11;11;20060228
11;10;20060301
10;10;20060302
10;10;20060303
10;10;20060306
10;10;20060307
10;10;20060308
10;10;20060309
10;10;20060310
10;10;20060313
10;9;20060314
9;10;20060315
10;10;20060316
10;10;20060317
10;10;20060320
10;10;20060321
10;10;20060322
10;10;20060323
10;11;20060324
11;11;20060327
11;11;20060328
11;11;20060329
11;11;20060330
11;11;20060331
11;12;20060403
12;12;20060404
12;12;20060405
12;12;20060406
12;12;20060407
12;12;20060410
12;12;20060411
12;12;20060412
12;12;20060413
12;12;20060418
12;12;20060419
12;12;20060420
12;12;20060421
12;12;20060424
12;12;20060425
12;12;20060426
12;12;20060427
12;12;20060428
12;14;20060502
14;14;20060504
14;14;20060505
14;13;20060508
13;13;20060509
13;13;20060510
13;13;20060511
13;13;20060512
13;13;20060515
13;13;20060516
13;13;20060517
13;13;20060518
13;13;20060519
13;12;20060522
12;12;20060523
12;12;20060524
12;11;20060525
11;12;20060526
12;12;20060529
12;12;20060530
12;12;20060531
12;12;20060601
12;12;20060602
12;12;20060605
12;12;20060606
12;12;20060607
12;12;20060608
12;10;20060609
10;9;20060612
9;9;20060613
9;9;20060614
9;10;20060616
10;10;20060619
10;9;20060620
9;9;20060621
9;9;20060622
9;10;20060623
10;10;20060626
10;10;20060627
10;10;20060628
10;10;20060629
10;10;20060630
10;10;20060703
10;10;20060704
10;10;20060705
10;10;20060706
10;10;20060707
10;10;20060710
10;10;20060711
10;10;20060712
10;10;20060713
10;10;20060714
10;10;20060717
10;10;20060718
10;10;20060719
10;11;20060720
11;11;20060721
11;11;20060724
11;11;20060725
11;11;20060726
11;11;20060727
11;11;20060728
11;11;20060731
11;11;20060801
11;11;20060802
11;10;20060803
10;11;20060804
11;11;20060807
11;10;20060808
10;11;20060809
11;10;20060810
10;10;20060811
10;10;20060814
10;11;20060816
11;10;20060817
10;10;20060818
10;11;20060821
11;10;20060822
10;10;20060823
10;10;20060824
10;10;20060825
10;10;20060828
10;10;20060829
10;10;20060830
10;10;20060831
10;10;20060901
10;10;20060904
10;10;20060905
10;10;20060906
10;10;20060907
10;10;20060908
10;10;20060911
10;10;20060912
10;10;20060913
10;10;20060914
10;10;20060915
10;11;20060918
11;10;20060919
10;10;20060920
10;10;20060921
10;11;20060922
11;11;20060925
11;11;20060926
11;11;20060927
11;11;20060928
11;11;20060929
11;11;20061002
11;11;20061003
11;11;20061004
11;11;20061005
11;12;20061006
12;12;20061009
12;12;20061010
12;12;20061011
12;12;20061012
12;13;20061013
13;13;20061016
13;13;20061017
13;12;20061018
12;13;20061019
13;13;20061020
13;12;20061023
12;13;20061024
13;12;20061025
12;12;20061026
12;12;20061027
12;12;20061030
12;12;20061031
12;12;20061102
12;13;20061103
13;13;20061106
13;12;20061107
12;14;20061108
14;14;20061109
14;14;20061110
14;14;20061113
14;14;20061114
14;13;20061115
13;13;20061116
13;13;20061117
13;13;20061120
13;13;20061121
13;13;20061122
13;15;20061123
15;15;20061124
15;15;20061127
15;15;20061128
15;15;20061129
15;15;20061130
15;15;20061201
15;16;20061204
16;15;20061205
15;15;20061206
15;15;20061207
15;15;20061208
15;15;20061211
15;16;20061212
16;16;20061213
16;16;20061214
16;15;20061215
15;15;20061218
15;15;20061219
15;15;20061220
15;15;20061221
15;15;20061222
15;15;20061227
15;14;20061228
14;15;20061229
15;14;20070102
14;14;20070103
14;14;20070104
14;14;20070105
14;15;20070108
15;15;20070109
15;15;20070110
15;16;20070111
16;16;20070112
16;16;20070115
16;17;20070116
17;17;20070117
17;18;20070118
18;17;20070119
17;18;20070122
18;17;20070123
17;17;20070124
17;17;20070125
17;17;20070126
17;17;20070129
17;17;20070130
17;17;20070131
17;18;20070201
18;18;20070202
18;17;20070205
17;18;20070206
18;17;20070207
17;17;20070208
17;17;20070209
17;17;20070212
17;17;20070213
17;19;20070214
19;19;20070215
19;18;20070216
18;18;20070219
18;18;20070220
18;18;20070221
18;18;20070222
18;18;20070223
18;18;20070226
18;17;20070227
17;17;20070228
17;17;20070301
17;17;20070302
17;17;20070305
17;18;20070306
18;18;20070307
18;19;20070308
19;19;20070309
19;21;20070312
21;21;20070313
21;20;20070314
20;20;20070315
20;20;20070316
20;22;20070319
22;24;20070320
24;24;20070321
24;24;20070322
24;26;20070323
26;27;20070326
27;27;20070327
27;26;20070328
26;27;20070329
27;27;20070330
27;27;20070402
27;29;20070403
29;28;20070404
28;28;20070405
28;29;20070410
29;30;20070411
30;29;20070412
29;29;20070413
29;29;20070416
29;29;20070417
29;29;20070418
29;28;20070419
28;29;20070420
29;28;20070423
28;27;20070424
27;28;20070425
28;28;20070426
28;30;20070427
30;30;20070430
30;30;20070502
30;31;20070504
31;31;20070507
31;31;20070508
31;31;20070509
31;30;20070510
30;30;20070511
30;30;20070514
30;29;20070515
29;28;20070516
28;28;20070517
28;29;20070518
29;29;20070521
29;28;20070522
28;31;20070523
31;33;20070524
33;34;20070525
34;35;20070528
35;35;20070529
35;35;20070530
35;36;20070531
36;35;20070601
35;35;20070604
35;34;20070605
34;33;20070606
33;32;20070608
32;35;20070611
35;34;20070612
34;34;20070613
34;34;20070614
34;35;20070615
35;35;20070618
35;36;20070619
36;35;20070620
35;35;20070621
35;35;20070622
35;35;20070625
35;37;20070626
37;38;20070627
38;39;20070628
39;39;20070629
39;38;20070702
38;40;20070703
40;41;20070704
41;41;20070705
41;40;20070706
40;40;20070709
40;39;20070710
39;38;20070711
38;40;20070712
40;39;20070713
39;38;20070716
38;39;20070717
39;38;20070718
38;39;20070719
39;38;20070720
38;38;20070723
38;37;20070724
37;37;20070725
37;36;20070726
36;36;20070727
36;37;20070730
37;37;20070731
37;36;20070801
36;37;20070802
37;36;20070803
36;36;20070806
36;36;20070807
36;36;20070808
36;39;20070809
39;37;20070810
37;39;20070813
39;38;20070814
38;36;20070816
36;36;20070817
36;36;20070820
36;34;20070821
34;35;20070822
35;35;20070823
35;35;20070824
35;35;20070827
35;35;20070828
35;35;20070829
35;35;20070830
35;35;20070831
35;34;20070903
34;34;20070904
34;34;20070905
34;34;20070906
34;34;20070907
34;34;20070910
34;35;20070911
35;35;20070912
35;37;20070913
37;36;20070914
36;37;20070917
37;37;20070918
37;37;20070919
37;37;20070920
37;37;20070921
37;37;20070924
37;36;20070925
36;36;20070926
36;35;20070927
35;34;20070928
34;34;20071001
34;34;20071002
34;34;20071003
34;34;20071004
34;33;20071005
33;34;20071008
34;35;20071009
35;37;20071010
37;37;20071011
37;38;20071012
38;38;20071015
38;37;20071016
37;38;20071017
38;38;20071018
38;39;20071019
39;39;20071022
39;39;20071023
39;40;20071024
40;41;20071025
41;41;20071026
41;41;20071029
41;40;20071030
40;40;20071031
40;39;20071102
39;39;20071105
39;37;20071106
37;36;20071107
36;35;20071108
35;38;20071109
38;37;20071112
37;37;20071113
37;37;20071114
37;36;20071115
36;34;20071116
34;34;20071119
34;35;20071120
35;33;20071121
33;33;20071122
33;34;20071123
34;33;20071126
33;32;20071127
32;34;20071128
34;34;20071129
34;34;20071130
34;35;20071203
35;36;20071204
36;37;20071205
37;37;20071206
37;37;20071207
37;37;20071210
37;39;20071211
39;38;20071212
38;37;20071213
37;37;20071214
37;36;20071217
36;36;20071218
36;36;20071219
36;36;20071220
36;36;20071221
36;37;20071227
37;37;20071228
37;37;20080102
37;36;20080103
36;36;20080104
36;34;20080107
34;34;20080108
34;34;20080109
34;31;20080110
31;29;20080111
29;29;20080114
29;27;20080115
27;25;20080116
25;27;20080117
27;27;20080118
27;26;20080121
26;27;20080122
27;27;20080123
27;28;20080124
28;29;20080125
29;29;20080128
29;30;20080129
30;30;20080130
30;29;20080131
29;30;20080201
30;28;20080204
28;28;20080205
28;28;20080206
28;28;20080207
28;29;20080208
29;30;20080211
30;30;20080212
30;30;20080213
30;30;20080214
30;30;20080215
30;30;20080218
30;30;20080219
30;30;20080220
30;29;20080221
29;29;20080222
29;29;20080225
29;28;20080226
28;28;20080227
28;28;20080228
28;27;20080229
27;27;20080303
27;28;20080304
28;29;20080305
29;29;20080306
29;28;20080307
28;28;20080310
28;29;20080311
29;28;20080312
28;28;20080313
28;29;20080314
29;28;20080317
28;29;20080318
29;29;20080319
29;29;20080320
29;29;20080325
29;29;20080326
29;29;20080327
29;29;20080328
29;29;20080331
29;29;20080401
29;28;20080402
28;29;20080403
29;29;20080404
29;30;20080407
30;30;20080408
30;29;20080409
29;29;20080410
29;30;20080411
30;30;20080414
30;30;20080415
30;30;20080416
30;29;20080417
29;29;20080418
29;29;20080421
29;28;20080422
28;27;20080423
27;27;20080424
27;27;20080425
27;27;20080428
27;27;20080429
27;28;20080430
28;28;20080505
28;28;20080506
28;28;20080507
28;27;20080508
27;27;20080509
27;27;20080512
27;27;20080513
27;27;20080514
27;27;20080515
27;27;20080516
27;27;20080519
27;27;20080520
27;27;20080521
27;27;20080523
27;27;20080526
27;27;20080527
27;27;20080528
27;27;20080529
27;27;20080530
27;27;20080602
27;27;20080603
27;28;20080604
28;28;20080605
28;29;20080606
29;29;20080609
29;28;20080610
28;28;20080611
28;28;20080612
28;28;20080613
28;28;20080616
28;28;20080617
28;27;20080618
27;28;20080619
28;29;20080620
29;28;20080623
28;27;20080624
27;27;20080625
27;28;20080626
28;28;20080627
28;28;20080630
28;27;20080701
27;27;20080702
27;27;20080703
27;27;20080704
27;27;20080707
27;27;20080708
27;27;20080709
27;27;20080710
27;26;20080711
26;26;20080714
26;25;20080715
25;25;20080716
25;26;20080717
26;25;20080718
25;26;20080721
26;26;20080722
26;27;20080723
27;28;20080724
28;28;20080725
28;28;20080728
28;28;20080729
28;30;20080730
30;30;20080731
30;30;20080801
30;30;20080804
30;30;20080805
30;29;20080806
29;28;20080807
28;28;20080808
28;28;20080811
28;28;20080812
28;28;20080813
28;30;20080814
30;30;20080818
30;29;20080819
29;29;20080820
29;29;20080821
29;30;20080822
30;29;20080825
29;29;20080826
29;30;20080827
30;30;20080828
30;31;20080829
31;30;20080901
30;30;20080902
30;30;20080903
30;31;20080904
31;31;20080905
31;30;20080908
30;30;20080909
30;29;20080910
29;29;20080911
29;30;20080912
30;30;20080915
30;30;20080916
30;30;20080917
30;30;20080918
30;30;20080919
30;30;20080922
30;29;20080923
29;29;20080924
29;29;20080925
29;29;20080926
29;29;20080929
29;29;20080930
29;29;20081001
29;28;20081002
28;28;20081003
28;28;20081006
28;26;20081007
26;27;20081008
27;26;20081009
26;26;20081010
26;27;20081013
27;26;20081014
26;24;20081015
24;24;20081016
24;24;20081017
24;24;20081020
24;23;20081021
23;22;20081022
22;23;20081023
23;23;20081024
23;23;20081027
23;24;20081028
24;23;20081029
23;22;20081030
22;21;20081031
21;21;20081103
21;22;20081104
22;22;20081105
22;21;20081106
21;21;20081107
21;21;20081110
21;20;20081112
20;20;20081113
20;20;20081114
20;19;20081117
19;19;20081118
19;19;20081119
19;19;20081120
19;19;20081121
19;19;20081124
19;19;20081125
19;19;20081126
19;19;20081127
19;19;20081128
19;19;20081201
19;19;20081202
19;19;20081203
19;19;20081204
19;19;20081205
19;19;20081208
19;19;20081209
19;19;20081210
19;19;20081211
19;18;20081212
18;19;20081215
19;19;20081216
19;19;20081217
19;19;20081218
19;18;20081219
18;19;20081222
19;19;20081223
19;19;20081229
19;19;20081230
19;19;20081231
19;20;20090105
20;21;20090106
21;21;20090107
21;21;20090108
21;21;20090109
21;21;20090112
21;21;20090113
21;21;20090114
21;21;20090115
21;21;20090116
21;21;20090119
21;21;20090120
21;21;20090121
21;21;20090122
21;21;20090123
21;21;20090126
21;21;20090127
21;21;20090128
21;21;20090129
21;21;20090130
21;21;20090202
21;21;20090203
21;21;20090204
21;21;20090205
21;21;20090206
21;20;20090209
20;20;20090210
20;20;20090211
20;20;20090212
20;20;20090213
20;19;20090216
19;18;20090217
18;19;20090218
19;19;20090219
19;18;20090220
18;18;20090223
18;18;20090224
18;20;20090225
20;20;20090226
20;19;20090227
19;19;20090302
