From;To;Date
9;9;19940630
9;8;19940704
8;9;19940705
9;9;19940706
9;10;19940707
10;11;19940711
11;13;19940712
13;14;19940713
14;13;19940714
13;14;19940718
14;14;19940719
14;13;19940720
13;14;19940721
14;12;19940725
12;12;19940726
12;13;19940727
13;12;19940728
12;13;19940801
13;13;19940802
13;14;19940803
14;14;19940804
14;14;19940808
14;14;19940809
14;13;19940810
13;13;19940811
13;14;19940816
14;13;19940817
13;13;19940818
13;13;19940822
13;13;19940823
13;12;19940824
12;12;19940825
12;12;19940829
12;12;19940830
12;11;19940831
11;11;19940901
11;11;19940905
11;10;19940906
10;9;19940907
9;10;19940908
10;11;19940912
11;10;19940913
10;9;19940914
9;9;19940915
9;9;19940919
9;9;19940920
9;9;19940921
9;9;19940922
9;9;19940926
9;9;19940927
9;9;19940928
9;10;19940929
10;10;19941003
10;11;19941004
11;11;19941005
11;11;19941006
11;10;19941007
10;10;19941010
10;10;19941011
10;10;19941012
10;9;19941013
9;10;19941014
10;9;19941017
9;10;19941018
10;10;19941019
10;10;19941020
10;9;19941021
9;9;19941024
9;9;19941025
9;8;19941026
8;8;19941027
8;8;19941028
8;8;19941102
8;8;19941103
8;8;19941104
8;8;19941107
8;8;19941108
8;8;19941109
8;8;19941110
8;8;19941114
8;7;19941115
7;6;19941116
6;7;19941117
7;7;19941118
7;7;19941121
7;6;19941122
6;6;19941123
6;6;19941124
6;7;19941125
7;7;19941128
7;8;19941129
8;8;19941130
8;8;19941201
8;8;19941202
8;8;19941205
8;7;19941206
7;7;19941207
7;7;19941208
7;6;19941209
6;7;19941212
7;6;19941213
6;6;19941214
6;7;19941215
7;7;19941216
7;7;19941219
7;7;19941220
7;7;19941221
7;7;19941222
7;7;19941223
7;7;19941227
7;7;19941228
7;7;19941229
7;7;19950102
7;8;19950103
8;7;19950104
7;8;19950105
8;7;19950106
7;7;19950109
7;7;19950110
7;7;19950111
7;7;19950112
7;7;19950113
7;7;19950116
7;7;19950117
7;7;19950118
7;7;19950119
7;7;19950120
7;7;19950123
7;7;19950124
7;7;19950125
7;7;19950126
7;7;19950127
7;6;19950130
6;6;19950131
6;6;19950201
6;6;19950202
6;5;19950203
5;6;19950206
6;6;19950207
6;6;19950208
6;6;19950209
6;6;19950210
6;6;19950213
6;6;19950214
6;6;19950215
