From;To;Date
11;11;19951027
11;11;19951030
11;10;19951031
10;11;19951102
11;12;19951103
12;13;19951106
13;12;19951107
12;13;19951108
13;13;19951109
13;12;19951110
12;12;19951113
12;13;19951114
13;13;19951115
13;13;19951116
13;13;19951117
13;11;19951120
11;12;19951121
12;12;19951122
12;13;19951123
13;12;19951124
12;12;19951127
12;12;19951128
12;12;19951129
12;12;19951130
12;12;19951201
12;12;19951204
12;13;19951205
13;12;19951206
12;13;19951207
13;12;19951208
12;13;19951211
13;13;19951212
13;13;19951213
13;13;19951214
13;14;19951215
14;14;19951218
14;13;19951219
13;12;19951220
12;12;19951221
12;13;19951222
13;13;19951227
13;13;19951228
13;13;19951229
13;14;19960102
14;14;19960103
14;14;19960104
14;15;19960105
15;15;19960108
15;15;19960109
15;15;19960110
15;14;19960111
14;14;19960112
14;14;19960115
14;14;19960116
14;14;19960117
14;14;19960118
14;14;19960119
14;14;19960122
14;15;19960123
15;15;19960124
15;16;19960125
16;15;19960126
15;16;19960129
16;16;19960130
16;17;19960131
17;16;19960201
16;17;19960202
17;17;19960205
17;17;19960206
17;17;19960207
17;18;19960208
18;19;19960209
19;21;19960212
21;20;19960213
20;20;19960214
20;20;19960215
20;19;19960216
19;20;19960219
20;19;19960220
19;21;19960221
21;21;19960222
21;21;19960223
21;22;19960226
22;22;19960227
22;24;19960228
24;27;19960229
27;27;19960301
27;24;19960304
24;26;19960305
26;25;19960306
25;25;19960307
25;25;19960308
25;24;19960311
24;24;19960312
24;25;19960313
25;25;19960314
25;25;19960315
25;27;19960318
27;29;19960319
29;28;19960320
28;28;19960321
28;28;19960322
28;27;19960325
27;27;19960326
27;27;19960327
27;27;19960328
27;27;19960329
27;27;19960401
27;27;19960402
27;27;19960403
27;27;19960404
27;27;19960405
27;28;19960409
28;28;19960410
28;28;19960411
28;28;19960412
28;28;19960415
28;30;19960416
30;32;19960417
32;29;19960418
29;32;19960419
32;35;19960422
35;35;19960423
35;35;19960424
35;34;19960425
34;33;19960426
33;35;19960429
35;39;19960430
39;40;19960506
40;44;19960507
44;44;19960508
44;46;19960509
46;44;19960510
44;47;19960513
47;46;19960514
46;47;19960515
47;47;19960516
47;47;19960517
47;47;19960520
47;47;19960521
47;47;19960522
47;42;19960523
42;43;19960524
43;44;19960527
44;44;19960528
44;44;19960529
44;44;19960530
44;44;19960531
44;44;19960603
44;48;19960604
48;48;19960605
48;51;19960607
51;56;19960610
56;59;19960611
59;60;19960612
60;60;19960613
60;59;19960614
59;58;19960617
58;55;19960618
55;59;19960619
59;58;19960620
58;56;19960621
56;56;19960624
56;56;19960625
56;55;19960626
55;60;19960627
60;55;19960628
55;55;19960701
55;55;19960702
55;55;19960703
55;60;19960704
60;58;19960705
58;55;19960708
55;56;19960709
56;55;19960710
55;54;19960711
54;53;19960712
53;53;19960715
53;50;19960716
50;48;19960717
48;46;19960718
46;46;19960719
46;45;19960722
45;45;19960723
45;45;19960724
45;45;19960725
45;45;19960726
45;47;19960729
47;47;19960730
47;48;19960731
48;48;19960801
48;46;19960802
46;49;19960805
49;48;19960806
48;49;19960807
49;48;19960808
48;48;19960809
48;47;19960812
47;48;19960813
48;48;19960814
48;48;19960816
48;48;19960819
48;48;19960820
48;49;19960821
49;50;19960822
50;50;19960823
50;50;19960826
50;49;19960827
49;49;19960828
49;49;19960829
49;49;19960830
49;50;19960902
50;51;19960903
51;50;19960904
50;50;19960905
50;48;19960906
48;48;19960909
48;48;19960910
48;48;19960911
48;49;19960912
49;50;19960913
50;52;19960916
52;54;19960917
54;55;19960918
55;53;19960919
53;52;19960920
52;52;19960923
52;52;19960924
52;52;19960925
52;50;19960926
50;50;19960927
50;51;19960930
51;51;19961001
51;52;19961002
52;53;19961003
53;53;19961004
53;53;19961007
53;53;19961008
53;53;19961009
53;53;19961010
53;53;19961011
53;52;19961014
52;54;19961015
54;53;19961016
53;53;19961017
53;54;19961018
54;52;19961021
52;53;19961022
53;53;19961023
53;52;19961024
52;51;19961025
51;49;19961028
49;48;19961029
48;49;19961030
49;50;19961031
50;50;19961104
50;50;19961105
50;52;19961106
52;54;19961107
54;54;19961108
54;53;19961112
53;53;19961113
53;53;19961114
53;52;19961115
52;52;19961118
52;53;19961119
53;54;19961120
54;54;19961121
54;53;19961122
53;53;19961125
53;54;19961126
54;54;19961127
54;54;19961128
54;54;19961129
54;54;19961202
54;54;19961203
54;55;19961204
55;55;19961205
55;56;19961206
56;56;19961209
56;57;19961210
57;58;19961211
58;60;19961212
60;62;19961213
62;63;19961216
63;65;19961217
65;65;19961218
65;66;19961219
66;68;19961220
68;68;19961223
68;66;19961224
66;66;19961230
66;69;19961231
69;70;19970102
70;72;19970103
72;70;19970106
70;70;19970107
70;71;19970108
71;72;19970109
72;66;19970110
66;69;19970113
69;76;19970114
76;83;19970115
83;83;19970116
83;86;19970117
86;86;19970120
86;86;19970121
86;85;19970122
85;89;19970123
89;91;19970124
91;91;19970127
91;87;19970128
87;84;19970129
84;82;19970130
82;80;19970131
80;82;19970203
82;84;19970204
84;84;19970205
84;86;19970206
86;86;19970207
86;87;19970210
87;85;19970211
85;85;19970212
85;85;19970213
85;87;19970214
87;86;19970217
86;85;19970218
85;84;19970219
84;83;19970220
83;83;19970221
83;83;19970224
83;83;19970225
83;83;19970226
83;82;19970227
82;83;19970228
83;84;19970303
84;88;19970304
88;93;19970305
93;94;19970306
94;95;19970307
95;97;19970310
97;103;19970311
103;100;19970312
100;98;19970313
98;93;19970314
93;91;19970317
91;92;19970318
92;92;19970319
92;92;19970320
92;92;19970321
92;92;19970324
92;92;19970325
92;92;19970326
92;94;19970327
94;92;19970401
92;89;19970402
89;88;19970403
88;87;19970404
87;87;19970407
87;88;19970408
88;88;19970409
88;89;19970410
89;89;19970411
89;80;19970414
80;88;19970415
88;88;19970416
88;88;19970417
88;88;19970418
