From;To;Date
9;9;19981112
9;10;19981113
10;11;19981116
11;12;19981117
12;11;19981118
11;10;19981119
10;10;19981120
10;10;19981123
10;9;19981124
9;9;19981125
9;9;19981126
9;9;19981127
9;8;19981130
8;7;19981201
7;8;19981202
8;8;19981203
8;8;19981204
8;8;19981207
8;8;19981208
8;8;19981209
8;8;19981210
8;8;19981211
8;8;19981214
8;8;19981215
8;8;19981216
8;8;19981217
8;8;19981218
8;8;19981221
8;8;19981222
8;8;19981223
8;8;19981228
8;8;19981229
8;8;19981230
8;8;19981231
8;8;19990104
8;8;19990105
8;8;19990106
8;8;19990107
8;8;19990108
8;8;19990111
8;8;19990112
8;8;19990113
8;8;19990114
8;8;19990115
8;9;19990118
9;9;19990119
9;9;19990120
9;9;19990121
9;9;19990122
9;9;19990125
9;10;19990126
10;10;19990127
10;10;19990128
10;10;19990129
10;10;19990201
10;10;19990202
10;10;19990203
10;10;19990204
10;10;19990205
10;10;19990208
10;10;19990209
10;10;19990210
10;11;19990211
11;11;19990212
11;11;19990215
11;11;19990216
11;11;19990217
11;11;19990218
11;12;19990219
12;12;19990222
12;12;19990223
12;11;19990224
11;11;19990225
11;11;19990226
11;11;19990301
11;12;19990302
12;12;19990303
12;12;19990304
12;12;19990305
12;12;19990308
12;12;19990309
12;12;19990310
12;12;19990311
12;12;19990312
12;12;19990315
12;12;19990316
12;12;19990317
12;12;19990318
12;12;19990319
12;12;19990322
12;12;19990323
12;11;19990324
11;11;19990325
11;12;19990326
12;12;19990329
12;12;19990330
12;12;19990331
12;13;19990401
13;13;19990406
13;15;19990407
15;15;19990408
15;15;19990409
15;16;19990412
16;16;19990413
16;16;19990414
16;17;19990415
17;17;19990416
17;17;19990419
17;17;19990420
17;17;19990421
17;19;19990422
19;21;19990423
21;21;19990426
21;21;19990427
21;21;19990428
21;20;19990429
20;21;19990430
21;21;19990504
21;19;19990505
19;20;19990506
20;20;19990507
20;20;19990510
20;20;19990511
20;21;19990512
21;20;19990513
20;20;19990514
20;21;19990517
21;20;19990518
20;20;19990519
20;20;19990520
20;20;19990521
20;21;19990524
21;20;19990525
20;20;19990526
20;20;19990527
20;20;19990528
20;20;19990531
20;20;19990601
20;20;19990602
20;21;19990607
21;23;19990608
23;23;19990609
23;23;19990610
23;23;19990611
23;23;19990614
23;22;19990615
22;22;19990616
22;22;19990617
22;23;19990618
23;23;19990621
23;23;19990622
23;22;19990623
22;23;19990624
23;23;19990625
23;23;19990628
