From;To;Date
3;4;20080912
4;4;20080915
4;4;20080916
4;4;20080917
4;5;20080918
5;5;20080919
5;5;20080922
5;5;20080923
5;5;20080924
5;5;20080925
5;5;20080926
5;5;20080929
5;5;20080930
5;5;20081001
5;5;20081002
5;5;20081003
5;5;20081006
5;5;20081007
5;5;20081008
5;5;20081009
5;5;20081010
5;5;20081013
5;5;20081014
5;5;20081015
5;5;20081016
5;5;20081017
5;5;20081020
5;5;20081021
5;5;20081022
5;5;20081023
5;5;20081028
5;5;20081029
5;5;20081030
5;5;20081031
5;5;20081103
5;5;20081104
5;5;20081105
5;5;20081106
5;5;20081107
5;5;20081110
5;5;20081114
5;5;20081117
5;5;20081118
5;5;20081119
5;5;20081121
5;5;20081124
5;5;20081201
5;5;20081202
5;5;20081203
5;5;20081204
5;5;20081205
5;5;20081208
5;5;20081209
5;5;20081210
5;5;20081211
5;5;20081212
5;5;20081217
5;5;20081219
5;5;20081230
5;5;20081231
5;5;20090105
5;5;20090120
5;6;20090204
6;5;20090305
5;5;20090420
5;5;20090421
5;5;20090422
5;5;20090423
5;5;20090505
5;5;20090521
5;5;20090601
5;5;20090609
5;5;20090616
5;5;20090618
5;5;20090701
5;5;20090715
5;5;20090728
5;5;20090731
5;5;20090803
5;5;20090806
5;5;20090818
5;5;20090915
5;5;20090923
5;5;20091022
5;5;20091103
5;5;20091104
5;5;20091105
5;5;20091109
5;5;20091110
5;5;20091112
5;5;20091113
5;5;20091116
5;5;20091117
5;5;20091118
5;7;20091125
7;7;20091130
7;7;20091207
7;6;20091209
6;6;20091210
6;6;20091216
6;6;20091222
6;6;20091228
6;6;20091230
6;7;20091231
7;7;20100104
7;7;20100118
7;8;20100119
8;8;20100120
8;8;20100121
8;8;20100122
8;8;20100125
8;8;20100128
8;8;20100201
8;8;20100209
8;8;20100211
8;8;20100212
8;8;20100217
8;8;20100223
8;8;20100406
8;9;20100407
9;10;20100408
10;10;20100409
10;10;20100412
10;10;20100413
10;10;20100414
10;10;20100420
10;10;20100426
10;11;20100427
11;10;20100430
10;10;20100504
10;11;20100505
11;11;20100506
11;11;20100507
11;10;20100514
10;13;20100525
13;12;20100526
12;13;20100527
13;12;20100531
12;12;20100608
12;12;20100609
12;10;20100621
10;12;20100622
12;11;20100623
11;10;20100624
10;10;20100625
10;11;20100630
11;11;20100705
11;11;20100708
11;11;20100714
11;11;20100716
11;11;20100721
11;11;20100722
11;11;20100727
11;12;20100728
12;12;20100730
12;13;20100802
13;12;20100803
12;13;20100804
13;12;20100805
12;12;20100806
12;13;20100809
13;13;20100810
13;13;20100812
13;12;20100816
12;12;20100818
12;12;20100819
12;12;20100823
12;12;20100825
12;12;20100826
12;12;20100827
12;13;20100831
13;13;20100906
13;13;20100915
13;13;20100922
13;12;20100923
12;13;20100927
13;13;20100929
13;8;20101006
8;9;20101007
9;9;20101011
9;9;20101013
9;9;20101014
9;9;20101015
9;9;20101018
9;9;20101019
9;9;20101020
9;11;20101021
11;11;20101022
11;8;20101025
8;9;20101026
9;9;20101027
9;8;20101028
8;7;20101029
7;8;20101102
8;8;20101103
8;8;20101104
8;8;20101105
8;8;20101108
8;8;20101109
8;8;20101110
8;8;20101112
8;8;20101115
8;8;20101116
8;8;20101117
8;8;20101118
8;8;20101119
8;8;20101122
8;8;20101123
8;8;20101124
8;9;20101125
9;8;20101126
8;8;20101129
8;8;20101130
8;8;20101201
8;8;20101202
8;8;20101203
8;8;20101206
8;8;20101207
8;8;20101208
8;8;20101209
8;8;20101210
8;8;20101214
8;8;20101215
8;8;20101217
8;8;20101220
8;8;20101221
8;8;20101222
8;8;20101223
8;8;20101227
8;8;20101228
8;8;20101229
8;8;20101230
8;8;20101231
8;8;20110103
8;8;20110104
8;8;20110105
8;8;20110107
8;8;20110110
8;8;20110111
8;8;20110112
8;8;20110113
8;8;20110114
8;8;20110117
8;8;20110118
8;8;20110119
8;8;20110120
8;8;20110121
8;8;20110124
8;8;20110125
8;8;20110126
8;8;20110127
8;8;20110128
8;8;20110131
8;8;20110201
8;8;20110202
8;8;20110203
8;8;20110204
8;8;20110207
8;7;20110208
7;8;20110209
8;8;20110210
8;8;20110211
8;8;20110214
8;8;20110215
8;8;20110216
8;8;20110217
8;8;20110218
8;8;20110221
8;8;20110222
8;8;20110225
8;7;20110228
7;7;20110301
7;8;20110302
8;7;20110303
7;7;20110304
7;7;20110307
7;7;20110309
7;7;20110310
7;8;20110311
8;8;20110315
8;7;20110316
7;7;20110317
7;7;20110318
7;7;20110321
7;7;20110322
7;8;20110323
8;7;20110324
7;7;20110325
7;7;20110328
7;7;20110329
7;7;20110330
7;7;20110331
7;7;20110401
7;7;20110404
7;7;20110405
7;7;20110406
7;7;20110407
7;7;20110408
7;7;20110412
7;7;20110413
7;7;20110414
7;7;20110415
7;7;20110418
7;7;20110419
7;7;20110420
7;7;20110421
7;7;20110426
7;7;20110428
7;7;20110429
7;7;20110502
7;7;20110504
7;7;20110506
7;7;20110509
7;7;20110510
7;7;20110511
7;7;20110512
7;7;20110513
7;7;20110516
7;7;20110517
7;7;20110518
7;7;20110519
7;7;20110520
7;7;20110523
7;7;20110524
7;8;20110525
8;8;20110526
8;8;20110527
8;7;20110530
7;7;20110531
7;7;20110601
7;7;20110602
7;7;20110603
7;7;20110606
7;7;20110607
7;7;20110610
7;7;20110614
7;7;20110615
7;7;20110617
7;7;20110620
7;8;20110621
8;8;20110622
8;7;20110624
7;7;20110627
7;7;20110628
7;7;20110630
7;7;20110701
7;7;20110704
7;7;20110706
7;7;20110707
7;7;20110708
7;7;20110711
7;7;20110712
7;7;20110715
7;7;20110720
7;7;20110721
7;7;20110725
7;8;20110726
8;7;20110727
7;7;20110728
7;7;20110729
7;7;20110801
7;7;20110802
7;7;20110803
7;7;20110804
7;6;20110805
6;6;20110808
6;5;20110809
5;6;20110810
6;5;20110811
5;5;20110812
5;5;20110816
5;5;20110818
5;5;20110819
5;5;20110822
5;5;20110823
5;5;20110830
5;5;20110901
5;5;20110906
5;5;20110920
5;6;20110921
6;6;20110922
6;6;20110923
6;5;20110926
5;6;20111013
6;6;20111017
6;6;20111018
6;6;20111019
6;7;20111024
7;7;20111025
7;8;20111026
8;8;20111027
8;8;20111028
8;8;20111031
8;8;20111102
8;8;20111103
8;8;20111104
8;8;20111107
8;7;20111109
7;7;20111110
7;7;20111114
7;7;20111115
7;7;20111116
7;7;20111117
7;7;20111118
7;7;20111121
7;7;20111122
7;7;20111128
7;7;20111129
7;7;20111130
7;6;20111201
6;6;20111202
6;6;20111205
6;6;20111206
6;6;20111207
6;5;20111208
5;6;20111209
6;6;20111212
6;6;20111213
6;6;20111214
6;6;20111215
6;6;20111216
6;6;20111219
6;6;20111220
6;6;20111221
6;7;20111222
7;7;20111223
7;7;20111227
7;7;20111228
7;7;20111229
7;7;20120102
7;7;20120103
7;7;20120110
7;7;20120111
7;7;20120116
7;6;20120118
6;7;20120119
7;7;20120120
7;7;20120123
7;7;20120125
7;7;20120126
7;8;20120127
8;7;20120130
7;8;20120131
8;8;20120201
8;8;20120202
8;8;20120206
8;8;20120207
8;8;20120208
8;8;20120209
8;8;20120213
8;8;20120214
8;8;20120217
8;8;20120220
8;8;20120222
8;8;20120223
8;8;20120224
8;8;20120227
8;8;20120228
8;8;20120229
8;8;20120307
8;8;20120309
8;8;20120312
8;8;20120313
8;8;20120314
8;8;20120315
8;8;20120316
8;8;20120321
8;8;20120322
8;8;20120323
8;10;20120326
10;10;20120327
10;10;20120328
10;10;20120329
10;10;20120330
10;10;20120402
10;10;20120403
10;10;20120404
10;9;20120410
9;10;20120411
10;10;20120412
10;10;20120413
10;10;20120416
10;10;20120417
10;10;20120418
10;10;20120419
10;10;20120420
10;10;20120423
10;9;20120425
9;10;20120426
10;10;20120427
10;10;20120430
10;9;20120507
9;9;20120509
9;8;20120510
8;9;20120514
9;9;20120515
9;9;20120516
9;9;20120517
9;9;20120518
9;9;20120521
9;8;20120523
8;8;20120528
8;8;20120529
8;8;20120530
8;8;20120531
8;8;20120601
8;8;20120604
8;8;20120605
8;8;20120606
8;8;20120618
8;8;20120620
8;8;20120622
8;8;20120625
8;8;20120626
8;8;20120628
8;8;20120706
8;8;20120710
8;8;20120711
8;8;20120717
8;8;20120720
8;8;20120725
8;8;20120726
8;7;20120727
7;7;20120730
7;7;20120801
7;7;20120802
7;7;20120803
7;7;20120820
7;7;20120822
7;7;20120827
7;7;20120828
7;6;20120829
6;6;20120906
6;6;20120907
6;6;20120912
6;6;20120914
6;6;20120918
6;6;20120919
6;6;20120921
6;6;20120924
6;6;20121009
6;6;20121022
6;5;20121029
5;5;20121107
5;5;20121112
5;5;20121113
5;5;20121115
5;5;20121116
5;5;20121119
5;5;20121122
5;5;20121128
5;5;20121205
5;5;20121210
5;5;20121211
5;5;20121218
5;5;20121219
5;5;20121220
5;5;20121221
5;5;20121227
5;5;20121228
5;5;20130102
5;5;20130103
5;5;20130104
5;5;20130107
5;5;20130111
5;5;20130115
5;5;20130116
5;5;20130125
5;5;20130128
5;5;20130130
5;5;20130131
5;5;20130201
5;5;20130204
5;5;20130206
5;5;20130215
5;5;20130218
5;5;20130219
5;5;20130220
5;5;20130304
5;5;20130305
5;5;20130308
5;5;20130311
5;5;20130312
5;5;20130313
5;5;20130315
5;5;20130318
5;5;20130319
5;5;20130320
5;4;20130322
4;4;20130325
4;4;20130328
4;4;20130402
4;4;20130404
4;4;20130409
4;4;20130411
4;4;20130415
4;4;20130417
4;4;20130423
4;4;20130515
4;4;20130605
4;4;20130610
4;4;20130612
4;4;20130614
4;4;20130627
4;4;20130702
4;4;20130703
4;4;20130711
4;3;20130715
3;3;20130718
3;3;20130725
3;3;20130730
3;3;20130731
3;3;20130801
3;3;20130802
3;3;20130805
3;3;20130807
3;3;20130808
3;3;20130813
3;3;20130814
3;3;20130816
3;3;20130819
3;4;20130821
4;4;20130822
4;4;20130823
4;4;20130826
4;4;20130827
4;4;20130828
4;4;20130829
4;4;20130830
4;5;20130902
5;5;20130903
5;5;20130904
5;5;20130905
5;5;20130906
5;5;20130909
5;6;20130910
6;6;20130911
6;6;20130912
6;6;20130913
6;6;20130916
6;6;20130917
6;6;20130918
6;6;20130919
6;6;20130920
6;6;20130923
6;6;20130924
6;6;20130925
6;6;20130926
6;6;20130927
6;6;20130930
6;6;20131001
6;5;20131002
5;6;20131003
6;6;20131007
6;6;20131008
6;6;20131009
6;6;20131010
6;6;20131011
6;6;20131014
6;6;20131015
6;6;20131016
6;6;20131017
6;6;20131018
6;6;20131021
6;6;20131022
6;6;20131023
6;6;20131024
6;6;20131025
6;7;20131028
7;6;20131029
6;6;20131030
6;6;20131031
6;6;20131104
6;6;20131105
6;6;20131106
6;6;20131107
6;6;20131108
6;6;20131112
6;6;20131113
6;6;20131114
6;6;20131115
6;6;20131118
6;6;20131119
6;6;20131120
6;6;20131121
6;6;20131122
6;6;20131125
6;6;20131126
6;7;20131127
7;7;20131128
7;7;20131129
7;7;20131202
7;7;20131203
7;7;20131204
7;7;20131205
7;7;20131206
7;7;20131209
7;7;20131210
7;7;20131211
7;7;20131212
7;7;20131213
7;6;20131216
6;6;20131217
6;6;20131218
6;6;20131219
6;6;20131220
6;7;20131223
7;6;20131227
6;7;20131230
7;7;20140102
7;7;20140103
7;7;20140107
7;7;20140108
7;7;20140109
7;6;20140110
6;6;20140113
6;7;20140114
7;7;20140115
7;7;20140116
7;7;20140117
7;7;20140120
7;7;20140121
7;7;20140122
7;7;20140123
7;7;20140124
7;7;20140127
7;7;20140128
7;7;20140129
7;6;20140130
6;6;20140131
6;6;20140203
6;6;20140204
6;6;20140205
6;7;20140206
7;7;20140207
7;7;20140210
7;7;20140211
7;8;20140212
8;8;20140213
8;8;20140214
8;7;20140217
7;7;20140218
7;7;20140219
7;7;20140220
7;7;20140221
7;7;20140224
7;7;20140225
7;7;20140226
7;7;20140227
7;7;20140228
7;7;20140303
7;7;20140304
7;7;20140305
7;7;20140306
7;7;20140307
7;7;20140310
7;7;20140311
7;6;20140312
6;6;20140313
6;6;20140314
6;6;20140317
6;6;20140318
6;6;20140319
6;6;20140320
6;6;20140321
6;6;20140324
6;6;20140325
6;6;20140326
6;6;20140327
6;6;20140328
6;6;20140331
6;6;20140401
6;7;20140402
7;7;20140403
7;6;20140404
6;6;20140407
6;6;20140408
6;6;20140409
6;7;20140410
7;6;20140411
6;6;20140414
6;6;20140415
6;6;20140416
6;6;20140417
6;6;20140422
6;6;20140423
6;6;20140424
6;6;20140425
6;6;20140428
6;6;20140429
6;6;20140430
6;6;20140502
6;6;20140505
6;6;20140506
6;6;20140507
6;6;20140508
6;6;20140509
6;6;20140512
6;6;20140513
6;6;20140514
6;6;20140515
6;6;20140516
6;6;20140519
6;6;20140520
6;6;20140521
6;6;20140522
6;6;20140523
6;6;20140526
6;6;20140527
6;6;20140528
6;6;20140529
6;6;20140530
6;6;20140602
6;6;20140603
6;6;20140604
6;6;20140609
6;6;20140610
6;6;20140611
6;6;20140612
6;6;20140613
6;5;20140616
5;5;20140617
5;5;20140618
5;5;20140620
5;6;20140623
6;6;20140624
6;6;20140625
6;6;20140626
6;6;20140627
6;6;20140630
6;6;20140701
6;6;20140702
6;5;20140703
5;5;20140704
5;5;20140707
5;5;20140708
5;6;20140709
6;5;20140710
5;5;20140711
5;5;20140715
5;5;20140717
5;5;20140718
5;5;20140721
5;5;20140722
5;5;20140723
5;5;20140724
5;5;20140725
5;5;20140728
5;5;20140729
5;5;20140730
5;6;20140731
6;6;20140801
6;6;20140804
6;6;20140805
6;6;20140806
6;6;20140807
6;6;20140808
6;6;20140811
6;6;20140812
6;6;20140814
6;6;20140818
6;6;20140819
6;6;20140820
6;6;20140821
6;6;20140822
6;6;20140825
6;6;20140826
6;6;20140827
6;6;20140828
6;6;20140829
6;6;20140901
6;6;20140902
6;6;20140903
6;5;20140904
5;5;20140905
5;5;20140908
5;5;20140909
5;5;20140910
5;6;20140911
6;6;20140912
6;6;20140915
6;5;20140917
5;5;20140918
5;6;20140919
6;6;20140922
6;5;20140923
5;6;20140924
6;6;20140926
6;6;20140929
6;6;20140930
6;6;20141001
6;5;20141002
5;5;20141003
5;5;20141006
5;5;20141007
5;5;20141008
5;5;20141009
5;5;20141010
5;5;20141013
5;5;20141014
5;6;20141015
6;6;20141016
6;6;20141022
6;6;20141029
6;6;20141031
6;5;20141103
5;5;20141104
5;5;20141105
5;5;20141106
5;5;20141107
5;5;20141110
5;5;20141112
5;5;20141113
5;5;20141114
5;5;20141117
5;5;20141118
5;5;20141119
5;5;20141120
5;5;20141125
5;5;20141127
5;5;20141128
5;4;20141201
4;4;20141203
4;4;20141204
4;4;20141211
4;4;20141212
4;4;20141215
4;4;20141216
4;4;20141217
4;4;20141218
4;4;20141219
4;4;20141222
4;4;20141223
4;4;20141229
4;4;20141230
