Date;Open;High;Low;Close;Volume
20050211;14;14;13;13;114927
20050214;13;13;13;13;21624
20050215;13;13;12;13;8657
20050216;12;13;12;12;5617
20050217;12;12;12;12;16287
20050218;12;12;11;12;13411
20050221;12;12;12;12;4768
20050222;12;12;12;12;3677
20050223;12;12;12;12;3127
20050224;12;12;12;12;3508
20050225;12;12;12;12;1116
20050228;12;12;12;12;489
20050301;12;12;12;12;1139
20050302;12;12;12;12;5844
20050303;12;12;12;12;1087
20050304;12;12;12;12;7705
20050307;12;12;12;12;352
20050308;12;12;12;12;2896
20050309;12;13;12;13;93317
20050310;12;13;12;13;3236
20050311;13;13;12;12;7574
20050314;12;12;12;12;7557
20050315;12;12;12;12;3259
20050316;12;12;12;12;3798
20050317;12;12;12;12;10710
20050318;12;12;12;12;192856
20050321;12;12;12;12;3252
20050322;12;12;12;12;40562
20050323;12;12;12;12;942
20050324;12;12;12;12;10
20050329;12;12;12;12;517
20050330;12;12;12;12;1346
20050331;12;12;12;12;72
20050401;12;12;12;12;466
20050404;12;12;12;12;577
20050405;12;12;12;12;5
20050406;12;12;12;12;1439
20050407;12;12;12;12;2310
20050411;12;12;12;12;5
20050412;12;12;12;12;5
20050413;12;12;12;12;103
20050414;12;12;12;12;642
20050415;12;12;12;12;631
20050418;11;12;11;12;6480
20050419;12;13;12;13;36258
20050420;13;13;12;12;34544
20050421;13;13;13;13;5
20050422;12;13;12;13;43758
20050425;13;13;13;13;103
20050426;13;13;12;12;6101
20050427;13;13;12;12;34679
20050428;12;12;12;12;5
20050429;12;12;12;12;1234
20050502;13;13;13;13;5
20050504;13;13;13;13;5
20050505;13;13;12;13;3726
20050506;13;13;13;13;6356
20050509;13;13;12;13;2989
20050510;13;13;13;13;6603
20050511;13;13;13;13;2662
20050512;14;14;13;13;14557
20050513;14;14;13;14;38958
20050516;14;15;14;14;141819
20050517;14;14;14;14;14413
20050518;14;14;14;14;12260
20050519;14;15;14;14;284463
20050520;15;15;14;14;20478
20050523;15;15;14;15;2902
20050524;15;15;14;15;2574
20050525;15;15;14;14;16358
20050527;14;15;14;15;4526
20050530;15;15;14;15;2542
20050531;15;15;15;15;10
20050601;14;14;14;14;207
20050602;14;15;14;14;155058
20050603;14;15;14;15;6325
20050606;15;15;15;15;15444
20050607;16;16;15;16;18321
20050608;16;16;15;16;8051
20050609;16;16;15;16;211269
20050610;16;16;16;16;33153
20050613;16;16;16;16;37057
20050614;16;16;15;15;6876
20050615;16;16;16;16;1291
20050616;16;16;16;16;2902
20050617;16;16;16;16;680
20050620;16;16;16;16;103
20050621;16;16;16;16;301
20050622;16;16;15;16;3230
20050623;16;16;16;16;66
20050624;16;16;16;16;113
20050627;16;16;15;15;1355
20050628;16;16;15;15;420
20050629;15;15;15;15;2967
20050630;15;16;15;16;1237
20050701;16;16;16;16;10
20050704;16;16;15;15;497
20050705;15;16;15;16;281
20050706;16;16;15;16;383
20050707;16;16;15;15;432
20050708;15;15;15;15;735
20050711;15;15;15;15;2547
20050712;15;16;15;16;2196
20050713;15;16;15;16;621
20050714;15;16;15;16;4422
20050715;15;16;15;16;681
20050718;15;16;15;16;16161
20050719;15;15;15;15;145
20050720;15;16;15;16;61649
20050721;15;16;15;16;238
20050722;16;16;16;16;18351
20050725;16;16;16;16;11386
20050726;16;16;16;16;774
20050727;16;17;16;17;13634
20050728;17;17;17;17;2173
20050729;17;17;17;17;8045
20050801;17;17;16;17;9081
