Date;Open;High;Low;Close;Volume
20071204;4;4;2;2;186368
20071205;2;3;2;2;48033
20071206;2;2;2;2;9443
20071207;2;2;2;2;10715
20071210;2;2;2;2;15302
20071211;2;2;2;2;4814
20071212;2;2;2;2;7940
20071213;2;2;2;2;7683
20071214;2;2;2;2;3801
20071217;2;2;2;2;2300
20071218;2;2;2;2;7579
20071219;2;2;2;2;10600
20071220;2;3;2;2;43361
20071221;3;3;2;2;7404
20071227;2;3;2;3;61611
20071228;3;3;3;3;101067
20080102;3;3;3;3;57976
20080103;3;3;2;2;36959
20080104;3;3;2;2;16092
20080107;2;3;2;2;18763
20080108;2;3;2;3;6365
20080109;2;3;2;2;8325
20080110;2;2;2;2;350
20080111;2;2;2;2;2136
20080114;2;2;2;2;7364
20080115;2;2;2;2;1118
20080116;2;2;2;2;10394
20080117;2;2;2;2;3953
20080118;2;2;2;2;4280
20080121;2;2;2;2;301
20080122;2;2;2;2;1770
20080123;2;2;2;2;1319
20080124;2;2;2;2;3024
20080125;2;2;2;2;7605
20080128;2;2;2;2;1841
20080129;2;2;2;2;2226
20080130;2;2;2;2;9
20080131;2;2;2;2;5765
20080201;2;3;2;3;8066
20080204;2;3;2;3;5250
20080205;2;2;2;2;3305
20080206;2;2;2;2;1738
20080207;2;2;2;2;1302
20080208;2;3;2;2;59539
20080211;3;3;2;2;13750
20080212;2;2;2;2;46882
20080213;2;2;2;2;2920
20080214;2;2;2;2;1808
20080215;2;2;2;2;6700
20080218;2;3;2;3;34995
20080219;3;3;3;3;2356
20080220;2;3;2;3;3870
20080221;2;2;2;2;1335
20080222;2;3;2;3;701
20080225;2;2;2;2;964
20080226;2;2;2;2;1030
20080227;3;3;2;2;47705
20080228;2;2;2;2;7156
20080229;2;2;2;2;4522
20080303;2;2;2;2;319
20080304;2;2;2;2;5137
20080305;2;2;2;2;100
20080306;2;2;2;2;100
20080307;2;2;2;2;11539
20080310;2;2;2;2;44
20080311;2;2;2;2;6850
20080312;2;2;2;2;630
20080313;2;2;2;2;7362
20080314;2;2;2;2;834
20080317;2;2;2;2;11654
20080318;2;2;2;2;8901
20080319;2;2;2;2;3077
20080320;2;2;2;2;900
20080325;2;2;2;2;679
20080326;2;2;2;2;15017
20080327;2;2;2;2;1335
20080328;2;2;2;2;823
20080331;2;2;2;2;1108
20080401;2;2;2;2;3336
20080402;2;2;2;2;11781
20080403;2;2;2;2;2324
20080404;2;2;2;2;922
20080407;2;2;2;2;1120
20080408;2;2;2;2;442
20080409;2;2;2;2;6086
20080410;2;2;2;2;716
20080411;2;2;2;2;856
20080414;2;2;2;2;1981
20080415;2;2;2;2;1007
20080416;2;2;2;2;1900
20080417;2;2;2;2;5643
20080418;2;2;2;2;16097
20080421;2;2;2;2;14901
20080422;2;2;2;2;876
20080423;2;2;1;2;33603
20080424;2;2;2;2;1600
20080425;2;2;2;2;1204
20080428;2;2;2;2;2876
20080429;2;2;1;1;13327
20080430;1;1;1;1;5996
20080505;1;1;1;1;18798
20080506;1;2;1;2;57741
