Date;Open;High;Low;Close;Volume
20030227;84;84;84;84;95
20030303;13;13;13;13;10
20030305;15;16;15;16;83
20030306;15;16;15;15;135
20030307;15;15;15;15;95
20030310;15;15;15;15;30
20030314;15;15;15;15;101
20030318;15;15;15;15;41
20030319;13;13;13;13;10
20030321;9;9;9;9;21
20030324;8;8;8;8;10
20030326;6;6;6;6;48
20030403;7;7;7;7;48
20030408;10;10;10;10;53
20030416;11;11;11;11;14
20030417;13;13;13;13;63
20030422;15;16;15;16;194
20030423;17;17;17;17;105
20030424;21;21;16;16;31
20030425;13;16;13;16;48
20030428;16;16;14;14;49
20030502;14;14;14;14;10
20030505;15;15;15;15;48
20030506;14;15;14;15;48
20030508;16;17;16;17;187
20030513;16;16;16;16;105
20030514;16;16;16;16;58
20030519;16;16;16;16;207
20030520;16;16;16;16;30
20030521;16;16;16;16;10
20030530;16;16;16;16;330
20030602;16;16;16;16;77
20030604;17;17;17;17;10
20030605;18;18;18;18;233
20030606;19;19;19;19;147
20030609;20;20;20;20;76
20030611;20;20;19;19;99
20030612;19;19;19;19;95
20030616;20;20;19;19;343
20030617;21;21;21;21;95
20030618;21;21;21;21;21
20030620;21;23;21;23;220
20030623;21;21;14;14;58
20030624;21;21;21;21;48
20030626;21;21;21;21;48
20030701;21;21;21;21;92
20030703;21;21;21;21;450
20030704;21;22;21;22;186
20030707;22;22;21;21;212
20030708;21;21;21;21;142
20030709;21;22;21;22;224
20030710;21;21;21;21;48
20030711;23;23;23;23;177
20030714;23;24;23;24;75
20030715;24;24;24;24;473
20030716;24;28;24;28;173
20030717;25;25;21;21;505
20030718;21;21;21;21;95
20030721;17;17;17;17;48
20030724;19;19;19;19;21
20030725;21;21;21;21;171
20030728;21;21;21;21;30
20030729;21;21;21;21;100
20030730;21;23;21;22;129
20030806;18;24;18;23;117589
20030807;24;29;24;27;125056
20030808;29;30;26;27;58764
20030811;28;28;27;27;13298
20030812;27;27;25;25;15093
20030813;24;25;22;23;26383
20030814;23;25;22;24;16502
20030818;25;26;25;26;11231
20030819;26;26;24;25;4954
20030820;24;25;24;24;2169
20030821;24;25;24;24;1973
20030822;25;25;24;24;6478
20030825;25;25;23;23;2617
20030826;24;24;23;23;10997
20030827;23;23;22;22;9517
20030828;23;23;22;22;4545
20030829;23;23;22;23;1665
20030901;23;24;23;23;5874
20030902;23;23;21;22;6558
20030903;22;22;21;22;3953
20030904;22;22;21;22;6133
20030905;22;22;21;22;2551
20030908;22;22;21;22;9337
20030909;22;22;21;21;12351
20030910;21;21;21;21;5350
20030911;21;21;20;21;10479
20030912;21;21;20;21;4251
20030915;21;21;20;21;3650
20030916;21;21;20;21;3997
20030917;21;21;20;20;8911
20030918;20;20;19;20;5271
20030919;20;20;20;20;2067
20030922;20;20;19;19;2628
20030923;19;19;18;18;9920
20030924;18;19;18;18;18678
20030925;18;19;18;19;65776
20030926;19;19;19;19;42163
20030929;19;19;19;19;13916
20030930;19;19;18;18;6357
20031001;18;18;17;18;10734
20031002;18;18;18;18;4228
