Date;Open;High;Low;Close;Volume
20071205;38;40;37;37;4727
20071206;39;39;37;39;1138
20071207;39;39;38;39;742
20071210;39;39;38;39;210
20071211;39;40;39;40;279
20071212;40;42;40;42;449
20071213;44;44;44;44;24
20071214;46;46;42;44;1414
20071217;43;43;42;43;331
20071218;43;43;43;43;10
20071219;44;44;42;42;139
20071220;42;42;40;41;1188
20071221;40;42;40;42;134
20071227;42;44;42;44;197
20071228;44;44;44;44;1
20080102;44;44;44;44;223
20080103;43;43;42;43;485
20080107;40;43;40;43;631
20080109;42;42;41;42;1187
20080110;42;42;42;42;734
20080111;42;42;42;42;91
20080115;41;42;41;41;116
20080116;38;38;37;37;362
20080117;38;38;36;36;239
20080118;37;38;37;38;8185
20080121;38;38;38;38;311
20080122;37;37;37;37;1159
20080123;37;39;37;39;5346
20080124;40;41;39;40;7021
20080125;39;40;39;40;2201
20080128;40;40;40;40;775
20080129;41;41;41;41;713
20080130;41;41;41;41;574
20080131;42;42;40;41;1557
20080201;42;42;42;42;1111
20080204;43;43;42;42;3973
20080205;43;43;42;43;8021
20080206;42;43;42;42;1375
20080207;42;42;42;42;154
20080208;42;42;41;42;9508
20080211;42;42;42;42;10
20080212;41;41;41;41;48
20080213;40;43;40;43;16843
20080214;43;44;43;43;3807
20080215;42;43;42;43;1240
20080218;42;44;42;44;3082
20080219;43;44;43;43;2893
20080220;43;43;43;43;1205
20080221;44;44;44;44;2370
20080222;44;44;44;44;27954
20080226;44;44;42;44;1544
20080227;43;44;43;44;541
20080228;44;44;43;43;218
20080229;42;42;41;41;834
20080303;40;41;40;41;595
20080304;41;41;41;41;10592
20080307;41;41;40;40;964
20080310;41;41;41;41;10
20080311;40;41;40;41;1109
20080312;41;41;41;41;10861
20080313;41;41;41;41;21
20080314;41;41;41;41;310
20080317;40;40;40;40;52
20080318;40;40;40;40;289
20080319;39;40;38;38;1069
20080320;39;39;38;38;212
20080325;40;40;40;40;134
20080326;40;40;40;40;53
20080327;39;40;37;40;2702
20080328;40;40;40;40;394
20080331;40;40;40;40;57
20080401;40;40;40;40;4
20080402;40;40;39;39;6391
20080403;39;40;38;38;1690
20080404;39;39;38;38;217
20080407;38;39;38;39;4444
20080408;37;39;37;39;1133
20080409;39;39;39;39;213
20080410;39;40;39;40;1759
20080411;40;40;40;40;465
20080414;40;40;38;38;2497
20080415;40;40;40;40;36
20080416;40;40;40;40;54
20080417;40;40;38;38;18713
20080418;39;39;38;38;5683
20080421;38;38;38;38;387
20080422;38;38;37;37;498
20080423;38;38;38;38;465
20080424;37;37;37;37;72
20080425;37;37;37;37;103
20080428;37;37;37;37;82
20080429;38;38;38;38;16552
20080430;37;37;37;37;729
20080505;37;37;37;37;248
20080506;37;37;37;37;70
20080507;38;38;38;38;21
20080508;37;37;37;37;21
20080509;38;38;37;37;79
20080512;36;36;36;36;10560
20080513;36;36;36;36;21
20080514;37;37;37;37;88
20080515;36;36;35;35;6613
20080516;35;35;35;35;10
20080519;35;35;35;35;286
20080520;35;35;35;35;25
20080521;34;34;34;34;5600
20080526;34;34;34;34;63
20080527;34;34;33;33;70
20080528;34;34;33;34;230
20080529;34;34;34;34;10
20080530;34;34;34;34;11
20080602;33;33;33;33;228
20080603;33;33;32;33;8711
20080604;32;32;30;32;571
20080605;32;32;32;32;10
20080606;33;33;33;33;10
20080609;34;34;32;34;93
20080610;32;32;32;32;233
20080611;32;32;31;32;402
20080612;31;31;31;31;301
20080613;31;32;31;32;272
20080616;32;32;32;32;10
20080617;32;32;31;32;180
20080618;31;31;31;31;2317
20080619;32;32;32;32;233
20080620;31;31;31;31;243
20080623;30;31;29;31;5509
20080624;32;33;32;33;511
20080626;34;34;34;34;228
20080627;34;34;34;34;10
20080630;35;35;34;34;622
20080701;34;34;34;34;11
20080702;34;34;34;34;11
20080703;35;35;35;35;135
20080704;35;35;35;35;12
20080707;35;35;34;34;41
20080708;34;34;34;34;113
20080709;35;35;35;35;11
20080710;35;35;35;35;11
20080711;34;34;34;34;11
20080714;34;34;34;34;11
20080715;34;34;34;34;26
20080716;34;34;34;34;1488
20080717;33;33;33;33;527
20080718;33;33;33;33;12
20080721;33;33;33;33;11
20080722;32;32;30;32;1451
20080723;32;32;32;32;11
20080724;32;32;32;32;11
20080725;32;32;32;32;11
20080728;32;32;32;32;11
20080729;32;32;32;32;11
20080730;32;32;32;32;11
20080731;32;32;32;32;11
20080801;32;32;32;32;11
20080804;30;32;30;32;134
20080805;32;32;32;32;11
20080806;32;32;32;32;11
20080807;32;32;32;32;11
20080808;32;32;32;32;269
20080811;32;32;32;32;11
20080812;32;32;31;31;1283
20080813;31;32;31;32;253
20080814;32;32;32;32;11
20080818;32;32;32;32;16
20080819;31;31;31;31;239
20080820;31;31;31;31;5
20080821;30;30;30;30;243
20080822;30;30;30;30;1
20080825;29;29;29;29;252
20080827;29;30;29;30;249
20080829;30;30;29;29;1184
20080902;30;30;30;30;13
20080904;30;30;29;30;668
20080909;30;30;30;30;11
20080910;30;30;30;30;10
20080911;30;30;30;30;53
20080912;30;30;29;29;271
20080915;28;29;27;29;817
20080916;28;28;28;28;269
20080917;29;29;29;29;12
20080918;29;29;29;29;11
20080922;29;29;29;29;252
20080923;30;30;30;30;248
20080924;30;30;30;30;754
20080925;30;30;30;30;43
20080929;29;29;29;29;524
20080930;26;30;26;30;1333
20081001;30;30;30;30;351
20081002;30;30;29;29;26081
20081003;30;30;30;30;248
20081006;29;29;29;29;972
20081007;28;28;27;28;371
20081009;28;28;28;28;23
20081010;28;28;28;28;12
20081013;29;29;28;28;270
20081014;30;30;30;30;13
20081015;28;28;28;28;264
20081016;28;28;28;28;1034
20081017;28;28;28;28;6
20081020;28;28;28;28;2067
20081021;28;28;28;28;6
20081022;27;28;26;28;564
20081023;26;27;25;27;646
20081024;25;26;24;26;899
20081027;25;26;25;26;1521
20081028;26;26;25;25;2914
20081029;25;25;25;25;310
20081030;26;26;26;26;10
20081031;26;26;26;26;11
20081103;26;26;26;26;11
20081104;26;26;26;26;4
20081105;26;26;26;26;6
20081106;26;26;26;26;10
20081107;26;26;26;26;11
20081110;25;25;25;25;300
20081112;24;24;24;24;302
20081113;24;24;24;24;310
20081114;23;23;23;23;320
20081117;23;23;23;23;69
20081118;23;23;23;23;10
20081119;22;22;22;22;341
20081120;22;22;22;22;10
20081121;22;22;22;22;2
20081124;22;22;22;22;5
20081125;22;22;22;22;10
20081126;21;21;21;21;351
20081127;22;22;22;22;1
20081128;21;21;21;21;357
20081201;20;20;20;20;363
20081203;19;19;18;18;781
20081204;18;18;18;18;408
20081205;18;18;17;17;950
20081208;17;17;17;17;10
20081209;17;17;17;17;435
20081210;17;17;17;17;10
20081211;17;17;17;17;10
20081212;17;17;17;17;1
20081215;17;17;17;17;427
20081216;16;16;16;16;8
20081217;17;17;17;17;103
20081218;17;17;17;17;438
20081219;17;17;16;17;460
20081222;16;17;16;17;449
20081223;16;16;16;16;451
20081229;16;16;16;16;476
20081230;16;16;16;16;470
20090105;16;17;16;16;940
20090106;16;16;15;16;937
20090107;16;16;15;16;522
20090108;16;16;16;16;1
20090109;16;16;16;16;2
20090112;16;16;16;16;1
20090114;16;16;15;15;933
20090115;15;15;15;15;1
20090116;16;16;16;16;209
20090119;16;16;15;15;3690
20090121;16;16;16;16;1
20090122;16;16;15;15;61998
20090123;15;15;15;15;25936
20090126;15;15;15;15;485
20090127;15;15;15;15;7819
20090128;15;15;15;15;5
20090130;15;15;15;15;496
20090202;15;15;15;15;2
20090203;15;15;15;15;2
20090204;15;15;14;14;513
20090205;15;15;15;15;1
20090206;15;15;14;15;507
20090209;14;14;14;14;515
20090217;15;15;15;15;501
20090218;14;15;14;15;517
20090219;15;15;15;15;481
20090223;15;15;15;15;982
20090224;14;14;14;14;207
20090225;14;14;14;14;521
20090302;15;15;15;15;4
20090303;15;15;15;15;3
20090305;14;15;14;15;517
20090306;15;15;15;15;1
20090309;15;15;15;15;38
20090310;15;15;15;15;55
20090311;14;14;14;14;1034
20090313;15;15;15;15;15
20090318;14;14;14;14;963
20090319;13;13;13;13;103
20090320;13;14;13;13;831
20090323;13;14;13;13;2950
20090324;13;13;13;13;20
20090325;13;14;13;13;1018
20090326;14;14;13;13;988
20090327;13;14;13;14;238
20090330;13;14;13;14;104
20090401;13;13;13;13;52
20090402;13;13;13;13;683
20090403;14;14;12;14;2056
20090406;14;14;13;13;1841
20090407;13;13;13;13;5
20090408;13;13;12;13;377
20090409;13;13;12;13;1959
20090414;13;14;13;13;5934
20090415;13;14;13;13;24851
20090416;14;14;13;14;12390
20090417;14;14;13;14;1466
20090420;13;14;13;13;915
20090421;13;13;13;13;1422
20090422;13;13;12;13;4258
20090423;13;13;13;13;4701
20090424;13;13;13;13;3782
20090427;13;13;13;13;1557
20090428;13;13;13;13;1121
20090429;13;13;12;13;1751
20090430;12;13;12;13;991
20090504;13;13;13;13;13089
20090505;13;13;12;13;2741
20090506;13;13;12;13;4911
20090507;13;13;12;13;5426
20090508;13;14;13;13;13544
20090511;15;17;15;16;97031
20090512;17;19;17;18;52205
20090513;17;17;16;17;15131
20090514;16;16;16;16;13093
20090515;16;16;16;16;3296
20090518;16;19;16;18;17040
20090519;18;18;17;18;2841
20090520;18;18;16;17;2364
20090521;17;17;16;17;3101
20090522;17;17;16;17;1308
20090525;17;17;16;17;510
20090526;16;16;16;16;970
20090527;16;16;16;16;657
20090528;16;16;16;16;1012
20090529;16;17;16;16;361
20090601;17;17;16;17;3067
20090602;17;17;17;17;3018
20090603;17;17;17;17;4149
20090604;18;18;18;18;2809
20090605;17;18;17;18;2566
20090608;17;17;17;17;1080
20090609;17;18;17;18;900
20090610;18;18;18;18;3693
20090612;18;18;18;18;1525
20090615;18;18;18;18;1742
20090616;17;18;17;18;691
20090617;18;18;18;18;1039
20090618;18;18;17;18;3595
20090619;18;18;17;18;4909
20090622;18;19;18;19;11621
20090623;18;18;18;18;792
20090624;19;19;18;18;744
20090625;19;19;18;18;67
20090626;18;18;18;18;1113
20090629;18;18;18;18;317
20090630;18;18;17;17;637
20090701;18;18;18;18;48
20090702;18;18;18;18;5
20090703;18;18;18;18;259
20090706;18;18;18;18;134
20090707;18;18;18;18;6
20090708;18;18;17;18;89
20090709;18;18;18;18;46
20090710;18;18;18;18;19
