Date;Open;High;Low;Close;Volume
20141125;190;200;188;200;21488
20141126;205;214;201;210;7040
20141127;213;213;202;205;3241
20141128;206;213;202;212;3794
20141201;213;213;208;211;328
20141202;208;212;208;210;561
20141203;211;211;204;207;958
20141204;206;207;206;207;633
20141205;206;207;206;207;499
20141208;207;207;206;206;637
20141209;206;207;203;206;1098
20141210;204;205;203;204;198
20141211;204;204;191;194;1628
20141212;195;198;194;196;351
20141215;195;198;195;198;150
20141216;198;198;193;197;334
20141217;198;198;195;195;62
20141218;195;197;194;194;438
20141219;192;192;191;191;228
20141222;191;195;191;193;257
20141223;191;192;191;192;105
20141229;192;193;192;192;135
20141230;193;198;193;198;2376
