Date;Open;High;Low;Close;Volume
20010524;4;4;3;4;59144
20010525;4;4;3;4;6075
20010528;4;4;3;4;11753
20010529;3;3;3;3;12424
20010530;3;3;3;3;2338
20010531;3;3;3;3;11425
20010601;3;3;3;3;9004
20010604;3;3;3;3;3714
20010605;3;3;2;3;20351
20010606;3;3;3;3;3160
20010607;2;3;2;3;1527
20010608;3;3;2;3;1146
20010612;2;2;2;2;11327
20010613;2;2;2;2;3490
20010615;2;2;2;2;7787
20010618;2;2;2;2;4276
20010619;2;2;2;2;23356
20010620;2;2;2;2;11614
20010621;2;2;1;2;2913
20010622;2;2;2;2;15274
20010625;2;2;2;2;54635
20010626;2;2;2;2;2034
20010627;2;2;2;2;196
20010628;2;2;1;1;1098
20010629;1;2;1;2;5096
20010702;2;2;2;2;1344
20010704;1;2;1;2;230
20010705;2;2;2;2;2149
20010710;2;2;2;2;3692
20010711;2;2;2;2;782
20010713;2;2;2;2;2605
20010716;2;2;2;2;531
20010717;2;2;2;2;683
20010718;2;2;2;2;1
20010719;2;2;2;2;26
20010723;2;2;2;2;3579
20010724;2;2;2;2;1
20010725;2;2;2;2;5817
20010726;2;2;2;2;37
20010727;2;2;2;2;6689
20010730;2;2;2;2;1164
20010731;2;2;2;2;9198
20010802;2;2;1;1;3642
20010803;2;2;2;2;34
20010807;1;1;1;1;2241
20010809;1;1;1;1;10629
20010810;1;1;1;1;1958
20010813;2;2;1;1;28366
20010814;1;1;1;1;9511
20010816;1;1;1;1;8410
20010817;1;1;1;1;1414
20010820;1;1;1;1;5696
20010821;1;1;1;1;4872
20010822;1;1;1;1;5443
20010823;1;1;1;1;2215
20010827;1;1;1;1;1229
20010831;1;1;1;1;8259
20010903;1;1;1;1;3182
20010904;1;1;1;1;955
20010905;1;1;1;1;559
20010906;1;1;1;1;559
20010907;1;1;1;1;1118
20010912;1;1;1;1;5034
20010917;1;1;1;1;184
20010918;1;1;1;1;873
20010919;1;1;1;1;224
20010925;1;1;1;1;7162
20010926;1;1;1;1;1701
20010927;1;1;1;1;940
20010928;1;1;1;1;1121
20011002;1;1;1;1;341
20011005;1;1;1;1;2292
20011008;1;1;1;1;2252
20011010;1;1;1;1;7990
20011011;1;1;1;1;2504
20011012;1;1;1;1;15084
20011015;1;1;1;1;111
20011016;1;1;1;1;92819
20011017;1;2;1;1;226442
20011018;1;1;1;1;19645
20011019;1;1;1;1;9390
20011022;1;1;1;1;30412
20011023;1;1;1;1;16600
20011024;1;1;1;1;3699
20011025;1;1;1;1;12070
20011026;1;1;1;1;5942
20011029;1;1;1;1;6358
20011030;1;1;1;1;1118
20011031;1;1;1;1;2571
20011102;1;1;1;1;10447
20011105;1;1;1;1;8391
20011106;1;1;1;1;993
20011107;1;1;1;1;3412
20011108;1;1;1;1;2629
20011109;1;1;1;1;4639
20011112;1;1;1;1;111
20011113;1;1;1;1;5794
20011114;1;1;1;1;54188
20011115;1;1;1;1;5657
20011116;1;1;1;1;1652
20011119;1;1;1;1;5874
20011120;1;1;1;1;6737
20011121;1;1;1;1;76400
20011122;1;1;1;1;4011
20011123;1;1;1;1;5005
20011126;1;1;1;1;39143
20011127;1;1;1;1;14491
20011128;1;1;1;1;10014
20011129;1;1;1;1;671
20011130;1;1;1;1;5354
20011203;1;1;1;1;2060
20011204;1;1;1;1;4323
20011205;1;1;1;1;4883
20011206;1;1;1;1;11193
20011207;1;1;1;1;7762
20011210;1;1;1;1;12085
20011211;1;1;1;1;1641
20011212;1;1;1;1;4476
20011213;1;1;1;1;1118
20011214;1;1;1;1;2589
20011217;1;1;1;1;142
20011218;1;1;1;1;138776
20011219;1;1;1;1;10799
20011220;1;1;1;1;2870
20011221;1;1;1;1;2702
20011227;1;1;1;1;1777
20011228;1;1;1;1;4476
20011231;1;1;1;1;373142
20020102;1;1;1;1;14726
20020103;1;1;1;1;5604
20020104;1;1;1;1;5232
20020107;1;1;1;1;9751
20020108;1;1;1;1;16757
20020109;1;1;1;1;26524
20020110;1;1;1;1;28734
20020111;1;1;1;1;1846
20020114;1;1;1;1;4277
20020115;1;1;1;1;4541
20020116;1;1;1;1;2236
20020117;1;1;1;1;1567
20020118;1;1;1;1;5552
20020122;1;1;1;1;55204
20020123;1;1;1;1;3223
20020124;1;1;1;1;11484
20020125;1;1;1;1;3801
20020128;1;1;1;1;7710
20020129;1;1;1;1;963
20020130;1;1;1;1;8222
20020131;1;1;1;1;6798
20020201;1;1;1;1;3579
20020204;1;1;1;1;1590
20020205;1;1;1;1;1232
20020206;1;1;1;1;4010
20020207;1;1;1;1;61850
20020208;1;1;1;1;19584
20020211;1;1;1;1;12775
20020212;1;1;1;1;9184
20020213;1;1;1;1;12412
20020214;1;1;1;1;11084
20020215;1;1;1;1;4815
20020218;1;1;1;1;7379
20020219;1;1;1;1;7619
20020220;1;1;1;1;18045
20020221;1;1;1;1;2045
20020222;1;1;1;1;8765
20020225;1;1;1;1;4613
20020226;1;1;1;1;10647
20020227;1;1;1;1;36715
20020228;1;1;1;1;16279
20020301;1;1;1;1;11538
20020304;1;1;1;1;11169
20020305;1;1;1;1;1135
20020306;1;1;1;1;3480
20020307;1;1;1;1;10933
20020308;1;1;1;1;576
20020311;1;1;1;1;230
20020312;1;1;1;1;225
20020313;1;1;1;1;1703
20020314;1;1;1;1;8066
20020315;1;1;1;1;20610
20020318;1;1;1;1;4754
20020319;1;1;1;1;1808
20020320;1;1;1;1;1561
20020321;1;1;1;1;1
20020322;1;1;1;1;8934
20020325;1;1;1;1;227
20020326;1;1;1;1;616
20020327;1;1;1;1;1
20020328;1;1;1;1;1
20020402;1;1;1;1;1019
20020403;1;1;1;1;1106
20020404;1;1;0;1;2510
20020405;1;1;0;1;1561
20020408;1;1;1;1;1880
20020409;1;1;1;1;3090
20020410;1;1;1;1;2
20020411;1;1;0;0;1038
20020412;0;1;0;0;26532
20020415;0;0;0;0;1543
20020416;0;0;0;0;3435
20020417;0;0;0;0;5543
20020418;0;0;0;0;5796
20020419;0;0;0;0;9874
20020422;0;0;0;0;10835
20020423;0;0;0;0;2801
20020424;0;0;0;0;8066
20020425;0;0;0;0;111
20020426;0;0;0;0;1125
20020429;0;0;0;0;297
20020430;0;0;0;0;2066
20020502;0;0;0;0;1194
20020506;0;0;0;0;783
20020507;0;1;0;0;16490
20020508;0;0;0;0;2362
20020509;0;0;0;0;2257
20020510;0;0;0;0;2371
20020513;0;0;0;0;18579
20020514;0;0;0;0;1249
20020515;0;0;0;0;6715
20020516;0;1;0;1;22622
20020517;0;1;0;1;21198
20020520;1;1;1;1;1728
20020521;1;1;0;1;23052
20020522;1;1;1;1;1
20020523;0;1;0;1;1623
20020524;1;1;0;0;25588
20020527;0;0;0;0;677
20020528;0;0;0;0;14555
20020529;0;0;0;0;2185
20020531;0;1;0;1;18787
20020603;0;1;0;1;2519
20020604;1;1;0;0;16914
20020605;0;0;0;0;559
20020606;0;0;0;0;20675
20020607;0;0;0;0;607
20020610;0;0;0;0;1512
20020611;0;0;0;0;1903
20020612;0;0;0;0;3986
20020613;0;0;0;0;5594
20020614;0;0;0;0;34
20020617;0;0;0;0;5686
20020618;0;0;0;0;12765
20020619;0;0;0;0;778
20020620;0;0;0;0;4754
20020621;0;0;0;0;637
20020624;0;0;0;0;1679
20020625;0;0;0;0;13540
20020626;0;0;0;0;8022
20020627;0;0;0;0;2495
20020628;0;0;0;0;1287
20020701;0;0;0;0;11188
20020702;0;0;0;0;2872
20020703;0;0;0;0;9849
20020704;0;0;0;0;3787
20020705;0;0;0;0;51
20020708;0;0;0;0;10
20020709;0;0;0;0;10
20020710;0;0;0;0;10
20020711;0;0;0;0;1442
20020712;0;0;0;0;50
20020715;0;0;0;0;4433
20020716;0;0;0;0;111
20020717;0;0;0;0;132
20020718;0;0;0;0;89998
20020719;0;0;0;0;10046
20020722;0;0;0;0;10974
20020723;0;0;0;0;6959
20020724;0;0;0;0;1158
20020730;0;0;0;0;1149
20020731;0;0;0;0;302
20020802;0;0;0;0;8326
20020805;0;0;0;0;3132
20020806;0;0;0;0;14691
20020807;0;0;0;0;3476
20020808;0;0;0;0;9366
20020809;0;0;0;0;1679
20020812;0;0;0;0;4889
20020813;0;0;0;0;111
20020814;0;0;0;0;136
20020816;0;0;0;0;3356
20020819;0;0;0;0;101
20020820;0;0;0;0;1118
20020821;0;0;0;0;10669
20020822;0;0;0;0;2137
20020823;0;0;0;0;11188
20020826;0;0;0;0;7711
20020827;0;0;0;0;4363
20020828;0;0;0;0;111
20020829;0;0;0;0;6972
20020830;0;0;0;0;10979
20020902;0;0;0;0;26894
20020903;0;0;0;0;25184
20020904;0;0;0;0;2236
20020906;0;0;0;0;1679
20020910;0;0;0;0;3021
20020911;0;0;0;0;4353
20020912;0;0;0;0;5594
20020913;0;0;0;0;11188
20020916;0;0;0;0;8285
20020917;0;0;0;0;11750
20020918;0;0;0;0;11719
20020919;0;0;0;0;2876
20020920;0;0;0;0;20816
20020923;0;0;0;0;1279
20020924;0;0;0;0;1388
20020925;0;0;0;0;8179
20020926;0;0;0;0;6390
20020927;0;0;0;0;3470
20020930;0;0;0;0;2909
20021001;0;0;0;0;671
20021002;0;0;0;0;707
20021003;0;0;0;0;3070
20021004;0;0;0;0;335
20021009;0;0;0;0;10
20021010;0;0;0;0;14325
20021011;0;1;0;0;4645
20021014;0;1;0;1;1680
20021015;1;1;0;0;3355
20021016;0;0;0;0;1679
20021017;0;0;0;0;919
20021018;0;0;0;0;302
20021021;0;0;0;0;2669
20021023;0;0;0;0;7832
20021024;0;0;0;0;2236
20021025;0;0;0;0;1118
20021031;0;0;0;0;4166
20021104;0;1;0;1;10898
20021105;1;1;0;1;4225
20021106;0;0;0;0;559
20021107;0;1;0;1;6771
20021108;0;1;0;1;24472
20021112;1;1;1;1;190
20021113;1;1;0;1;64840
20021114;1;1;1;1;1118
20021115;1;1;1;1;9906
20021118;1;1;1;1;12461
20021120;1;1;1;1;3836
20021121;1;1;1;1;673
20021122;1;1;1;1;4549
20021125;1;1;1;1;4224
20021126;1;1;1;1;16629
20021127;1;1;1;1;755
20021128;1;1;1;1;20367
20021129;1;1;1;1;46036
20021202;1;1;1;1;6252
20021203;1;1;1;1;37417
20021204;1;1;1;1;24058
20021206;1;1;1;1;6839
20021209;1;1;1;1;29424
20021210;1;1;1;1;5779
20021211;1;1;1;1;6602
20021212;1;1;1;1;19441
20021213;1;1;1;1;35245
20021216;1;1;1;1;25819
20021217;1;1;1;1;22174
20021218;1;1;1;1;16858
20021219;1;1;1;1;12686
20021220;1;1;1;1;318083
20021223;1;1;1;1;162196
20021227;1;1;1;1;7562
20021230;1;1;1;1;12186
20021231;1;1;1;1;15893
20030102;1;1;1;1;1903
20030103;1;1;1;1;15552
20030106;1;1;1;1;3141
20030107;1;1;1;1;8552
20030108;1;1;1;1;2940
20030109;1;1;1;1;6180
20030110;1;1;1;1;7162
20030113;1;1;1;1;2856
20030114;1;1;1;1;26
20030115;1;1;1;1;4990
20030116;1;1;1;1;902
20030117;1;1;1;1;8811
20030120;1;1;1;1;14441
20030121;1;1;1;1;5500
20030122;1;1;1;1;12450
20030123;1;1;1;1;3715
20030124;1;1;1;1;1067
20030127;1;1;1;1;1118
20030128;1;1;1;1;1645
20030129;1;1;1;1;447
20030130;1;1;1;1;4683
20030131;1;1;1;1;111
20030203;1;1;1;1;11704
20030204;1;1;1;1;3849
20030205;1;1;1;1;1679
20030206;1;1;1;1;51624
20030207;1;1;1;1;5795
20030210;1;1;1;1;3747
20030211;1;1;1;1;10248
20030213;1;1;1;1;10846
20030214;1;1;1;1;3558
20030217;1;1;1;1;8968
20030218;1;1;1;1;10858
20030219;1;1;1;1;3025
20030220;1;1;1;1;1493
20030221;1;1;1;1;2071
20030224;1;1;1;1;13773
20030225;1;1;1;1;48678
20030226;1;1;1;1;116
20030227;1;1;1;1;28
20030228;1;1;1;1;1332
20030303;1;1;1;1;111
20030304;1;1;1;1;228
20030306;1;1;1;1;1791
20030310;1;1;1;1;1752
20030311;1;1;1;1;2685
20030312;1;1;1;1;11752
20030314;1;1;1;1;2236
20030317;1;1;1;1;1768
20030319;1;1;1;1;3031
20030320;1;1;1;1;2425
20030321;1;1;1;1;224
20030324;1;1;1;1;5902
20030325;1;1;1;1;15013
20030326;1;1;1;1;9772
20030327;1;1;1;1;2870
20030328;1;1;1;1;771
20030331;1;1;1;1;13791
20030401;1;1;1;1;2949
20030403;1;1;1;1;3636
20030407;1;1;1;1;23120
20030408;1;1;1;1;4740
20030409;1;1;1;1;16167
20030410;1;1;1;1;7050
20030411;1;1;1;1;1118
20030414;1;1;1;1;25259
20030415;1;1;1;1;447
20030417;1;1;1;1;5371
20030422;1;2;1;1;30569
20030423;1;2;1;2;5028
20030424;2;2;2;2;9726
20030425;2;2;1;1;6207
20030428;2;2;1;1;1823
20030429;2;2;1;2;16167
20030430;2;2;1;2;19134
20030502;2;2;2;2;1679
20030505;2;2;1;1;2875
20030506;1;1;1;1;2496
20030507;1;1;1;1;2427
20030508;1;1;1;1;4656
20030509;1;2;1;1;20349
