From;To;Date
4;4;20080820
4;4;20080821
4;2;20080822
2;3;20080825
3;3;20080826
3;3;20080827
3;2;20080828
2;3;20080829
3;3;20080901
3;1;20080902
1;3;20080904
3;3;20080905
3;3;20080908
3;3;20080909
3;1;20080910
1;2;20080911
2;2;20080912
2;1;20080915
1;2;20080917
2;3;20080919
3;3;20080922
3;1;20080924
1;3;20081001
3;2;20081006
2;2;20081007
2;3;20081008
3;2;20081009
2;2;20081010
2;1;20081014
1;1;20081015
1;3;20081016
3;2;20081017
2;3;20081020
3;0;20081021
0;3;20081024
3;2;20081027
2;3;20081028
3;3;20081029
3;2;20081031
2;4;20081103
4;1;20081105
1;2;20081106
2;3;20081107
3;1;20081110
1;3;20081112
3;3;20081113
3;4;20081114
4;4;20081117
4;3;20081121
3;0;20081124
0;2;20081126
2;4;20081128
4;2;20081201
2;3;20081202
3;3;20081203
3;3;20081208
3;2;20081210
2;4;20081212
4;3;20081215
3;1;20081216
1;4;20081217
4;2;20081218
2;3;20081219
3;4;20081222
4;4;20081223
4;4;20081229
4;3;20081230
3;3;20081231
3;4;20090105
4;4;20090106
4;4;20090107
4;4;20090108
4;4;20090109
4;4;20090112
4;4;20090113
4;3;20090114
3;4;20090115
4;5;20090116
5;4;20090119
4;4;20090120
4;4;20090121
4;4;20090122
4;4;20090123
4;4;20090126
4;4;20090127
4;2;20090128
2;3;20090130
3;3;20090203
3;4;20090204
4;4;20090205
4;4;20090206
4;3;20090209
3;4;20090210
4;4;20090211
4;4;20090212
4;3;20090213
3;5;20090216
5;3;20090217
3;4;20090218
4;4;20090219
4;2;20090220
2;2;20090223
2;1;20090224
1;3;20090225
3;3;20090226
3;4;20090227
4;4;20090302
4;2;20090303
2;3;20090304
3;4;20090305
4;3;20090306
3;3;20090309
3;4;20090310
4;4;20090311
4;2;20090312
2;2;20090313
2;3;20090316
3;2;20090317
2;4;20090318
4;4;20090323
4;4;20090324
4;4;20090325
4;4;20090326
4;3;20090327
3;3;20090330
3;3;20090331
3;4;20090401
4;4;20090402
4;3;20090403
3;4;20090406
4;4;20090407
4;4;20090408
4;5;20090409
5;4;20090414
4;3;20090415
3;4;20090416
4;4;20090417
4;3;20090420
3;3;20090421
3;3;20090422
3;3;20090423
3;4;20090424
4;4;20090427
4;5;20090428
5;5;20090429
5;5;20090430
5;5;20090504
5;4;20090505
4;4;20090506
4;4;20090507
4;4;20090508
4;4;20090511
4;5;20090512
5;5;20090513
5;4;20090514
4;4;20090515
4;5;20090518
5;4;20090519
4;4;20090520
4;4;20090521
4;4;20090522
4;4;20090525
4;3;20090526
3;3;20090527
3;4;20090528
4;4;20090529
4;4;20090601
4;4;20090602
4;4;20090603
4;4;20090604
4;4;20090605
4;4;20090608
4;4;20090609
4;3;20090610
3;4;20090612
4;3;20090615
3;3;20090616
3;3;20090617
3;3;20090618
3;4;20090619
4;3;20090622
3;4;20090623
4;2;20090624
2;3;20090625
3;3;20090626
3;3;20090629
3;4;20090630
4;4;20090701
4;5;20090702
5;4;20090703
4;3;20090706
3;4;20090707
4;4;20090708
4;3;20090709
3;4;20090710
4;4;20090713
4;4;20090714
4;4;20090715
4;4;20090716
4;4;20090717
4;4;20090720
4;4;20090721
4;3;20090722
3;4;20090723
4;3;20090724
3;4;20090727
4;5;20090728
5;4;20090729
4;4;20090730
4;4;20090731
4;4;20090803
4;3;20090804
3;4;20090805
4;4;20090806
4;4;20090807
4;4;20090810
4;4;20090811
4;4;20090812
4;4;20090813
4;4;20090814
4;4;20090817
4;3;20090818
3;3;20090819
3;4;20090820
4;4;20090821
4;4;20090824
4;4;20090825
4;4;20090826
4;3;20090827
3;4;20090828
4;4;20090831
4;4;20090901
4;4;20090902
4;4;20090903
4;3;20090904
3;4;20090907
4;4;20090908
4;3;20090909
3;3;20090910
3;3;20090911
3;3;20090914
3;3;20090915
3;3;20090916
3;3;20090917
3;3;20090918
3;3;20090921
3;4;20090922
4;4;20090923
4;3;20090924
3;4;20090925
4;3;20090928
3;4;20090929
4;4;20090930
4;4;20091001
4;4;20091002
4;4;20091005
4;3;20091006
3;4;20091007
4;4;20091008
4;4;20091009
4;3;20091012
3;4;20091013
4;3;20091014
3;3;20091015
3;3;20091016
3;3;20091019
3;3;20091020
3;4;20091021
4;4;20091022
4;3;20091023
3;4;20091026
4;3;20091027
3;4;20091028
4;4;20091029
4;4;20091030
4;4;20091102
4;4;20091103
4;4;20091104
4;5;20091105
5;5;20091106
5;5;20091109
5;5;20091110
5;4;20091112
4;4;20091113
4;5;20091116
5;4;20091117
4;4;20091118
4;4;20091119
4;4;20091120
4;5;20091123
5;4;20091124
4;4;20091125
4;4;20091126
4;4;20091127
4;4;20091130
4;3;20091201
3;4;20091202
4;4;20091203
4;3;20091204
3;3;20091207
3;4;20091208
4;4;20091209
4;4;20091210
4;4;20091211
4;3;20091214
3;4;20091215
4;4;20091216
4;4;20091217
4;4;20091218
4;4;20091221
4;4;20091222
4;4;20091223
4;5;20091228
5;5;20091229
5;5;20091230
5;4;20091231
4;5;20100104
5;5;20100105
5;4;20100106
4;4;20100107
4;4;20100108
4;4;20100111
4;5;20100112
5;5;20100113
5;5;20100114
5;4;20100115
4;3;20100118
3;4;20100119
4;4;20100120
4;4;20100121
4;4;20100122
4;4;20100125
4;4;20100126
4;4;20100127
4;4;20100128
4;3;20100129
3;4;20100201
4;4;20100202
4;4;20100203
4;4;20100204
4;5;20100205
5;4;20100208
4;4;20100209
4;4;20100210
4;4;20100211
4;3;20100212
3;4;20100215
4;3;20100216
3;3;20100217
3;4;20100218
4;4;20100219
4;4;20100222
4;4;20100223
4;4;20100224
4;3;20100225
3;3;20100226
3;4;20100301
4;4;20100302
4;4;20100303
4;4;20100304
4;5;20100305
5;4;20100308
4;5;20100309
5;5;20100310
5;5;20100311
5;4;20100312
4;5;20100315
5;4;20100316
4;4;20100317
4;4;20100318
4;4;20100319
4;4;20100322
4;5;20100323
5;5;20100324
5;5;20100325
5;4;20100326
4;5;20100329
5;4;20100330
4;4;20100331
4;5;20100401
5;4;20100406
4;5;20100407
5;4;20100408
4;4;20100409
4;4;20100412
4;4;20100413
4;5;20100414
5;4;20100415
4;4;20100416
4;4;20100419
4;4;20100420
4;4;20100421
4;4;20100422
4;3;20100423
3;4;20100426
4;4;20100427
4;5;20100428
5;5;20100429
5;5;20100430
5;4;20100504
4;5;20100505
5;4;20100506
4;5;20100507
5;4;20100510
4;4;20100511
4;4;20100512
4;4;20100513
4;4;20100514
4;4;20100517
4;4;20100518
4;4;20100519
4;4;20100520
4;5;20100521
5;4;20100524
4;5;20100525
5;4;20100526
4;4;20100527
4;5;20100528
5;4;20100531
4;4;20100601
4;4;20100602
4;4;20100604
4;4;20100607
4;4;20100608
4;4;20100609
4;4;20100610
4;4;20100611
4;4;20100614
4;4;20100615
4;4;20100616
4;4;20100617
4;4;20100618
4;4;20100621
4;5;20100622
5;5;20100623
5;4;20100624
4;4;20100625
4;4;20100628
4;4;20100629
4;4;20100630
4;4;20100701
4;3;20100702
3;4;20100705
4;4;20100706
4;3;20100707
3;4;20100708
4;4;20100709
4;4;20100712
4;4;20100713
4;4;20100714
4;4;20100715
4;4;20100716
4;4;20100719
4;3;20100720
3;4;20100721
4;3;20100722
3;4;20100723
4;4;20100726
4;4;20100727
4;4;20100728
4;4;20100729
4;4;20100730
4;4;20100802
4;4;20100803
4;4;20100804
4;4;20100805
4;4;20100806
4;4;20100809
4;4;20100810
4;4;20100811
4;4;20100812
4;4;20100813
4;3;20100816
3;5;20100817
5;5;20100818
5;4;20100819
4;4;20100820
4;4;20100823
4;4;20100824
4;3;20100825
3;4;20100826
4;4;20100827
4;4;20100830
4;4;20100831
4;4;20100901
4;4;20100902
