From;To;Date
6;6;20060712
6;5;20060713
5;5;20060714
5;5;20060717
5;5;20060718
5;5;20060719
5;5;20060720
5;4;20060721
4;4;20060724
4;4;20060725
4;4;20060726
4;4;20060727
4;4;20060728
4;4;20060731
4;4;20060801
4;4;20060802
4;4;20060803
4;4;20060804
4;4;20060807
4;5;20060808
5;5;20060809
5;4;20060810
4;4;20060811
4;4;20060814
4;4;20060816
4;4;20060817
4;4;20060818
4;3;20060821
3;4;20060822
4;5;20060823
5;4;20060824
4;4;20060825
4;4;20060828
4;4;20060829
4;4;20060830
4;4;20060831
4;4;20060901
4;4;20060904
4;4;20060905
4;4;20060906
4;4;20060907
4;4;20060908
4;4;20060911
4;3;20060912
3;4;20060913
4;4;20060914
4;3;20060915
3;3;20060918
3;4;20060919
4;4;20060920
4;3;20060921
3;3;20060922
3;4;20060925
4;4;20060926
4;4;20060927
4;4;20060928
4;3;20060929
3;4;20061002
4;4;20061003
4;4;20061004
4;4;20061005
4;4;20061006
4;4;20061009
4;4;20061010
4;4;20061011
4;3;20061012
3;4;20061013
4;4;20061016
4;3;20061017
3;4;20061018
4;4;20061019
4;4;20061020
4;5;20061023
5;5;20061024
5;4;20061025
4;4;20061026
4;4;20061027
4;4;20061030
4;4;20061031
4;4;20061102
4;4;20061103
4;5;20061106
5;4;20061107
4;4;20061108
4;4;20061109
4;4;20061110
4;4;20061113
4;4;20061114
4;4;20061115
4;4;20061116
4;3;20061117
3;4;20061120
4;4;20061121
4;4;20061122
4;4;20061123
4;4;20061124
4;4;20061127
4;3;20061128
3;4;20061129
4;4;20061130
4;3;20061201
3;4;20061204
4;4;20061205
4;4;20061206
4;4;20061207
4;4;20061208
4;4;20061211
4;4;20061212
4;4;20061213
4;4;20061214
4;4;20061215
4;4;20061218
4;4;20061219
4;3;20061220
3;4;20061221
4;4;20061222
4;4;20061227
4;3;20061228
3;3;20061229
3;3;20070102
3;3;20070103
3;3;20070104
3;3;20070105
3;3;20070108
3;3;20070109
3;3;20070110
3;4;20070111
4;4;20070112
4;4;20070115
4;4;20070116
4;4;20070117
4;4;20070118
4;4;20070119
4;4;20070122
4;3;20070123
3;3;20070124
3;4;20070125
4;4;20070126
4;3;20070129
3;4;20070130
4;4;20070131
4;3;20070201
3;4;20070202
4;4;20070205
4;4;20070206
4;4;20070207
4;4;20070208
4;3;20070209
3;4;20070212
4;3;20070213
3;4;20070214
4;4;20070215
4;4;20070216
4;4;20070219
4;4;20070220
4;4;20070221
4;4;20070222
4;5;20070223
5;4;20070226
4;4;20070227
4;4;20070228
4;4;20070301
4;4;20070302
4;4;20070305
4;3;20070306
3;3;20070307
3;3;20070308
3;5;20070309
5;4;20070312
4;4;20070313
4;4;20070314
4;4;20070315
4;4;20070316
4;4;20070319
4;5;20070320
5;5;20070321
5;5;20070322
5;4;20070323
4;4;20070326
4;4;20070327
4;4;20070328
4;4;20070329
4;5;20070330
5;4;20070402
4;4;20070403
4;5;20070404
5;4;20070405
4;4;20070410
4;5;20070411
5;4;20070412
4;4;20070413
4;4;20070416
4;4;20070417
4;4;20070418
4;4;20070419
4;4;20070420
4;4;20070423
4;4;20070424
4;4;20070425
4;4;20070426
4;4;20070427
4;4;20070430
4;4;20070502
4;4;20070504
4;4;20070507
4;4;20070508
4;4;20070509
4;4;20070510
4;4;20070511
4;4;20070514
4;4;20070515
4;4;20070516
4;4;20070517
4;4;20070518
4;3;20070521
3;4;20070522
4;3;20070523
3;4;20070524
4;4;20070525
4;4;20070528
4;4;20070529
4;4;20070530
4;4;20070531
4;4;20070601
4;4;20070604
4;4;20070605
4;4;20070606
4;4;20070608
4;4;20070611
4;4;20070612
4;4;20070613
4;4;20070614
4;4;20070615
4;4;20070618
4;4;20070619
4;4;20070620
4;3;20070621
3;3;20070622
3;4;20070625
4;4;20070626
4;4;20070627
4;3;20070628
3;3;20070629
3;4;20070702
4;4;20070703
4;4;20070704
4;4;20070705
4;4;20070706
4;4;20070709
4;4;20070710
4;3;20070711
3;3;20070712
3;3;20070713
3;4;20070716
4;3;20070717
3;3;20070718
3;3;20070719
3;3;20070720
3;3;20070723
3;3;20070724
3;4;20070725
4;3;20070726
3;3;20070727
3;4;20070730
4;3;20070731
3;3;20070801
3;3;20070802
3;3;20070803
3;4;20070806
4;4;20070807
4;4;20070808
4;4;20070809
4;4;20070810
4;4;20070813
4;3;20070814
3;4;20070816
4;4;20070817
4;4;20070820
4;3;20070821
3;4;20070822
4;4;20070823
4;4;20070824
4;4;20070827
4;4;20070828
4;4;20070829
4;4;20070830
4;3;20070831
3;3;20070903
3;3;20070904
3;3;20070905
3;3;20070906
3;4;20070907
4;4;20070910
4;3;20070911
3;4;20070912
4;3;20070913
3;4;20070914
4;3;20070917
3;3;20070918
3;4;20070919
4;4;20070920
4;4;20070921
4;3;20070924
3;3;20070925
3;3;20070926
3;3;20070927
3;3;20070928
3;3;20071001
3;3;20071002
3;3;20071003
3;4;20071004
4;3;20071005
3;4;20071008
4;5;20071009
5;5;20071010
5;4;20071011
4;4;20071012
4;4;20071015
4;4;20071016
4;5;20071017
5;4;20071018
4;4;20071019
4;4;20071022
4;4;20071023
4;4;20071024
4;3;20071025
3;3;20071026
3;4;20071029
4;4;20071030
4;4;20071031
4;4;20071102
4;4;20071105
4;4;20071106
4;4;20071107
4;4;20071108
4;4;20071109
4;4;20071112
4;4;20071113
4;4;20071114
4;4;20071115
4;4;20071116
4;3;20071119
3;4;20071120
4;4;20071121
4;5;20071122
5;4;20071123
4;4;20071126
4;4;20071127
4;4;20071128
4;4;20071129
4;5;20071130
5;4;20071203
4;4;20071204
4;4;20071205
4;4;20071206
4;4;20071207
4;4;20071210
4;3;20071211
3;4;20071212
4;4;20071213
4;4;20071214
4;4;20071217
4;4;20071218
4;4;20071219
4;4;20071220
4;4;20071221
4;3;20071227
3;3;20071228
3;3;20080102
3;4;20080103
4;4;20080104
4;4;20080107
4;3;20080108
3;4;20080109
4;4;20080110
4;4;20080111
4;4;20080114
4;4;20080115
4;4;20080116
4;4;20080117
4;4;20080118
4;4;20080121
4;4;20080122
4;4;20080123
4;4;20080124
4;4;20080125
4;4;20080128
4;3;20080129
3;4;20080130
4;4;20080131
4;4;20080201
4;4;20080204
4;4;20080205
4;4;20080206
4;4;20080207
4;4;20080208
4;4;20080211
4;3;20080212
3;4;20080213
4;4;20080214
4;4;20080215
4;3;20080218
3;3;20080219
3;3;20080220
3;4;20080221
4;3;20080222
3;3;20080225
3;4;20080226
4;3;20080227
3;4;20080228
4;3;20080229
3;4;20080303
4;3;20080304
3;4;20080305
4;3;20080306
3;3;20080307
3;3;20080310
3;3;20080311
3;3;20080312
3;3;20080313
3;3;20080314
3;4;20080317
4;3;20080318
3;4;20080319
4;3;20080320
3;4;20080325
4;4;20080326
4;4;20080327
4;4;20080328
4;4;20080331
4;4;20080401
4;4;20080402
4;3;20080403
3;3;20080404
3;3;20080407
3;4;20080408
4;3;20080409
3;3;20080410
3;3;20080411
3;3;20080414
3;3;20080415
3;4;20080416
4;4;20080417
4;4;20080418
4;4;20080421
4;4;20080422
4;3;20080423
3;3;20080424
3;4;20080425
4;3;20080428
3;3;20080429
3;3;20080430
3;3;20080505
3;3;20080506
3;3;20080507
3;3;20080508
3;3;20080509
3;3;20080512
3;3;20080513
3;3;20080514
3;3;20080515
3;2;20080516
2;4;20080519
4;4;20080520
4;3;20080521
3;3;20080523
3;3;20080526
3;3;20080527
3;3;20080528
3;3;20080529
3;3;20080530
3;3;20080602
3;3;20080603
3;3;20080604
3;3;20080605
3;3;20080606
3;3;20080609
3;3;20080610
3;3;20080611
3;3;20080612
3;2;20080613
2;3;20080616
3;3;20080617
3;3;20080618
3;3;20080619
3;3;20080620
3;3;20080623
3;3;20080624
3;3;20080625
3;3;20080626
3;4;20080627
4;3;20080630
3;3;20080701
3;3;20080702
3;3;20080703
3;3;20080704
3;3;20080707
3;4;20080708
4;4;20080709
4;4;20080710
4;4;20080711
4;4;20080714
4;4;20080715
4;4;20080716
4;3;20080717
3;2;20080718
2;4;20080721
4;3;20080722
3;3;20080723
3;3;20080724
3;3;20080725
3;4;20080728
4;4;20080729
4;4;20080730
4;4;20080731
4;3;20080801
3;3;20080804
3;3;20080805
3;3;20080806
3;3;20080807
3;3;20080808
3;3;20080811
3;3;20080812
3;3;20080813
3;3;20080814
3;3;20080818
3;3;20080819
3;3;20080820
3;3;20080821
3;3;20080822
3;3;20080825
3;4;20080826
4;3;20080827
3;3;20080828
3;4;20080829
4;4;20080901
4;5;20080902
5;4;20080903
4;4;20080904
4;4;20080905
4;4;20080908
4;3;20080909
3;4;20080910
4;3;20080911
3;4;20080912
4;4;20080915
4;4;20080916
4;4;20080917
4;3;20080918
3;4;20080919
4;3;20080922
3;4;20080923
4;3;20080924
3;3;20080925
3;3;20080926
3;3;20080929
3;4;20080930
4;3;20081001
3;4;20081002
4;4;20081003
4;3;20081006
3;3;20081007
3;4;20081008
4;3;20081009
3;4;20081010
4;3;20081013
3;3;20081014
3;4;20081015
4;4;20081016
4;4;20081017
4;3;20081020
3;3;20081021
3;4;20081022
4;4;20081023
4;3;20081024
3;3;20081027
3;4;20081028
4;3;20081029
3;3;20081030
3;3;20081031
3;3;20081103
3;5;20081104
5;5;20081105
5;4;20081106
4;4;20081107
4;3;20081110
3;4;20081112
4;4;20081113
4;4;20081114
4;3;20081117
3;4;20081118
4;3;20081119
3;4;20081120
4;4;20081121
4;4;20081124
4;3;20081125
3;3;20081126
3;4;20081127
4;3;20081128
3;3;20081201
3;3;20081202
3;3;20081203
3;4;20081204
4;3;20081205
3;3;20081208
3;3;20081209
3;3;20081210
3;3;20081211
3;3;20081212
3;3;20081215
3;4;20081216
4;4;20081217
4;4;20081218
4;4;20081219
4;4;20081222
4;4;20081223
4;3;20081229
3;3;20081230
3;2;20081231
2;3;20090105
3;3;20090106
3;4;20090107
4;4;20090108
4;3;20090109
3;4;20090112
4;3;20090113
3;3;20090114
3;4;20090115
4;4;20090116
4;4;20090119
4;3;20090120
3;4;20090121
4;4;20090122
4;4;20090123
4;3;20090126
3;3;20090127
3;3;20090128
3;3;20090129
3;3;20090130
3;3;20090202
3;3;20090203
3;3;20090204
3;3;20090205
3;3;20090206
3;3;20090209
3;3;20090210
3;4;20090211
4;4;20090212
4;3;20090213
3;4;20090216
4;4;20090217
4;4;20090218
4;4;20090219
4;4;20090220
4;4;20090223
4;4;20090224
4;4;20090225
4;2;20090226
2;3;20090227
3;3;20090302
3;3;20090303
3;4;20090304
4;3;20090305
3;3;20090306
3;3;20090309
3;4;20090310
4;4;20090311
4;4;20090312
4;4;20090313
4;4;20090316
4;4;20090317
4;4;20090318
4;4;20090319
4;4;20090320
4;4;20090323
4;4;20090324
4;4;20090325
4;4;20090326
4;4;20090327
4;3;20090330
3;3;20090331
3;4;20090401
4;4;20090402
4;3;20090403
3;3;20090406
3;3;20090407
3;3;20090408
3;4;20090409
4;4;20090414
4;3;20090415
3;4;20090416
4;3;20090417
3;3;20090420
3;3;20090421
3;4;20090422
4;5;20090423
5;5;20090424
5;4;20090427
4;4;20090428
4;4;20090429
4;4;20090430
4;3;20090504
3;4;20090505
4;4;20090506
4;4;20090507
4;3;20090508
3;4;20090511
4;4;20090512
4;4;20090513
4;4;20090514
4;4;20090515
4;4;20090518
4;4;20090519
4;4;20090520
4;3;20090521
3;3;20090522
3;4;20090525
4;3;20090526
3;4;20090527
4;4;20090528
4;4;20090529
4;4;20090601
4;3;20090602
3;3;20090603
3;3;20090604
3;4;20090605
4;4;20090608
4;4;20090609
4;4;20090610
4;4;20090612
4;3;20090615
3;3;20090616
3;3;20090617
3;3;20090618
3;3;20090619
3;3;20090622
3;4;20090623
4;4;20090624
4;3;20090625
3;3;20090626
3;3;20090629
3;4;20090630
4;3;20090701
3;3;20090702
3;3;20090703
3;3;20090706
3;4;20090707
4;3;20090708
3;3;20090709
3;3;20090710
3;3;20090713
3;4;20090714
4;3;20090715
3;3;20090716
3;3;20090717
3;4;20090720
4;3;20090721
3;3;20090722
3;4;20090723
4;4;20090724
4;4;20090727
4;5;20090728
5;4;20090729
4;4;20090730
4;4;20090731
4;4;20090803
4;3;20090804
3;4;20090805
4;4;20090806
4;4;20090807
4;4;20090810
4;4;20090811
4;3;20090812
3;3;20090813
3;3;20090814
3;4;20090817
4;3;20090818
3;4;20090819
4;4;20090820
4;4;20090821
4;4;20090824
4;4;20090825
4;3;20090826
3;4;20090827
4;4;20090828
4;4;20090831
4;4;20090901
4;4;20090902
4;4;20090903
4;3;20090904
3;3;20090907
3;3;20090908
3;3;20090909
3;3;20090910
3;3;20090911
3;3;20090914
3;3;20090915
3;3;20090916
3;3;20090917
3;4;20090918
4;3;20090921
3;3;20090922
3;3;20090923
3;3;20090924
3;4;20090925
4;3;20090928
3;4;20090929
4;3;20090930
3;4;20091001
4;4;20091002
4;3;20091005
3;3;20091006
3;3;20091007
