From;To;Date
4;4;20090716
4;4;20090717
4;4;20090720
4;3;20090721
3;3;20090722
3;3;20090723
3;4;20090724
4;4;20090727
4;5;20090728
5;4;20090729
4;4;20090730
4;5;20090731
5;5;20090803
5;6;20090804
6;4;20090805
4;5;20090806
5;4;20090807
4;5;20090810
5;5;20090811
5;4;20090812
4;4;20090813
4;4;20090814
4;5;20090817
5;4;20090818
4;5;20090819
5;5;20090820
5;5;20090821
5;5;20090824
5;4;20090825
4;4;20090826
4;4;20090827
4;4;20090828
4;4;20090831
4;4;20090901
4;4;20090902
4;4;20090903
4;3;20090904
3;4;20090907
4;4;20090908
4;4;20090909
4;4;20090910
4;4;20090911
4;5;20090914
5;6;20090915
6;5;20090916
5;4;20090917
4;3;20090918
3;3;20090921
3;4;20090922
4;4;20090923
4;4;20090924
4;3;20090925
3;4;20090928
4;3;20090929
3;4;20090930
4;3;20091001
3;4;20091002
4;3;20091005
3;4;20091006
4;4;20091007
4;4;20091008
4;3;20091009
3;4;20091012
4;4;20091013
4;4;20091014
4;4;20091015
4;3;20091016
3;3;20091019
3;4;20091020
4;4;20091021
4;4;20091022
4;4;20091023
4;4;20091026
4;3;20091027
3;4;20091028
4;4;20091029
4;5;20091030
5;5;20091102
5;5;20091103
5;5;20091104
5;4;20091105
4;4;20091106
4;4;20091109
4;4;20091110
4;5;20091112
5;4;20091113
4;4;20091116
4;5;20091117
5;4;20091118
4;4;20091119
4;4;20091120
4;4;20091123
4;4;20091124
4;3;20091125
3;0;20091126
0;3;20091127
3;4;20091130
4;4;20091201
4;3;20091202
3;4;20091203
4;4;20091204
4;4;20091207
4;4;20091208
4;4;20091209
4;4;20091210
4;4;20091211
4;0;20091214
0;4;20091215
4;5;20091216
5;4;20091217
4;4;20091218
4;5;20091221
5;5;20091222
5;5;20091223
5;5;20091228
5;5;20091229
5;5;20091230
5;3;20091231
3;4;20100104
4;4;20100105
4;4;20100106
4;5;20100107
5;5;20100108
5;5;20100111
5;5;20100112
5;5;20100113
5;5;20100114
5;5;20100115
5;5;20100118
5;5;20100119
5;5;20100120
5;4;20100121
4;5;20100122
5;5;20100125
5;5;20100126
5;4;20100127
4;5;20100128
5;5;20100129
5;4;20100201
4;4;20100202
4;5;20100203
5;5;20100204
5;5;20100205
5;4;20100208
4;4;20100209
4;4;20100210
4;4;20100211
4;5;20100212
5;5;20100215
5;4;20100216
4;4;20100217
4;4;20100218
4;5;20100219
5;5;20100222
5;4;20100223
4;5;20100224
5;5;20100225
5;4;20100226
4;4;20100301
4;5;20100302
5;4;20100303
4;4;20100304
4;4;20100305
4;4;20100308
4;4;20100309
4;4;20100310
4;4;20100311
4;4;20100312
4;5;20100315
5;5;20100316
5;4;20100317
4;5;20100318
5;5;20100319
5;4;20100322
4;4;20100323
4;5;20100324
5;4;20100325
4;4;20100326
4;4;20100329
4;4;20100330
4;4;20100331
4;4;20100401
4;4;20100406
4;4;20100407
4;4;20100408
4;4;20100409
4;4;20100412
4;4;20100413
4;5;20100414
5;4;20100415
4;4;20100416
4;4;20100419
4;4;20100420
4;3;20100421
3;3;20100422
3;3;20100423
3;4;20100426
4;3;20100427
3;4;20100428
4;4;20100429
4;4;20100430
4;4;20100504
4;4;20100505
4;4;20100506
4;4;20100507
4;4;20100510
4;3;20100511
3;3;20100512
3;4;20100513
4;3;20100514
3;4;20100517
4;4;20100518
4;4;20100519
4;4;20100520
4;4;20100521
4;4;20100524
4;4;20100525
4;4;20100526
4;4;20100527
4;4;20100528
4;3;20100531
3;4;20100601
4;3;20100602
3;4;20100604
4;4;20100607
4;3;20100608
3;3;20100609
3;3;20100610
3;4;20100611
4;4;20100614
4;4;20100615
4;3;20100616
3;4;20100617
4;3;20100618
3;3;20100621
3;3;20100622
3;4;20100623
4;3;20100624
3;3;20100625
3;3;20100628
3;3;20100629
3;4;20100630
4;3;20100701
3;4;20100702
4;3;20100705
3;4;20100706
4;4;20100707
4;4;20100708
4;2;20100709
2;4;20100712
4;3;20100713
3;2;20100714
2;4;20100715
4;4;20100716
4;3;20100719
3;3;20100720
3;3;20100721
3;3;20100722
3;4;20100723
4;3;20100726
3;4;20100727
4;4;20100728
4;4;20100729
4;3;20100730
3;4;20100802
4;4;20100803
4;4;20100804
4;4;20100805
4;5;20100806
5;4;20100809
4;4;20100810
4;3;20100811
3;4;20100812
4;4;20100813
4;4;20100816
4;4;20100817
4;3;20100818
3;4;20100819
4;3;20100820
3;4;20100823
4;4;20100824
4;4;20100825
4;4;20100826
4;5;20100827
5;4;20100830
4;4;20100831
4;4;20100901
4;4;20100902
4;3;20100903
3;4;20100906
4;4;20100907
4;3;20100908
3;4;20100909
4;4;20100910
4;3;20100913
3;4;20100914
4;4;20100915
4;4;20100916
4;4;20100917
4;4;20100920
4;4;20100921
4;4;20100922
4;4;20100923
4;4;20100924
4;4;20100927
4;4;20100928
4;4;20100929
4;4;20100930
4;4;20101001
4;4;20101004
4;4;20101005
4;4;20101006
4;4;20101007
4;4;20101008
4;3;20101011
3;4;20101012
4;4;20101013
4;4;20101014
4;4;20101015
4;4;20101018
4;3;20101019
3;4;20101020
4;5;20101021
5;4;20101022
4;4;20101025
4;5;20101026
5;4;20101027
4;4;20101028
4;5;20101029
5;4;20101102
4;4;20101103
4;4;20101104
4;4;20101105
4;4;20101108
4;4;20101109
4;4;20101110
4;4;20101112
4;4;20101115
4;4;20101116
4;4;20101117
4;4;20101118
4;4;20101119
4;4;20101122
4;4;20101123
4;4;20101124
4;4;20101125
4;4;20101126
4;3;20101129
3;4;20101130
4;4;20101201
4;4;20101202
4;4;20101203
4;4;20101206
4;4;20101207
4;4;20101208
4;4;20101209
4;4;20101210
4;4;20101213
4;3;20101214
3;4;20101215
4;4;20101216
4;3;20101217
3;4;20101220
4;4;20101221
4;4;20101222
4;4;20101223
4;4;20101227
4;5;20101228
5;4;20101229
4;4;20101230
4;4;20101231
4;4;20110103
4;4;20110104
4;4;20110105
4;4;20110107
4;4;20110110
4;4;20110111
4;3;20110112
3;3;20110113
3;4;20110114
4;4;20110117
4;4;20110118
4;4;20110119
4;4;20110120
4;4;20110121
4;4;20110124
4;4;20110125
4;4;20110126
4;4;20110127
4;4;20110128
4;4;20110131
4;4;20110201
4;4;20110202
4;3;20110203
3;3;20110204
3;4;20110207
4;3;20110208
3;3;20110209
3;3;20110210
3;3;20110211
3;3;20110214
3;4;20110215
4;3;20110216
3;3;20110217
3;4;20110218
4;4;20110221
4;4;20110222
4;4;20110223
4;4;20110224
4;4;20110225
4;4;20110228
4;4;20110301
4;4;20110302
4;4;20110303
4;3;20110304
3;3;20110307
3;3;20110308
3;4;20110309
4;4;20110310
4;4;20110311
4;4;20110314
4;4;20110315
4;4;20110316
4;3;20110317
3;3;20110318
3;4;20110321
4;3;20110322
3;4;20110323
4;4;20110324
4;4;20110325
4;4;20110328
4;4;20110329
4;4;20110330
4;3;20110331
3;3;20110401
3;3;20110404
3;4;20110405
4;4;20110406
4;5;20110407
5;4;20110408
4;4;20110411
4;4;20110412
4;3;20110413
3;4;20110414
4;4;20110415
4;4;20110418
4;3;20110419
3;4;20110420
4;3;20110421
3;4;20110426
4;3;20110427
3;3;20110428
3;4;20110429
4;3;20110502
3;4;20110504
4;3;20110505
3;4;20110506
4;3;20110509
3;3;20110510
3;4;20110511
4;3;20110512
3;3;20110513
3;4;20110516
4;4;20110517
4;3;20110518
3;3;20110519
3;3;20110520
3;3;20110523
3;3;20110524
3;3;20110525
3;3;20110526
3;4;20110527
4;4;20110530
4;3;20110531
3;3;20110601
3;3;20110602
3;3;20110603
3;3;20110606
3;3;20110607
3;3;20110608
3;3;20110609
3;2;20110610
2;3;20110613
3;3;20110614
3;3;20110615
3;4;20110616
4;4;20110617
4;3;20110620
3;3;20110621
3;3;20110622
3;3;20110624
3;3;20110627
3;3;20110628
3;3;20110629
3;4;20110630
4;3;20110701
3;4;20110704
4;3;20110705
3;3;20110706
3;3;20110707
3;3;20110708
3;3;20110711
3;4;20110712
4;4;20110713
4;3;20110714
3;3;20110715
3;4;20110718
4;4;20110719
4;3;20110720
3;4;20110721
4;3;20110722
3;3;20110725
3;4;20110726
4;3;20110727
3;3;20110728
3;4;20110729
4;3;20110801
3;3;20110802
3;4;20110803
4;4;20110804
4;4;20110805
4;5;20110808
5;4;20110809
4;4;20110810
4;4;20110811
4;4;20110812
4;4;20110816
4;4;20110817
4;4;20110818
4;4;20110819
4;4;20110822
4;3;20110823
3;3;20110824
3;3;20110825
3;4;20110826
4;3;20110829
3;3;20110830
3;3;20110831
3;4;20110901
4;3;20110902
3;4;20110905
4;3;20110906
3;3;20110907
3;3;20110908
3;3;20110909
3;4;20110912
4;4;20110913
4;4;20110914
4;4;20110915
4;3;20110916
3;3;20110919
3;3;20110920
3;4;20110921
4;4;20110922
4;4;20110923
4;4;20110926
4;4;20110927
4;3;20110928
3;3;20110929
3;4;20110930
4;3;20111003
3;3;20111004
3;3;20111005
3;3;20111006
3;3;20111007
3;4;20111010
4;4;20111011
4;4;20111012
4;4;20111013
4;4;20111014
4;4;20111017
4;4;20111018
4;3;20111019
3;3;20111020
3;3;20111021
3;3;20111024
3;4;20111025
4;4;20111026
4;4;20111027
4;4;20111028
4;4;20111031
4;4;20111102
4;4;20111103
4;4;20111104
4;4;20111107
4;4;20111108
4;4;20111109
4;4;20111110
4;4;20111114
4;4;20111115
4;3;20111116
3;4;20111117
4;4;20111118
4;4;20111121
4;3;20111122
3;4;20111123
4;4;20111124
4;4;20111125
4;4;20111128
4;3;20111129
3;4;20111130
4;3;20111201
3;3;20111202
3;4;20111205
4;4;20111206
4;3;20111207
3;4;20111208
4;4;20111209
4;4;20111212
4;4;20111213
4;3;20111214
3;4;20111215
4;3;20111216
3;3;20111219
3;4;20111220
4;3;20111221
3;3;20111222
3;4;20111223
4;4;20111227
4;4;20111228
4;4;20111229
4;4;20111230
4;4;20120102
4;3;20120103
3;3;20120104
3;4;20120105
4;4;20120109
4;5;20120110
5;5;20120111
5;5;20120112
5;4;20120113
4;4;20120116
4;5;20120117
5;4;20120118
4;4;20120119
4;4;20120120
4;4;20120123
4;4;20120124
4;4;20120125
4;4;20120126
4;5;20120127
5;4;20120130
4;4;20120131
4;4;20120201
4;4;20120202
4;4;20120203
4;4;20120206
4;4;20120207
4;4;20120208
4;4;20120209
4;4;20120210
4;5;20120213
5;4;20120214
4;4;20120215
4;4;20120216
4;4;20120217
4;4;20120220
4;4;20120221
4;4;20120222
4;4;20120223
4;4;20120224
4;4;20120227
4;4;20120228
4;4;20120229
4;4;20120301
4;4;20120302
4;5;20120305
5;4;20120306
4;4;20120307
4;4;20120308
4;4;20120309
4;4;20120312
4;4;20120313
4;4;20120314
4;4;20120315
4;4;20120316
4;5;20120319
5;4;20120320
4;4;20120321
4;5;20120322
5;4;20120323
4;4;20120326
4;4;20120327
4;4;20120328
4;4;20120329
4;4;20120330
4;4;20120402
4;4;20120403
4;4;20120404
4;5;20120405
5;5;20120410
5;4;20120411
4;4;20120412
4;5;20120413
5;5;20120416
5;5;20120417
5;4;20120418
4;4;20120419
4;5;20120420
5;5;20120423
5;5;20120424
5;4;20120425
4;4;20120426
4;4;20120427
4;4;20120430
4;4;20120502
4;4;20120504
4;4;20120507
4;4;20120508
4;4;20120509
4;4;20120510
4;4;20120511
4;4;20120514
4;4;20120515
4;4;20120516
4;4;20120517
4;4;20120518
4;4;20120521
4;4;20120522
4;4;20120523
4;5;20120524
5;4;20120525
4;4;20120528
4;4;20120529
4;4;20120530
4;4;20120531
4;3;20120601
3;4;20120604
4;4;20120605
4;4;20120606
4;5;20120608
5;4;20120611
4;4;20120612
4;3;20120613
3;4;20120614
4;4;20120615
4;4;20120618
4;4;20120619
4;4;20120620
4;4;20120621
4;4;20120622
4;4;20120625
4;4;20120626
4;4;20120627
4;4;20120628
4;4;20120629
4;4;20120702
4;4;20120703
4;4;20120704
4;4;20120705
4;4;20120706
4;5;20120709
5;4;20120710
4;4;20120711
4;4;20120712
4;4;20120713
4;4;20120716
4;4;20120717
4;4;20120718
4;4;20120719
4;4;20120720
4;4;20120723
4;4;20120724
4;4;20120725
4;4;20120726
4;4;20120727
4;4;20120730
4;4;20120731
4;4;20120801
4;3;20120802
3;3;20120803
3;4;20120806
4;4;20120807
4;3;20120808
3;4;20120809
4;3;20120810
3;4;20120813
4;3;20120814
3;4;20120816
4;4;20120817
4;4;20120820
4;4;20120821
4;4;20120822
4;4;20120823
4;5;20120824
5;4;20120827
4;4;20120828
4;4;20120829
4;5;20120830
5;5;20120831
5;5;20120903
5;4;20120904
4;4;20120905
4;4;20120906
4;5;20120907
5;4;20120910
4;4;20120911
4;4;20120912
4;4;20120913
4;4;20120914
4;4;20120917
4;3;20120918
3;4;20120919
4;4;20120920
4;5;20120921
5;4;20120924
4;4;20120925
4;4;20120926
4;4;20120927
4;4;20120928
4;4;20121001
4;4;20121002
4;4;20121003
4;4;20121004
4;4;20121005
4;4;20121008
4;4;20121009
4;4;20121010
4;4;20121011
4;4;20121012
4;4;20121015
4;3;20121016
3;4;20121017
4;4;20121018
4;4;20121019
4;4;20121022
4;4;20121023
4;4;20121024
4;4;20121025
4;3;20121026
3;3;20121029
3;4;20121030
4;4;20121031
4;3;20121102
3;4;20121105
4;3;20121106
3;4;20121107
4;4;20121108
4;4;20121109
4;4;20121112
4;4;20121113
4;5;20121114
5;5;20121115
5;4;20121116
4;4;20121119
4;4;20121120
4;4;20121121
4;4;20121122
4;4;20121123
4;4;20121126
4;4;20121127
4;4;20121128
4;4;20121129
4;4;20121130
4;4;20121203
4;4;20121204
4;4;20121205
4;4;20121206
4;4;20121207
4;4;20121210
4;4;20121211
4;4;20121212
4;3;20121213
3;4;20121214
4;4;20121217
4;4;20121218
4;4;20121219
4;4;20121220
4;5;20121221
5;4;20121227
4;4;20121228
4;4;20130102
4;4;20130103
4;4;20130104
4;4;20130107
4;4;20130108
4;4;20130109
4;4;20130110
4;4;20130111
4;4;20130114
4;4;20130115
4;4;20130116
4;5;20130117
5;4;20130118
4;4;20130121
4;4;20130122
4;4;20130123
4;4;20130124
4;4;20130125
4;4;20130128
4;3;20130129
3;4;20130130
4;4;20130131
4;4;20130201
4;4;20130204
4;5;20130205
5;4;20130206
4;4;20130207
4;4;20130208
4;4;20130211
4;4;20130212
4;4;20130213
4;4;20130214
4;4;20130215
4;4;20130218
4;4;20130219
4;4;20130220
4;4;20130221
4;4;20130222
4;4;20130225
4;5;20130226
5;4;20130227
4;4;20130228
4;4;20130301
4;4;20130304
4;4;20130305
4;4;20130306
4;4;20130307
4;4;20130308
4;4;20130311
4;4;20130312
4;4;20130313
4;4;20130314
4;4;20130315
4;3;20130318
3;3;20130319
3;4;20130320
4;4;20130321
4;4;20130322
4;4;20130325
4;4;20130326
4;3;20130327
3;4;20130328
4;4;20130402
4;4;20130403
4;3;20130404
3;4;20130405
4;4;20130408
4;4;20130409
4;4;20130410
4;3;20130411
3;4;20130412
4;4;20130415
4;4;20130417
4;4;20130418
4;4;20130419
4;3;20130422
3;4;20130423
4;3;20130424
3;3;20130425
3;3;20130426
3;3;20130429
3;4;20130430
4;4;20130502
4;4;20130506
4;4;20130507
4;4;20130508
4;4;20130509
4;4;20130510
4;4;20130513
4;4;20130514
4;3;20130515
3;4;20130516
4;4;20130517
4;4;20130520
4;4;20130521
4;4;20130522
4;4;20130523
4;4;20130524
4;4;20130527
4;4;20130528
4;4;20130529
4;4;20130531
4;3;20130603
3;4;20130604
4;4;20130605
4;4;20130606
4;3;20130607
3;4;20130610
4;4;20130611
4;4;20130612
4;4;20130613
4;4;20130614
4;3;20130617
3;3;20130618
3;3;20130619
3;4;20130620
4;4;20130621
4;3;20130624
3;4;20130625
4;3;20130626
3;3;20130627
3;4;20130628
4;3;20130701
3;4;20130702
4;3;20130703
3;3;20130704
3;4;20130705
4;3;20130708
3;4;20130709
4;3;20130710
3;4;20130711
4;4;20130712
4;5;20130715
5;4;20130716
4;4;20130717
4;4;20130718
4;5;20130719
5;4;20130722
4;5;20130723
5;4;20130724
4;4;20130725
4;4;20130726
4;4;20130729
4;4;20130730
4;5;20130731
5;4;20130801
4;4;20130802
4;4;20130805
4;4;20130806
4;4;20130807
4;4;20130808
4;4;20130809
4;4;20130812
4;4;20130813
4;4;20130814
4;4;20130816
4;4;20130819
4;4;20130820
4;4;20130821
4;4;20130822
4;4;20130823
4;4;20130826
4;5;20130827
