From;To;Date
3;3;20071221
3;2;20071227
2;3;20071228
3;1;20080102
1;1;20080103
1;2;20080104
2;2;20080107
2;1;20080108
1;1;20080109
1;2;20080110
2;1;20080111
1;0;20080114
0;1;20080115
1;1;20080116
1;1;20080117
1;1;20080118
1;3;20080121
3;3;20080122
3;2;20080123
2;2;20080124
2;3;20080125
3;3;20080128
3;3;20080129
3;4;20080130
4;3;20080131
3;4;20080201
4;2;20080204
2;4;20080205
4;3;20080206
3;3;20080207
3;3;20080208
3;0;20080211
0;3;20080212
3;3;20080213
3;3;20080214
3;3;20080215
3;2;20080218
2;2;20080219
2;2;20080220
2;2;20080221
2;2;20080222
2;4;20080225
4;3;20080226
3;3;20080227
3;2;20080228
2;3;20080229
3;3;20080303
3;3;20080304
3;3;20080305
3;2;20080306
2;3;20080307
3;3;20080310
3;2;20080311
2;2;20080312
2;2;20080313
2;2;20080314
2;2;20080317
2;2;20080318
2;2;20080319
2;2;20080320
2;3;20080325
3;2;20080326
2;2;20080327
2;2;20080328
2;2;20080331
2;3;20080401
3;2;20080402
2;3;20080403
3;2;20080404
2;2;20080407
2;1;20080408
1;2;20080409
2;2;20080410
2;3;20080411
3;1;20080414
1;2;20080415
2;2;20080416
2;2;20080417
2;2;20080418
2;1;20080421
1;2;20080422
2;2;20080423
2;3;20080424
3;2;20080425
2;2;20080428
2;3;20080429
3;2;20080430
2;3;20080505
3;2;20080506
2;3;20080507
3;2;20080508
2;3;20080509
3;2;20080512
2;2;20080513
2;2;20080514
2;0;20080515
0;1;20080516
1;2;20080519
2;3;20080520
3;0;20080521
0;1;20080523
1;0;20080526
0;2;20080527
2;3;20080528
3;2;20080529
2;3;20080530
3;1;20080602
1;3;20080603
3;3;20080604
3;3;20080605
3;2;20080606
2;2;20080609
2;1;20080610
1;0;20080611
0;2;20080612
2;1;20080613
1;3;20080616
3;1;20080617
1;1;20080618
1;2;20080619
2;3;20080620
3;0;20080623
0;2;20080624
2;1;20080625
1;1;20080626
1;0;20080627
0;3;20080630
3;2;20080701
2;0;20080702
0;1;20080703
1;0;20080704
0;2;20080707
2;2;20080708
2;2;20080709
2;2;20080710
2;2;20080711
2;2;20080714
2;2;20080715
2;2;20080716
2;2;20080717
2;2;20080718
2;2;20080721
2;2;20080722
2;2;20080723
2;2;20080724
2;0;20080725
0;2;20080728
2;2;20080729
2;0;20080730
0;1;20080731
1;0;20080801
0;2;20080804
2;1;20080805
1;3;20080806
3;2;20080807
2;2;20080808
2;1;20080811
1;1;20080812
1;2;20080813
2;2;20080814
2;2;20080818
2;2;20080819
2;3;20080820
3;0;20080821
0;2;20080822
2;2;20080825
2;2;20080826
2;0;20080827
0;3;20080828
3;0;20080829
0;0;20080901
0;0;20080902
0;1;20080903
1;3;20080904
3;2;20080905
2;3;20080908
3;2;20080909
2;2;20080910
2;1;20080911
1;2;20080912
2;2;20080915
2;0;20080916
0;0;20080917
0;2;20080918
2;2;20080919
2;3;20080922
3;3;20080923
3;3;20080924
3;3;20080925
3;3;20080926
3;3;20080929
3;3;20080930
3;0;20081001
0;2;20081002
2;0;20081003
0;1;20081006
1;1;20081007
1;2;20081008
2;2;20081009
2;2;20081010
2;2;20081013
2;2;20081014
2;2;20081015
2;0;20081016
0;0;20081017
0;0;20081020
0;2;20081021
2;3;20081022
3;2;20081023
2;2;20081024
2;2;20081027
2;2;20081028
2;2;20081029
2;2;20081030
2;2;20081031
2;2;20081103
2;3;20081104
3;2;20081105
2;2;20081106
2;2;20081107
2;2;20081110
2;2;20081112
2;3;20081113
3;2;20081114
2;2;20081117
2;2;20081118
2;4;20081119
4;2;20081120
2;3;20081121
3;2;20081124
2;2;20081125
2;3;20081126
3;2;20081127
2;2;20081128
2;2;20081201
2;2;20081202
2;2;20081203
2;3;20081204
3;2;20081205
2;3;20081208
3;2;20081209
2;2;20081210
2;2;20081211
2;3;20081212
3;2;20081215
2;3;20081216
3;3;20081217
3;3;20081218
3;3;20081219
3;2;20081222
2;2;20081223
2;2;20081229
2;3;20081230
3;3;20081231
3;3;20090105
3;3;20090106
3;4;20090107
4;4;20090108
4;4;20090109
4;4;20090112
4;4;20090113
4;5;20090114
5;4;20090115
4;4;20090116
4;4;20090119
4;3;20090120
3;4;20090121
4;3;20090122
3;3;20090123
3;3;20090126
3;5;20090127
5;4;20090128
4;3;20090129
3;3;20090130
3;3;20090202
3;3;20090203
3;3;20090204
3;4;20090205
4;3;20090206
3;3;20090209
3;3;20090210
3;3;20090211
3;3;20090212
3;3;20090213
3;3;20090216
3;3;20090217
3;3;20090218
3;2;20090219
2;3;20090220
3;3;20090223
3;2;20090224
2;3;20090225
3;3;20090226
3;2;20090227
2;3;20090302
3;3;20090303
3;3;20090304
3;3;20090305
3;3;20090306
3;3;20090309
3;3;20090310
3;3;20090311
3;2;20090312
2;3;20090313
3;3;20090316
3;3;20090317
3;3;20090318
3;3;20090319
3;3;20090320
3;3;20090323
3;4;20090324
4;4;20090325
4;3;20090326
3;3;20090327
3;3;20090330
3;4;20090331
4;3;20090401
3;3;20090402
3;4;20090403
4;4;20090406
4;4;20090407
4;4;20090408
4;4;20090409
4;4;20090414
4;3;20090415
3;4;20090416
4;4;20090417
4;4;20090420
4;4;20090421
4;4;20090422
4;4;20090423
4;4;20090424
4;4;20090427
4;3;20090428
3;4;20090429
4;4;20090430
4;4;20090504
4;3;20090505
3;4;20090506
4;4;20090507
4;3;20090508
3;3;20090511
3;3;20090512
3;4;20090513
4;3;20090514
3;3;20090515
3;3;20090518
3;4;20090519
4;3;20090520
3;3;20090521
3;4;20090522
4;3;20090525
3;3;20090526
3;4;20090527
4;3;20090528
3;3;20090529
3;3;20090601
3;4;20090602
4;4;20090603
4;4;20090604
4;4;20090605
4;3;20090608
3;3;20090609
3;4;20090610
4;3;20090612
3;4;20090615
4;4;20090616
4;5;20090617
5;4;20090618
4;4;20090619
4;4;20090622
4;4;20090623
4;4;20090624
4;3;20090625
3;4;20090626
4;3;20090629
3;4;20090630
4;3;20090701
3;3;20090702
3;3;20090703
3;3;20090706
3;3;20090707
3;3;20090708
3;3;20090709
3;2;20090710
2;3;20090713
3;3;20090714
3;3;20090715
3;4;20090716
4;3;20090717
3;3;20090720
3;4;20090721
4;5;20090722
5;4;20090723
4;5;20090724
5;4;20090727
4;4;20090728
4;4;20090729
4;5;20090730
5;5;20090731
5;4;20090803
4;4;20090804
4;4;20090805
4;4;20090806
4;4;20090807
4;4;20090810
4;4;20090811
4;4;20090812
4;5;20090813
5;4;20090814
4;4;20090817
4;4;20090818
4;5;20090819
5;4;20090820
4;4;20090821
4;4;20090824
4;4;20090825
4;4;20090826
4;4;20090827
4;4;20090828
4;4;20090831
4;4;20090901
4;4;20090902
4;4;20090903
4;4;20090904
4;4;20090907
4;4;20090908
4;4;20090909
4;4;20090910
4;4;20090911
4;4;20090914
4;3;20090915
3;3;20090916
3;3;20090917
3;3;20090918
3;3;20090921
3;4;20090922
4;3;20090923
3;3;20090924
3;3;20090925
3;3;20090928
3;4;20090929
4;3;20090930
3;3;20091001
3;3;20091002
3;3;20091005
3;3;20091006
3;3;20091007
3;3;20091008
3;3;20091009
3;3;20091012
3;4;20091013
4;3;20091014
3;3;20091015
3;3;20091016
3;3;20091019
3;3;20091020
3;3;20091021
3;3;20091022
3;3;20091023
3;3;20091026
3;3;20091027
3;4;20091028
4;4;20091029
4;4;20091030
4;4;20091102
4;4;20091103
4;4;20091104
4;4;20091105
4;4;20091106
4;3;20091109
3;4;20091110
4;3;20091112
3;4;20091113
4;4;20091116
4;3;20091117
3;3;20091118
3;3;20091119
3;3;20091120
3;3;20091123
3;3;20091124
3;3;20091125
3;3;20091126
3;3;20091127
3;3;20091130
3;3;20091201
3;3;20091202
3;3;20091203
3;3;20091204
3;4;20091207
4;3;20091208
3;3;20091209
3;3;20091210
3;3;20091211
3;4;20091214
4;4;20091215
4;4;20091216
4;4;20091217
4;3;20091218
3;4;20091221
4;4;20091222
4;3;20091223
3;3;20091228
3;3;20091229
3;3;20091230
3;3;20091231
3;3;20100104
3;4;20100105
4;4;20100106
4;3;20100107
3;3;20100108
3;4;20100111
4;4;20100112
4;4;20100113
4;4;20100114
4;3;20100115
3;3;20100118
3;3;20100119
3;3;20100120
3;3;20100121
3;3;20100122
3;3;20100125
3;3;20100126
3;3;20100127
3;3;20100128
3;3;20100129
3;3;20100201
3;3;20100202
3;3;20100203
3;3;20100204
3;4;20100205
4;3;20100208
3;3;20100209
3;4;20100210
4;4;20100211
4;4;20100212
4;4;20100215
4;4;20100216
4;3;20100217
3;3;20100218
3;3;20100219
3;4;20100222
4;3;20100223
3;3;20100224
3;3;20100225
3;3;20100226
3;3;20100301
3;3;20100302
3;4;20100303
4;3;20100304
3;3;20100305
3;3;20100308
3;3;20100309
3;4;20100310
4;4;20100311
4;3;20100312
3;4;20100315
4;4;20100316
4;5;20100317
5;4;20100318
4;4;20100319
4;3;20100322
3;4;20100323
4;4;20100324
4;4;20100325
4;4;20100326
4;4;20100329
4;4;20100330
4;3;20100331
3;4;20100401
4;3;20100406
3;4;20100407
4;4;20100408
4;3;20100409
3;5;20100412
5;4;20100413
4;4;20100414
4;4;20100415
4;4;20100416
4;4;20100419
4;3;20100420
3;4;20100421
4;4;20100422
4;3;20100423
3;4;20100426
4;3;20100427
3;4;20100428
4;3;20100429
3;5;20100430
5;4;20100504
4;4;20100505
4;3;20100506
3;4;20100507
4;3;20100510
3;4;20100511
4;3;20100512
3;3;20100513
3;3;20100514
3;3;20100517
3;4;20100518
4;4;20100519
4;4;20100520
4;3;20100521
3;3;20100524
3;4;20100525
4;3;20100526
3;4;20100527
4;4;20100528
4;4;20100531
4;4;20100601
4;4;20100602
4;4;20100604
4;3;20100607
3;3;20100608
3;3;20100609
3;3;20100610
3;3;20100611
3;3;20100614
3;3;20100615
3;3;20100616
3;3;20100617
3;3;20100618
3;3;20100621
3;3;20100622
3;3;20100623
3;3;20100624
3;4;20100625
4;3;20100628
3;4;20100629
4;3;20100630
3;4;20100701
4;3;20100702
3;2;20100705
2;3;20100706
3;3;20100707
3;3;20100708
3;3;20100709
3;4;20100712
4;4;20100713
4;4;20100714
4;4;20100715
4;4;20100716
4;3;20100719
3;3;20100720
3;4;20100721
4;4;20100722
4;4;20100723
4;4;20100726
4;4;20100727
4;4;20100728
4;4;20100729
4;3;20100730
3;4;20100802
4;4;20100803
4;3;20100804
3;3;20100805
3;3;20100806
3;3;20100809
3;4;20100810
4;3;20100811
3;3;20100812
3;3;20100813
3;3;20100816
3;4;20100817
4;3;20100818
3;3;20100819
3;4;20100820
4;3;20100823
3;4;20100824
4;3;20100825
3;4;20100826
4;4;20100827
4;3;20100830
3;3;20100831
