From;To;Date
5;5;19970820
5;5;19970821
5;5;19970822
5;5;19970825
5;5;19970826
5;5;19970827
5;5;19970828
5;5;19970829
5;5;19970901
5;5;19970902
5;5;19970903
5;5;19970904
5;5;19970905
5;5;19970908
5;5;19970909
5;5;19970910
5;5;19970911
5;5;19970912
5;5;19970915
5;5;19970916
5;5;19970917
5;4;19970918
4;4;19970919
4;5;19970922
5;5;19970923
5;4;19970924
4;4;19970925
4;4;19970926
4;4;19970929
4;4;19970930
4;5;19971001
5;5;19971002
5;5;19971003
5;5;19971006
5;5;19971007
5;5;19971008
5;5;19971009
5;5;19971010
5;5;19971013
5;5;19971014
5;5;19971015
5;5;19971016
5;5;19971017
5;5;19971020
5;5;19971021
5;5;19971022
5;5;19971023
5;5;19971024
5;5;19971027
5;0;19971028
0;5;19971029
5;5;19971030
5;5;19971031
5;4;19971103
4;5;19971104
5;4;19971105
4;4;19971106
4;4;19971107
4;4;19971112
4;4;19971113
4;4;19971114
4;4;19971117
4;4;19971118
4;4;19971119
4;4;19971120
4;5;19971121
5;4;19971124
4;4;19971125
4;4;19971126
4;4;19971127
4;5;19971128
5;4;19971201
4;5;19971202
5;4;19971203
4;4;19971204
4;4;19971205
4;4;19971208
4;4;19971209
4;4;19971210
4;4;19971211
4;4;19971212
4;4;19971215
4;4;19971216
4;4;19971217
4;4;19971218
4;4;19971219
4;4;19971222
4;4;19971223
4;3;19971229
3;5;19971230
5;4;19971231
4;4;19980105
4;4;19980106
4;4;19980107
4;4;19980108
4;4;19980109
4;4;19980112
4;5;19980113
5;5;19980114
5;5;19980115
5;4;19980116
4;5;19980119
5;5;19980120
5;4;19980121
4;4;19980122
4;4;19980123
4;3;19980126
3;4;19980127
4;4;19980128
4;4;19980129
4;4;19980130
4;4;19980202
4;5;19980203
5;5;19980204
5;5;19980205
5;5;19980206
5;4;19980209
4;5;19980210
5;5;19980211
5;4;19980212
4;4;19980213
4;4;19980216
4;4;19980217
4;4;19980218
4;4;19980219
4;4;19980220
4;5;19980223
5;4;19980224
4;4;19980225
4;4;19980226
4;4;19980227
4;4;19980302
4;4;19980303
4;4;19980304
4;4;19980305
4;3;19980306
3;3;19980309
3;4;19980310
4;4;19980311
4;4;19980312
4;4;19980313
4;4;19980316
4;4;19980317
4;4;19980318
4;5;19980319
5;4;19980320
4;4;19980323
4;5;19980324
5;5;19980325
5;5;19980326
5;5;19980327
5;4;19980330
4;4;19980331
4;5;19980401
5;4;19980402
4;5;19980406
5;5;19980407
5;4;19980408
4;5;19980409
5;4;19980414
4;4;19980415
4;4;19980416
4;4;19980417
4;5;19980420
5;5;19980421
5;5;19980422
5;5;19980423
5;5;19980424
5;4;19980427
4;5;19980428
5;5;19980429
5;5;19980430
5;5;19980504
5;5;19980505
5;5;19980506
5;5;19980507
5;5;19980508
5;5;19980511
5;4;19980512
4;4;19980513
4;5;19980514
5;5;19980515
5;4;19980518
4;4;19980519
4;5;19980520
5;4;19980521
4;5;19980522
5;4;19980525
4;5;19980526
5;4;19980527
4;5;19980528
5;5;19980529
5;5;19980601
5;5;19980602
5;5;19980603
5;5;19980604
5;5;19980605
5;5;19980608
5;5;19980609
5;5;19980610
5;5;19980615
5;5;19980616
5;5;19980617
5;5;19980618
5;5;19980619
5;4;19980622
4;5;19980623
5;5;19980624
5;5;19980625
5;4;19980626
4;5;19980629
5;5;19980630
5;5;19980701
5;5;19980702
5;5;19980703
5;5;19980706
5;5;19980707
5;5;19980708
5;5;19980709
5;5;19980710
5;5;19980713
5;5;19980714
5;5;19980715
5;5;19980716
5;4;19980717
4;4;19980720
4;4;19980721
4;5;19980722
5;4;19980723
4;4;19980724
4;4;19980727
4;4;19980728
4;4;19980729
4;4;19980730
4;4;19980731
4;4;19980803
4;4;19980804
4;4;19980805
4;4;19980806
4;5;19980807
5;4;19980810
4;5;19980811
5;4;19980812
4;5;19980813
5;5;19980814
5;4;19980817
4;5;19980818
5;5;19980819
5;5;19980820
5;5;19980821
5;5;19980824
5;5;19980825
5;5;19980826
5;5;19980827
5;5;19980828
5;5;19980831
5;5;19980901
5;5;19980902
5;5;19980903
5;0;19980904
0;6;19980907
6;6;19980908
6;5;19980909
5;5;19980910
5;6;19980911
6;5;19980914
5;6;19980915
6;6;19980916
6;5;19980917
5;5;19980918
5;0;19980921
0;0;19980922
0;5;19980923
5;6;19980924
6;5;19980925
5;4;19980928
4;4;19980929
4;4;19980930
4;5;19981001
5;5;19981002
5;5;19981005
5;5;19981006
5;5;19981007
5;5;19981008
5;5;19981009
5;5;19981012
5;5;19981013
5;5;19981014
5;5;19981015
5;5;19981016
5;5;19981019
5;5;19981020
5;5;19981021
5;5;19981022
5;5;19981023
5;4;19981026
4;4;19981027
4;5;19981028
5;4;19981029
4;4;19981030
4;4;19981102
4;5;19981103
5;5;19981104
5;4;19981105
4;4;19981106
4;4;19981109
4;4;19981110
4;4;19981112
4;4;19981113
4;5;19981116
5;4;19981117
4;5;19981118
5;4;19981119
4;0;19981120
0;5;19981123
5;5;19981124
5;5;19981125
5;5;19981126
5;4;19981127
4;4;19981130
4;5;19981201
5;4;19981202
4;5;19981203
5;5;19981204
5;4;19981207
4;4;19981208
4;4;19981209
4;3;19981210
3;4;19981211
4;5;19981214
5;4;19981215
4;4;19981216
4;5;19981217
5;5;19981218
5;5;19981221
5;4;19981222
4;5;19981223
5;4;19981228
4;4;19981229
4;5;19981230
5;4;19981231
4;5;19990104
5;4;19990105
4;5;19990106
5;4;19990107
4;5;19990108
5;5;19990111
5;4;19990112
4;4;19990113
4;4;19990114
4;4;19990115
4;4;19990118
4;5;19990119
5;4;19990120
4;5;19990121
5;4;19990122
4;5;19990125
5;4;19990126
4;5;19990127
5;4;19990128
4;5;19990129
5;4;19990201
4;4;19990202
4;4;19990203
4;5;19990204
5;4;19990205
4;4;19990208
4;4;19990209
4;4;19990210
4;3;19990211
3;4;19990212
4;4;19990215
4;4;19990216
4;4;19990217
4;4;19990218
4;4;19990219
4;3;19990222
3;4;19990223
4;4;19990224
4;4;19990225
4;4;19990226
4;3;19990301
3;4;19990302
4;4;19990303
4;4;19990304
4;4;19990305
4;3;19990308
3;4;19990309
4;4;19990310
4;4;19990311
4;4;19990312
4;4;19990315
4;4;19990316
4;4;19990317
4;4;19990318
4;4;19990319
4;4;19990322
4;4;19990323
4;4;19990324
4;4;19990325
4;5;19990326
5;4;19990329
4;4;19990330
4;4;19990331
4;5;19990401
5;4;19990406
4;4;19990407
4;4;19990408
4;4;19990409
4;4;19990412
4;3;19990413
3;4;19990414
4;4;19990415
4;5;19990416
5;4;19990419
4;3;19990420
3;4;19990421
4;4;19990422
4;4;19990423
4;3;19990426
3;4;19990427
4;5;19990428
5;5;19990429
5;4;19990430
