From;To;Date
5;5;19970624
5;5;19970625
5;5;19970626
5;5;19970627
5;5;19970630
5;5;19970701
5;5;19970702
5;5;19970703
5;4;19970704
4;5;19970707
5;5;19970708
5;5;19970709
5;4;19970710
4;5;19970711
5;5;19970714
5;5;19970715
5;5;19970716
5;4;19970717
4;5;19970718
5;5;19970721
5;5;19970722
5;5;19970723
5;5;19970724
5;4;19970725
4;4;19970728
4;5;19970729
5;4;19970730
4;5;19970731
5;5;19970801
5;4;19970804
4;5;19970805
5;4;19970806
4;5;19970807
5;5;19970808
5;5;19970811
5;6;19970812
6;6;19970813
6;4;19970814
4;4;19970818
4;5;19970819
5;4;19970820
4;5;19970821
5;5;19970822
5;4;19970825
4;4;19970826
4;5;19970827
5;5;19970828
5;5;19970829
5;3;19970901
3;5;19970902
5;5;19970903
5;5;19970904
5;4;19970905
4;4;19970908
4;4;19970909
4;5;19970910
5;4;19970911
4;5;19970912
5;4;19970915
4;4;19970916
4;5;19970917
5;6;19970918
6;6;19970919
6;5;19970922
5;6;19970923
6;5;19970924
5;5;19970925
5;5;19970926
5;5;19970929
5;6;19970930
6;5;19971001
5;5;19971002
5;5;19971003
5;5;19971006
5;5;19971007
5;5;19971008
5;5;19971009
5;5;19971010
5;5;19971013
5;6;19971014
6;5;19971015
5;5;19971016
5;5;19971017
5;5;19971020
5;5;19971021
5;5;19971022
5;5;19971023
5;5;19971024
5;5;19971027
5;6;19971028
6;6;19971029
6;5;19971030
5;5;19971031
5;5;19971103
5;5;19971104
5;5;19971105
5;5;19971106
5;5;19971107
5;5;19971112
5;5;19971113
5;5;19971114
5;4;19971117
4;5;19971118
5;5;19971119
5;4;19971120
4;5;19971121
5;5;19971124
5;4;19971125
4;4;19971126
4;4;19971127
4;5;19971128
5;5;19971201
5;5;19971202
5;4;19971203
4;5;19971204
5;4;19971205
4;3;19971208
3;4;19971209
4;4;19971210
4;5;19971211
5;4;19971212
4;4;19971215
4;4;19971216
4;4;19971217
4;4;19971218
4;4;19971219
4;4;19971222
4;4;19971223
4;4;19971229
4;4;19971230
4;4;19971231
4;4;19980105
4;4;19980106
4;4;19980107
4;5;19980108
