From;To;Date
5;5;20070611
5;4;20070612
4;4;20070613
4;4;20070614
4;5;20070615
5;5;20070618
5;4;20070619
4;4;20070620
4;4;20070621
4;4;20070622
4;4;20070625
4;4;20070626
4;3;20070627
3;4;20070628
4;3;20070629
3;3;20070702
3;3;20070703
3;4;20070704
4;3;20070705
3;3;20070706
3;4;20070709
4;4;20070710
4;3;20070711
3;3;20070712
3;4;20070713
4;4;20070716
4;4;20070717
4;3;20070718
3;3;20070719
3;3;20070720
3;3;20070723
3;3;20070724
3;3;20070725
3;3;20070726
3;3;20070727
3;2;20070730
2;4;20070731
4;3;20070801
3;1;20070802
1;3;20070803
3;3;20070806
3;3;20070807
3;3;20070808
3;3;20070809
3;4;20070810
4;3;20070813
3;3;20070814
3;3;20070816
3;3;20070817
3;3;20070820
3;3;20070821
3;4;20070822
4;3;20070823
3;3;20070824
3;3;20070827
3;4;20070828
4;3;20070829
3;4;20070830
4;3;20070831
3;3;20070903
3;2;20070904
2;4;20070905
4;4;20070906
4;3;20070907
3;4;20070910
4;4;20070911
4;3;20070912
3;3;20070913
3;4;20070914
4;4;20070917
4;4;20070918
4;4;20070919
4;4;20070920
4;3;20070921
3;3;20070924
3;3;20070925
3;4;20070926
4;4;20070927
4;4;20070928
4;3;20071001
3;4;20071002
4;3;20071003
3;4;20071004
4;3;20071005
3;4;20071008
4;4;20071009
4;3;20071010
3;3;20071011
3;4;20071012
4;3;20071015
3;4;20071016
4;3;20071017
3;4;20071018
4;3;20071019
3;3;20071022
3;3;20071023
3;4;20071024
4;3;20071025
3;4;20071026
4;3;20071029
3;3;20071030
3;3;20071031
3;3;20071102
3;4;20071105
4;3;20071106
3;4;20071107
4;3;20071108
3;3;20071109
3;3;20071112
3;3;20071113
3;3;20071114
3;3;20071115
3;3;20071116
3;3;20071119
3;3;20071120
3;4;20071121
4;4;20071122
4;4;20071123
4;3;20071126
3;3;20071127
3;4;20071128
4;3;20071129
3;3;20071130
3;0;20071203
0;3;20071204
3;3;20071205
3;3;20071206
3;3;20071207
3;3;20071210
3;3;20071211
3;4;20071212
4;3;20071213
3;4;20071214
4;3;20071217
3;3;20071218
3;3;20071219
3;3;20071220
3;4;20071221
4;2;20071227
2;3;20071228
3;3;20080102
3;4;20080103
4;3;20080104
3;4;20080107
4;4;20080108
4;4;20080109
4;3;20080110
3;4;20080111
4;3;20080114
3;3;20080115
3;3;20080116
3;3;20080117
3;1;20080118
1;2;20080121
2;3;20080122
3;2;20080123
2;2;20080124
2;3;20080128
3;4;20080129
4;2;20080130
2;3;20080131
3;3;20080201
3;3;20080204
3;4;20080205
4;2;20080206
2;3;20080207
3;3;20080208
3;3;20080211
3;3;20080212
3;3;20080213
3;3;20080214
3;2;20080215
2;3;20080218
3;3;20080219
3;3;20080220
3;2;20080221
2;4;20080222
4;3;20080225
3;3;20080226
3;2;20080227
2;3;20080228
3;2;20080229
2;2;20080303
2;2;20080304
2;2;20080305
2;2;20080306
2;3;20080307
3;2;20080310
2;3;20080311
3;4;20080312
