From;To;Date
3;3;20010516
3;3;20010517
3;1;20010518
1;0;20010524
0;2;20010525
2;2;20010529
2;2;20010530
2;2;20010531
2;2;20010601
2;3;20010604
3;2;20010605
2;2;20010606
2;2;20010607
2;2;20010608
2;1;20010611
1;2;20010612
2;3;20010615
3;2;20010618
2;2;20010621
2;2;20010622
2;2;20010625
2;2;20010626
2;2;20010628
2;2;20010629
2;2;20010702
2;2;20010703
2;2;20010704
2;2;20010705
2;2;20010706
2;2;20010709
2;2;20010710
2;2;20010711
2;3;20010712
3;1;20010713
1;2;20010716
2;2;20010717
2;2;20010718
2;3;20010719
3;2;20010720
2;2;20010723
2;2;20010724
2;1;20010725
1;1;20010727
1;2;20010730
2;1;20010731
1;1;20010801
1;2;20010802
2;2;20010803
2;2;20010806
2;1;20010807
1;2;20010808
2;2;20010809
2;2;20010810
2;2;20010813
2;2;20010814
2;2;20010816
2;2;20010817
2;2;20010820
2;1;20010821
1;1;20010822
1;2;20010823
2;2;20010824
2;3;20010827
3;2;20010828
2;2;20010829
2;2;20010830
2;2;20010831
2;2;20010903
2;2;20010904
2;1;20010906
1;2;20010907
2;2;20010910
2;2;20010912
2;2;20010913
2;2;20010917
2;2;20010918
2;2;20010919
2;2;20010920
2;2;20010921
2;2;20010924
2;2;20010926
2;2;20010927
2;2;20010928
2;2;20011001
2;2;20011002
2;3;20011003
3;2;20011004
2;3;20011005
3;2;20011008
2;2;20011009
2;2;20011010
2;2;20011011
2;2;20011012
2;2;20011015
2;2;20011018
2;2;20011019
2;2;20011022
2;2;20011023
2;2;20011024
2;2;20011025
2;2;20011029
2;2;20011030
2;2;20011031
2;2;20011102
2;2;20011105
2;2;20011106
2;2;20011107
2;2;20011109
2;2;20011113
2;2;20011114
2;2;20011115
2;2;20011116
2;2;20011119
2;2;20011120
2;2;20011121
2;1;20011122
1;2;20011123
2;2;20011126
2;2;20011127
2;2;20011128
2;2;20011129
2;2;20011130
2;2;20011203
2;3;20011204
3;1;20011205
1;2;20011206
2;2;20011207
2;2;20011210
2;2;20011211
2;2;20011212
2;2;20011213
2;2;20011217
2;2;20011218
2;2;20011219
2;2;20011220
2;2;20011227
2;0;20011228
0;1;20011231
1;1;20020102
1;2;20020107
2;2;20020108
2;2;20020109
2;2;20020111
2;1;20020114
1;2;20020115
2;1;20020116
1;2;20020117
2;2;20020118
2;2;20020121
2;2;20020122
2;2;20020123
2;1;20020124
1;2;20020125
2;2;20020128
2;2;20020129
2;2;20020130
2;2;20020131
2;1;20020201
1;1;20020204
1;2;20020205
2;2;20020206
2;2;20020207
2;1;20020208
1;2;20020211
2;2;20020212
2;2;20020213
2;2;20020214
2;2;20020215
2;1;20020218
1;2;20020219
2;2;20020220
2;2;20020221
2;2;20020222
2;2;20020225
2;3;20020226
3;1;20020227
1;1;20020228
1;2;20020304
2;2;20020305
2;2;20020306
2;2;20020307
2;1;20020308
1;2;20020311
2;1;20020312
1;1;20020314
1;1;20020315
1;1;20020318
1;1;20020319
1;1;20020320
1;2;20020321
2;1;20020322
1;2;20020326
2;1;20020327
1;2;20020328
2;1;20020402
1;1;20020404
1;1;20020405
1;1;20020410
1;1;20020411
1;2;20020412
2;1;20020415
1;1;20020416
1;2;20020417
2;1;20020418
1;2;20020419
2;1;20020422
1;2;20020423
2;1;20020425
1;1;20020426
1;1;20020429
1;2;20020506
2;1;20020507
1;2;20020509
2;1;20020510
1;2;20020513
2;1;20020515
1;2;20020517
2;1;20020520
1;1;20020521
1;1;20020522
1;1;20020523
1;2;20020524
2;2;20020527
2;3;20020528
3;1;20020529
1;2;20020531
2;2;20020603
2;1;20020604
1;2;20020605
2;1;20020606
1;2;20020607
2;1;20020610
1;1;20020611
1;1;20020612
1;2;20020617
2;3;20020618
3;1;20020619
1;2;20020620
2;2;20020621
2;2;20020624
2;2;20020625
2;2;20020626
2;2;20020627
2;2;20020628
2;2;20020701
2;2;20020702
2;2;20020703
2;1;20020704
1;2;20020705
2;2;20020708
2;3;20020709
3;2;20020710
2;2;20020711
2;0;20020712
0;1;20020716
1;2;20020717
2;2;20020718
2;2;20020719
2;2;20020722
2;2;20020723
2;2;20020724
2;2;20020725
2;3;20020726
3;2;20020729
2;3;20020730
3;4;20020731
4;1;20020801
1;1;20020802
1;2;20020805
2;2;20020806
2;3;20020807
3;2;20020808
2;3;20020809
3;2;20020812
2;2;20020813
2;3;20020814
3;1;20020816
1;4;20020819
4;1;20020820
1;2;20020822
2;2;20020826
2;2;20020827
2;2;20020828
2;1;20020829
1;2;20020830
2;1;20020902
1;1;20020903
1;1;20020904
1;3;20020905
3;1;20020906
1;2;20020909
2;1;20020910
1;1;20020911
1;0;20020912
0;2;20020916
2;1;20020917
1;2;20020918
2;2;20020919
2;1;20020920
1;2;20020923
2;2;20020924
2;2;20020925
2;1;20020926
1;2;20020930
2;1;20021001
1;2;20021004
2;3;20021007
3;1;20021009
1;2;20021011
2;2;20021014
2;2;20021015
2;2;20021016
2;2;20021017
2;2;20021018
2;0;20021021
0;2;20021022
2;3;20021023
3;1;20021024
1;2;20021025
2;3;20021028
3;2;20021029
2;2;20021030
2;1;20021031
1;1;20021104
1;1;20021105
1;3;20021106
3;2;20021107
2;1;20021108
1;1;20021112
1;2;20021113
2;2;20021114
2;1;20021115
1;1;20021118
1;2;20021119
2;2;20021120
2;2;20021121
2;2;20021122
2;1;20021125
1;2;20021126
2;2;20021127
2;2;20021128
2;2;20021129
2;1;20021203
1;2;20021204
2;3;20021205
3;3;20021206
3;2;20021209
2;3;20021210
3;1;20021211
1;2;20021212
2;1;20021213
1;2;20021216
2;2;20021217
2;2;20021218
2;2;20021219
2;3;20021220
3;3;20021223
3;2;20021227
2;3;20021230
3;2;20021231
2;2;20030102
2;2;20030103
2;2;20030106
2;1;20030107
1;2;20030108
2;2;20030109
2;2;20030110
2;2;20030113
2;2;20030114
2;0;20030115
0;2;20030116
2;2;20030117
2;2;20030120
2;2;20030121
2;2;20030122
2;3;20030123
3;3;20030124
3;3;20030127
3;1;20030128
1;3;20030129
3;2;20030130
2;3;20030131
3;3;20030203
3;2;20030204
2;2;20030205
2;2;20030206
2;2;20030207
2;2;20030210
2;3;20030211
3;2;20030212
2;4;20030213
4;2;20030214
2;2;20030217
2;3;20030218
3;3;20030219
3;2;20030220
2;3;20030221
3;2;20030224
2;2;20030225
2;1;20030226
1;1;20030227
1;2;20030228
2;3;20030303
3;2;20030304
2;3;20030305
3;0;20030306
0;1;20030307
1;2;20030310
2;0;20030311
0;1;20030312
1;2;20030313
2;2;20030314
2;1;20030317
1;2;20030318
2;2;20030319
2;2;20030320
2;2;20030321
2;3;20030324
3;2;20030325
2;2;20030326
2;1;20030327
1;2;20030328
2;1;20030331
1;1;20030401
1;2;20030402
2;3;20030403
3;2;20030404
2;2;20030407
2;1;20030408
1;2;20030409
2;1;20030410
1;2;20030411
2;2;20030414
2;3;20030415
3;2;20030416
2;3;20030417
3;3;20030422
3;3;20030423
3;3;20030424
3;3;20030425
3;3;20030428
3;2;20030429
2;3;20030430
3;2;20030502
2;3;20030505
3;2;20030506
2;3;20030507
3;3;20030508
3;3;20030509
3;2;20030512
2;3;20030513
3;3;20030514
3;2;20030515
2;2;20030516
2;3;20030519
3;2;20030520
2;2;20030521
2;2;20030522
2;2;20030523
2;1;20030526
1;2;20030527
2;1;20030528
1;2;20030529
2;2;20030530
2;2;20030602
2;2;20030603
2;1;20030604
1;1;20030605
1;2;20030606
2;2;20030609
2;2;20030610
2;2;20030611
2;2;20030612
2;1;20030613
1;3;20030616
3;2;20030617
2;2;20030618
2;1;20030620
1;3;20030623
3;2;20030624
2;2;20030625
2;2;20030626
2;2;20030627
2;2;20030630
2;2;20030701
2;2;20030702
2;2;20030703
2;2;20030704
2;2;20030707
2;2;20030708
2;4;20030709
4;3;20030710
3;1;20030711
1;2;20030714
2;2;20030715
2;2;20030716
2;3;20030717
3;3;20030718
3;2;20030721
2;2;20030722
2;2;20030723
2;3;20030724
3;2;20030725
2;2;20030728
2;2;20030729
2;2;20030730
2;2;20030731
2;2;20030801
2;2;20030804
2;2;20030805
2;2;20030806
2;2;20030807
2;2;20030808
2;2;20030811
2;3;20030812
3;3;20030813
3;3;20030814
3;2;20030818
2;2;20030819
2;2;20030820
2;3;20030821
3;2;20030822
2;2;20030825
2;2;20030826
2;2;20030827
2;3;20030828
3;3;20030829
3;3;20030901
3;2;20030902
2;2;20030903
2;3;20030904
3;2;20030905
2;2;20030908
2;3;20030909
3;2;20030910
2;2;20030911
2;3;20030912
3;1;20030915
1;2;20030916
2;2;20030917
2;2;20030918
2;2;20030919
2;2;20030922
2;1;20030923
1;2;20030924
2;2;20030925
2;2;20030926
2;2;20030929
2;3;20030930
3;3;20031001
3;1;20031002
1;2;20031003
2;2;20031006
2;2;20031007
2;2;20031008
2;3;20031009
3;2;20031010
2;2;20031013
2;2;20031014
2;3;20031015
3;3;20031016
3;3;20031017
3;2;20031020
2;2;20031021
2;3;20031022
3;2;20031023
2;2;20031024
2;3;20031027
3;2;20031028
2;2;20031029
2;1;20031030
1;2;20031031
2;2;20031103
2;2;20031104
2;3;20031105
3;2;20031106
2;3;20031107
3;2;20031110
2;1;20031112
1;1;20031113
1;3;20031114
3;3;20031117
3;1;20031118
1;2;20031119
2;3;20031120
3;1;20031121
1;2;20031124
2;2;20031125
2;2;20031126
2;2;20031127
2;1;20031128
1;2;20031201
2;3;20031202
3;2;20031203
2;2;20031204
2;1;20031205
1;2;20031208
2;2;20031209
2;2;20031210
2;3;20031211
3;2;20031212
2;2;20031215
2;2;20031216
2;3;20031217
3;2;20031218
2;2;20031219
2;2;20031222
2;2;20031223
2;2;20031229
2;2;20031230
2;2;20031231
2;1;20040102
1;2;20040105
2;2;20040106
2;2;20040107
2;3;20040108
3;2;20040109
2;2;20040112
2;2;20040113
2;4;20040114
4;1;20040115
1;1;20040116
1;2;20040119
2;2;20040120
2;2;20040121
2;2;20040122
2;2;20040123
2;1;20040126
1;2;20040127
2;2;20040128
2;2;20040129
2;2;20040130
2;2;20040202
2;2;20040203
2;4;20040204
4;3;20040205
3;3;20040206
3;2;20040209
2;2;20040210
2;2;20040211
2;3;20040212
3;1;20040213
1;1;20040216
1;2;20040217
2;1;20040218
1;3;20040219
3;1;20040220
1;1;20040223
1;2;20040224
2;2;20040225
2;2;20040226
2;2;20040227
2;2;20040301
2;3;20040302
3;2;20040303
2;2;20040304
2;2;20040305
2;3;20040308
3;1;20040309
1;2;20040310
2;2;20040311
2;2;20040312
2;2;20040315
2;2;20040316
2;2;20040317
2;2;20040318
2;2;20040319
2;0;20040322
0;2;20040323
2;1;20040324
1;2;20040325
2;1;20040326
1;1;20040329
1;1;20040330
1;2;20040331
2;0;20040401
0;2;20040402
2;2;20040405
2;2;20040406
2;2;20040407
2;2;20040408
2;2;20040413
2;2;20040414
2;1;20040415
1;2;20040416
2;3;20040419
3;1;20040420
1;2;20040421
2;1;20040422
1;2;20040423
2;3;20040426
3;1;20040427
1;3;20040428
3;2;20040429
2;1;20040430
1;1;20040504
1;2;20040505
2;1;20040506
1;2;20040507
2;2;20040510
2;2;20040511
2;2;20040512
2;1;20040513
1;1;20040514
1;1;20040517
1;3;20040518
3;2;20040519
2;2;20040520
2;2;20040521
2;2;20040524
2;2;20040525
2;3;20040526
3;2;20040527
2;1;20040528
1;2;20040601
2;2;20040602
2;2;20040603
2;2;20040604
2;2;20040607
2;2;20040608
2;2;20040609
2;2;20040611
2;1;20040614
1;1;20040615
1;1;20040616
1;2;20040617
2;1;20040618
1;1;20040621
1;1;20040622
1;2;20040623
2;2;20040624
2;2;20040625
2;2;20040628
2;1;20040629
1;1;20040630
1;0;20040701
0;2;20040702
2;1;20040705
1;2;20040706
2;3;20040707
3;2;20040708
2;2;20040709
2;1;20040712
1;2;20040713
2;2;20040715
2;1;20040716
1;1;20040720
1;2;20040721
2;2;20040723
2;2;20040726
2;0;20040727
0;1;20040728
1;2;20040729
2;2;20040730
2;4;20040802
4;3;20040803
3;2;20040804
2;2;20040805
2;3;20040806
3;4;20040809
4;0;20040810
0;1;20040811
1;2;20040812
2;2;20040813
2;3;20040816
3;4;20040817
4;1;20040818
1;2;20040819
2;2;20040820
2;1;20040823
1;2;20040824
2;1;20040826
1;1;20040827
1;1;20040830
1;1;20040831
1;1;20040901
1;1;20040902
1;1;20040903
1;0;20040906
0;1;20040908
1;1;20040909
1;2;20040910
2;1;20040913
1;3;20040914
3;1;20040915
1;2;20040916
