From;To;Date
0;0;19980402
0;5;19980407
5;5;19980408
5;5;19980409
5;5;19980414
5;5;19980415
5;4;19980416
4;4;19980417
4;5;19980420
5;4;19980421
4;5;19980422
5;4;19980423
4;5;19980424
5;5;19980427
5;5;19980428
5;4;19980429
4;4;19980430
4;4;19980504
4;5;19980505
5;4;19980506
4;4;19980507
4;5;19980508
5;5;19980511
5;4;19980512
4;5;19980513
5;5;19980514
5;5;19980515
5;4;19980518
4;4;19980519
4;5;19980520
5;5;19980521
5;5;19980522
5;4;19980525
4;5;19980526
5;5;19980527
5;5;19980528
5;5;19980529
5;5;19980601
5;5;19980602
5;5;19980603
5;5;19980604
5;5;19980605
5;5;19980608
5;5;19980609
5;5;19980610
5;5;19980615
5;5;19980616
5;4;19980617
4;5;19980618
5;5;19980619
5;5;19980622
5;5;19980623
5;5;19980624
5;5;19980625
5;5;19980626
5;5;19980629
5;4;19980630
4;5;19980701
5;4;19980702
4;4;19980703
4;5;19980706
5;5;19980707
5;4;19980708
4;4;19980709
4;4;19980710
4;4;19980713
4;5;19980714
5;5;19980715
5;4;19980716
4;4;19980717
4;5;19980720
5;5;19980721
5;4;19980722
4;4;19980723
4;5;19980724
5;4;19980727
4;4;19980728
4;5;19980729
5;5;19980730
5;4;19980731
4;5;19980803
5;5;19980804
5;5;19980805
5;4;19980806
4;4;19980807
4;4;19980810
4;4;19980811
4;5;19980812
5;5;19980813
5;4;19980814
4;5;19980817
5;4;19980818
4;5;19980819
5;5;19980820
5;4;19980821
4;5;19980824
5;4;19980825
4;4;19980826
4;5;19980827
5;0;19980828
0;5;19980831
5;5;19980901
5;5;19980902
5;5;19980903
5;5;19980904
5;5;19980907
5;5;19980908
5;5;19980909
5;4;19980910
4;4;19980911
4;5;19980914
5;5;19980915
5;5;19980916
5;5;19980917
5;4;19980918
4;5;19980921
5;4;19980922
4;5;19980923
5;5;19980924
5;5;19980925
5;5;19980928
5;5;19980929
5;5;19980930
5;5;19981001
5;5;19981002
5;5;19981005
5;4;19981006
4;5;19981007
5;4;19981008
4;4;19981009
4;5;19981012
5;4;19981013
4;4;19981014
4;4;19981015
4;4;19981016
4;4;19981019
4;4;19981020
4;5;19981021
5;5;19981022
5;5;19981023
5;5;19981026
5;5;19981027
5;5;19981028
5;5;19981029
5;5;19981030
5;5;19981102
5;5;19981103
5;4;19981104
4;5;19981105
5;4;19981106
4;4;19981109
4;5;19981110
5;4;19981112
