From;To;Date
5;5;20080512
5;3;20080513
3;4;20080514
4;4;20080515
4;4;20080516
4;4;20080519
4;4;20080520
4;4;20080521
4;5;20080523
5;5;20080526
5;5;20080527
5;4;20080528
4;4;20080529
4;4;20080530
4;3;20080602
3;4;20080603
4;4;20080604
4;5;20080605
5;4;20080606
4;4;20080609
4;5;20080610
5;5;20080611
5;5;20080612
5;4;20080613
4;4;20080616
4;3;20080617
3;4;20080618
4;4;20080619
4;4;20080620
4;4;20080623
4;5;20080624
5;3;20080625
3;3;20080626
3;4;20080627
4;3;20080630
3;4;20080701
4;3;20080702
3;4;20080703
4;4;20080704
4;3;20080707
3;4;20080708
4;3;20080709
3;3;20080710
3;3;20080711
3;4;20080714
4;3;20080715
3;4;20080716
4;3;20080717
3;4;20080718
4;3;20080721
3;3;20080722
3;3;20080723
3;4;20080724
4;3;20080725
3;3;20080728
3;4;20080729
4;3;20080730
3;3;20080731
3;1;20080801
1;3;20080804
3;3;20080805
3;2;20080806
2;3;20080807
3;2;20080808
2;3;20080811
3;2;20080812
2;3;20080813
3;3;20080814
3;2;20080818
2;3;20080819
3;3;20080820
3;3;20080821
3;3;20080822
3;3;20080825
3;3;20080826
3;2;20080827
2;4;20080828
4;3;20080829
3;3;20080901
3;4;20080902
4;4;20080903
4;4;20080904
4;3;20080905
3;4;20080908
4;5;20080909
5;5;20080910
5;4;20080911
4;3;20080912
3;3;20080915
3;4;20080916
4;3;20080917
3;4;20080918
4;3;20080919
3;4;20080922
4;3;20080923
3;4;20080924
4;3;20080925
3;4;20080926
4;4;20080929
4;4;20080930
4;4;20081001
4;3;20081002
3;4;20081003
4;4;20081006
4;4;20081007
4;4;20081008
4;3;20081009
3;4;20081010
4;3;20081013
3;3;20081014
3;3;20081015
3;4;20081016
4;4;20081017
4;4;20081020
4;5;20081021
5;4;20081022
4;4;20081023
4;4;20081024
4;4;20081027
4;4;20081028
4;4;20081029
4;4;20081030
4;5;20081031
5;4;20081103
4;4;20081104
4;5;20081105
5;5;20081106
5;4;20081107
4;3;20081110
3;4;20081112
4;5;20081113
5;4;20081114
4;3;20081117
3;4;20081118
4;4;20081119
4;4;20081120
4;4;20081121
4;4;20081124
4;4;20081125
4;4;20081126
4;4;20081127
4;4;20081128
4;3;20081201
3;4;20081202
4;4;20081203
4;4;20081204
4;4;20081205
4;4;20081208
4;4;20081209
4;3;20081210
3;3;20081211
3;3;20081212
3;3;20081215
3;4;20081216
4;3;20081217
3;4;20081218
4;4;20081219
4;3;20081222
3;3;20081223
3;4;20081229
4;4;20081230
4;4;20081231
4;4;20090105
4;4;20090106
4;4;20090107
4;4;20090108
4;3;20090109
3;3;20090112
3;4;20090113
4;4;20090114
4;4;20090115
4;4;20090116
4;3;20090119
3;4;20090120
4;4;20090121
4;3;20090122
3;3;20090123
3;3;20090126
3;5;20090127
5;4;20090128
4;3;20090129
3;3;20090130
3;3;20090202
3;4;20090203
4;4;20090204
4;4;20090205
4;4;20090206
4;4;20090209
4;4;20090210
4;4;20090211
4;3;20090212
3;4;20090213
4;3;20090216
3;4;20090217
4;4;20090218
4;4;20090219
4;4;20090220
4;4;20090223
4;4;20090224
4;4;20090225
4;3;20090226
3;4;20090227
4;3;20090302
3;4;20090303
4;4;20090304
4;3;20090305
3;4;20090306
4;3;20090309
3;4;20090310
4;4;20090311
4;3;20090312
3;3;20090313
3;4;20090316
4;3;20090317
3;3;20090318
3;5;20090319
5;5;20090320
5;5;20090323
5;4;20090324
4;4;20090325
4;4;20090326
4;5;20090327
5;4;20090330
4;4;20090331
4;4;20090401
4;4;20090402
4;5;20090403
5;4;20090406
4;4;20090407
4;4;20090408
4;4;20090409
4;5;20090414
5;5;20090415
5;4;20090416
4;5;20090417
5;4;20090420
4;4;20090421
4;4;20090422
4;4;20090423
4;4;20090424
4;3;20090427
3;4;20090428
4;4;20090429
4;4;20090430
4;5;20090504
5;5;20090505
5;5;20090506
5;6;20090507
6;5;20090508
5;5;20090511
5;5;20090512
5;5;20090513
5;4;20090514
4;5;20090515
5;5;20090518
5;5;20090519
5;5;20090520
5;4;20090521
4;4;20090522
4;4;20090525
4;5;20090526
5;5;20090527
5;5;20090528
5;5;20090529
5;5;20090601
5;5;20090602
5;5;20090603
5;4;20090604
4;4;20090605
4;4;20090608
4;4;20090609
4;4;20090610
4;4;20090612
4;4;20090615
4;4;20090616
4;4;20090617
4;4;20090618
4;4;20090619
4;4;20090622
4;4;20090623
4;4;20090624
4;5;20090625
5;4;20090626
4;4;20090629
4;4;20090630
4;4;20090701
4;5;20090702
5;5;20090703
5;4;20090706
4;4;20090707
4;4;20090708
4;4;20090709
4;4;20090710
4;4;20090713
4;5;20090714
5;5;20090715
5;4;20090716
4;5;20090717
5;5;20090720
5;4;20090721
4;4;20090722
4;5;20090723
5;5;20090724
5;5;20090727
5;5;20090728
5;4;20090729
4;4;20090730
4;5;20090731
5;5;20090803
5;5;20090804
5;5;20090805
5;5;20090806
5;5;20090807
5;4;20090810
4;4;20090811
4;5;20090812
5;5;20090813
5;5;20090814
5;4;20090817
4;4;20090818
4;5;20090819
5;5;20090820
5;5;20090821
5;5;20090824
5;5;20090825
5;5;20090826
5;4;20090827
4;5;20090828
5;4;20090831
4;5;20090901
5;5;20090902
5;5;20090903
5;4;20090904
4;4;20090907
4;5;20090908
5;4;20090909
4;4;20090910
4;5;20090911
5;4;20090914
4;4;20090915
4;5;20090916
5;5;20090917
5;3;20090918
3;4;20090921
4;5;20090922
5;5;20090923
5;4;20090924
4;5;20090925
5;5;20090928
5;4;20090929
4;5;20090930
5;5;20091001
5;5;20091002
5;4;20091005
4;3;20091006
3;4;20091007
4;4;20091008
4;3;20091009
3;4;20091012
4;4;20091013
4;4;20091014
4;4;20091015
4;4;20091016
4;5;20091019
5;4;20091020
4;4;20091021
4;3;20091022
3;4;20091023
4;3;20091026
3;5;20091027
5;4;20091028
4;4;20091029
4;4;20091030
4;3;20091102
3;4;20091103
4;4;20091104
4;3;20091105
3;3;20091106
3;4;20091109
4;2;20091110
2;4;20091112
4;4;20091113
4;4;20091116
4;3;20091117
3;4;20091118
4;5;20091119
5;4;20091120
4;4;20091123
4;4;20091124
4;3;20091125
3;5;20091126
5;3;20091127
3;4;20091130
4;4;20091201
4;3;20091202
3;5;20091203
5;4;20091204
4;5;20091207
5;4;20091208
4;2;20091209
2;2;20091210
2;5;20091211
5;3;20091214
3;5;20091215
5;4;20091216
4;5;20091217
5;5;20091218
5;3;20091221
3;3;20091222
3;4;20091223
4;3;20091228
3;5;20091229
5;3;20091230
3;3;20091231
3;3;20100104
3;4;20100105
4;5;20100106
5;4;20100107
4;4;20100108
4;4;20100111
4;5;20100112
5;4;20100113
4;4;20100114
4;4;20100115
4;4;20100118
4;3;20100119
3;4;20100120
4;4;20100121
4;5;20100122
5;3;20100125
3;5;20100126
5;5;20100127
5;5;20100128
5;5;20100129
5;4;20100201
4;5;20100202
5;4;20100203
4;5;20100204
5;4;20100205
4;4;20100208
4;4;20100209
4;4;20100210
4;3;20100211
3;5;20100212
5;4;20100215
4;4;20100216
4;4;20100217
4;3;20100218
3;4;20100219
4;3;20100222
3;3;20100223
3;3;20100224
3;4;20100225
4;4;20100226
4;4;20100301
4;3;20100302
3;4;20100303
4;5;20100304
5;5;20100305
5;5;20100308
5;4;20100309
4;5;20100310
5;4;20100311
4;4;20100312
4;5;20100315
5;5;20100316
5;5;20100317
5;4;20100318
4;5;20100319
5;5;20100322
5;5;20100323
5;5;20100324
5;5;20100325
5;5;20100326
5;5;20100329
5;5;20100330
5;4;20100331
4;4;20100401
4;5;20100406
5;5;20100407
5;4;20100408
4;5;20100409
5;4;20100412
4;4;20100413
4;6;20100414
6;5;20100415
5;5;20100416
5;4;20100419
4;4;20100420
4;3;20100421
3;3;20100422
3;3;20100423
3;3;20100426
3;4;20100427
4;4;20100428
4;3;20100429
3;4;20100430
4;4;20100504
4;5;20100505
5;4;20100506
4;4;20100507
4;4;20100510
4;5;20100511
5;4;20100512
4;3;20100513
3;5;20100514
5;4;20100517
4;4;20100518
4;5;20100519
5;5;20100520
5;4;20100521
4;5;20100524
5;4;20100525
4;5;20100526
5;4;20100527
4;3;20100528
3;4;20100531
4;5;20100601
5;4;20100602
4;4;20100604
4;3;20100607
3;5;20100608
5;5;20100609
5;4;20100610
4;5;20100611
5;5;20100614
5;4;20100615
4;4;20100616
4;5;20100617
5;4;20100618
4;4;20100621
4;4;20100622
4;4;20100623
4;4;20100624
4;4;20100625
4;4;20100628
4;4;20100629
4;4;20100630
4;4;20100701
4;4;20100702
4;4;20100705
4;4;20100706
4;3;20100707
3;4;20100708
4;3;20100709
3;2;20100712
2;3;20100713
3;4;20100714
4;3;20100715
3;3;20100716
3;4;20100719
4;3;20100720
3;4;20100721
4;4;20100722
4;4;20100723
4;4;20100726
4;4;20100727
4;4;20100728
4;4;20100729
4;4;20100730
4;4;20100802
4;4;20100803
4;4;20100804
4;4;20100805
4;4;20100806
4;2;20100809
2;3;20100810
3;3;20100811
3;4;20100812
4;4;20100813
4;4;20100816
4;3;20100817
3;3;20100818
3;4;20100819
4;4;20100820
4;3;20100823
3;4;20100824
4;5;20100825
5;5;20100826
5;4;20100827
4;4;20100830
4;5;20100831
5;5;20100901
5;4;20100902
4;3;20100903
3;3;20100906
3;4;20100907
4;5;20100908
5;4;20100909
4;3;20100910
3;4;20100913
4;3;20100914
3;4;20100915
4;4;20100916
4;4;20100917
4;3;20100920
3;4;20100921
4;3;20100922
3;3;20100923
3;4;20100924
4;4;20100927
4;4;20100928
4;5;20100929
5;5;20100930
5;5;20101001
5;5;20101004
5;4;20101005
4;5;20101006
5;5;20101007
5;5;20101008
5;3;20101011
3;5;20101012
5;4;20101013
4;3;20101014
3;4;20101015
4;3;20101018
3;3;20101019
3;3;20101020
3;2;20101021
2;2;20101022
2;3;20101025
3;3;20101026
3;3;20101027
3;3;20101028
3;5;20101029
5;5;20101102
5;2;20101103
2;4;20101104
4;5;20101105
5;5;20101108
5;5;20101109
5;3;20101110
3;4;20101112
4;3;20101115
3;2;20101116
2;4;20101117
4;3;20101118
3;4;20101119
4;4;20101122
4;3;20101123
3;3;20101124
3;3;20101125
3;5;20101126
5;4;20101129
4;4;20101130
4;4;20101201
4;4;20101202
4;4;20101203
4;4;20101206
4;4;20101207
4;4;20101208
4;3;20101209
3;4;20101210
4;5;20101213
5;4;20101214
4;4;20101215
4;4;20101216
4;4;20101217
4;4;20101220
4;4;20101221
4;4;20101222
4;4;20101223
4;3;20101227
3;4;20101228
4;4;20101229
4;5;20101230
5;5;20101231
5;4;20110103
4;5;20110104
5;5;20110105
5;4;20110107
4;4;20110110
4;4;20110111
4;4;20110112
4;4;20110113
4;4;20110114
4;5;20110117
5;4;20110118
4;5;20110119
5;5;20110120
5;5;20110121
5;4;20110124
4;4;20110125
4;4;20110126
4;4;20110127
4;4;20110128
4;4;20110131
4;4;20110201
4;4;20110202
4;4;20110203
4;4;20110204
4;4;20110207
4;4;20110208
4;4;20110209
4;3;20110210
3;3;20110211
3;4;20110214
4;4;20110215
4;4;20110216
4;3;20110217
3;5;20110218
5;5;20110221
5;5;20110222
5;5;20110223
5;5;20110224
5;3;20110225
3;3;20110228
3;5;20110301
5;3;20110302
3;4;20110303
4;4;20110304
4;4;20110307
4;3;20110308
3;3;20110309
3;3;20110310
3;4;20110311
4;3;20110314
3;3;20110315
3;5;20110316
5;4;20110317
4;3;20110318
3;5;20110321
5;3;20110322
3;4;20110323
4;5;20110324
5;3;20110325
3;2;20110328
2;4;20110329
4;5;20110330
5;4;20110331
4;3;20110401
3;4;20110404
4;4;20110405
4;5;20110406
5;4;20110407
4;4;20110408
4;4;20110411
4;4;20110412
4;4;20110413
4;3;20110414
3;3;20110415
3;3;20110418
3;4;20110419
4;5;20110420
5;3;20110421
3;3;20110426
3;3;20110427
3;3;20110428
3;3;20110429
3;3;20110502
3;3;20110504
3;3;20110505
3;2;20110506
2;5;20110509
5;4;20110510
4;3;20110511
3;4;20110512
4;3;20110513
3;4;20110516
4;4;20110517
4;5;20110518
5;5;20110519
5;5;20110520
5;5;20110523
5;4;20110524
4;5;20110525
5;5;20110526
5;5;20110527
5;4;20110530
4;4;20110531
4;6;20110601
6;5;20110602
5;4;20110603
4;4;20110606
4;5;20110607
5;5;20110608
5;5;20110609
5;5;20110610
