From;To;Date
5;5;19980217
5;5;19980218
5;5;19980219
5;4;19980220
4;5;19980223
5;4;19980224
4;4;19980225
4;5;19980226
5;4;19980227
4;4;19980302
4;4;19980303
4;4;19980304
4;4;19980305
4;4;19980306
4;4;19980309
4;4;19980310
4;4;19980311
4;4;19980312
4;4;19980313
4;4;19980316
4;4;19980317
4;4;19980318
4;4;19980319
4;4;19980320
4;4;19980323
4;4;19980324
4;4;19980325
4;4;19980326
4;4;19980327
4;4;19980330
4;4;19980331
4;4;19980401
4;4;19980402
4;4;19980406
4;3;19980407
3;4;19980408
4;4;19980409
4;4;19980414
4;4;19980415
4;4;19980416
4;4;19980417
4;4;19980420
4;4;19980421
4;4;19980422
4;4;19980423
4;4;19980424
4;4;19980427
4;4;19980428
4;4;19980429
4;4;19980430
4;4;19980504
4;4;19980505
4;4;19980506
4;4;19980507
4;4;19980508
4;3;19980511
3;4;19980512
4;3;19980513
3;4;19980514
4;4;19980515
4;4;19980518
4;4;19980519
4;4;19980520
4;4;19980521
4;4;19980522
4;3;19980525
3;3;19980526
3;4;19980527
4;4;19980528
4;4;19980529
4;4;19980601
4;4;19980602
4;4;19980603
4;4;19980604
4;4;19980605
4;4;19980608
4;4;19980609
4;4;19980610
4;4;19980615
4;4;19980616
4;4;19980617
4;4;19980618
4;4;19980619
4;3;19980622
3;4;19980623
4;3;19980624
3;3;19980625
3;4;19980626
4;3;19980629
3;3;19980630
3;4;19980701
4;4;19980702
4;4;19980703
4;4;19980706
4;4;19980707
4;4;19980708
4;4;19980709
4;4;19980710
4;3;19980713
3;4;19980714
4;3;19980715
3;3;19980716
3;4;19980717
4;4;19980720
4;3;19980721
3;4;19980722
4;3;19980723
3;4;19980724
4;3;19980727
3;4;19980728
4;4;19980729
4;3;19980730
3;3;19980731
3;4;19980803
4;3;19980804
3;3;19980805
3;3;19980806
3;4;19980807
4;3;19980810
3;3;19980811
3;4;19980812
4;4;19980813
4;4;19980814
4;4;19980817
4;4;19980818
4;3;19980819
3;3;19980820
3;3;19980821
3;3;19980824
3;4;19980825
4;3;19980826
3;4;19980827
4;0;19980828
0;4;19980831
4;4;19980901
4;4;19980902
4;4;19980903
4;4;19980904
4;3;19980907
3;4;19980908
4;4;19980909
4;4;19980910
4;4;19980911
4;4;19980914
4;3;19980915
3;4;19980916
4;4;19980917
4;4;19980918
4;4;19980921
4;3;19980922
3;4;19980923
4;4;19980924
4;4;19980925
4;3;19980928
3;3;19980929
3;4;19980930
4;4;19981001
4;4;19981002
4;4;19981005
4;4;19981006
4;4;19981007
4;4;19981008
4;4;19981009
4;3;19981012
3;3;19981013
3;3;19981014
3;3;19981015
3;3;19981016
3;3;19981019
3;3;19981020
3;4;19981021
4;4;19981022
4;3;19981023
3;3;19981026
3;3;19981027
3;4;19981028
4;3;19981029
3;4;19981030
4;3;19981102
3;3;19981103
3;4;19981104
4;3;19981105
3;4;19981106
4;4;19981109
4;3;19981110
3;3;19981112
3;3;19981113
3;4;19981116
4;3;19981117
3;3;19981118
3;4;19981119
4;3;19981120
3;3;19981123
3;4;19981124
4;3;19981125
3;3;19981126
3;3;19981127
3;3;19981130
3;3;19981201
3;3;19981202
3;4;19981203
4;4;19981204
4;3;19981207
3;4;19981208
4;4;19981209
4;3;19981210
3;3;19981211
3;4;19981214
4;3;19981215
3;3;19981216
3;3;19981217
3;4;19981218
4;3;19981221
3;4;19981222
4;4;19981223
4;4;19981228
4;4;19981229
4;4;19981230
4;4;19981231
4;4;19990104
4;4;19990105
4;4;19990106
4;4;19990107
4;4;19990108
4;4;19990111
4;4;19990112
4;4;19990113
4;4;19990114
4;4;19990115
4;4;19990118
4;4;19990119
4;4;19990120
4;4;19990121
4;4;19990122
4;4;19990125
4;3;19990126
3;3;19990127
3;4;19990128
4;3;19990129
3;4;19990201
4;4;19990202
4;4;19990203
4;3;19990204
3;4;19990205
4;3;19990208
3;4;19990209
4;3;19990210
3;4;19990211
4;3;19990212
3;3;19990215
3;3;19990216
3;3;19990217
3;4;19990218
4;3;19990219
3;4;19990222
4;4;19990223
4;3;19990224
3;3;19990225
3;3;19990226
3;3;19990301
3;3;19990302
3;3;19990303
3;4;19990304
4;4;19990305
4;4;19990308
4;4;19990309
4;3;19990310
