From;To;Date
7;7;19991126
7;6;19991129
6;6;19991130
6;6;19991201
6;6;19991202
6;6;19991203
6;6;19991206
6;6;19991207
6;6;19991208
6;6;19991209
6;6;19991210
6;6;19991213
6;6;19991214
6;6;19991215
6;6;19991216
6;6;19991217
6;6;19991220
6;6;19991221
6;6;19991222
6;6;19991223
6;6;19991227
6;5;19991228
5;6;19991229
6;6;20000103
6;6;20000104
6;6;20000105
6;6;20000106
6;6;20000107
6;6;20000110
6;6;20000111
6;6;20000112
6;6;20000113
6;6;20000114
6;6;20000117
6;5;20000118
5;6;20000119
6;6;20000120
6;6;20000121
6;5;20000124
5;6;20000125
6;6;20000126
6;5;20000127
5;5;20000128
5;5;20000131
5;6;20000201
6;6;20000202
6;6;20000203
6;6;20000204
6;5;20000207
5;6;20000208
6;6;20000209
6;6;20000210
6;6;20000211
6;6;20000214
6;6;20000215
6;6;20000216
6;6;20000217
6;6;20000218
6;5;20000221
5;5;20000222
5;6;20000223
6;6;20000224
6;5;20000225
5;6;20000228
6;5;20000229
5;6;20000301
6;6;20000302
6;5;20000303
5;5;20000306
5;5;20000307
5;5;20000308
5;5;20000309
5;5;20000310
5;6;20000313
6;6;20000314
6;5;20000315
5;6;20000316
6;6;20000317
6;5;20000320
5;5;20000321
5;6;20000322
6;6;20000323
6;6;20000324
6;5;20000327
5;5;20000328
5;5;20000329
5;5;20000330
5;5;20000331
5;5;20000403
5;5;20000404
5;5;20000405
5;5;20000406
5;5;20000407
5;5;20000410
5;5;20000411
5;5;20000412
5;5;20000413
5;5;20000414
5;6;20000417
6;5;20000418
5;5;20000419
5;5;20000420
5;5;20000425
5;5;20000426
5;5;20000427
5;5;20000428
5;5;20000504
5;5;20000505
5;5;20000508
5;5;20000509
5;5;20000510
5;5;20000511
5;5;20000512
5;5;20000515
5;5;20000516
5;5;20000517
5;5;20000518
5;5;20000519
5;5;20000522
5;5;20000523
5;5;20000524
5;5;20000525
5;5;20000526
5;5;20000529
5;5;20000530
5;5;20000531
5;5;20000601
5;5;20000602
5;5;20000605
5;5;20000606
5;5;20000607
5;5;20000608
5;5;20000609
5;5;20000612
5;5;20000613
5;6;20000614
6;5;20000615
5;5;20000616
5;5;20000619
5;5;20000620
5;5;20000621
5;5;20000623
5;5;20000626
5;5;20000627
5;5;20000628
5;6;20000629
6;5;20000630
5;6;20000703
6;6;20000704
6;6;20000705
6;6;20000706
6;6;20000707
6;6;20000710
6;6;20000711
6;6;20000712
6;6;20000713
6;6;20000714
6;6;20000717
6;6;20000718
6;5;20000719
5;6;20000720
6;5;20000721
5;5;20000724
5;6;20000725
6;5;20000726
5;5;20000727
5;5;20000728
5;6;20000731
6;5;20000801
5;5;20000802
5;5;20000803
5;5;20000804
5;5;20000807
5;5;20000808
5;5;20000809
5;5;20000810
5;5;20000811
5;5;20000814
5;5;20000816
5;5;20000817
5;5;20000818
5;5;20000821
5;5;20000822
5;5;20000823
5;5;20000824
5;6;20000825
6;5;20000828
5;5;20000829
5;5;20000830
5;5;20000831
5;6;20000901
6;5;20000904
5;6;20000905
6;5;20000906
5;5;20000907
5;5;20000908
5;5;20000911
5;5;20000912
5;5;20000913
5;5;20000914
5;5;20000915
5;5;20000918
5;5;20000919
5;5;20000920
5;6;20000921
6;5;20000922
5;5;20000925
5;5;20000926
5;5;20000927
5;5;20000928
5;6;20000929
6;5;20001002
5;5;20001003
5;5;20001004
5;5;20001005
5;5;20001006
5;5;20001009
5;5;20001010
5;5;20001011
5;5;20001012
5;6;20001013
6;5;20001016
5;6;20001017
6;6;20001018
6;5;20001019
5;5;20001020
5;6;20001023
6;5;20001024
5;6;20001025
6;5;20001026
5;5;20001027
5;5;20001030
5;5;20001031
5;6;20001102
6;6;20001103
6;6;20001106
6;6;20001107
6;5;20001108
5;6;20001109
6;5;20001110
5;6;20001113
6;5;20001114
5;5;20001115
5;5;20001116
5;5;20001117
5;6;20001120
6;5;20001121
5;5;20001122
5;5;20001123
5;6;20001124
6;6;20001127
6;6;20001128
6;6;20001129
6;5;20001130
5;5;20001201
5;5;20001204
5;6;20001205
6;6;20001206
6;6;20001207
6;5;20001208
5;5;20001211
5;5;20001212
5;6;20001213
6;6;20001214
6;5;20001215
5;5;20001218
5;6;20001219
6;5;20001220
5;6;20001221
6;6;20001222
6;5;20001227
5;5;20001228
5;6;20001229
6;5;20010102
5;5;20010103
5;5;20010104
5;6;20010105
6;6;20010108
6;6;20010109
6;6;20010110
6;5;20010111
5;5;20010112
5;5;20010115
5;5;20010116
5;6;20010117
6;6;20010118
6;6;20010119
6;5;20010122
5;5;20010123
5;5;20010124
