From;To;Date
6;6;19971015
6;6;19971017
6;5;19971020
5;5;19971021
5;5;19971022
5;5;19971023
5;5;19971024
5;5;19971027
5;5;19971028
5;5;19971029
5;5;19971030
5;4;19971031
4;4;19971103
4;5;19971104
5;5;19971105
5;5;19971106
5;5;19971107
5;5;19971112
5;5;19971113
5;4;19971114
4;5;19971117
5;5;19971118
5;5;19971119
5;5;19971120
5;5;19971121
5;4;19971124
4;5;19971125
5;5;19971126
5;5;19971127
5;5;19971128
5;4;19971201
4;5;19971202
5;5;19971203
5;4;19971204
4;5;19971205
5;5;19971208
5;5;19971209
5;4;19971210
4;5;19971211
5;5;19971212
5;4;19971215
4;5;19971216
5;4;19971217
4;4;19971218
4;5;19971219
5;5;19971222
5;5;19971223
5;5;19971229
5;4;19971230
4;4;19971231
4;5;19980105
5;5;19980106
5;5;19980107
5;5;19980108
5;5;19980109
5;5;19980112
5;5;19980113
5;5;19980114
5;5;19980115
5;5;19980116
5;4;19980119
4;4;19980120
4;5;19980121
5;5;19980122
5;5;19980123
5;4;19980126
4;5;19980127
5;5;19980128
5;5;19980129
5;5;19980130
5;5;19980202
5;5;19980203
5;5;19980204
5;5;19980205
5;5;19980206
5;5;19980209
5;5;19980210
5;4;19980211
4;5;19980212
5;5;19980213
5;5;19980216
5;5;19980217
5;5;19980218
5;5;19980219
5;5;19980220
5;5;19980223
5;5;19980224
5;5;19980225
5;5;19980226
5;5;19980227
5;5;19980302
5;5;19980303
5;4;19980304
4;5;19980305
5;4;19980306
4;5;19980309
5;5;19980310
5;5;19980311
5;5;19980312
5;5;19980313
5;5;19980316
5;6;19980317
6;5;19980318
5;5;19980319
5;5;19980320
5;5;19980323
5;5;19980324
5;5;19980325
5;5;19980326
5;5;19980327
5;4;19980330
4;5;19980331
5;5;19980401
5;4;19980402
4;5;19980406
5;5;19980407
5;5;19980408
5;5;19980409
5;5;19980414
5;5;19980415
5;5;19980416
5;5;19980417
5;5;19980420
5;5;19980421
5;5;19980422
5;5;19980423
5;5;19980424
5;5;19980427
5;5;19980428
5;5;19980429
5;5;19980430
5;5;19980504
5;5;19980505
5;5;19980506
5;5;19980507
5;4;19980508
4;5;19980511
5;5;19980512
5;5;19980513
5;4;19980514
4;5;19980515
5;5;19980518
5;5;19980519
5;5;19980520
5;5;19980521
5;5;19980522
5;5;19980525
5;5;19980526
5;5;19980527
5;5;19980528
5;5;19980529
5;5;19980601
5;5;19980602
5;5;19980603
5;5;19980604
5;5;19980605
5;4;19980608
4;5;19980609
5;5;19980610
5;5;19980615
5;5;19980616
5;5;19980617
5;5;19980618
5;5;19980619
5;5;19980622
5;5;19980623
5;6;19980624
6;5;19980625
5;5;19980626
5;4;19980629
4;5;19980630
5;5;19980701
5;5;19980702
5;4;19980703
4;4;19980706
4;4;19980707
4;4;19980708
4;5;19980709
5;4;19980710
4;4;19980713
4;5;19980714
5;5;19980715
5;5;19980716
5;5;19980717
5;5;19980720
5;5;19980721
5;5;19980722
5;5;19980723
5;4;19980724
4;5;19980727
5;5;19980728
5;5;19980729
5;5;19980730
5;5;19980731
5;5;19980803
5;5;19980804
5;6;19980805
6;5;19980806
5;5;19980807
5;5;19980810
5;5;19980811
5;4;19980812
4;5;19980813
5;4;19980814
4;3;19980817
3;4;19980818
4;5;19980819
5;5;19980820
5;5;19980821
5;5;19980824
5;5;19980825
5;5;19980826
5;5;19980827
5;5;19980828
5;5;19980831
5;5;19980901
5;5;19980902
5;5;19980903
5;4;19980904
4;4;19980907
4;4;19980908
4;4;19980909
4;4;19980910
4;4;19980911
4;4;19980914
4;4;19980915
4;5;19980916
5;5;19980917
5;5;19980918
5;4;19980921
4;4;19980922
4;5;19980923
5;5;19980924
5;5;19980925
5;4;19980928
4;4;19980929
4;4;19980930
4;4;19981001
4;4;19981002
4;3;19981005
3;4;19981006
4;4;19981007
4;4;19981008
4;4;19981009
4;4;19981012
4;4;19981013
4;5;19981014
5;4;19981015
4;4;19981016
4;4;19981019
4;5;19981020
5;4;19981021
4;4;19981022
4;4;19981023
