From;To;Date
5;5;19990111
5;5;19990112
5;4;19990113
4;4;19990114
4;4;19990115
4;4;19990118
4;4;19990119
4;4;19990120
4;4;19990121
4;4;19990122
4;4;19990125
4;4;19990126
4;4;19990127
4;3;19990128
3;3;19990129
3;4;19990201
4;4;19990202
4;4;19990203
4;3;19990204
3;4;19990205
4;4;19990208
4;3;19990209
3;3;19990210
3;3;19990211
3;3;19990212
3;4;19990215
4;4;19990216
4;4;19990217
4;3;19990218
3;4;19990219
4;5;19990222
5;4;19990223
4;4;19990224
4;4;19990225
4;3;19990226
3;4;19990301
4;4;19990302
4;4;19990303
4;4;19990304
4;5;19990305
5;4;19990308
4;5;19990309
5;5;19990310
5;5;19990311
5;5;19990312
5;5;19990315
5;5;19990316
5;5;19990317
5;5;19990318
5;5;19990319
5;5;19990322
5;5;19990323
5;4;19990324
4;5;19990325
5;5;19990326
5;5;19990329
5;5;19990330
5;5;19990331
5;5;19990401
5;4;19990406
4;4;19990407
4;4;19990408
4;4;19990409
4;4;19990412
4;4;19990413
4;4;19990414
4;4;19990415
4;5;19990416
5;5;19990419
5;4;19990420
4;4;19990421
4;4;19990422
4;5;19990423
5;4;19990426
4;4;19990427
4;4;19990428
4;4;19990429
4;4;19990430
4;4;19990504
4;5;19990505
5;5;19990506
5;5;19990507
5;5;19990510
5;5;19990511
5;5;19990512
5;5;19990513
5;5;19990514
5;4;19990517
4;4;19990518
4;4;19990519
4;5;19990520
5;4;19990521
4;4;19990524
4;4;19990525
4;4;19990526
4;4;19990527
4;5;19990528
5;5;19990531
5;4;19990601
4;5;19990602
5;5;19990607
5;5;19990608
5;5;19990609
5;5;19990610
5;5;19990611
5;5;19990614
5;5;19990615
5;4;19990616
4;5;19990617
5;4;19990618
4;4;19990621
4;4;19990622
4;4;19990623
4;4;19990624
4;4;19990625
4;4;19990628
4;4;19990629
4;4;19990630
4;4;19990701
4;4;19990702
4;4;19990705
4;4;19990706
4;4;19990707
4;4;19990708
4;5;19990709
5;4;19990712
4;4;19990713
4;5;19990714
5;4;19990715
4;4;19990716
4;4;19990719
4;4;19990720
4;4;19990721
4;4;19990722
4;4;19990723
4;5;19990726
5;4;19990727
4;4;19990728
4;4;19990729
4;4;19990730
4;4;19990802
4;4;19990803
4;4;19990804
4;4;19990805
4;4;19990806
4;4;19990809
4;4;19990810
4;4;19990811
4;4;19990812
4;5;19990813
5;4;19990816
4;4;19990817
4;4;19990818
4;4;19990819
4;4;19990820
4;4;19990823
4;3;19990824
3;4;19990825
4;4;19990826
4;5;19990827
5;5;19990830
5;4;19990831
4;5;19990901
5;4;19990902
4;4;19990903
4;5;19990906
5;5;19990907
5;4;19990908
4;4;19990909
4;4;19990910
4;3;19990913
3;4;19990914
4;4;19990915
4;4;19990916
4;3;19990917
3;3;19990920
3;4;19990921
4;5;19990922
5;5;19990923
5;4;19990924
4;4;19990927
4;4;19990928
4;5;19990929
5;5;19990930
5;5;19991001
5;5;19991004
5;4;19991005
4;4;19991006
4;5;19991007
5;4;19991008
4;5;19991011
5;5;19991012
5;5;19991013
5;5;19991014
5;5;19991015
5;4;19991018
4;3;19991019
3;4;19991020
4;4;19991021
4;5;19991022
5;4;19991025
4;4;19991026
4;4;19991027
4;4;19991028
4;4;19991029
4;5;19991102
5;5;19991103
5;5;19991104
5;5;19991105
5;4;19991108
4;4;19991109
4;4;19991110
4;4;19991115
4;4;19991116
4;4;19991117
4;4;19991118
4;5;19991119
5;4;19991122
4;5;19991123
5;4;19991124
4;4;19991125
4;4;19991126
4;4;19991129
4;4;19991130
4;4;19991201
4;5;19991202
